SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
63000001,9.4,6.75,6.6,7.583333333333333
63000002,7.8,5.0,6.4,6.400000000000001
63000003,6.8,4.5,5.2,5.5
63000004,7.4,6.0,7.0,6.8
63000005,8.6,5.0,6.6,6.733333333333333
63000006,7.0,4.25,5.6,5.616666666666667
63000007,7.0,4.75,2.8,4.8500000000000005
63000008,7.8,4.0,8.6,6.8
63000009,8.6,7.75,9.6,8.65
63000010,8.4,7.0,9.0,8.133333333333333
63000011,7.8,6.0,7.8,7.2
63000012,4.8,4.0,3.0,3.9333333333333336
63000013,7.8,5.25,5.6,6.216666666666666
63000014,8.0,0,0,2.6666666666666665
63000015,6.6,6.5,6.4,6.5
63000016,6.4,7.5,4.0,5.966666666666666
63000017,0,4.5,0,1.5
63000018,7.0,3.75,3.8,4.8500000000000005
63000019,7.2,5.0,3.8,5.333333333333333
63000020,7.0,5.25,4.2,5.483333333333333
63000021,5.8,6.0,7.4,6.400000000000001
63000022,7.6,5.25,4.0,5.616666666666667
63000023,7.2,6.25,6.4,6.616666666666667
63000024,8.6,6.75,6.8,7.383333333333333
63000025,8.8,5.5,4.2,6.166666666666667
63000026,0,5.5,0,1.8333333333333333
63000027,6.8,4.75,5.4,5.650000000000001
63000028,8.4,5.5,9.2,7.7
63000029,5.4,3.5,3.6,4.166666666666667
63000030,6.8,4.0,3.2,4.666666666666667
63000031,6.4,5.0,4.4,5.266666666666667
63000032,6.0,7.0,8.2,7.066666666666666
63000033,5.4,5.5,2.8,4.566666666666666
63000034,8.0,4.75,6.2,6.316666666666666
63000035,6.8,5.0,5.6,5.8
63000036,6.6,6.0,5.0,5.866666666666667
63000037,8.2,7.75,8.0,7.983333333333333
63000038,4.6,7.75,5.2,5.8500000000000005
63000039,4.0,5.5,6.2,5.233333333333333
63000040,3.6,2.75,3.6,3.3166666666666664
63000041,8.4,6.75,7.2,7.45
63000042,5.8,4.25,4.0,4.683333333333334
63000043,6.0,5.25,3.4,4.883333333333334
63000044,5.6,4.25,3.2,4.3500000000000005
63000045,4.8,3.5,4.2,4.166666666666667
63000046,7.8,7.75,9.0,8.183333333333334
63000047,5.2,7.5,2.2,4.966666666666666
63000048,8.2,3.5,4.2,5.3
63000049,5.8,4.25,3.4,4.483333333333333
63000050,7.0,8.5,8.6,8.033333333333333
63000051,7.8,5.25,6.8,6.616666666666667
63000052,7.8,6.5,7.2,7.166666666666667
63000053,5.8,4.25,3.0,4.3500000000000005
63000054,5.4,4.5,3.8,4.566666666666666
63000055,7.4,5.0,5.0,5.8
63000056,7.2,6.25,5.4,6.283333333333334
63000057,7.2,6.0,9.2,7.466666666666666
63000058,3.8,5.5,3.2,4.166666666666667
63000059,6.2,7.0,6.8,6.666666666666667
63000060,7.0,5.5,7.6,6.7
63000061,7.6,8.25,8.8,8.216666666666667
63000062,8.2,4.75,7.2,6.716666666666666
63000063,7.4,0,0,2.466666666666667
63000064,7.8,5.75,3.4,5.6499999999999995
63000065,4.0,5.75,3.4,4.383333333333334
63000066,8.2,5.5,7.0,6.8999999999999995
63000067,8.8,6.0,8.4,7.733333333333334
63000068,4.8,5.0,4.0,4.6000000000000005
63000069,7.8,0,0,2.6
63000070,6.2,6.5,4.0,5.566666666666666
63000071,4.8,5.25,3.2,4.416666666666667
63000072,4.8,5.25,5.4,5.15
63000073,7.4,5.5,4.2,5.7
63000074,8.8,6.0,8.0,7.6000000000000005
63000075,2.8,4.0,0,2.2666666666666666
63000076,4.8,3.5,2.2,3.5
63000077,8.2,5.25,6.4,6.616666666666667
63000078,5.8,4.75,2.4,4.316666666666667
63000079,8.0,6.25,0,4.75
63000080,5.6,4.25,3.2,4.3500000000000005
63000081,8.6,7.25,8.2,8.016666666666666
63000082,7.4,4.75,4.2,5.45
63000083,8.4,0,0,2.8000000000000003
63000084,7.4,6.5,5.8,6.566666666666666
63000085,0,5.5,0,1.8333333333333333
63000086,0,4.0,0,1.3333333333333333
63000087,5.8,5.25,3.8,4.95
63000088,3.8,3.0,4.0,3.6
63000089,4.4,3.5,3.0,3.6333333333333333
63000090,6.4,7.0,3.4,5.6000000000000005
63000091,5.4,7.25,3.6,5.416666666666667
63000092,7.4,6.0,4.4,5.933333333333334
63000093,6.6,5.25,3.0,4.95
63000094,6.0,4.5,3.6,4.7
63000095,7.8,8.0,6.2,7.333333333333333
63000096,7.4,7.25,8.6,7.75
63000097,7.4,5.75,7.6,6.916666666666667
63000098,6.4,4.75,3.2,4.783333333333334
63000099,8.0,4.0,5.8,5.933333333333334
63000100,6.4,3.25,3.6,4.416666666666667
63000101,0,3.25,0,1.0833333333333333
63000102,5.8,3.5,3.4,4.233333333333333
63000103,0,4.5,0,1.5
63000104,6.4,0,0,2.1333333333333333
63000105,6.0,3.5,4.8,4.766666666666667
63000106,9.0,6.0,6.2,7.066666666666666
63000107,8.8,0,2.4,3.733333333333334
63000108,6.8,7.0,6.4,6.733333333333334
63000109,7.6,5.0,6.6,6.3999999999999995
63000110,7.2,4.25,4.6,5.349999999999999
63000111,6.8,6.0,2.8,5.2
63000112,5.6,4.5,5.0,5.033333333333333
63000113,7.4,0,0,2.466666666666667
63000114,7.2,6.75,2.8,5.583333333333333
63000115,8.6,4.75,6.6,6.6499999999999995
63000116,6.6,4.75,4.2,5.183333333333334
63000117,7.4,0,0,2.466666666666667
63000118,7.4,6.0,5.6,6.333333333333333
63000119,7.8,4.5,3.8,5.366666666666667
63000120,7.4,4.0,2.6,4.666666666666667
63000121,8.2,4.0,6.0,6.066666666666666
63000122,8.0,5.75,8.6,7.45
63000123,6.8,7.25,4.2,6.083333333333333
63000124,7.6,6.75,9.0,7.783333333333334
63000125,7.8,7.25,4.2,6.416666666666667
63000126,6.4,5.25,2.6,4.75
63000127,6.4,5.75,3.6,5.25
63000128,6.8,4.75,5.2,5.583333333333333
63000129,7.4,8.0,8.0,7.8
63000130,8.8,7.5,6.0,7.433333333333334
63000131,8.2,5.5,6.0,6.566666666666666
63000132,6.0,7.0,8.0,7.0
63000133,3.0,5.25,0,2.75
63000134,4.4,5.5,2.0,3.966666666666667
63000135,6.0,5.25,2.8,4.683333333333334
63000136,2.6,4.5,1.8,2.966666666666667
63000137,6.6,7.0,4.4,6.0
63000138,4.0,5.5,3.4,4.3
63000139,6.0,6.5,3.8,5.433333333333334
63000140,7.4,0,0,2.466666666666667
63000141,7.0,5.5,3.0,5.166666666666667
63000142,8.6,5.75,7.8,7.383333333333333
63000143,6.2,5.25,2.8,4.75
63000144,7.2,4.25,5.6,5.683333333333333
63000145,9.0,3.75,6.4,6.383333333333333
63000146,8.2,4.75,2.6,5.183333333333333
63000147,6.8,4.5,2.4,4.566666666666667
63000148,0,5.25,0,1.75
63000149,0,5.5,0,1.8333333333333333
63000150,6.6,5.5,2.6,4.8999999999999995
63000151,6.2,6.0,5.2,5.8
63000152,7.0,6.75,0,4.583333333333333
63000153,7.6,6.0,4.4,6.0
63000154,6.8,5.0,6.6,6.133333333333333
63000155,4.2,4.25,2.8,3.75
63000156,8.4,5.75,5.6,6.583333333333333
63000157,3.6,4.5,3.4,3.8333333333333335
63000158,8.8,5.5,8.8,7.7
63000159,4.2,4.75,3.6,4.183333333333333
63000160,6.8,4.0,2.8,4.533333333333334
63000161,6.0,4.75,3.4,4.716666666666667
