SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
55000001,4.4,6.75,3.4,4.8500000000000005
55000002,5.8,8.5,6.8,7.033333333333334
55000003,5.4,5.75,3.6,4.916666666666667
55000004,7.2,8.5,5.6,7.099999999999999
55000005,6.0,8.25,6.0,6.75
55000006,3.2,6.5,2.8,4.166666666666667
55000007,5.4,7.5,0,4.3
55000008,8.4,8.0,5.4,7.266666666666666
55000009,7.0,6.25,6.6,6.616666666666667
55000010,7.6,8.5,6.4,7.5
55000011,8.0,7.75,5.2,6.983333333333333
55000012,7.0,0,0,2.3333333333333335
55000013,6.8,6.25,3.8,5.616666666666667
55000014,7.2,6.25,5.2,6.216666666666666
55000015,6.4,6.25,3.8,5.483333333333333
55000016,6.2,8.25,6.8,7.083333333333333
55000017,7.0,5.0,3.2,5.066666666666666
55000018,7.6,7.0,7.0,7.2
55000019,5.4,7.0,0,4.133333333333334
55000020,6.0,6.75,5.4,6.05
55000021,7.0,5.5,3.0,5.166666666666667
55000022,6.6,6.75,7.0,6.783333333333334
55000023,4.2,6.5,3.2,4.633333333333333
55000024,7.6,6.75,4.4,6.25
55000025,3.8,6.0,3.6,4.466666666666667
55000026,8.0,8.5,8.0,8.166666666666666
55000027,7.8,6.0,5.2,6.333333333333333
55000028,8.4,6.25,7.0,7.216666666666666
55000029,8.2,5.0,3.0,5.3999999999999995
55000030,3.6,6.25,2.6,4.1499999999999995
55000031,8.2,7.75,8.6,8.183333333333332
55000032,5.0,8.0,5.2,6.066666666666666
55000033,7.8,7.25,6.6,7.216666666666666
55000034,4.8,5.5,3.6,4.633333333333334
55000035,7.4,8.25,5.8,7.1499999999999995
55000036,5.6,7.0,4.8,5.8
55000037,4.2,6.75,5.6,5.516666666666666
55000038,7.4,7.25,7.8,7.483333333333333
55000039,6.0,7.0,5.8,6.266666666666667
55000040,4.0,5.5,0,3.1666666666666665
55000041,5.6,7.5,3.8,5.633333333333333
55000042,8.6,8.5,6.0,7.7
55000043,5.6,8.25,5.4,6.416666666666667
55000044,7.4,7.0,5.0,6.466666666666666
55000045,4.6,5.0,3.4,4.333333333333333
55000046,5.6,6.25,4.0,5.283333333333333
55000047,7.2,5.75,8.2,7.05
55000048,7.8,7.25,8.2,7.75
55000049,6.4,6.0,3.8,5.3999999999999995
55000050,4.2,7.5,5.2,5.633333333333333
55000051,7.0,8.75,6.6,7.45
55000052,7.2,7.0,9.0,7.733333333333333
55000053,5.0,7.75,8.8,7.183333333333334
55000054,3.0,4.0,3.2,3.4
55000055,5.4,6.5,4.0,5.3
55000056,8.4,4.5,6.2,6.366666666666667
55000057,7.6,5.25,8.2,7.016666666666666
55000058,7.4,7.0,2.4,5.6000000000000005
55000059,6.0,5.5,3.6,5.033333333333333
55000060,7.2,5.25,0,4.1499999999999995
55000061,5.8,7.25,8.4,7.150000000000001
55000062,0,0,0,0.0
55000063,5.4,7.5,6.0,6.3
55000064,7.2,7.25,6.8,7.083333333333333
55000065,6.0,5.75,6.6,6.116666666666667
55000066,7.4,6.5,2.4,5.433333333333334
55000067,7.6,8.5,6.8,7.633333333333334
55000068,5.8,6.5,4.6,5.633333333333333
55000069,8.2,8.0,6.8,7.666666666666667
55000070,8.6,6.75,8.6,7.983333333333333
55000071,3.8,5.0,3.6,4.133333333333334
55000072,6.6,7.75,8.0,7.45
55000073,7.2,7.75,6.4,7.116666666666667
55000074,7.0,8.5,7.4,7.633333333333333
55000075,8.0,5.25,7.0,6.75
55000076,9.2,9.75,0,6.316666666666666
55000077,7.4,8.0,6.4,7.266666666666667
55000078,8.2,8.75,8.0,8.316666666666666
55000079,8.4,7.5,8.4,8.1
55000080,7.8,7.25,4.0,6.3500000000000005
55000081,4.8,6.0,3.2,4.666666666666667
55000082,7.4,8.5,8.4,8.1
55000083,8.4,7.5,9.2,8.366666666666667
55000084,7.6,7.0,5.8,6.8
55000085,4.2,6.5,4.4,5.033333333333333
55000086,8.2,8.0,9.0,8.4
55000087,8.6,6.0,10.0,8.200000000000001
55000088,7.8,8.0,4.0,6.6000000000000005
55000089,2.4,5.5,4.0,3.966666666666667
55000090,4.0,7.0,3.6,4.866666666666666
55000091,7.4,0,0,2.466666666666667
55000092,6.4,0,0,2.1333333333333333
55000093,4.4,7.75,0,4.05
55000094,6.6,7.0,5.2,6.266666666666667
55000095,7.4,7.0,6.0,6.8
55000096,5.2,5.75,3.0,4.6499999999999995
55000097,7.4,7.25,4.6,6.416666666666667
55000098,6.4,8.0,5.4,6.6000000000000005
55000099,5.0,6.75,4.4,5.383333333333333
55000100,7.2,6.75,4.6,6.183333333333333
55000101,6.0,4.5,0,3.5
55000102,2.8,2.5,3.6,2.966666666666667
55000103,7.2,5.75,4.6,5.849999999999999
55000104,5.8,6.25,4.8,5.616666666666667
55000105,7.6,5.0,8.6,7.066666666666666
55000106,5.4,6.25,3.6,5.083333333333333
55000107,7.6,0,7.0,4.866666666666666
55000108,2.8,6.25,0,3.016666666666667
55000109,4.2,6.25,5.6,5.349999999999999
55000110,7.6,7.75,8.8,8.049999999999999
55000111,6.2,6.5,7.4,6.7
55000112,8.8,7.0,8.6,8.133333333333333
55000113,4.4,4.5,0,2.966666666666667
55000114,8.2,7.5,4.8,6.833333333333333
55000115,5.2,6.75,3.4,5.116666666666666
55000116,8.2,0,0,2.733333333333333
55000117,3.4,6.0,3.2,4.2
55000118,8.2,6.25,6.0,6.816666666666666
55000119,6.2,8.0,4.6,6.266666666666666
55000120,8.0,8.5,7.4,7.966666666666666
55000121,2.8,5.5,2.8,3.7000000000000006
55000122,7.2,7.25,4.8,6.416666666666667
55000123,5.8,6.25,0,4.016666666666667
55000124,6.6,6.0,3.6,5.3999999999999995
55000125,6.0,8.25,9.0,7.75
55000126,7.6,7.5,4.8,6.633333333333333
55000127,8.6,7.75,9.2,8.516666666666667
55000128,7.4,8.5,6.8,7.566666666666666
55000129,6.6,6.75,8.4,7.25
55000130,5.2,6.25,2.8,4.75
55000131,5.2,7.25,7.0,6.483333333333333
55000132,4.4,6.25,4.4,5.016666666666667
55000133,8.4,6.75,5.4,6.8500000000000005
55000134,6.0,6.75,5.6,6.116666666666667
55000135,6.6,5.25,3.6,5.1499999999999995
55000136,7.4,5.5,7.2,6.7
55000137,7.4,5.75,5.8,6.316666666666666
55000138,7.2,8.0,6.8,7.333333333333333
55000139,7.8,8.25,6.6,7.55
55000140,7.6,6.25,5.0,6.283333333333334
55000141,8.8,0,0,2.9333333333333336
55000142,6.6,7.0,7.4,7.0
55000143,5.6,7.25,4.4,5.75
55000144,7.8,8.0,5.8,7.2
55000145,3.4,7.0,0,3.466666666666667
55000146,6.2,8.75,3.0,5.983333333333333
55000147,6.4,6.25,5.6,6.083333333333333
55000148,7.4,8.0,9.6,8.333333333333334
55000149,6.2,6.5,4.0,5.566666666666666
55000150,8.4,8.0,7.2,7.866666666666666
55000151,5.8,6.0,3.6,5.133333333333334
55000152,6.4,8.0,6.4,6.933333333333334
55000153,8.0,6.75,1.8,5.516666666666667
55000154,7.2,9.5,6.8,7.833333333333333
55000155,4.2,5.75,3.6,4.516666666666667
55000156,5.8,5.75,4.0,5.183333333333334
55000157,8.4,0,0,2.8000000000000003
55000158,7.4,0,0,2.466666666666667
55000159,3.8,5.5,4.0,4.433333333333334
55000160,6.4,6.0,3.0,5.133333333333334
55000161,8.8,8.0,9.4,8.733333333333334
55000162,8.4,5.75,8.0,7.383333333333333
55000163,7.0,8.25,8.6,7.95
55000164,7.4,7.0,9.0,7.8
55000165,8.4,0,0,2.8000000000000003
55000166,7.4,6.25,5.8,6.483333333333333
55000167,4.4,6.0,4.8,5.066666666666666
55000168,6.6,7.0,5.8,6.466666666666666
55000169,6.8,9.25,5.8,7.283333333333334
55000170,8.2,8.0,4.8,7.0
55000171,3.4,6.75,3.2,4.45
55000172,6.0,8.25,0,4.75
55000173,5.0,7.25,5.0,5.75
55000174,3.6,7.5,3.8,4.966666666666666
55000175,6.4,7.0,8.2,7.2
55000176,5.2,6.5,4.6,5.433333333333333
55000177,7.2,8.25,7.6,7.683333333333333
55000178,7.2,7.0,6.2,6.8
55000179,3.8,7.25,0,3.6833333333333336
55000180,7.4,6.75,6.0,6.716666666666666
55000181,4.6,7.25,2.8,4.883333333333333
55000182,4.0,5.5,3.8,4.433333333333334
55000183,6.2,8.5,4.0,6.233333333333333
55000184,3.8,6.75,0,3.516666666666667
55000185,7.4,6.25,3.6,5.75
55000186,4.8,5.25,3.6,4.55
55000187,3.2,7.5,4.6,5.1
55000188,2.8,4.25,3.2,3.4166666666666665
