SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
41000001,6.4,6.5,4.4,5.766666666666667
41000002,0,7.75,0,2.5833333333333335
41000003,2.4,5.5,3.2,3.7000000000000006
41000004,2.8,7.5,5.2,5.166666666666667
41000005,3.2,4.25,0,2.4833333333333334
41000006,3.4,6.25,2.6,4.083333333333333
41000007,7.2,8.0,7.2,7.466666666666666
41000008,2.0,5.0,4.0,3.6666666666666665
41000009,2.8,5.0,0,2.6
41000010,5.0,7.0,0,4.0
41000011,3.0,5.5,0,2.8333333333333335
41000012,7.8,6.25,4.0,6.016666666666667
41000013,2.8,4.25,2.4,3.15
41000014,6.6,6.75,6.4,6.583333333333333
41000015,5.4,6.5,3.6,5.166666666666667
41000016,4.2,5.75,3.6,4.516666666666667
41000017,7.0,4.5,6.6,6.033333333333334
41000018,3.6,2.5,4.2,3.4333333333333336
41000019,6.8,5.75,6.6,6.383333333333333
41000020,1.8,5.5,5.6,4.3
41000021,1.6,5.5,4.0,3.6999999999999997
41000022,5.6,7.0,6.8,6.466666666666666
41000023,5.2,7.75,6.4,6.45
41000024,5.0,0,7.4,4.133333333333334
41000025,7.8,8.75,9.6,8.716666666666667
41000026,4.0,4.75,0,2.9166666666666665
41000027,2.4,3.0,4.0,3.1333333333333333
41000028,4.8,6.25,4.4,5.15
41000029,4.2,5.5,4.2,4.633333333333333
41000030,3.8,9.0,9.4,7.400000000000001
41000031,5.0,7.25,3.8,5.3500000000000005
41000032,2.0,4.5,3.2,3.233333333333333
41000033,2.4,3.25,2.6,2.75
41000034,9.2,7.25,9.4,8.616666666666667
41000035,8.0,5.75,5.4,6.383333333333333
41000036,2.8,3.75,3.2,3.25
41000037,2.8,3.0,3.0,2.9333333333333336
41000038,1.8,4.0,3.4,3.0666666666666664
41000039,3.2,6.0,4.4,4.533333333333333
41000040,7.0,5.25,4.4,5.55
41000041,8.0,3.75,4.8,5.516666666666667
41000042,7.2,5.5,3.2,5.3
41000043,8.0,4.75,5.6,6.116666666666667
41000044,2.6,5.5,3.0,3.6999999999999997
41000045,1.6,5.5,2.8,3.2999999999999994
41000046,3.6,5.5,3.6,4.233333333333333
41000047,3.0,5.5,3.8,4.1000000000000005
41000048,6.8,7.25,3.2,5.75
41000049,4.4,7.0,5.2,5.533333333333334
41000050,4.8,8.75,2.8,5.45
41000051,4.8,6.0,3.2,4.666666666666667
41000052,1.8,4.75,0,2.183333333333333
41000053,3.8,6.5,3.6,4.633333333333334
41000054,4.0,5.0,3.6,4.2
41000055,5.0,6.0,2.0,4.333333333333333
41000056,3.0,4.0,5.6,4.2
41000057,4.4,3.25,0,2.5500000000000003
41000058,5.8,6.25,4.8,5.616666666666667
41000059,3.8,4.25,4.4,4.15
41000060,2.6,3.5,4.6,3.5666666666666664
41000061,7.0,6.0,6.4,6.466666666666666
41000062,3.8,4.5,6.2,4.833333333333333
41000063,3.8,5.0,4.8,4.533333333333334
41000064,6.8,6.25,5.2,6.083333333333333
41000065,2.8,6.0,6.6,5.133333333333334
41000066,2.6,1.5,6.4,3.5
41000067,7.2,8.5,9.0,8.233333333333333
41000068,8.4,7.5,6.8,7.566666666666666
41000069,3.6,2.5,0,2.033333333333333
41000070,3.0,4.25,3.2,3.483333333333333
41000071,2.8,3.25,2.8,2.9499999999999997
41000072,7.0,7.0,6.0,6.666666666666667
41000073,5.8,6.5,5.0,5.766666666666667
41000074,8.8,0,0,2.9333333333333336
41000075,4.4,6.75,6.4,5.8500000000000005
41000076,2.2,7.25,6.6,5.349999999999999
41000077,7.0,7.5,6.0,6.833333333333333
41000078,4.0,6.75,5.0,5.25
41000079,3.4,5.0,0,2.8000000000000003
41000080,0,7.25,0,2.4166666666666665
41000081,4.4,6.5,3.6,4.833333333333333
41000082,4.2,5.75,5.8,5.25
41000083,3.2,3.5,3.6,3.4333333333333336
41000084,7.8,6.75,4.6,6.383333333333333
41000085,3.6,4.5,0,2.6999999999999997
41000086,6.8,6.5,5.6,6.3
41000087,2.2,3.25,2.6,2.6833333333333336
41000088,2.0,5.0,1.8,2.9333333333333336
41000089,8.0,7.5,7.6,7.7
41000090,2.8,6.25,1.8,3.616666666666667
41000091,2.2,7.0,3.2,4.133333333333333
41000092,3.0,6.75,3.6,4.45
41000093,3.6,5.75,0,3.1166666666666667
41000094,6.4,7.25,5.0,6.216666666666666
41000095,5.8,7.25,2.0,5.016666666666667
41000096,2.8,5.75,3.0,3.85
41000097,2.8,5.0,2.4,3.4
41000098,4.2,5.5,4.2,4.633333333333333
41000099,3.6,5.25,3.6,4.1499999999999995
41000100,3.4,5.5,2.8,3.9
41000101,1.4,5.5,4.0,3.6333333333333333
41000102,3.0,4.0,2.8,3.266666666666667
41000103,7.8,6.75,7.0,7.183333333333334
41000104,3.2,5.25,0,2.8166666666666664
41000105,7.2,5.25,7.0,6.483333333333333
41000106,4.4,4.25,2.4,3.6833333333333336
41000107,5.4,8.25,4.6,6.083333333333333
41000108,3.4,5.5,3.8,4.233333333333333
41000109,4.4,6.75,5.0,5.383333333333333
41000110,7.0,5.75,3.0,5.25
41000111,3.0,6.5,1.8,3.766666666666667
41000112,0,0,0,0.0
41000113,4.8,6.25,5.2,5.416666666666667
41000114,2.8,4.5,2.8,3.3666666666666667
41000115,7.6,7.5,7.0,7.366666666666667
41000116,3.0,4.0,0,2.3333333333333335
41000117,3.4,5.25,2.8,3.8166666666666664
41000118,3.0,4.75,2.0,3.25
41000119,4.8,7.0,2.0,4.6000000000000005
41000120,4.8,5.5,3.8,4.7
41000121,4.0,5.25,2.2,3.8166666666666664
41000122,7.0,5.75,5.6,6.116666666666667
41000123,2.0,4.0,3.0,3.0
41000124,2.0,4.75,2.6,3.1166666666666667
41000125,4.8,5.5,0,3.4333333333333336
41000126,3.4,6.25,2.4,4.016666666666667
41000127,5.2,6.0,4.0,5.066666666666666
41000128,3.0,5.25,0,2.75
41000129,6.4,5.75,0,4.05
41000130,6.2,6.0,2.2,4.8
41000131,6.6,6.25,5.2,6.016666666666667
41000132,6.2,7.0,4.2,5.8
41000133,6.2,5.0,4.2,5.133333333333333
41000134,7.4,7.5,5.6,6.833333333333333
41000135,8.0,7.25,7.2,7.483333333333333
41000136,2.0,8.25,4.8,5.016666666666667
41000137,4.8,6.0,5.4,5.400000000000001
41000138,4.0,2.5,2.0,2.8333333333333335
41000139,5.0,5.0,3.0,4.333333333333333
41000140,6.2,5.25,4.4,5.283333333333333
41000141,6.4,6.0,2.4,4.933333333333334
41000142,3.4,5.0,3.8,4.066666666666666
41000143,1.8,5.25,1.8,2.9499999999999997
41000144,2.2,1.25,2.8,2.0833333333333335
41000145,6.2,7.75,2.8,5.583333333333333
41000146,4.4,7.0,3.6,5.0
41000147,6.0,8.0,8.6,7.533333333333334
41000148,7.8,5.5,6.0,6.433333333333334
41000149,7.8,8.0,8.6,8.133333333333333
41000150,5.8,5.5,4.6,5.3
41000151,3.6,4.25,4.6,4.1499999999999995
41000152,3.6,3.75,2.6,3.3166666666666664
41000153,3.6,5.25,4.2,4.3500000000000005
41000154,6.4,5.5,5.6,5.833333333333333
41000155,8.0,0,0,2.6666666666666665
41000156,6.2,5.75,4.6,5.516666666666666
41000157,4.6,6.25,3.0,4.616666666666666
41000158,7.0,7.5,7.6,7.366666666666667
41000159,2.2,4.5,0,2.2333333333333334
41000160,6.0,5.75,3.4,5.05
41000161,7.6,7.0,3.0,5.866666666666667
41000162,2.8,4.75,0,2.5166666666666666
41000163,7.6,0,3.4,3.6666666666666665
41000164,4.4,7.75,6.4,6.183333333333334
41000165,3.0,4.75,3.2,3.65
41000166,7.2,8.5,6.8,7.5
41000167,3.0,3.5,4.8,3.766666666666667
41000168,3.4,5.0,4.6,4.333333333333333
41000169,2.0,3.75,4.4,3.3833333333333333
41000170,4.0,3.75,3.8,3.85
41000171,6.2,7.25,4.2,5.883333333333333
41000172,3.0,2.25,1.4,2.216666666666667
41000173,7.6,7.75,3.0,6.116666666666667
41000174,3.0,2.5,3.8,3.1
41000175,2.8,5.75,4.8,4.45
41000176,3.6,2.25,0,1.95
41000177,7.2,5.5,6.2,6.3
41000178,2.2,1.5,0,1.2333333333333334
41000179,6.4,4.0,4.4,4.933333333333334
41000180,2.6,5.25,4.4,4.083333333333333
41000181,2.4,5.5,3.0,3.6333333333333333
41000182,4.8,7.75,4.6,5.716666666666666
41000183,3.0,4.75,3.2,3.65
41000184,4.4,7.0,5.4,5.6000000000000005
41000185,3.8,4.75,2.4,3.6500000000000004
41000186,0,0,0,0.0
41000187,5.2,5.5,3.8,4.833333333333333
41000188,7.4,7.75,4.8,6.6499999999999995
41000189,5.4,3.75,4.2,4.45
41000190,7.4,7.75,4.8,6.6499999999999995
41000191,3.4,6.0,4.2,4.533333333333334
41000192,5.0,6.5,4.0,5.166666666666667
41000193,8.0,6.75,6.8,7.183333333333334
41000194,8.0,6.5,4.4,6.3
41000195,3.6,4.5,0,2.6999999999999997
41000196,3.8,5.0,4.2,4.333333333333333
41000197,3.4,4.5,4.0,3.966666666666667
41000198,4.2,6.0,3.4,4.533333333333333
41000199,5.2,5.75,5.2,5.383333333333333
41000200,1.4,4.5,2.8,2.9
41000201,6.0,8.5,7.0,7.166666666666667
41000202,3.0,4.25,2.2,3.15
41000203,7.4,6.0,5.4,6.266666666666667
41000204,7.4,0,7.8,5.066666666666666
41000205,2.8,3.75,2.2,2.9166666666666665
41000206,4.8,5.0,2.6,4.133333333333334
41000207,3.4,4.25,4.4,4.016666666666667
41000208,2.0,4.25,0,2.0833333333333335
41000209,6.4,6.75,7.2,6.783333333333334
41000210,3.0,3.25,3.2,3.15
41000211,6.6,8.25,4.6,6.483333333333333
41000212,4.6,6.75,5.2,5.516666666666667
41000213,3.6,4.75,0,2.783333333333333
41000214,1.8,3.5,3.0,2.766666666666667
41000215,4.6,6.0,4.4,5.0
41000216,4.6,6.25,6.0,5.616666666666667
41000217,4.2,5.75,4.0,4.6499999999999995
41000218,3.2,3.25,4.2,3.5500000000000003
41000219,5.8,6.25,7.4,6.483333333333334
41000220,5.0,5.5,3.8,4.766666666666667
41000221,5.4,5.75,4.6,5.25
41000222,8.0,7.5,3.6,6.366666666666667
41000223,5.4,6.5,2.0,4.633333333333334
41000224,2.8,4.5,3.0,3.4333333333333336
41000225,7.4,5.0,3.8,5.3999999999999995
41000226,5.2,4.25,1.8,3.75
41000227,3.6,2.75,2.2,2.85
41000228,8.2,4.25,4.0,5.483333333333333
41000229,5.4,4.25,4.0,4.55
41000230,3.0,4.25,0,2.4166666666666665
41000231,2.8,6.75,2.6,4.05
41000232,4.8,6.5,4.0,5.1000000000000005
41000233,3.6,5.25,3.2,4.016666666666667
41000234,3.8,4.75,2.2,3.5833333333333335
41000235,7.0,9.0,5.2,7.066666666666666
41000236,3.2,1.25,0,1.4833333333333334
41000237,2.8,1.5,0,1.4333333333333333
41000238,3.0,5.25,0,2.75
41000239,4.4,6.0,3.2,4.533333333333334
41000240,2.6,3.5,3.2,3.1
41000241,4.6,5.75,0,3.4499999999999997
41000242,2.8,6.75,3.0,4.183333333333334
41000243,2.0,4.0,3.0,3.0
41000244,2.6,3.25,2.6,2.8166666666666664
41000245,3.6,4.25,2.4,3.4166666666666665
41000246,3.4,6.0,3.2,4.2
41000247,5.2,6.5,4.0,5.233333333333333
41000248,5.2,4.0,2.4,3.8666666666666667
41000249,5.0,4.25,4.8,4.683333333333334
41000250,4.4,3.25,3.0,3.5500000000000003
41000251,3.4,7.0,3.8,4.733333333333333
41000252,3.4,5.75,4.2,4.45
41000253,3.6,3.75,3.2,3.516666666666667
41000254,5.4,0,0,1.8
41000255,4.8,6.75,1.8,4.45
41000256,5.4,6.5,4.6,5.5
41000257,3.6,6.0,3.0,4.2
41000258,3.4,7.5,3.2,4.7
41000259,4.2,4.25,3.2,3.883333333333333
41000260,8.2,0,0,2.733333333333333
41000261,5.4,4.25,0,3.216666666666667
41000262,2.6,3.0,0,1.8666666666666665
41000263,4.2,5.0,0,3.0666666666666664
41000264,6.6,6.5,3.6,5.566666666666666
41000265,3.8,5.75,2.4,3.983333333333334
41000266,2.8,5.5,3.0,3.766666666666667
41000267,5.2,6.0,0,3.733333333333333
41000268,2.8,4.25,2.2,3.0833333333333335
41000269,2.6,1.25,0,1.2833333333333334
41000270,4.6,6.75,3.4,4.916666666666667
41000271,3.8,5.5,4.4,4.566666666666667
41000272,2.8,6.0,3.6,4.133333333333334
41000273,5.8,7.0,4.0,5.6000000000000005
41000274,5.0,5.25,4.4,4.883333333333334
41000275,2.4,3.25,0,1.8833333333333335
41000276,3.0,4.75,0,2.5833333333333335
41000277,7.6,8.75,5.6,7.316666666666667
41000278,2.6,4.0,3.4,3.3333333333333335
41000279,6.8,6.0,4.4,5.733333333333334
41000280,5.6,5.75,4.0,5.116666666666666
41000281,2.8,5.25,3.6,3.8833333333333333
41000282,5.8,5.75,4.0,5.183333333333334
41000283,2.8,2.75,0,1.8499999999999999
41000284,4.8,5.25,3.8,4.616666666666667
41000285,3.4,4.0,2.4,3.266666666666667
41000286,5.8,6.0,4.8,5.533333333333334
41000287,3.8,1.75,4.8,3.4499999999999997
41000288,4.4,5.5,2.8,4.233333333333333
41000289,1.4,1.0,0,0.7999999999999999
41000290,4.4,7.25,5.0,5.55
41000291,2.4,1.25,0,1.2166666666666666
41000292,3.8,4.25,2.6,3.5500000000000003
41000293,5.2,5.5,3.4,4.7
41000294,2.4,4.0,0,2.1333333333333333
41000295,5.4,3.25,4.0,4.216666666666667
41000296,4.2,4.5,5.0,4.566666666666666
41000297,6.6,6.0,3.8,5.466666666666666
41000298,3.6,6.5,3.6,4.566666666666666
41000299,2.8,1.25,0,1.3499999999999999
41000300,6.4,7.75,5.0,6.383333333333333
41000301,3.2,4.0,0,2.4
41000302,4.0,4.75,3.4,4.05
41000303,7.8,7.5,6.6,7.3
41000304,5.2,6.25,3.6,5.016666666666667
