SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
45000001,5.2,6.0,3.0,4.733333333333333
45000002,7.4,7.75,5.6,6.916666666666667
45000003,2.8,6.0,2.4,3.733333333333334
45000004,3.2,5.25,3.8,4.083333333333333
45000005,5.6,7.0,3.6,5.3999999999999995
45000006,6.4,6.75,2.6,5.25
45000007,4.6,5.5,3.2,4.433333333333334
45000008,5.2,6.25,3.8,5.083333333333333
45000009,3.4,6.5,3.4,4.433333333333334
45000010,4.0,6.75,3.6,4.783333333333333
45000011,5.6,6.75,3.4,5.25
45000012,7.2,7.75,4.0,6.316666666666666
45000013,6.0,7.0,4.0,5.666666666666667
45000014,4.6,5.0,3.2,4.266666666666667
45000015,6.0,6.75,6.0,6.25
45000016,3.4,5.5,3.0,3.966666666666667
45000017,2.8,4.25,3.8,3.6166666666666667
45000018,6.8,6.5,3.6,5.633333333333334
45000019,5.2,6.0,3.8,5.0
45000020,6.6,6.75,4.4,5.916666666666667
45000021,6.2,6.0,4.0,5.3999999999999995
45000022,2.6,4.5,2.2,3.1
45000023,4.6,6.75,4.4,5.25
45000024,4.4,5.25,3.8,4.483333333333333
45000025,2.8,4.25,2.4,3.15
45000026,4.4,5.0,3.8,4.3999999999999995
45000027,5.0,7.25,4.6,5.616666666666667
45000028,5.8,5.75,5.6,5.716666666666666
45000029,6.4,6.5,4.2,5.7
45000030,8.0,8.0,5.0,7.0
45000031,4.6,6.25,3.8,4.883333333333333
45000032,5.6,6.75,4.0,5.45
45000033,6.2,6.5,3.4,5.366666666666666
45000034,4.2,4.25,3.4,3.9499999999999997
45000035,7.8,7.75,5.4,6.983333333333334
45000036,5.0,8.0,4.2,5.733333333333333
45000037,5.0,4.5,3.2,4.233333333333333
45000038,4.6,6.5,3.8,4.966666666666666
45000039,6.0,8.0,3.8,5.933333333333334
45000040,4.4,5.0,3.8,4.3999999999999995
45000041,6.2,5.0,4.6,5.266666666666667
45000042,3.0,4.75,3.2,3.65
45000043,6.6,7.5,4.8,6.3
45000044,5.8,6.75,3.8,5.45
45000045,3.8,5.25,2.8,3.9500000000000006
45000046,5.4,6.25,2.6,4.75
45000047,5.6,7.25,4.6,5.816666666666666
45000048,3.6,5.0,3.6,4.066666666666666
45000049,4.0,6.0,3.4,4.466666666666667
45000050,6.2,5.75,3.6,5.183333333333333
45000051,3.0,7.0,3.6,4.533333333333333
45000052,4.6,6.0,2.8,4.466666666666666
45000053,5.8,5.5,3.6,4.966666666666667
45000054,6.0,7.5,4.6,6.033333333333334
45000055,4.0,6.0,2.6,4.2
45000056,2.4,5.25,2.0,3.216666666666667
45000057,5.0,6.75,3.6,5.116666666666666
45000058,6.0,6.75,4.4,5.716666666666666
45000059,3.4,5.5,2.6,3.8333333333333335
45000060,4.0,4.75,3.0,3.9166666666666665
45000061,5.8,5.25,3.0,4.683333333333334
45000062,3.8,6.25,2.2,4.083333333333333
45000063,2.6,6.0,2.6,3.733333333333333
45000064,3.8,5.5,4.2,4.5
45000065,2.0,5.5,4.6,4.033333333333333
45000066,5.0,6.75,3.8,5.183333333333334
45000067,6.2,6.25,5.6,6.016666666666666
45000068,4.8,6.25,4.2,5.083333333333333
45000069,6.6,8.0,4.6,6.3999999999999995
45000070,4.8,5.5,3.4,4.566666666666667
45000071,5.8,8.25,5.8,6.616666666666667
45000072,2.8,4.25,2.8,3.283333333333333
45000073,4.2,4.25,5.2,4.55
45000074,6.6,7.5,5.0,6.366666666666667
45000075,5.0,5.75,5.0,5.25
45000076,7.2,8.5,5.8,7.166666666666667
45000077,3.4,3.75,2.8,3.3166666666666664
45000078,6.2,6.75,3.2,5.383333333333333
45000079,7.4,8.75,5.0,7.05
45000080,4.4,4.5,4.6,4.5
45000081,6.0,6.75,4.2,5.6499999999999995
45000082,4.2,6.0,2.8,4.333333333333333
45000083,7.6,8.75,6.0,7.45
45000084,5.2,7.75,4.4,5.783333333333334
45000085,4.8,5.0,3.0,4.266666666666667
45000086,6.6,7.0,4.4,6.0
45000087,6.8,7.0,5.2,6.333333333333333
45000088,4.0,5.75,3.6,4.45
45000089,4.8,5.25,4.2,4.75
45000090,3.0,6.0,4.4,4.466666666666667
45000091,6.0,3.75,2.6,4.116666666666666
45000092,2.4,5.5,2.0,3.3000000000000003
45000093,3.8,6.75,3.6,4.716666666666667
45000094,4.0,5.75,5.2,4.983333333333333
45000095,3.6,6.5,3.8,4.633333333333333
45000096,3.0,2.5,4.0,3.1666666666666665
45000097,6.6,7.0,5.2,6.266666666666667
45000098,6.0,5.75,3.2,4.983333333333333
45000099,6.6,8.0,4.0,6.2
45000100,7.4,6.0,3.0,5.466666666666666
45000101,6.6,4.25,5.6,5.483333333333333
45000102,5.4,6.0,3.6,5.0
45000103,7.2,6.25,3.4,5.616666666666666
45000104,6.4,8.0,4.2,6.2
45000105,5.4,3.75,3.0,4.05
45000106,6.6,6.5,4.2,5.766666666666667
45000107,7.8,6.75,2.6,5.716666666666668
45000108,5.6,6.5,2.8,4.966666666666666
45000109,6.0,7.0,5.0,6.0
45000110,5.6,6.75,2.6,4.983333333333333
45000111,7.2,7.5,4.6,6.433333333333333
45000112,4.2,4.25,3.6,4.016666666666667
45000113,4.0,6.0,2.6,4.2
45000114,2.8,5.5,3.0,3.766666666666667
45000115,3.4,5.5,3.4,4.1000000000000005
45000116,3.8,6.0,3.0,4.266666666666667
45000117,5.2,7.0,3.8,5.333333333333333
45000118,2.4,5.25,2.6,3.4166666666666665
45000119,4.6,7.25,5.6,5.816666666666666
45000120,6.0,6.5,5.0,5.833333333333333
45000121,5.4,7.5,3.6,5.5
45000122,4.6,7.25,2.4,4.75
45000123,3.8,3.5,2.6,3.3000000000000003
45000124,3.4,5.75,3.8,4.316666666666666
45000125,6.2,7.0,4.2,5.8
45000126,6.4,6.5,3.2,5.366666666666667
45000127,7.4,7.5,5.0,6.633333333333333
45000128,8.2,5.75,3.4,5.783333333333332
45000129,6.4,5.5,4.8,5.566666666666666
45000130,7.4,6.0,8.0,7.133333333333333
45000131,6.8,6.25,4.4,5.816666666666667
45000132,5.4,4.5,4.2,4.7
45000133,7.4,5.5,6.8,6.566666666666666
45000134,6.8,6.25,8.6,7.216666666666666
45000135,6.0,7.5,5.6,6.366666666666667
45000136,6.0,6.75,6.8,6.516666666666667
45000137,7.2,6.25,6.6,6.683333333333333
45000138,5.8,6.25,3.8,5.283333333333334
45000139,4.2,6.0,4.4,4.866666666666666
45000140,7.2,6.75,8.2,7.383333333333333
45000141,2.4,5.75,3.6,3.9166666666666665
45000142,6.6,7.25,3.6,5.816666666666666
45000143,8.2,7.0,8.4,7.866666666666667
45000144,7.2,8.0,5.6,6.933333333333333
45000145,7.4,6.0,6.6,6.666666666666667
45000146,7.2,8.5,7.6,7.766666666666666
45000147,8.4,9.0,8.4,8.6
45000148,5.8,6.0,4.2,5.333333333333333
45000149,5.2,6.0,3.0,4.733333333333333
45000150,6.4,6.25,7.4,6.683333333333334
45000151,6.2,6.0,5.4,5.866666666666667
45000152,5.2,5.5,3.8,4.833333333333333
45000153,6.4,5.5,3.4,5.1000000000000005
45000154,5.4,5.75,3.4,4.8500000000000005
45000155,4.2,6.0,2.6,4.266666666666667
45000156,5.8,5.5,3.6,4.966666666666667
45000157,8.4,5.5,6.6,6.833333333333333
45000158,4.4,5.5,5.6,5.166666666666667
45000159,4.4,4.5,2.8,3.9
45000160,5.0,5.25,3.2,4.483333333333333
45000161,5.8,5.0,3.8,4.866666666666667
45000162,7.8,6.75,3.8,6.116666666666667
