SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
33000001,7.2,8.5,4.8,6.833333333333333
33000002,8.6,6.75,5.0,6.783333333333334
33000003,9.0,6.5,4.6,6.7
33000004,5.0,7.0,3.2,5.066666666666666
33000005,6.6,5.75,3.8,5.383333333333333
33000006,7.8,7.0,3.8,6.2
33000007,6.6,6.5,5.6,6.233333333333333
33000008,8.0,6.0,4.6,6.2
33000009,7.2,7.75,6.6,7.183333333333333
33000010,8.2,7.5,8.4,8.033333333333333
33000011,4.8,6.25,2.6,4.55
33000012,7.8,8.5,6.8,7.7
33000013,7.6,6.5,5.2,6.433333333333334
33000014,8.0,7.25,3.4,6.216666666666666
33000015,6.2,5.25,4.8,5.416666666666667
33000016,5.0,6.25,3.0,4.75
33000017,7.2,7.25,7.2,7.216666666666666
33000018,5.8,6.5,3.8,5.366666666666667
33000019,7.4,5.75,7.6,6.916666666666667
33000020,7.8,7.75,7.8,7.783333333333334
33000021,8.4,9.0,9.2,8.866666666666665
33000022,6.6,7.5,5.8,6.633333333333333
33000023,8.2,6.5,6.0,6.8999999999999995
33000024,6.2,7.75,6.4,6.783333333333334
33000025,4.4,6.25,1.6,4.083333333333333
33000026,6.0,6.0,2.2,4.733333333333333
33000027,7.6,8.25,4.6,6.816666666666666
33000028,8.2,8.25,6.6,7.683333333333333
33000029,4.4,6.5,3.0,4.633333333333334
33000030,8.0,6.75,6.0,6.916666666666667
33000031,8.2,4.25,7.6,6.683333333333333
33000032,8.6,4.5,9.6,7.566666666666666
33000033,6.0,6.5,3.0,5.166666666666667
33000034,7.8,5.75,8.8,7.45
33000035,8.4,6.0,3.0,5.8
33000036,5.8,6.75,4.0,5.516666666666667
33000037,6.8,7.25,3.0,5.683333333333334
33000038,7.8,7.75,2.8,6.116666666666667
33000039,2.6,7.25,2.8,4.216666666666666
33000040,7.0,6.0,3.0,5.333333333333333
33000041,6.4,6.5,3.8,5.566666666666666
33000042,6.8,7.0,6.6,6.8
33000043,3.8,6.25,3.2,4.416666666666667
33000044,6.6,6.25,3.2,5.3500000000000005
33000045,7.4,7.0,6.4,6.933333333333334
33000046,7.8,6.5,3.8,6.033333333333334
33000047,7.4,7.0,5.6,6.666666666666667
33000048,7.2,9.5,6.6,7.766666666666666
33000049,7.8,7.75,7.0,7.516666666666667
