SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
03000001,5.6,7.75,4.0,5.783333333333334
03000002,0,0,0.0,0.0
03000003,7.2,8.25,6.4,7.283333333333334
03000004,4.0,5.75,2.6,4.116666666666666
03000005,4.8,7.0,4.0,5.266666666666667
03000006,7.6,8.75,8.4,8.25
03000007,5.6,7.0,4.2,5.6000000000000005
03000008,3.4,3.75,2.6,3.25
03000009,4.6,7.0,3.2,4.933333333333334
03000010,5.8,7.5,6.0,6.433333333333334
03000011,3.6,5.75,3.4,4.25
03000012,5.8,8.5,5.2,6.5
03000013,6.2,3.5,3.0,4.233333333333333
03000014,4.4,6.0,2.0,4.133333333333334
03000015,4.4,6.75,4.0,5.05
03000016,5.0,4.0,3.2,4.066666666666666
03000017,4.8,5.0,3.0,4.266666666666667
03000018,3.4,4.25,1.6,3.0833333333333335
03000019,6.0,6.75,6.0,6.25
03000020,4.0,7.0,4.4,5.133333333333334
03000021,5.6,8.25,4.4,6.083333333333333
03000022,3.6,5.0,1.8,3.466666666666667
03000023,3.8,5.5,2.0,3.766666666666667
03000024,4.6,5.5,3.4,4.5
03000025,5.0,6.5,4.2,5.233333333333333
03000026,5.8,7.25,4.2,5.75
03000027,5.4,6.5,2.0,4.633333333333334
03000028,6.0,6.5,3.6,5.366666666666667
03000029,3.6,5.25,2.0,3.6166666666666667
03000030,6.0,7.75,4.6,6.116666666666667
03000031,5.2,6.25,3.4,4.95
03000032,3.6,4.5,2.6,3.5666666666666664
03000033,5.6,7.5,5.8,6.3
03000034,2.2,3.5,2.4,2.6999999999999997
03000035,4.2,6.25,3.8,4.75
03000036,5.6,8.0,6.4,6.666666666666667
03000037,5.8,6.25,6.6,6.216666666666666
03000038,3.0,5.25,2.4,3.5500000000000003
03000039,4.2,6.25,1.6,4.016666666666667
03000040,4.0,5.25,3.0,4.083333333333333
03000041,3.6,6.75,3.2,4.516666666666667
03000042,5.2,6.75,3.8,5.25
03000043,5.2,6.5,4.4,5.366666666666667
03000044,4.0,7.0,2.2,4.3999999999999995
03000045,6.0,7.25,6.8,6.683333333333334
03000046,5.4,5.75,3.2,4.783333333333334
03000047,4.2,7.0,4.0,5.066666666666666
03000048,5.0,6.5,7.0,6.166666666666667
03000049,5.2,8.0,5.6,6.266666666666666
03000050,4.8,7.25,5.0,5.683333333333334
03000051,3.8,5.5,4.4,4.566666666666667
03000052,4.6,6.25,4.0,4.95
03000053,4.0,5.75,3.2,4.316666666666666
03000054,5.2,5.5,2.8,4.5
03000055,3.8,5.0,2.4,3.733333333333334
03000056,4.2,5.75,3.2,4.383333333333333
03000057,3.4,3.75,2.2,3.116666666666667
03000058,4.0,7.75,3.6,5.116666666666666
03000059,5.0,4.75,3.0,4.25
03000060,4.8,6.75,5.4,5.650000000000001
03000061,3.0,5.0,2.2,3.4
03000062,4.4,7.75,5.6,5.916666666666667
03000063,6.2,7.5,5.4,6.366666666666667
03000064,5.8,6.75,4.6,5.716666666666666
03000065,5.8,6.25,5.2,5.75
03000066,5.6,5.75,3.2,4.8500000000000005
03000067,5.0,6.5,2.2,4.566666666666666
03000068,6.2,7.25,6.8,6.75
03000069,5.6,6.5,5.0,5.7
03000070,5.2,6.5,4.4,5.366666666666667
03000071,4.8,5.75,3.8,4.783333333333334
03000072,2.6,5.0,3.0,3.533333333333333
03000073,3.6,3.5,1.8,2.966666666666667
03000074,3.6,5.25,3.2,4.016666666666667
03000075,4.4,5.25,3.4,4.3500000000000005
03000076,5.0,6.25,3.2,4.816666666666666
03000077,5.2,8.0,6.0,6.3999999999999995
03000078,5.6,7.0,3.4,5.333333333333333
03000079,7.2,7.5,6.8,7.166666666666667
03000080,5.4,7.25,6.0,6.216666666666666
03000081,6.0,7.5,7.4,6.966666666666666
