SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
64000001,5.8,8.5,4.4,6.233333333333334
64000002,4.8,5.75,3.0,4.516666666666667
64000003,5.2,7.25,4.8,5.75
64000004,2.6,6.5,2.8,3.9666666666666663
64000005,5.6,7.75,2.4,5.25
64000006,4.8,8.5,2.2,5.166666666666667
64000007,5.6,8.75,4.6,6.316666666666666
64000008,4.8,6.75,0,3.85
64000009,4.0,7.41,2.6,4.67
64000010,5.6,9.0,4.0,6.2
64000011,5.8,7.75,2.6,5.383333333333334
64000012,4.4,9.5,3.6,5.833333333333333
64000013,4.4,7.0,2.8,4.733333333333333
64000014,4.4,5.25,2.4,4.016666666666667
64000015,3.8,7.0,2.8,4.533333333333334
64000016,4.0,6.5,2.8,4.433333333333334
64000017,5.2,8.0,3.6,5.6000000000000005
64000018,5.8,8.0,5.0,6.266666666666667
64000019,3.0,5.0,1.8,3.266666666666667
64000020,5.0,7.75,4.4,5.716666666666666
64000021,4.6,6.0,1.8,4.133333333333334
64000022,2.8,5.75,2.2,3.5833333333333335
64000023,3.4,7.75,3.4,4.8500000000000005
64000024,5.2,6.5,3.2,4.966666666666666
64000025,3.4,6.0,0,3.1333333333333333
64000026,6.2,7.75,4.0,5.983333333333333
64000027,3.8,6.0,2.8,4.2
64000028,3.6,6.25,1.4,3.75
64000029,5.4,8.25,4.4,6.016666666666667
64000030,6.4,7.75,2.4,5.516666666666667
64000031,6.0,7.75,1.6,5.116666666666666
64000032,4.6,7.75,3.0,5.116666666666666
64000033,5.4,7.0,2.6,5.0
64000034,4.0,7.0,3.4,4.8
64000035,4.8,6.75,3.0,4.8500000000000005
64000036,4.4,7.25,4.4,5.3500000000000005
64000037,3.4,8.5,4.4,5.433333333333334
64000038,3.0,6.75,2.4,4.05
64000039,3.6,5.75,0,3.1166666666666667
64000040,5.6,8.75,3.4,5.916666666666667
64000041,4.0,8.0,0,4.0
64000042,3.4,3.0,0,2.1333333333333333
64000043,4.2,8.0,3.0,5.066666666666666
64000044,5.6,6.0,3.0,4.866666666666666
64000045,5.6,8.2,0,4.6
64000046,3.8,5.75,4.0,4.516666666666667
64000047,4.6,4.0,2.6,3.733333333333333
64000048,6.0,7.5,5.0,6.166666666666667
64000049,5.2,8.0,3.6,5.6000000000000005
64000050,6.4,8.25,0,4.883333333333334
64000051,4.6,4.75,2.4,3.9166666666666665
64000052,3.2,3.5,2.4,3.033333333333333
64000053,5.6,0,0,1.8666666666666665
64000054,2.0,5.75,3.0,3.5833333333333335
64000055,4.8,8.5,3.0,5.433333333333334
64000056,4.6,6.5,3.0,4.7
64000057,6.4,7.25,3.2,5.616666666666667
64000058,5.8,8.5,3.6,5.966666666666668
64000059,3.6,7.5,3.2,4.766666666666667
64000060,5.0,7.25,3.0,5.083333333333333
64000061,3.0,0,0,1.0
64000062,4.8,6.5,3.0,4.766666666666667
64000063,2.8,5.5,2.2,3.5
64000064,4.2,7.0,2.8,4.666666666666667
64000065,5.0,5.25,2.4,4.216666666666667
64000066,6.6,7.0,4.4,6.0
64000067,4.6,7.5,4.0,5.366666666666667
64000068,4.6,8.0,2.2,4.933333333333334
64000069,4.8,5.25,3.8,4.616666666666667
64000070,5.4,6.5,3.2,5.033333333333334
64000071,3.6,6.75,2.4,4.25
64000072,2.2,4.0,3.4,3.1999999999999997
64000073,2.6,7.5,3.6,4.566666666666666
64000074,6.6,6.0,2.4,5.0
64000075,4.6,6.0,2.6,4.3999999999999995
64000076,4.0,6.5,0,3.5
64000077,4.4,7.75,2.8,4.983333333333333
64000078,4.0,5.75,2.6,4.116666666666666
64000079,5.0,4.25,0,3.0833333333333335
64000080,5.2,7.25,3.2,5.216666666666666
64000081,5.8,8.0,4.2,6.0
64000082,5.0,8.0,3.2,5.3999999999999995
64000083,6.4,7.75,4.0,6.05
64000084,3.6,5.58,2.4,3.86
64000085,3.4,5.5,2.8,3.9
64000086,3.4,6.5,3.4,4.433333333333334
64000087,4.0,6.5,2.8,4.433333333333334
64000088,3.4,5.25,1.4,3.35
64000089,4.6,5.5,2.4,4.166666666666667
64000090,5.0,7.0,3.6,5.2
64000091,5.4,7.5,3.6,5.5
64000092,4.8,8.5,2.4,5.233333333333333
64000093,4.2,5.5,4.2,4.633333333333333
64000094,4.2,7.75,2.2,4.716666666666666
64000095,4.4,8.75,3.0,5.383333333333333
64000096,4.8,8.08,0,4.293333333333333
64000097,5.2,7.0,3.0,5.066666666666666
64000098,4.6,6.75,3.4,4.916666666666667
64000099,3.6,7.25,3.4,4.75
64000100,4.2,6.0,2.8,4.333333333333333
64000101,4.6,7.5,3.0,5.033333333333333
64000102,4.8,6.0,2.6,4.466666666666667
64000103,4.8,4.25,2.4,3.816666666666667
64000104,4.8,5.16,3.2,4.386666666666667
64000105,5.0,5.5,1.6,4.033333333333333
64000106,5.0,5.5,3.0,4.5
64000107,5.6,8.5,3.8,5.966666666666666
64000108,3.2,8.5,0,3.9
64000109,6.2,8.5,3.2,5.966666666666666
64000110,5.6,6.5,2.6,4.8999999999999995
64000111,6.2,7.25,4.2,5.883333333333333
64000112,2.6,4.25,3.8,3.5499999999999994
64000113,4.0,8.5,4.0,5.5
64000114,5.6,9.0,3.6,6.066666666666666
64000115,6.4,7.5,4.0,5.966666666666666
64000116,4.2,4.0,1.2,3.133333333333333
64000117,5.6,7.91,4.0,5.836666666666666
64000118,4.8,5.75,3.8,4.783333333333334
64000119,5.6,8.75,5.2,6.516666666666667
64000120,3.6,6.75,2.4,4.25
64000121,3.0,7.0,2.4,4.133333333333334
64000122,3.8,7.75,3.6,5.05
64000123,4.0,9.0,2.8,5.266666666666667
64000124,4.8,6.25,3.4,4.816666666666667
64000125,3.8,6.5,3.2,4.5
64000126,4.0,6.75,2.8,4.516666666666667
64000127,6.2,7.75,4.0,5.983333333333333
64000128,6.4,7.75,3.0,5.716666666666666
64000129,4.4,6.5,2.2,4.366666666666667
64000130,5.6,5.5,4.0,5.033333333333333
64000131,4.8,7.5,2.6,4.966666666666667
64000132,3.8,4.0,3.0,3.6
64000133,5.4,8.0,4.0,5.8
64000134,3.4,2.5,0,1.9666666666666668
64000135,3.2,6.25,0,3.15
64000136,4.0,7.75,3.0,4.916666666666667
64000137,2.6,0,0,0.8666666666666667
64000138,3.6,6.25,0,3.283333333333333
64000139,4.2,5.5,3.2,4.3
64000140,6.6,8.75,4.6,6.6499999999999995
64000141,4.6,8.5,4.0,5.7
64000142,5.2,8.0,2.8,5.333333333333333
64000143,2.0,7.0,2.8,3.9333333333333336
64000144,4.2,6.83,2.4,4.4766666666666675
64000145,3.0,7.5,3.8,4.766666666666667
64000146,3.4,6.25,2.4,4.016666666666667
64000147,6.0,7.25,3.8,5.683333333333334
64000148,3.6,5.75,2.8,4.05
64000149,5.2,8.5,0,4.566666666666666
64000150,4.0,6.75,2.4,4.383333333333334
64000151,5.6,6.92,3.2,5.239999999999999
64000152,2.6,6.42,2.8,3.94
64000153,2.4,6.58,0,2.9933333333333336
64000154,4.4,8.25,5.4,6.016666666666667
64000155,2.2,8.0,0,3.4
64000156,4.8,5.5,3.6,4.633333333333334
64000157,5.0,4.75,2.8,4.183333333333334
64000158,4.8,8.25,4.4,5.816666666666667
64000159,6.4,7.0,3.0,5.466666666666666
64000160,3.0,6.25,3.8,4.3500000000000005
64000161,5.8,6.5,2.8,5.033333333333334
64000162,3.2,0,0,1.0666666666666667
64000163,6.0,6.75,4.0,5.583333333333333
64000165,4.6,6.5,2.6,4.566666666666666
64000166,5.0,7.75,3.6,5.45
64000167,5.0,7.5,3.8,5.433333333333334
64000168,2.0,5.75,0,2.5833333333333335
64000169,3.0,6.5,2.6,4.033333333333333
64000170,5.4,7.0,3.8,5.3999999999999995
64000171,7.4,7.0,5.0,6.466666666666666
64000172,3.0,7.25,1.2,3.8166666666666664
64000173,3.2,7.25,3.0,4.483333333333333
64000174,5.4,7.5,3.6,5.5
64000176,5.4,7.25,3.2,5.283333333333334
64000177,5.4,6.5,3.0,4.966666666666667
64000178,5.6,8.75,3.6,5.983333333333333
64000179,4.8,7.0,2.4,4.733333333333333
64000180,2.4,5.0,1.8,3.066666666666667
64000181,5.2,7.5,0,4.233333333333333
64000182,4.2,5.42,2.4,4.006666666666667
64000183,4.8,7.5,3.8,5.366666666666667
64000184,5.6,7.25,4.6,5.816666666666666
64000185,2.6,5.75,0,2.783333333333333
64000186,3.6,7.0,0,3.533333333333333
64000187,4.4,5.5,3.0,4.3
64000188,5.0,8.5,2.8,5.433333333333334
64000189,5.0,7.75,2.4,5.05
64000190,4.2,5.25,2.2,3.883333333333333
64000191,4.8,7.33,2.4,4.843333333333333
64000192,4.6,8.0,3.4,5.333333333333333
64000193,5.6,9.0,8.0,7.533333333333334
64000194,2.6,4.0,0,2.1999999999999997
64000195,3.4,6.75,4.6,4.916666666666667
64000196,5.4,7.5,4.6,5.833333333333333
64000197,4.0,6.0,0,3.3333333333333335
64000198,4.2,6.25,2.6,4.35
64000199,4.8,7.42,2.2,4.806666666666666
64000200,3.0,4.5,0,2.5
64000201,5.6,7.5,3.8,5.633333333333333
64000202,4.6,0,3.0,2.533333333333333
64000203,4.6,5.5,4.0,4.7
64000204,5.4,8.25,3.8,5.816666666666666
64000205,4.6,8.75,4.0,5.783333333333334
64000206,3.4,7.25,3.0,4.55
64000207,3.8,4.0,2.2,3.3333333333333335
64000208,4.0,4.5,3.6,4.033333333333333
64000209,4.6,6.75,3.0,4.783333333333333
64000210,8.2,8.5,8.6,8.433333333333332
64000211,4.0,6.0,2.0,4.0
64000212,3.0,4.0,2.4,3.1333333333333333
64000213,2.8,6.0,3.0,3.9333333333333336
64000214,4.6,6.75,3.8,5.05
64000215,4.4,5.25,3.2,4.283333333333334
64000216,4.8,7.25,2.8,4.95
64000217,4.0,7.75,3.0,4.916666666666667
64000218,6.0,6.5,5.4,5.966666666666666
64000219,5.8,8.5,4.8,6.366666666666667
64000220,4.4,7.75,2.2,4.783333333333334
64000221,4.2,7.5,2.0,4.566666666666666
64000222,4.2,4.25,3.4,3.9499999999999997
64000223,4.2,7.5,2.4,4.7
64000224,6.8,8.0,4.4,6.400000000000001
64000225,5.0,8.5,3.6,5.7
64000226,3.0,5.75,2.8,3.85
64000227,6.0,7.0,4.0,5.666666666666667
64000228,4.4,7.5,2.4,4.766666666666667
64000229,4.0,5.5,3.2,4.233333333333333
64000230,4.8,7.0,1.8,4.533333333333334
64000231,5.0,4.5,2.4,3.966666666666667
64000232,5.2,8.5,2.2,5.3
64000233,3.4,4.25,3.6,3.75
64000234,2.8,6.75,1.8,3.7833333333333337
64000235,3.4,6.0,2.8,4.066666666666666
64000236,3.8,7.08,3.8,4.8933333333333335
64000237,3.0,5.0,1.8,3.266666666666667
64000238,5.6,5.25,3.0,4.616666666666666
64000239,2.0,5.5,1.8,3.1
64000240,6.4,8.5,4.2,6.366666666666667
64000241,7.4,6.75,3.8,5.983333333333333
64000242,5.2,6.5,2.6,4.766666666666667
64000243,5.8,8.75,4.0,6.183333333333334
64000244,4.8,8.0,2.8,5.2
64000245,8.2,8.5,4.2,6.966666666666666
64000246,2.8,5.83,2.8,3.81
64000247,3.4,5.83,3.0,4.076666666666667
64000248,5.8,7.5,4.8,6.033333333333334
64000249,6.0,7.0,3.8,5.6000000000000005
64000250,6.0,8.0,3.6,5.866666666666667
64000251,4.0,6.25,3.2,4.483333333333333
64000252,3.0,5.5,3.4,3.966666666666667
64000253,3.6,6.0,5.8,5.133333333333333
64000254,6.8,7.5,5.4,6.566666666666667
64000255,4.0,7.0,1.8,4.266666666666667
64000256,4.6,7.0,4.0,5.2
64000257,5.6,9.0,3.8,6.133333333333333
64000258,3.4,6.75,2.0,4.05
64000259,5.8,7.75,2.4,5.316666666666667
64000260,4.2,5.75,2.6,4.183333333333333
64000261,4.8,6.0,2.2,4.333333333333333
64000262,5.6,7.0,3.0,5.2
64000263,6.0,6.75,2.4,5.05
64000264,5.8,6.25,3.8,5.283333333333334
64000265,7.2,7.75,5.0,6.6499999999999995
64000266,3.2,7.5,2.2,4.3
64000267,5.8,8.0,3.4,5.733333333333333
64000268,4.6,7.25,2.8,4.883333333333333
64000269,5.8,7.0,4.0,5.6000000000000005
