SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
43000001,7.0,6.25,5.2,6.1499999999999995
43000002,5.4,6.0,5.2,5.533333333333334
43000003,6.6,5.5,5.2,5.766666666666667
43000004,7.6,6.5,8.0,7.366666666666667
43000005,4.8,4.25,4.0,4.3500000000000005
43000006,6.4,5.75,8.2,6.783333333333334
43000007,6.6,5.25,3.0,4.95
43000008,6.4,6.5,3.4,5.433333333333334
43000009,5.2,5.0,4.8,5.0
43000010,6.2,7.5,3.2,5.633333333333333
43000011,7.2,6.25,7.0,6.816666666666666
43000012,4.4,6.0,3.6,4.666666666666667
43000013,6.6,5.75,3.6,5.316666666666666
43000014,6.2,5.75,6.0,5.983333333333333
43000015,6.0,4.5,3.8,4.766666666666667
43000016,3.4,6.75,3.4,4.516666666666667
43000017,5.6,5.75,3.2,4.8500000000000005
43000018,6.0,7.0,4.0,5.666666666666667
43000019,7.0,6.25,5.8,6.3500000000000005
43000020,7.2,6.75,5.6,6.516666666666666
43000021,6.4,7.0,5.8,6.3999999999999995
43000022,5.2,7.0,5.8,6.0
43000023,5.0,6.75,4.8,5.516666666666667
43000024,8.6,5.5,5.4,6.5
43000025,6.0,5.0,4.2,5.066666666666666
43000026,6.4,5.75,4.4,5.516666666666667
43000027,7.6,6.25,4.4,6.083333333333333
43000028,4.0,4.5,3.6,4.033333333333333
43000029,6.8,7.25,5.6,6.55
43000030,6.4,6.0,3.0,5.133333333333334
43000031,4.8,5.5,3.6,4.633333333333334
43000032,6.2,5.75,3.0,4.983333333333333
43000033,6.0,6.5,8.8,7.1000000000000005
43000034,7.2,3.25,8.8,6.416666666666667
43000035,6.0,6.5,5.2,5.8999999999999995
43000036,7.8,6.75,5.4,6.650000000000001
43000037,7.6,6.75,5.8,6.716666666666666
43000038,7.2,6.5,5.0,6.233333333333333
43000039,6.4,6.0,5.6,6.0
43000040,3.6,7.25,4.2,5.016666666666667
43000041,6.2,6.5,4.8,5.833333333333333
43000042,6.6,4.75,5.2,5.516666666666667
43000043,5.2,5.0,4.6,4.933333333333333
43000044,5.6,7.25,4.0,5.616666666666667
43000045,7.4,4.5,5.8,5.8999999999999995
43000046,7.6,6.25,5.4,6.416666666666667
43000047,4.8,7.5,3.6,5.3
43000048,3.4,4.25,4.0,3.8833333333333333
43000049,4.4,5.75,2.2,4.116666666666667
43000050,5.4,6.0,3.6,5.0
43000051,5.0,6.5,5.0,5.5
43000052,5.2,7.0,4.0,5.3999999999999995
43000053,6.6,5.25,7.0,6.283333333333334
43000054,7.2,4.5,6.2,5.966666666666666
43000055,6.4,5.25,3.4,5.016666666666667
43000056,8.0,4.5,3.4,5.3
43000057,7.6,6.0,6.4,6.666666666666667
43000058,7.0,7.5,4.6,6.366666666666667
43000059,7.0,6.25,4.0,5.75
43000060,5.8,4.75,5.4,5.316666666666667
43000061,5.0,4.5,4.0,4.5
43000062,6.0,5.0,5.8,5.6000000000000005
43000063,5.6,4.25,6.4,5.416666666666667
43000064,6.8,4.5,3.6,4.966666666666667
43000065,6.8,6.0,4.8,5.866666666666667
43000066,7.4,5.75,8.2,7.116666666666667
43000067,6.8,5.75,4.6,5.716666666666666
43000068,6.6,4.75,5.0,5.45
43000069,7.0,6.25,5.8,6.3500000000000005
43000070,6.2,5.0,4.0,5.066666666666666
43000071,5.2,5.5,4.6,5.1
43000072,6.2,6.0,3.2,5.133333333333333
43000073,5.2,7.0,5.0,5.733333333333333
43000074,6.6,6.0,4.6,5.733333333333333
43000075,5.6,6.5,4.4,5.5
43000076,5.6,4.75,4.4,4.916666666666667
43000077,7.2,8.25,6.4,7.283333333333334
43000078,7.4,8.0,6.0,7.133333333333333
43000079,6.0,4.25,5.6,5.283333333333333
43000080,6.0,5.0,7.0,6.0
43000081,5.0,4.75,3.0,4.25
43000082,6.8,5.0,2.6,4.8
43000083,6.4,5.5,5.8,5.8999999999999995
43000084,6.2,6.0,6.4,6.2
43000085,5.2,4.25,2.4,3.9499999999999997
43000086,6.2,5.75,5.4,5.783333333333334
43000087,6.8,6.5,7.0,6.766666666666667
43000088,7.0,5.0,6.8,6.266666666666667
43000089,6.4,6.25,6.2,6.283333333333334
43000090,4.4,4.25,3.2,3.9500000000000006
43000091,5.6,5.5,4.8,5.3
43000092,5.6,6.0,5.4,5.666666666666667
43000093,7.2,6.0,4.4,5.866666666666667
43000094,5.6,5.25,2.8,4.55
43000095,6.4,6.0,5.8,6.066666666666666
43000096,7.0,7.0,7.2,7.066666666666666
43000097,7.2,6.0,3.8,5.666666666666667
43000098,5.0,4.75,3.6,4.45
43000099,8.0,6.75,5.6,6.783333333333334
43000100,4.4,6.0,3.4,4.6000000000000005
43000101,8.8,5.75,4.8,6.45
43000102,4.8,5.5,5.2,5.166666666666667
43000103,5.6,6.5,6.8,6.3
43000104,4.6,4.25,4.6,4.483333333333333
43000105,6.6,5.5,4.8,5.633333333333333
43000106,5.0,5.0,3.2,4.3999999999999995
43000107,3.6,4.5,4.0,4.033333333333333
43000108,5.0,3.75,2.8,3.85
43000109,5.8,5.5,6.4,5.900000000000001
43000110,7.0,5.75,5.4,6.05
43000111,6.0,6.25,4.0,5.416666666666667
43000112,4.8,6.0,3.4,4.733333333333333
43000113,5.4,6.75,4.4,5.516666666666667
43000114,7.2,6.0,7.2,6.8
43000115,5.0,6.5,5.0,5.5
43000116,7.0,5.5,5.2,5.8999999999999995
43000117,6.0,6.5,6.4,6.3
43000118,4.8,3.75,3.8,4.116666666666667
43000119,6.8,6.25,5.0,6.016666666666667
43000120,6.6,6.5,5.8,6.3
43000121,8.0,6.0,5.2,6.3999999999999995
43000122,7.4,5.0,3.8,5.3999999999999995
43000123,4.2,5.5,5.6,5.1
43000124,8.0,7.5,6.2,7.233333333333333
43000125,7.2,6.25,4.8,6.083333333333333
43000126,4.2,7.25,4.2,5.216666666666666
43000127,6.4,6.25,3.6,5.416666666666667
43000128,6.2,6.25,4.6,5.683333333333333
43000129,3.4,5.5,2.8,3.9
43000130,5.8,6.25,5.2,5.75
43000131,4.4,5.75,4.6,4.916666666666667
43000132,4.4,5.0,3.6,4.333333333333333
43000133,7.4,7.5,6.4,7.1000000000000005
43000134,5.8,7.5,4.6,5.966666666666666
43000135,3.4,6.25,4.2,4.616666666666667
43000136,6.6,7.5,3.6,5.8999999999999995
43000137,7.6,5.0,4.6,5.733333333333333
43000138,6.2,6.0,5.2,5.8
43000139,6.4,5.5,6.0,5.966666666666666
43000140,4.2,5.5,4.2,4.633333333333333
43000141,7.4,6.0,4.2,5.866666666666667
43000142,4.6,5.0,3.2,4.266666666666667
43000143,6.2,5.5,4.2,5.3
43000144,4.6,6.75,4.2,5.183333333333334
43000145,4.2,6.25,4.2,4.883333333333333
43000146,6.0,6.25,5.8,6.016666666666667
43000147,7.4,5.5,2.2,5.033333333333334
43000148,6.2,5.5,5.2,5.633333333333333
43000149,7.4,6.5,4.0,5.966666666666666
43000150,6.8,5.75,4.2,5.583333333333333
43000151,6.2,6.25,3.8,5.416666666666667
43000152,6.0,6.0,7.6,6.533333333333334
43000153,6.6,7.0,5.6,6.3999999999999995
43000154,3.4,5.25,0.8,3.1500000000000004
43000155,4.2,4.5,3.8,4.166666666666667
43000156,5.6,5.0,3.2,4.6000000000000005
43000157,5.8,6.0,5.2,5.666666666666667
43000158,7.8,5.0,3.8,5.533333333333334
43000159,7.4,4.5,4.4,5.433333333333334
43000160,5.6,6.75,4.2,5.516666666666667
43000161,5.6,7.5,5.4,6.166666666666667
43000162,3.6,5.0,5.6,4.733333333333333
43000163,5.2,4.5,3.4,4.366666666666666
43000164,6.8,6.75,6.8,6.783333333333334
43000165,4.8,5.5,4.4,4.9
43000166,3.8,7.0,3.8,4.866666666666667
43000167,6.0,6.0,4.0,5.333333333333333
43000168,6.6,5.5,4.2,5.433333333333334
43000169,6.4,5.25,3.0,4.883333333333334
43000170,6.6,6.25,5.2,6.016666666666667
43000171,6.0,3.0,4.6,4.533333333333333
43000172,5.8,7.0,5.8,6.2
43000173,6.4,5.5,5.6,5.833333333333333
43000174,3.6,5.5,3.2,4.1000000000000005
43000175,5.8,5.25,3.2,4.75
43000176,7.0,6.25,6.6,6.616666666666667
43000177,7.6,4.25,5.2,5.683333333333334
43000178,6.6,5.5,3.8,5.3
43000179,7.8,5.0,4.2,5.666666666666667
43000180,7.6,5.0,3.6,5.3999999999999995
43000181,7.0,6.75,2.0,5.25
43000182,3.0,4.75,2.6,3.4499999999999997
43000183,5.8,5.25,3.6,4.883333333333334
43000184,6.8,6.25,3.8,5.616666666666667
43000185,7.4,5.25,6.2,6.283333333333334
43000186,6.0,6.0,5.8,5.933333333333334
43000187,5.4,5.5,5.0,5.3
43000188,5.0,4.25,4.4,4.55
43000189,5.8,6.75,5.2,5.916666666666667
43000190,6.0,5.25,4.6,5.283333333333333
43000191,4.8,7.5,6.4,6.233333333333334
43000192,7.6,6.0,3.4,5.666666666666667
43000193,4.0,5.75,2.8,4.183333333333334
43000194,5.0,7.0,4.8,5.6000000000000005
43000195,4.8,7.25,3.6,5.216666666666667
43000196,4.6,7.5,4.8,5.633333333333333
43000197,5.6,7.0,5.6,6.066666666666666
43000198,3.4,5.75,4.0,4.383333333333334
43000199,6.0,5.0,6.6,5.866666666666667
43000200,7.2,5.75,5.6,6.183333333333333
43000201,4.4,5.5,5.0,4.966666666666667
43000202,6.8,5.0,5.6,5.8
43000203,4.6,4.75,2.0,3.783333333333333
43000204,5.0,6.75,5.6,5.783333333333334
43000205,6.2,5.5,4.8,5.5
43000206,5.4,4.75,4.0,4.716666666666667
43000207,8.0,5.5,4.6,6.033333333333334
43000208,4.4,6.25,2.4,4.3500000000000005
43000209,8.0,5.25,6.0,6.416666666666667
43000210,6.4,6.5,6.2,6.366666666666667
43000211,6.2,5.5,4.8,5.5
43000212,6.2,6.75,6.0,6.316666666666666
43000213,6.2,6.75,5.8,6.25
43000214,6.8,6.75,4.6,6.05
43000215,5.4,5.25,3.8,4.816666666666666
43000216,8.0,6.5,6.8,7.1000000000000005
43000217,5.0,5.25,3.6,4.616666666666666
43000218,6.2,6.5,5.2,5.966666666666666
43000219,5.6,7.25,7.6,6.816666666666666
43000220,8.0,6.0,4.8,6.266666666666667
43000221,6.0,5.25,5.4,5.55
43000222,5.2,6.75,5.4,5.783333333333334
43000223,4.6,5.75,3.2,4.516666666666667
43000224,3.8,5.25,4.0,4.3500000000000005
43000225,2.6,4.75,3.4,3.5833333333333335
43000226,6.6,6.75,5.4,6.25
43000227,4.2,4.5,3.0,3.9
43000228,6.2,6.0,3.0,5.066666666666666
43000229,5.4,6.25,6.2,5.95
43000230,6.0,7.5,4.8,6.1000000000000005
43000231,4.2,4.75,3.6,4.183333333333333
43000232,6.8,6.25,5.8,6.283333333333334
43000233,7.8,6.75,4.6,6.383333333333333
43000234,6.6,4.0,5.2,5.266666666666667
43000235,6.8,7.25,6.4,6.816666666666667
43000236,5.4,6.5,4.0,5.3
43000237,6.8,6.0,3.2,5.333333333333333
43000238,7.2,6.5,5.2,6.3
43000239,3.6,3.75,2.8,3.383333333333333
43000240,6.0,5.0,5.2,5.3999999999999995
43000241,5.0,5.25,5.0,5.083333333333333
43000242,4.0,7.0,4.6,5.2
43000243,5.2,5.75,5.0,5.316666666666666
43000244,6.4,5.5,3.2,5.033333333333334
43000245,4.8,6.25,7.0,6.016666666666667
43000246,4.2,6.5,3.6,4.766666666666667
43000247,3.8,5.0,4.0,4.266666666666667
43000248,4.0,5.5,3.0,4.166666666666667
43000249,4.0,6.75,4.8,5.183333333333334
43000250,6.8,7.5,5.8,6.7
43000251,5.0,5.5,4.2,4.8999999999999995
43000252,7.2,6.0,5.0,6.066666666666666
43000253,6.4,6.75,4.6,5.916666666666667
43000254,5.4,5.75,5.2,5.45
43000255,7.2,6.25,4.4,5.95
43000256,7.0,5.75,3.4,5.383333333333333
43000257,5.6,6.25,3.8,5.216666666666666
43000258,7.4,7.0,4.4,6.266666666666667
43000259,4.8,4.25,3.0,4.016666666666667
43000260,5.0,5.25,4.2,4.816666666666666
43000261,6.2,5.5,5.2,5.633333333333333
43000262,6.8,6.5,7.2,6.833333333333333
43000263,6.0,5.0,3.6,4.866666666666666
43000264,7.4,5.75,4.4,5.8500000000000005
43000265,4.8,3.25,3.6,3.8833333333333333
43000266,4.6,4.0,4.4,4.333333333333333
43000267,8.0,5.75,5.2,6.316666666666666
43000268,6.2,5.25,5.4,5.616666666666667
43000269,7.8,6.25,4.4,6.150000000000001
43000270,6.6,5.5,3.6,5.233333333333333
43000271,7.0,6.75,6.8,6.8500000000000005
43000272,5.6,7.5,5.6,6.233333333333333
43000273,5.8,4.5,4.6,4.966666666666667
43000274,5.0,5.5,4.4,4.966666666666667
43000275,6.8,6.25,3.8,5.616666666666667
43000276,5.0,5.5,2.8,4.433333333333334
43000277,7.0,5.25,8.0,6.75
43000278,5.8,4.75,4.6,5.05
43000279,3.6,5.25,3.0,3.9499999999999997
43000280,5.4,5.25,2.8,4.483333333333333
43000281,6.6,5.5,5.2,5.766666666666667
43000282,4.6,6.0,3.4,4.666666666666667
43000283,6.2,5.75,4.4,5.45
43000284,7.0,4.0,4.6,5.2
43000285,7.8,6.75,3.2,5.916666666666667
43000286,5.2,5.33,3.2,4.576666666666667
43000287,5.8,4.5,3.2,4.5
43000288,7.2,4.75,7.0,6.316666666666666
43000289,5.6,5.0,4.6,5.066666666666666
43000290,6.2,3.75,3.0,4.316666666666666
43000291,4.2,5.5,5.2,4.966666666666666
43000292,7.4,5.75,5.0,6.05
43000293,6.2,5.5,4.4,5.366666666666667
43000294,6.4,6.75,4.0,5.716666666666666
43000295,6.2,6.0,5.4,5.866666666666667
43000296,6.6,5.62,3.2,5.14
43000297,5.4,6.42,4.0,5.273333333333333
43000298,6.2,4.62,5.0,5.273333333333333
43000299,4.4,5.0,4.0,4.466666666666667
43000300,6.8,5.5,3.4,5.233333333333333
43000301,7.0,6.0,3.2,5.3999999999999995
43000302,8.0,4.5,3.4,5.3
43000303,6.8,4.25,4.8,5.283333333333334
43000304,7.8,6.25,4.2,6.083333333333333
43000305,5.4,6.5,5.4,5.766666666666667
43000306,7.2,5.0,5.4,5.866666666666667
43000307,5.8,6.5,3.6,5.3
43000308,5.6,5.0,4.4,5.0
43000309,5.6,3.25,5.0,4.616666666666666
43000310,4.4,5.75,3.4,4.516666666666667
43000311,7.0,7.5,8.6,7.7
43000312,5.4,5.25,5.2,5.283333333333334
43000313,4.2,5.75,3.0,4.316666666666666
43000314,7.0,6.5,4.6,6.033333333333334
43000315,5.4,5.25,3.2,4.616666666666667
43000316,6.2,3.0,5.2,4.8
43000317,3.4,3.25,2.6,3.0833333333333335
43000318,5.0,6.25,5.4,5.55
43000319,3.6,6.25,7.2,5.683333333333334
43000320,7.6,5.25,3.0,5.283333333333333
43000321,6.6,6.75,4.8,6.05
43000322,6.0,5.5,1.4,4.3
43000323,6.4,4.75,4.8,5.316666666666666
43000324,7.2,4.75,5.2,5.716666666666666
43000325,5.6,5.75,5.8,5.716666666666666
43000326,5.4,5.75,6.0,5.716666666666666
43000327,7.0,6.5,4.6,6.033333333333334
43000328,5.2,6.0,4.8,5.333333333333333
43000329,5.2,5.25,3.8,4.75
43000330,5.6,5.0,5.6,5.3999999999999995
43000331,4.4,8.25,3.2,5.283333333333334
43000332,7.0,6.5,4.4,5.966666666666666
43000333,5.4,6.25,4.0,5.216666666666667
43000334,6.0,4.75,3.0,4.583333333333333
43000335,6.2,6.0,4.0,5.3999999999999995
43000336,4.6,5.75,3.6,4.6499999999999995
43000337,6.0,5.25,2.6,4.616666666666666
43000338,7.8,7.0,4.0,6.266666666666667
43000339,4.8,6.0,3.0,4.6000000000000005
43000340,7.2,6.5,3.8,5.833333333333333
43000341,4.8,6.25,8.6,6.55
43000342,6.6,6.0,4.6,5.733333333333333
43000343,6.6,4.5,2.4,4.5
43000344,5.6,6.25,4.0,5.283333333333333
43000345,4.6,4.25,4.2,4.3500000000000005
43000346,5.0,4.0,3.8,4.266666666666667
