SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
07000001,6.6,5.5,4.0,5.366666666666667
07000002,6.2,4.5,2.6,4.433333333333333
07000003,5.8,6.5,3.6,5.3
07000004,4.2,4.75,4.8,4.583333333333333
07000005,6.4,5.25,6.6,6.083333333333333
07000006,5.2,5.75,4.2,5.05
07000007,3.8,3.5,3.4,3.5666666666666664
07000008,2.4,3.25,0,1.8833333333333335
07000009,4.6,6.25,3.0,4.616666666666666
07000010,8.2,6.25,7.0,7.1499999999999995
07000011,8.6,4.75,4.8,6.05
07000012,5.0,7.5,6.6,6.366666666666667
07000013,4.2,3.75,6.6,4.8500000000000005
07000014,4.4,4.5,3.8,4.233333333333333
07000015,8.2,7.5,4.6,6.766666666666666
07000016,7.4,5.25,6.0,6.216666666666666
07000017,3.6,6.0,5.0,4.866666666666666
07000018,4.0,3.75,2.6,3.4499999999999997
07000019,5.6,5.75,4.2,5.183333333333334
07000020,5.6,4.75,4.0,4.783333333333333
07000021,7.2,5.25,5.0,5.816666666666666
07000022,4.2,5.25,5.8,5.083333333333333
07000023,7.0,6.25,6.2,6.483333333333333
07000024,6.4,4.25,4.6,5.083333333333333
07000025,7.2,5.5,5.0,5.8999999999999995
07000026,6.8,3.75,4.6,5.05
07000027,7.2,6.25,7.2,6.883333333333333
07000028,4.8,6.0,4.6,5.133333333333334
07000029,3.6,4.75,3.4,3.9166666666666665
07000030,5.8,2.75,3.8,4.116666666666667
07000031,2.6,3.25,0,1.95
07000032,4.6,3.25,3.6,3.8166666666666664
07000033,3.4,3.0,0,2.1333333333333333
07000034,6.6,3.75,6.0,5.45
07000035,5.8,4.75,3.6,4.716666666666667
07000036,4.4,5.25,3.2,4.283333333333334
07000037,8.6,6.0,4.6,6.3999999999999995
07000038,2.0,2.25,0,1.4166666666666667
07000039,7.6,4.75,5.0,5.783333333333334
07000040,7.0,3.5,4.2,4.8999999999999995
07000041,4.6,3.75,4.8,4.383333333333333
07000043,0,6.75,0,2.25
07000044,6.8,5.5,3.8,5.366666666666667
07000045,4.4,8.0,4.6,5.666666666666667
07000046,4.8,5.0,0,3.266666666666667
07000047,5.8,5.0,4.4,5.066666666666667
07000048,3.6,1.25,0,1.6166666666666665
07000049,4.4,2.5,0,2.3000000000000003
07000050,3.4,4.0,4.2,3.866666666666667
07000051,5.6,4.0,0,3.1999999999999997
07000052,3.6,2.5,0,2.033333333333333
07000053,8.0,0,0,2.6666666666666665
07000054,5.4,4.25,0,3.216666666666667
07000055,4.0,3.75,4.0,3.9166666666666665
07000056,5.0,4.25,3.4,4.216666666666667
07000057,7.2,4.0,4.2,5.133333333333333
07000058,7.2,7.0,5.6,6.599999999999999
07000059,4.4,4.5,4.4,4.433333333333334
07000060,3.8,3.5,3.6,3.6333333333333333
07000061,4.4,2.5,0,2.3000000000000003
07000062,4.8,5.75,3.4,4.65
07000063,0,2.0,0,0.6666666666666666
07000064,6.4,0,0,2.1333333333333333
07000065,3.6,4.0,5.0,4.2
07000066,4.0,5.0,4.6,4.533333333333333
07000067,5.6,3.5,0,3.033333333333333
07000068,6.8,5.25,0,4.016666666666667
07000069,4.6,5.5,3.0,4.366666666666666
07000070,5.2,6.0,3.4,4.866666666666666
07000071,4.0,4.75,4.4,4.383333333333334
07000072,7.6,3.75,2.6,4.6499999999999995
07000073,3.6,4.5,0,2.6999999999999997
07000074,5.0,3.75,9.2,5.983333333333333
07000075,4.0,3.0,4.0,3.6666666666666665
07000076,3.6,5.25,2.6,3.8166666666666664
07000077,4.0,4.5,5.4,4.633333333333334
07000078,5.6,3.25,3.8,4.216666666666666
07000079,5.6,4.0,2.4,4.0
07000080,6.2,4.5,8.6,6.433333333333333
07000081,3.6,4.0,0,2.533333333333333
07000082,6.0,5.0,4.4,5.133333333333334
07000083,6.8,5.0,4.6,5.466666666666666
07000084,4.8,7.25,3.8,5.283333333333334
07000085,7.6,3.5,4.8,5.3
07000086,6.0,7.5,3.6,5.7
07000087,7.0,6.0,6.0,6.333333333333333
07000088,3.0,0,0,1.0
07000089,4.6,4.0,1.4,3.3333333333333335
07000090,8.0,4.25,2.8,5.016666666666667
07000091,2.6,0,2.2,1.6000000000000003
07000092,7.0,6.0,0,4.333333333333333
07000093,4.4,3.5,0,2.6333333333333333
07000094,3.2,4.75,3.2,3.716666666666667
07000095,6.8,5.25,5.2,5.75
07000096,3.0,2.5,0,1.8333333333333333
07000097,0,4.25,0,1.4166666666666667
07000098,3.6,2.75,0,2.1166666666666667
07000099,7.0,3.75,7.2,5.983333333333333
07000100,6.6,3.75,3.2,4.516666666666667
07000101,0,2.75,0,0.9166666666666666
07000102,6.8,3.25,3.0,4.3500000000000005
07000103,5.6,4.5,4.6,4.8999999999999995
07000104,6.4,5.0,0,3.8000000000000003
07000105,5.4,4.5,3.2,4.366666666666667
07000106,5.0,4.0,4.0,4.333333333333333
07000107,3.4,3.0,0,2.1333333333333333
07000108,5.8,4.25,4.0,4.683333333333334
07000109,8.0,5.0,3.8,5.6000000000000005
07000110,2.2,2.75,0,1.6500000000000001
07000111,6.2,4.75,2.2,4.383333333333333
07000112,6.2,5.0,4.6,5.266666666666667
07000113,6.0,4.5,3.6,4.7
07000114,8.2,4.0,5.8,6.0
07000115,3.8,3.0,0,2.2666666666666666
07000116,4.4,4.0,3.8,4.066666666666666
07000117,7.8,4.5,3.0,5.1000000000000005
07000118,7.8,3.5,7.6,6.3
07000119,7.4,5.5,6.8,6.566666666666666
07000120,5.2,3.25,3.0,3.8166666666666664
07000121,4.4,5.25,2.2,3.9500000000000006
07000122,5.6,4.0,3.6,4.3999999999999995
07000123,3.6,5.75,2.6,3.983333333333333
07000124,7.6,6.0,9.6,7.733333333333333
07000125,3.2,7.75,3.2,4.716666666666666
07000126,3.6,3.75,0,2.4499999999999997
07000127,4.6,3.25,3.2,3.6833333333333336
07000128,2.8,2.75,0,1.8499999999999999
07000129,4.8,6.0,4.0,4.933333333333334
07000130,3.4,2.75,0,2.0500000000000003
07000131,4.6,3.25,4.8,4.216666666666666
07000132,6.4,0,0,2.1333333333333333
07000133,6.8,6.25,5.6,6.216666666666666
07000134,5.0,4.0,7.8,5.6000000000000005
07000135,6.4,3.25,2.6,4.083333333333333
07000136,7.4,7.0,8.8,7.733333333333334
07000137,4.2,4.25,2.4,3.6166666666666667
07000138,6.8,6.25,4.8,5.95
07000139,6.6,5.75,6.8,6.383333333333333
07000140,6.6,6.5,4.6,5.8999999999999995
07000141,5.4,4.75,3.6,4.583333333333333
07000142,4.4,4.25,3.8,4.1499999999999995
07000143,9.2,6.5,6.2,7.3
07000144,4.8,4.5,4.8,4.7
07000145,4.6,5.5,4.0,4.7
07000146,5.6,7.0,4.4,5.666666666666667
07000147,8.0,4.75,4.0,5.583333333333333
07000148,5.6,5.25,4.8,5.216666666666666
07000149,7.2,6.25,7.8,7.083333333333333
07000150,5.4,5.25,3.0,4.55
07000151,4.4,5.0,2.6,4.0
07000152,5.0,3.75,2.6,3.783333333333333
07000153,6.0,5.0,3.8,4.933333333333334
07000154,5.4,4.5,0,3.3000000000000003
07000155,6.4,5.75,4.8,5.6499999999999995
07000156,5.0,4.0,2.4,3.8000000000000003
07000157,4.2,3.5,4.0,3.9
07000158,6.6,4.5,3.8,4.966666666666666
07000160,8.4,4.25,5.0,5.883333333333333
07000161,2.4,4.25,0,2.216666666666667
07000162,4.8,4.75,3.8,4.45
07000163,5.4,3.75,3.4,4.183333333333334
07000164,5.6,6.25,2.8,4.883333333333333
07000165,1.8,4.75,2.4,2.983333333333333
07000166,3.4,3.25,2.8,3.15
07000167,6.2,6.0,3.8,5.333333333333333
07000168,6.2,5.25,3.6,5.016666666666667
07000169,7.0,5.5,4.0,5.5
07000170,5.4,4.0,2.2,3.866666666666667
07000171,8.2,5.75,5.8,6.583333333333333
07000172,7.4,4.75,5.0,5.716666666666666
07000173,5.0,4.0,3.8,4.266666666666667
07000174,3.8,2.75,3.2,3.25
07000175,2.6,2.25,0,1.6166666666666665
07000176,5.0,4.0,4.2,4.3999999999999995
07000177,4.2,4.5,3.8,4.166666666666667
07000178,4.6,3.25,4.0,3.9499999999999997
07000179,3.8,3.5,2.0,3.1
07000180,4.2,2.75,3.6,3.516666666666667
07000181,6.2,5.0,4.0,5.066666666666666
07000182,3.4,2.0,1.4,2.266666666666667
07000183,7.0,0,0,2.3333333333333335
07000184,6.0,5.75,4.4,5.383333333333333
07000185,3.6,8.0,5.6,5.733333333333333
07000186,0,2.25,0,0.75
07000187,2.2,2.75,0,1.6500000000000001
07000188,2.4,2.25,0,1.55
07000189,2.6,2.5,0,1.7
07000190,2.4,2.0,0,1.4666666666666668
07000191,2.4,1.25,0,1.2166666666666666
07000192,3.0,3.5,0,2.1666666666666665
07000193,2.6,2.25,0,1.6166666666666665
07000194,0,4.25,0,1.4166666666666667
07000195,2.8,3.5,0,2.1
07000196,5.4,7.0,0,4.133333333333334
07000197,4.0,3.0,0,2.3333333333333335
07000198,7.0,5.5,0,4.166666666666667
07000199,5.8,3.75,0,3.1833333333333336
07000200,4.2,2.25,2.2,2.8833333333333333
07000201,3.4,2.0,0,1.8
07000202,0,3.0,0,1.0
07000203,5.8,0,0,1.9333333333333333
07000205,2.8,1.25,0,1.3499999999999999
07000206,2.6,3.75,0,2.1166666666666667
07000207,5.8,4.5,0,3.4333333333333336
07000208,4.8,3.5,0,2.766666666666667
07000209,3.8,5.5,0,3.1
07000210,2.6,3.0,0,1.8666666666666665
07000211,2.2,2.0,0,1.4000000000000001
07000212,2.8,2.75,0,1.8499999999999999
07000213,2.6,2.25,0,1.6166666666666665
07000215,5.8,4.25,0,3.35
07000216,3.4,4.5,0,2.6333333333333333
07000217,5.6,5.25,0,3.6166666666666667
07000218,5.0,4.0,0,3.0
07000219,3.4,0,2.4,1.9333333333333333
07000220,3.4,0,0,1.1333333333333333
07000221,5.2,0,0,1.7333333333333334
07000222,6.6,6.0,0,4.2
07000223,0,3.0,0,1.0
07000224,4.2,4.0,0,2.733333333333333
07000225,4.6,4.0,0,2.8666666666666667
07000226,3.6,4.25,0,2.6166666666666667
07000227,3.2,3.5,0,2.2333333333333334
07000228,5.6,0,2.2,2.6
07000229,7.2,5.75,0,4.316666666666666
07000230,3.0,2.75,0,1.9166666666666667
07000231,1.8,2.75,0,1.5166666666666666
07000232,6.6,0,0,2.1999999999999997
07000233,0,2.0,0,0.6666666666666666
07000234,0,4.0,0,1.3333333333333333
07000235,6.8,0,0,2.2666666666666666
07000236,7.0,5.25,0,4.083333333333333
07000237,0,4.5,0,1.5
07000238,0,4.25,0,1.4166666666666667
07000239,3.6,5.0,2.2,3.6
07000240,5.0,6.25,4.2,5.1499999999999995
07000241,5.2,5.25,4.4,4.95
07000242,4.0,4.5,2.2,3.5666666666666664
07000243,5.4,3.5,3.4,4.1000000000000005
07000244,3.0,3.75,3.2,3.3166666666666664
07000245,4.8,5.0,3.4,4.4
07000246,6.6,5.0,4.8,5.466666666666666
07000247,6.6,4.25,4.4,5.083333333333333
07000248,5.8,6.0,6.0,5.933333333333334
07000249,5.4,6.0,3.8,5.066666666666666
07000250,4.2,8.0,5.0,5.733333333333333
07000251,4.2,4.25,3.6,4.016666666666667
07000252,4.6,7.5,5.4,5.833333333333333
07000253,3.4,8.0,5.6,5.666666666666667
07000254,3.2,0,2.0,1.7333333333333334
07000255,7.6,5.5,7.6,6.8999999999999995
07000256,6.0,5.5,3.6,5.033333333333333
07000257,4.4,6.25,1.6,4.083333333333333
07000258,7.6,7.5,6.2,7.1000000000000005
07000259,4.8,3.0,2.6,3.466666666666667
07000260,8.8,5.0,5.8,6.533333333333334
07000261,4.0,6.25,5.6,5.283333333333333
07000262,4.2,5.0,3.2,4.133333333333333
07000263,3.2,7.5,4.8,5.166666666666667
07000264,7.4,4.5,3.2,5.033333333333334
07000265,5.2,4.25,3.6,4.35
07000266,3.6,5.75,2.6,3.983333333333333
07000267,4.8,5.0,3.6,4.466666666666667
07000268,6.2,4.0,4.4,4.866666666666666
07000269,5.6,3.5,4.4,4.5
07000270,8.2,4.75,3.8,5.583333333333333
07000271,6.8,5.0,4.2,5.333333333333333
07000272,4.0,5.0,3.6,4.2
07000273,4.2,5.25,4.0,4.483333333333333
07000274,4.8,4.25,5.0,4.683333333333334
07000275,6.0,5.25,5.4,5.55
07000276,4.6,4.0,4.6,4.3999999999999995
07000277,4.4,5.0,4.6,4.666666666666667
07000278,4.8,2.25,4.0,3.6833333333333336
07000279,5.4,5.25,3.6,4.75
07000280,4.2,4.25,3.2,3.883333333333333
07000281,4.4,5.5,4.4,4.766666666666667
07000282,8.4,5.0,4.4,5.933333333333334
07000283,7.8,4.25,3.8,5.283333333333334
07000284,4.0,7.25,4.0,5.083333333333333
