SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
15000001,9.4,5.25,5.0,6.55
15000002,8.0,5.5,3.6,5.7
15000003,7.4,5.5,7.2,6.7
15000004,9.4,5.0,6.0,6.8
15000005,8.6,5.5,8.2,7.433333333333333
15000006,3.4,7.0,9.2,6.533333333333334
15000007,9.0,8.5,9.8,9.1
15000008,7.6,8.25,7.8,7.883333333333333
15000009,7.4,7.5,8.0,7.633333333333333
15000010,7.8,7.25,6.2,7.083333333333333
15000011,7.6,6.75,7.2,7.183333333333334
15000012,7.2,7.25,8.4,7.616666666666667
15000013,7.6,6.25,9.0,7.616666666666667
15000014,5.6,8.25,8.2,7.349999999999999
15000015,7.6,7.75,9.2,8.183333333333332
15000016,8.0,5.25,4.2,5.816666666666666
15000017,4.8,7.0,3.2,5.0
15000018,8.6,6.75,6.2,7.183333333333334
15000019,8.6,8.0,9.8,8.8
15000020,8.4,5.25,7.4,7.016666666666667
15000021,9.0,5.5,6.4,6.966666666666666
15000022,8.6,6.75,6.2,7.183333333333334
15000023,4.6,7.5,5.8,5.966666666666666
15000024,8.6,7.0,9.2,8.266666666666666
15000025,4.8,7.0,3.8,5.2
15000026,5.0,7.5,8.8,7.1000000000000005
15000027,9.8,7.0,5.8,7.533333333333334
15000028,8.2,7.5,8.8,8.166666666666666
15000029,5.4,8.0,3.2,5.533333333333334
15000030,7.4,7.75,9.0,8.049999999999999
15000031,9.4,6.5,6.0,7.3
15000032,8.4,6.75,10.0,8.383333333333333
15000033,9.4,6.25,5.2,6.95
15000034,8.8,5.0,4.6,6.133333333333333
15000035,6.4,7.25,9.8,7.816666666666667
15000036,9.0,6.25,6.6,7.283333333333334
15000037,6.0,6.75,5.0,5.916666666666667
15000038,7.8,6.25,4.4,6.150000000000001
15000039,8.0,8.0,8.2,8.066666666666666
15000040,7.0,7.75,6.4,7.05
15000041,8.4,8.25,9.0,8.549999999999999
15000042,9.4,6.5,8.6,8.166666666666666
15000043,8.0,8.0,9.8,8.6
15000044,5.6,8.25,4.4,6.083333333333333
15000045,4.8,7.75,7.4,6.650000000000001
15000046,7.8,7.75,7.4,7.650000000000001
15000047,9.0,7.5,7.4,7.966666666666666
15000048,9.0,5.5,7.2,7.233333333333333
15000049,7.2,8.0,8.4,7.866666666666667
15000050,6.8,7.75,9.0,7.8500000000000005
15000051,8.2,7.0,8.8,8.0
15000052,8.4,7.5,9.4,8.433333333333334
15000053,6.6,7.25,9.6,7.816666666666666
15000054,7.4,7.25,8.6,7.75
15000055,8.2,7.75,9.2,8.383333333333333
15000056,5.8,7.25,6.8,6.616666666666667
15000057,7.6,7.0,9.2,7.933333333333333
15000058,8.0,8.25,4.6,6.95
15000059,8.0,4.75,5.0,5.916666666666667
15000060,8.0,5.5,8.6,7.366666666666667
15000061,7.8,8.0,9.2,8.333333333333334
15000062,8.6,5.5,3.6,5.8999999999999995
15000063,8.6,6.0,8.0,7.533333333333334
15000064,9.0,8.75,4.0,7.25
15000065,6.8,5.25,8.4,6.816666666666667
15000066,9.4,6.25,8.6,8.083333333333334
15000067,7.6,3.75,7.2,6.183333333333334
15000068,6.8,4.75,8.0,6.516666666666667
15000069,9.2,6.5,5.4,7.033333333333334
15000070,9.0,6.5,6.0,7.166666666666667
15000071,7.4,7.75,9.4,8.183333333333334
15000072,7.8,5.5,5.0,6.1000000000000005
15000073,5.4,8.25,3.6,5.75
15000074,8.4,8.0,9.4,8.6
15000075,3.6,6.5,5.6,5.233333333333333
15000076,5.0,8.25,7.6,6.95
15000077,5.8,6.25,4.6,5.55
15000078,8.8,6.0,4.6,6.466666666666666
15000079,5.0,7.25,5.4,5.883333333333333
15000080,7.2,6.25,8.8,7.416666666666667
15000081,9.2,6.25,6.0,7.1499999999999995
15000082,8.6,7.0,9.2,8.266666666666666
15000084,9.0,5.5,9.4,7.966666666666666
15000085,8.0,7.25,9.0,8.083333333333334
15000086,8.0,7.5,8.6,8.033333333333333
15000087,7.8,6.5,8.2,7.5
15000088,8.0,6.0,6.6,6.866666666666667
15000089,9.6,5.5,6.4,7.166666666666667
15000090,8.4,6.75,6.8,7.316666666666666
15000091,8.6,4.75,6.6,6.6499999999999995
15000092,8.4,5.75,5.2,6.45
15000093,9.2,5.75,9.8,8.25
15000094,8.4,4.5,4.2,5.7
15000095,8.0,4.75,5.2,5.983333333333333
15000096,8.4,6.5,7.8,7.566666666666666
15000097,8.8,5.75,6.4,6.983333333333334
15000098,9.0,6.0,9.8,8.266666666666667
15000099,7.2,7.5,9.2,7.966666666666666
15000100,8.8,7.0,9.4,8.4
15000101,6.8,8.0,8.6,7.8
15000102,9.4,6.25,6.2,7.283333333333334
15000103,6.4,7.0,6.4,6.6000000000000005
15000104,8.2,7.5,9.4,8.366666666666667
15000105,4.0,8.0,6.0,6.0
15000106,9.8,6.25,9.4,8.483333333333334
15000107,4.4,6.25,4.4,5.016666666666667
15000108,7.8,7.5,8.6,7.966666666666666
15000109,8.0,6.0,9.6,7.866666666666667
15000110,8.6,7.25,8.8,8.216666666666667
15000111,5.2,7.75,4.2,5.716666666666666
15000112,5.8,7.25,9.0,7.3500000000000005
15000113,9.0,5.25,6.6,6.95
15000114,8.0,5.5,7.8,7.1000000000000005
15000115,5.4,7.5,7.2,6.7
15000116,6.6,8.25,6.2,7.016666666666667
15000117,8.6,7.25,6.8,7.55
15000118,4.4,7.5,4.8,5.566666666666666
15000119,5.8,7.25,3.8,5.616666666666667
15000120,4.8,7.75,7.6,6.716666666666666
15000121,8.4,8.5,8.8,8.566666666666666
15000122,8.0,8.0,8.6,8.200000000000001
15000123,5.4,8.0,6.2,6.533333333333334
15000124,9.0,5.5,3.4,5.966666666666666
15000125,7.8,7.5,8.8,8.033333333333333
15000126,4.6,7.5,4.4,5.5
15000127,8.0,6.25,4.8,6.3500000000000005
15000128,5.6,7.5,3.0,5.366666666666667
15000129,7.2,8.0,8.8,8.0
15000130,8.6,9.0,9.8,9.133333333333335
15000131,9.6,5.75,5.2,6.8500000000000005
15000132,8.2,6.0,8.6,7.599999999999999
15000133,9.4,7.0,9.2,8.533333333333333
15000134,9.2,7.5,6.2,7.633333333333333
15000135,5.2,7.0,9.0,7.066666666666666
15000136,6.8,8.5,8.2,7.833333333333333
15000137,8.8,7.0,6.4,7.400000000000001
15000138,7.4,8.0,8.6,8.0
15000139,8.8,7.5,8.2,8.166666666666666
15000140,9.6,5.5,9.2,8.1
15000141,7.4,8.0,9.2,8.200000000000001
15000142,8.6,7.75,9.2,8.516666666666667
15000143,7.6,6.0,4.4,6.0
15000144,9.4,6.0,4.4,6.6000000000000005
15000145,6.2,4.75,5.4,5.45
15000146,6.4,6.5,5.4,6.1000000000000005
15000147,9.2,6.75,7.8,7.916666666666667
15000148,9.2,3.25,5.0,5.816666666666666
15000149,8.0,6.5,3.6,6.033333333333334
15000150,8.8,8.5,8.6,8.633333333333333
15000151,9.2,7.0,6.0,7.3999999999999995
15000152,7.6,8.5,4.8,6.966666666666668
15000153,9.0,7.0,9.0,8.333333333333334
15000154,9.0,6.0,8.4,7.8
15000155,9.0,4.25,4.4,5.883333333333333
15000156,8.4,4.75,9.2,7.45
15000157,7.2,4.5,7.6,6.433333333333333
15000158,7.8,8.0,8.6,8.133333333333333
15000159,5.4,8.0,5.8,6.3999999999999995
15000160,4.8,8.0,5.2,6.0
15000161,9.0,5.25,8.4,7.55
15000162,4.8,7.25,4.6,5.55
15000163,5.2,7.25,7.0,6.483333333333333
15000164,8.4,7.0,9.4,8.266666666666667
15000165,8.4,5.5,5.4,6.433333333333334
15000166,9.2,6.5,6.4,7.366666666666667
15000167,7.8,6.0,7.8,7.2
15000168,9.4,6.0,5.0,6.8
15000169,9.2,4.25,6.8,6.75
15000170,7.4,7.75,9.2,8.116666666666667
15000171,5.0,7.75,5.0,5.916666666666667
15000172,9.2,5.0,5.0,6.3999999999999995
15000173,9.4,7.25,9.4,8.683333333333332
15000174,8.0,7.25,8.0,7.75
15000175,5.0,7.5,7.4,6.633333333333333
15000176,6.6,7.5,5.2,6.433333333333334
15000177,6.6,8.0,6.6,7.066666666666666
15000178,9.4,5.5,8.2,7.7
15000179,8.0,7.0,9.6,8.200000000000001
15000180,9.6,6.5,6.6,7.566666666666667
15000181,9.2,5.75,8.8,7.916666666666667
15000182,7.8,6.0,4.4,6.066666666666667
15000183,8.2,6.5,9.4,8.033333333333333
15000184,9.0,4.0,7.2,6.733333333333333
15000185,9.4,4.5,8.6,7.5
15000186,8.6,5.0,4.8,6.133333333333333
15000187,7.2,6.0,9.4,7.533333333333334
15000188,8.2,7.25,5.6,7.016666666666666
15000189,8.2,7.0,8.6,7.933333333333333
15000190,4.0,7.75,7.4,6.383333333333333
15000191,7.6,5.5,5.2,6.1000000000000005
15000192,7.2,3.75,7.6,6.183333333333333
15000193,10.0,6.5,8.8,8.433333333333334
15000194,7.8,8.25,7.8,7.95
15000195,9.2,6.5,6.8,7.5
15000196,7.6,7.25,8.0,7.616666666666667
15000197,8.2,8.0,9.0,8.4
15000198,8.4,8.0,9.2,8.533333333333333
15000199,7.6,7.75,7.4,7.583333333333333
15000200,5.4,8.25,4.8,6.1499999999999995
15000201,5.6,7.75,8.6,7.316666666666666
15000202,9.2,6.5,5.4,7.033333333333334
15000203,9.2,7.75,9.0,8.65
15000204,4.8,8.25,7.2,6.75
15000205,6.8,6.75,8.4,7.316666666666667
15000206,9.0,5.25,6.8,7.016666666666667
15000207,8.0,7.25,5.6,6.95
15000208,8.0,6.0,9.4,7.8
15000209,7.6,7.5,9.6,8.233333333333333
15000210,5.8,7.75,5.0,6.183333333333334
15000211,8.8,7.75,9.2,8.583333333333334
15000212,8.8,3.0,4.0,5.266666666666667
15000213,4.2,7.75,5.0,5.6499999999999995
15000214,7.0,6.75,8.2,7.316666666666666
15000215,8.8,6.75,9.0,8.183333333333334
15000216,7.4,7.75,7.6,7.583333333333333
15000217,7.2,8.5,8.2,7.966666666666666
15000218,8.4,4.5,6.8,6.566666666666666
15000219,7.8,7.5,9.4,8.233333333333334
15000220,6.4,7.0,6.0,6.466666666666666
15000221,8.0,5.0,5.6,6.2
15000222,3.8,7.5,2.8,4.7
15000223,9.0,8.0,9.2,8.733333333333333
15000224,8.4,5.75,5.8,6.6499999999999995
15000225,5.2,7.5,8.4,7.033333333333334
15000226,8.6,6.0,5.8,6.8
15000227,9.0,5.5,8.8,7.766666666666667
15000228,8.6,5.5,8.4,7.5
15000229,8.8,6.5,6.0,7.1000000000000005
15000230,9.4,6.0,6.8,7.3999999999999995
15000231,9.0,7.75,9.0,8.583333333333334
15000232,8.2,8.0,9.6,8.6
15000233,9.2,7.0,5.4,7.2
15000234,6.2,6.75,8.0,6.983333333333333
15000235,7.6,6.0,7.8,7.133333333333333
15000236,8.6,5.0,9.2,7.599999999999999
15000237,7.0,7.25,8.8,7.683333333333334
15000238,7.8,6.5,6.0,6.766666666666667
15000239,6.8,7.5,6.2,6.833333333333333
15000240,8.6,5.75,6.0,6.783333333333334
15000241,6.6,7.25,6.6,6.816666666666666
15000242,7.8,8.5,9.2,8.5
15000243,7.4,8.0,9.4,8.266666666666667
15000244,8.4,8.25,7.6,8.083333333333334
15000245,4.4,7.0,6.2,5.866666666666667
15000246,7.6,3.75,8.2,6.516666666666666
15000247,6.8,5.25,4.2,5.416666666666667
15000248,9.0,6.0,3.8,6.266666666666667
15000249,9.2,5.5,8.2,7.633333333333333
15000250,9.6,8.0,9.6,9.066666666666668
15000251,8.0,5.25,6.8,6.683333333333334
15000252,9.0,5.75,8.6,7.783333333333334
15000253,8.4,6.25,6.6,7.083333333333333
15000254,8.4,5.25,9.0,7.55
15000255,8.0,5.5,6.6,6.7
15000256,4.8,6.5,6.0,5.766666666666667
15000257,9.0,7.5,9.2,8.566666666666666
15000258,8.4,5.25,6.0,6.55
15000259,8.6,7.5,6.2,7.433333333333334
15000260,5.8,7.75,5.4,6.316666666666667
15000261,7.8,8.25,9.2,8.416666666666666
15000262,7.2,5.75,6.0,6.316666666666666
15000263,8.2,8.25,9.4,8.616666666666667
15000264,8.8,8.5,8.8,8.700000000000001
15000265,7.8,8.75,8.8,8.450000000000001
15000266,6.6,8.25,8.8,7.883333333333333
15000267,8.0,7.75,9.2,8.316666666666666
15000268,8.2,8.25,9.2,8.549999999999999
15000269,9.0,6.5,8.2,7.8999999999999995
15000270,5.0,7.75,5.0,5.916666666666667
15000271,8.0,8.5,9.8,8.766666666666667
15000272,7.8,7.75,9.2,8.25
15000273,9.8,7.25,6.2,7.75
15000274,5.0,7.75,5.8,6.183333333333334
15000275,7.6,6.0,9.0,7.533333333333334
15000276,8.8,6.25,6.6,7.216666666666666
15000277,8.8,7.75,7.6,8.049999999999999
15000278,6.0,6.0,8.6,6.866666666666667
15000279,8.4,4.75,4.4,5.8500000000000005
15000280,5.6,6.5,5.8,5.966666666666666
15000281,8.4,6.5,8.2,7.7
15000282,8.6,7.5,9.2,8.433333333333334
15000283,7.2,7.0,7.6,7.266666666666666
15000284,6.4,7.75,5.2,6.45
15000285,7.8,6.5,5.4,6.566666666666667
15000286,9.0,8.25,9.2,8.816666666666666
15000287,7.0,8.25,8.2,7.816666666666666
15000288,3.8,8.0,6.0,5.933333333333334
15000289,5.4,8.25,6.2,6.616666666666667
15000290,7.2,8.5,8.2,7.966666666666666
15000291,8.8,8.0,9.0,8.6
15000292,8.8,7.0,7.8,7.866666666666667
15000293,9.6,7.25,9.8,8.883333333333335
15000294,8.8,5.25,3.4,5.816666666666666
15000295,8.8,8.25,8.8,8.616666666666667
15000296,7.8,8.25,9.4,8.483333333333334
15000297,8.4,7.25,6.2,7.283333333333334
15000298,7.4,6.75,5.8,6.6499999999999995
15000299,7.8,6.0,7.0,6.933333333333334
15000300,7.2,7.25,5.0,6.483333333333333
15000301,6.6,7.25,6.8,6.883333333333333
15000302,7.2,8.0,7.2,7.466666666666666
15000303,9.4,5.5,5.6,6.833333333333333
15000304,8.2,7.75,9.0,8.316666666666666
15000305,8.4,8.5,9.6,8.833333333333334
15000306,7.4,6.25,6.6,6.75
15000307,8.8,6.5,6.0,7.1000000000000005
15000308,8.0,8.25,8.4,8.216666666666667
15000309,8.4,8.25,8.8,8.483333333333333
15000310,7.8,8.25,9.0,8.35
15000311,5.4,8.5,6.0,6.633333333333333
15000312,8.2,7.0,5.4,6.866666666666667
15000313,8.8,5.75,8.0,7.516666666666667
15000314,7.8,4.5,5.6,5.966666666666666
15000315,9.0,8.0,4.8,7.266666666666667
15000316,7.4,5.5,7.4,6.766666666666667
15000317,8.4,7.5,6.6,7.5
15000318,6.8,8.25,9.6,8.216666666666667
15000319,7.2,7.5,8.4,7.7
15000320,8.4,6.25,4.8,6.483333333333333
15000321,8.0,7.75,9.6,8.450000000000001
15000322,8.0,7.0,8.6,7.866666666666667
15000323,7.6,8.25,8.4,8.083333333333334
15000324,8.8,6.5,7.0,7.433333333333334
15000325,8.4,7.75,8.2,8.116666666666665
15000326,8.6,5.75,5.6,6.6499999999999995
15000327,9.8,5.75,6.8,7.45
15000328,8.8,5.0,4.8,6.2
15000329,6.8,6.25,6.2,6.416666666666667
15000330,5.4,6.25,7.0,6.216666666666666
15000332,9.2,4.75,5.8,6.583333333333333
15000333,9.0,6.25,8.2,7.816666666666666
15000334,8.6,8.5,8.8,8.633333333333335
15000335,8.8,8.5,9.8,9.033333333333333
15000336,5.2,8.5,5.0,6.233333333333333
15000337,4.2,8.5,8.6,7.099999999999999
15000338,8.0,7.5,9.0,8.166666666666666
15000339,8.8,7.25,9.0,8.35
15000340,9.2,7.5,8.6,8.433333333333332
15000341,9.4,5.75,6.8,7.316666666666666
15000342,7.2,8.25,7.8,7.75
15000343,8.6,4.75,8.4,7.25
15000344,8.6,6.75,8.6,7.983333333333333
15000345,4.4,8.0,5.2,5.866666666666667
15000346,9.4,5.5,8.2,7.7
15000347,8.4,5.5,4.6,6.166666666666667
15000348,8.6,7.0,9.2,8.266666666666666
15000349,7.4,6.25,9.2,7.616666666666667
15000350,7.0,6.5,9.6,7.7
15000351,6.8,5.25,7.4,6.483333333333334
15000352,3.8,8.25,5.0,5.683333333333334
15000353,8.8,7.25,9.8,8.616666666666667
15000354,9.2,8.5,9.6,9.1
15000355,8.8,6.75,6.6,7.383333333333333
15000356,5.0,8.25,5.0,6.083333333333333
15000357,7.4,8.25,5.8,7.1499999999999995
15000358,8.6,8.25,9.2,8.683333333333334
15000359,7.8,8.25,3.2,6.416666666666667
15000360,8.2,3.75,6.0,5.983333333333333
15000361,7.4,7.0,9.8,8.066666666666668
15000362,5.4,7.25,8.8,7.150000000000001
15000363,7.8,7.0,6.6,7.133333333333333
15000364,4.8,8.0,6.8,6.533333333333334
15000365,8.4,8.75,9.2,8.783333333333333
15000366,8.6,7.75,8.8,8.383333333333335
15000367,4.8,8.25,4.8,5.95
15000369,9.4,7.25,6.6,7.75
15000370,6.0,8.5,5.4,6.633333333333333
15000371,8.2,7.5,8.4,8.033333333333333
15000372,4.2,7.75,3.8,5.25
15000373,8.6,8.5,8.2,8.433333333333334
15000374,9.2,7.75,6.6,7.849999999999999
15000375,5.0,8.25,4.4,5.883333333333333
15000376,9.4,8.0,8.2,8.533333333333333
15000377,6.8,8.25,8.8,7.95
15000378,8.0,8.25,8.8,8.35
15000379,8.6,8.0,9.8,8.8
15000380,7.2,8.5,7.4,7.7
15000381,6.4,8.0,8.8,7.733333333333334
15000382,7.8,7.25,8.2,7.75
15000383,8.6,8.0,8.0,8.200000000000001
15000384,8.6,8.5,8.4,8.5
15000385,8.6,8.25,9.4,8.75
15000386,9.2,6.5,4.8,6.833333333333333
15000387,9.0,5.75,6.2,6.983333333333333
15000388,7.0,5.0,8.8,6.933333333333334
15000389,6.8,7.25,9.2,7.75
15000390,8.2,5.75,5.0,6.316666666666666
15000391,7.8,8.25,8.4,8.15
15000392,9.0,5.75,7.2,7.316666666666666
15000393,9.4,6.25,5.8,7.1499999999999995
15000394,9.4,6.25,7.2,7.616666666666667
15000395,6.8,4.5,8.6,6.633333333333333
15000396,8.8,6.5,9.0,8.1
15000397,5.8,7.25,4.0,5.683333333333334
15000398,8.4,7.25,9.0,8.216666666666667
15000399,9.2,7.0,9.4,8.533333333333333
15000400,7.8,7.0,5.0,6.6000000000000005
15000401,6.2,8.0,6.4,6.866666666666667
15000402,8.4,8.5,9.6,8.833333333333334
15000403,7.0,7.0,9.4,7.8
15000404,7.0,7.0,8.8,7.6000000000000005
15000405,7.6,7.75,6.6,7.316666666666666
15000406,8.6,6.0,8.2,7.599999999999999
15000407,8.4,7.0,4.6,6.666666666666667
15000408,8.8,8.0,9.4,8.733333333333334
15000409,5.6,7.25,7.4,6.75
15000410,7.4,5.75,4.0,5.716666666666666
15000411,8.6,6.5,7.4,7.5
15000412,6.4,6.0,5.4,5.933333333333334
15000413,6.0,7.0,4.8,5.933333333333334
15000414,8.2,6.0,5.2,6.466666666666666
15000415,5.4,6.25,7.2,6.283333333333334
15000416,6.6,6.0,7.2,6.6000000000000005
15000417,8.6,7.5,8.0,8.033333333333333
15000418,7.4,5.75,6.4,6.516666666666667
15000419,7.6,7.25,8.4,7.75
15000420,5.8,4.25,2.6,4.216666666666667
15000421,5.0,5.25,2.8,4.3500000000000005
15000422,3.4,8.25,6.4,6.016666666666667
15000423,3.2,1.25,0,1.4833333333333334
15000424,7.6,6.0,5.8,6.466666666666666
15000425,8.0,6.5,7.8,7.433333333333334
15000426,6.6,6.75,5.2,6.183333333333334
15000427,4.8,6.25,2.6,4.55
15000428,4.4,6.5,3.4,4.766666666666667
15000429,5.2,5.25,2.6,4.35
15000430,2.8,8.0,3.6,4.8
15000431,5.2,5.5,0,3.5666666666666664
15000432,7.4,8.25,7.0,7.55
15000433,6.8,6.5,6.8,6.7
15000434,6.8,5.25,4.8,5.616666666666667
15000435,6.2,4.25,5.2,5.216666666666666
15000436,6.0,6.5,6.0,6.166666666666667
15000437,7.6,6.5,8.2,7.433333333333333
15000438,6.8,6.5,5.6,6.3
15000439,7.2,7.25,7.8,7.416666666666667
15000440,3.2,4.75,3.2,3.716666666666667
15000441,8.6,8.25,8.2,8.35
15000442,7.0,8.5,7.8,7.766666666666667
15000443,5.4,5.0,4.8,5.066666666666666
15000444,9.2,2.25,6.6,6.016666666666666
15000445,5.6,8.0,2.4,5.333333333333333
15000446,8.4,7.0,5.0,6.8
15000447,4.6,7.5,5.2,5.766666666666667
15000448,4.0,7.25,2.8,4.683333333333334
15000449,7.6,5.0,5.4,6.0
15000450,8.2,6.0,5.6,6.599999999999999
15000451,9.6,7.75,8.0,8.450000000000001
15000452,6.4,6.0,7.8,6.733333333333333
15000453,4.4,5.25,8.0,5.883333333333333
15000454,8.4,6.0,5.0,6.466666666666666
15000455,5.0,6.75,6.6,6.116666666666667
15000456,5.8,7.0,5.2,6.0
15000457,6.8,7.5,6.6,6.966666666666666
15000458,8.4,8.25,7.0,7.883333333333333
15000459,5.6,6.75,5.2,5.8500000000000005
15000460,8.4,7.25,6.8,7.483333333333333
15000461,8.2,4.5,4.0,5.566666666666666
15000462,8.4,4.75,4.8,5.983333333333333
15000463,7.2,6.5,4.6,6.099999999999999
15000464,6.8,6.5,8.2,7.166666666666667
15000465,4.0,3.75,2.4,3.3833333333333333
15000466,5.4,6.25,5.0,5.55
15000467,7.2,5.5,4.8,5.833333333333333
15000468,6.6,5.0,4.0,5.2
15000469,7.6,7.5,7.8,7.633333333333333
15000470,8.0,6.5,4.8,6.433333333333334
15000471,7.6,8.5,8.0,8.033333333333333
15000472,6.2,5.25,3.2,4.883333333333333
15000473,8.2,6.0,4.6,6.266666666666666
15000474,4.6,4.25,3.4,4.083333333333333
15000475,6.8,7.25,8.8,7.616666666666667
15000476,3.0,6.0,0,3.0
15000477,5.2,4.25,4.2,4.55
15000478,7.8,6.75,8.4,7.650000000000001
15000479,3.8,2.75,0,2.183333333333333
15000480,5.8,4.0,5.6,5.133333333333334
15000481,7.4,5.5,4.0,5.633333333333333
15000482,7.0,7.25,9.0,7.75
15000483,7.2,4.0,4.2,5.133333333333333
15000484,6.6,5.5,5.0,5.7
15000485,6.2,3.0,8.6,5.933333333333333
15000486,7.2,4.75,8.2,6.716666666666666
15000487,6.8,4.5,7.6,6.3
15000488,7.4,5.75,4.0,5.716666666666666
15000489,6.8,6.0,4.4,5.733333333333334
15000490,5.6,5.5,3.8,4.966666666666666
15000491,7.8,8.0,4.8,6.866666666666667
15000492,4.8,6.75,4.6,5.383333333333333
15000493,7.0,8.0,7.0,7.333333333333333
15000494,5.6,6.75,6.4,6.25
15000495,7.8,8.25,6.8,7.616666666666667
15000496,6.2,5.75,4.6,5.516666666666666
15000497,8.4,8.0,6.8,7.733333333333333
15000498,8.0,5.75,6.6,6.783333333333334
15000499,7.2,8.25,8.4,7.95
15000500,6.6,7.5,4.6,6.233333333333333
15000501,4.4,5.75,3.8,4.6499999999999995
15000502,7.8,8.25,7.0,7.683333333333334
15000503,8.6,4.75,2.2,5.183333333333334
15000504,7.4,7.25,5.6,6.75
15000505,4.6,6.25,4.6,5.1499999999999995
15000506,6.6,6.5,4.2,5.766666666666667
15000507,4.0,4.0,0,2.6666666666666665
15000508,6.8,7.75,6.4,6.983333333333334
15000509,5.4,8.0,8.8,7.400000000000001
15000510,6.4,8.25,9.0,7.883333333333333
15000511,7.2,7.25,8.0,7.483333333333333
15000512,6.2,7.75,5.4,6.45
15000513,5.4,7.25,5.2,5.95
15000514,5.8,7.75,5.6,6.383333333333333
15000515,6.8,5.5,6.4,6.233333333333334
15000516,6.2,7.0,7.6,6.933333333333333
15000517,7.6,7.5,5.8,6.966666666666666
15000518,6.8,6.5,6.4,6.566666666666667
15000519,8.6,5.0,6.2,6.6000000000000005
15000520,7.2,5.5,6.2,6.3
15000521,5.0,5.25,4.8,5.016666666666667
15000522,8.4,7.0,9.2,8.200000000000001
15000523,5.8,4.75,2.8,4.45
15000524,2.2,2.75,0,1.6500000000000001
15000525,7.0,5.0,6.8,6.266666666666667
15000526,7.0,7.75,6.8,7.183333333333334
15000527,7.2,6.75,6.0,6.6499999999999995
15000528,7.0,8.0,5.6,6.866666666666667
15000529,6.2,7.5,7.0,6.8999999999999995
15000530,6.0,5.0,5.4,5.466666666666666
15000531,7.2,7.75,9.0,7.983333333333333
15000532,6.2,4.5,2.8,4.5
15000533,6.6,5.0,8.2,6.599999999999999
15000534,6.2,7.25,4.4,5.95
15000535,6.0,6.25,7.6,6.616666666666667
15000536,3.6,8.0,2.0,4.533333333333333
15000537,5.8,8.5,2.8,5.7
15000538,6.4,8.25,5.6,6.75
15000539,6.4,7.25,3.6,5.75
15000540,8.0,6.75,5.2,6.6499999999999995
15000541,8.8,6.75,4.6,6.716666666666666
15000542,3.6,2.25,0,1.95
15000543,4.8,5.5,4.0,4.766666666666667
15000544,7.2,6.75,6.4,6.783333333333334
15000545,6.6,4.5,3.6,4.8999999999999995
15000546,6.4,5.5,3.8,5.233333333333333
15000547,7.2,4.25,4.2,5.216666666666666
15000548,7.0,6.0,8.8,7.266666666666667
15000549,7.6,5.5,4.8,5.966666666666666
15000550,6.6,6.25,9.2,7.349999999999999
15000551,8.2,5.75,9.2,7.716666666666666
15000552,6.2,5.0,5.6,5.599999999999999
15000553,3.0,2.25,0,1.75
