SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
62000001,4.0,6.5,5.0,5.166666666666667
62000002,4.6,5.5,3.4,4.5
62000003,6.6,3.25,3.2,4.3500000000000005
62000004,7.0,5.5,3.8,5.433333333333334
62000005,3.8,5.25,3.0,4.016666666666667
62000006,4.0,2.75,0,2.25
62000007,5.2,5.5,2.2,4.3
62000008,8.0,5.5,4.4,5.966666666666666
62000009,4.6,0,0,1.5333333333333332
62000010,4.6,7.25,4.8,5.55
62000011,5.0,0,0,1.6666666666666667
62000012,3.8,4.25,0,2.6833333333333336
62000013,3.4,5.0,0,2.8000000000000003
62000014,0,3.5,0,1.1666666666666667
62000015,4.4,5.25,0,3.216666666666667
62000016,5.2,5.75,3.6,4.85
62000017,4.6,5.75,4.0,4.783333333333333
62000018,5.4,6.0,2.0,4.466666666666667
62000019,4.0,6.5,3.0,4.5
62000020,7.8,8.0,6.0,7.266666666666667
62000021,6.6,7.75,3.8,6.05
62000022,4.8,5.25,3.6,4.55
62000023,6.6,6.75,4.0,5.783333333333334
62000024,4.2,6.75,3.0,4.6499999999999995
62000025,5.0,7.25,5.6,5.95
62000026,4.4,5.5,0,3.3000000000000003
62000027,1.8,7.5,2.6,3.966666666666667
62000028,6.8,7.0,4.0,5.933333333333334
62000029,6.8,6.25,2.6,5.216666666666667
62000030,2.4,4.75,2.6,3.25
62000031,5.6,6.0,2.8,4.8
62000032,0,7.5,0,2.5
62000033,3.8,4.25,0,2.6833333333333336
62000034,3.2,6.0,2.6,3.933333333333333
62000035,3.8,5.25,2.0,3.6833333333333336
62000036,4.2,5.75,2.6,4.183333333333333
62000037,2.4,4.0,0,2.1333333333333333
62000038,3.4,6.25,4.0,4.55
62000039,3.6,6.0,4.0,4.533333333333333
62000041,2.4,4.25,0,2.216666666666667
62000042,4.0,5.75,2.8,4.183333333333334
62000043,3.2,3.0,0,2.066666666666667
62000044,5.4,6.0,0,3.8000000000000003
62000045,0,5.0,0,1.6666666666666667
62000046,7.6,7.0,7.2,7.266666666666667
62000047,5.0,6.0,3.8,4.933333333333334
62000048,4.6,6.75,4.6,5.316666666666666
62000049,3.0,5.5,3.2,3.9
62000050,6.0,7.5,3.4,5.633333333333333
62000051,5.0,5.5,2.8,4.433333333333334
62000052,6.8,5.25,5.8,5.95
62000053,3.8,5.0,3.4,4.066666666666667
62000054,2.4,4.75,0,2.3833333333333333
62000055,3.4,5.25,3.8,4.1499999999999995
62000056,3.6,3.25,0,2.283333333333333
62000057,3.6,6.0,2.6,4.066666666666666
62000058,3.8,5.75,2.4,3.983333333333334
62000059,4.4,6.0,2.6,4.333333333333333
62000060,4.4,5.5,3.8,4.566666666666666
62000061,2.2,2.75,0,1.6500000000000001
62000062,3.2,3.75,3.4,3.4499999999999997
62000063,3.8,5.25,0,3.016666666666667
62000064,5.4,4.25,0,3.216666666666667
62000065,4.2,4.25,0,2.8166666666666664
62000066,3.4,3.75,1.6,2.9166666666666665
62000067,4.6,4.75,4.0,4.45
62000068,7.0,7.5,0,4.833333333333333
62000069,7.0,6.75,0,4.583333333333333
62000070,4.8,5.0,0,3.266666666666667
62000071,3.4,6.5,4.0,4.633333333333334
62000072,3.2,5.25,0,2.8166666666666664
62000073,2.4,2.25,0,1.55
62000074,2.6,3.5,0,2.033333333333333
62000075,3.8,7.5,2.4,4.566666666666667
62000076,5.6,5.5,0,3.6999999999999997
62000077,3.8,6.5,0,3.4333333333333336
62000078,0,7.5,0,2.5
62000079,3.2,6.0,2.2,3.7999999999999994
62000080,8.4,6.5,0,4.966666666666667
62000081,4.8,5.25,3.2,4.416666666666667
62000082,4.8,6.5,3.6,4.966666666666667
62000083,3.8,5.0,0,2.9333333333333336
62000084,3.2,2.5,0,1.9000000000000001
62000085,3.4,3.5,0,2.3000000000000003
62000086,6.0,6.75,0,4.25
62000087,3.4,3.5,0,2.3000000000000003
62000088,3.6,5.0,0,2.8666666666666667
62000089,5.0,6.5,0,3.8333333333333335
62000090,4.0,3.0,0,2.3333333333333335
62000091,5.0,5.5,3.2,4.566666666666666
62000092,3.8,3.5,0,2.433333333333333
62000093,4.8,5.0,0,3.266666666666667
62000094,2.2,3.5,2.0,2.566666666666667
62000095,5.4,6.0,5.2,5.533333333333334
62000096,5.0,7.25,4.0,5.416666666666667
62000097,5.6,5.75,2.8,4.716666666666666
62000098,2.2,3.25,0,1.8166666666666667
62000099,3.4,5.5,2.0,3.6333333333333333
62000100,7.0,5.5,6.4,6.3
62000101,6.0,5.75,3.2,4.983333333333333
62000102,7.2,5.0,5.4,5.866666666666667
62000103,6.6,7.75,5.4,6.583333333333333
62000104,3.8,8.0,7.6,6.466666666666666
62000105,3.4,5.75,0,3.0500000000000003
62000106,6.8,3.5,0,3.4333333333333336
62000107,4.0,4.0,0,2.6666666666666665
62000108,4.4,6.5,2.8,4.566666666666666
62000109,2.8,1.75,0,1.5166666666666666
62000110,6.4,6.5,5.4,6.1000000000000005
62000111,4.2,5.75,3.2,4.383333333333333
62000112,3.6,5.5,0,3.033333333333333
62000113,7.0,7.0,4.4,6.133333333333333
62000114,7.2,6.0,8.6,7.266666666666666
62000115,6.8,6.0,4.0,5.6000000000000005
62000116,7.0,0,7.6,4.866666666666666
62000117,3.8,6.0,0,3.266666666666667
62000118,6.4,5.25,3.2,4.95
62000119,7.4,6.5,4.8,6.233333333333333
62000120,2.8,5.5,0,2.766666666666667
62000121,0,5.25,0,1.75
62000122,5.6,4.25,3.0,4.283333333333333
62000123,4.6,7.75,0,4.116666666666666
62000124,3.0,0,0,1.0
62000125,0,5.25,0,1.75
62000126,3.8,4.75,2.6,3.716666666666667
62000127,2.4,5.5,2.0,3.3000000000000003
62000128,5.6,6.25,4.0,5.283333333333333
62000129,3.4,2.5,0,1.9666666666666668
62000130,4.6,6.75,0,3.783333333333333
62000131,7.4,5.75,2.6,5.25
62000132,4.0,6.5,0,3.5
62000133,4.0,7.0,3.6,4.866666666666666
62000134,4.6,5.75,2.8,4.383333333333333
62000135,8.2,6.25,0,4.816666666666666
62000136,6.0,3.0,4.0,4.333333333333333
62000137,4.8,3.0,2.8,3.533333333333333
62000138,4.0,6.0,0,3.3333333333333335
62000139,5.6,7.5,4.2,5.766666666666667
62000140,5.6,5.75,2.2,4.516666666666667
62000141,5.6,4.5,2.4,4.166666666666667
62000142,8.6,8.0,4.0,6.866666666666667
62000143,2.6,5.5,3.0,3.6999999999999997
62000144,0,6.5,0,2.1666666666666665
62000145,4.2,6.0,2.8,4.333333333333333
62000146,6.2,6.0,2.8,5.0
62000147,2.6,7.25,5.0,4.95
62000148,4.0,5.25,3.8,4.3500000000000005
62000149,7.2,5.5,4.6,5.766666666666666
62000150,3.2,1.5,0,1.5666666666666667
62000151,5.4,7.25,3.4,5.3500000000000005
62000152,5.2,7.75,4.8,5.916666666666667
62000153,3.6,7.0,3.4,4.666666666666667
62000154,4.6,6.5,2.4,4.5
62000155,3.0,5.0,3.0,3.6666666666666665
62000156,4.8,7.25,3.8,5.283333333333334
62000157,2.4,4.25,1.8,2.816666666666667
62000158,8.4,7.5,0,5.3
62000159,6.2,5.5,3.0,4.8999999999999995
62000160,2.8,5.25,0,2.6833333333333336
62000161,3.2,5.25,1.6,3.3499999999999996
62000162,9.4,0,0,3.1333333333333333
62000163,3.4,3.75,0,2.3833333333333333
62000164,5.6,6.0,3.8,5.133333333333333
62000165,5.2,7.25,3.0,5.1499999999999995
62000166,5.6,5.75,5.4,5.583333333333333
62000167,3.4,6.5,2.0,3.966666666666667
62000168,4.4,6.0,3.4,4.6000000000000005
62000169,4.2,6.25,3.6,4.683333333333333
62000170,3.2,4.0,0,2.4
62000171,7.2,7.25,0,4.816666666666666
62000172,3.0,6.5,0,3.1666666666666665
62000173,2.6,6.5,4.0,4.366666666666666
62000174,5.8,5.5,0,3.766666666666667
62000175,3.8,7.75,3.4,4.983333333333333
62000176,6.4,7.25,3.0,5.55
62000177,5.8,5.75,2.8,4.783333333333334
62000178,5.0,7.5,4.8,5.766666666666667
62000179,7.2,6.25,3.2,5.55
62000180,7.6,5.25,0,4.283333333333333
62000181,4.4,7.0,0,3.8000000000000003
62000182,3.8,6.0,2.8,4.2
62000183,3.8,3.5,2.8,3.3666666666666667
62000184,3.2,6.0,2.6,3.933333333333333
62000185,5.0,4.75,4.6,4.783333333333333
62000186,4.6,5.25,3.6,4.483333333333333
62000187,2.8,5.25,2.4,3.483333333333334
62000188,4.2,4.25,4.0,4.1499999999999995
62000189,1.4,5.25,0,2.216666666666667
62000190,3.0,3.25,0,2.0833333333333335
62000191,3.2,6.5,0,3.233333333333333
62000192,7.0,5.75,3.0,5.25
62000193,2.8,6.0,0,2.9333333333333336
62000194,6.6,5.25,4.8,5.55
62000195,3.2,6.5,3.4,4.366666666666666
62000196,4.8,7.5,2.8,5.033333333333334
62000197,3.4,4.5,2.8,3.5666666666666664
62000198,6.8,6.5,5.0,6.1000000000000005
62000199,4.2,7.25,3.0,4.816666666666666
62000200,3.8,5.25,2.6,3.8833333333333333
