SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
52000001,9.6,8.75,0,6.116666666666667
52000002,7.4,8.25,8.6,8.083333333333334
52000003,8.4,9.0,9.2,8.866666666666665
52000004,9.0,8.5,8.6,8.700000000000001
52000005,6.6,7.0,0,4.533333333333333
52000006,8.2,7.75,6.0,7.316666666666666
52000007,9.4,8.5,8.8,8.9
52000008,6.6,7.5,6.0,6.7
52000009,8.2,8.75,9.8,8.916666666666666
52000010,8.2,6.75,6.2,7.05
52000011,7.2,8.25,8.2,7.883333333333333
52000012,8.0,7.0,4.8,6.6000000000000005
52000013,7.8,7.75,6.2,7.25
52000014,8.4,8.25,7.8,8.15
52000015,8.6,7.75,6.4,7.583333333333333
52000016,6.6,6.92,3.8,5.773333333333333
52000017,8.0,8.5,8.8,8.433333333333334
52000018,7.6,8.0,5.2,6.933333333333334
52000019,8.0,8.25,4.6,6.95
52000020,8.6,8.0,7.2,7.933333333333334
52000021,9.2,8.0,9.0,8.733333333333333
52000022,8.2,9.25,9.8,9.083333333333334
52000023,8.4,8.0,5.6,7.333333333333333
52000024,6.6,6.75,3.8,5.716666666666666
52000025,4.0,7.0,2.8,4.6000000000000005
52000026,9.0,8.0,5.8,7.6000000000000005
52000027,9.0,8.25,7.0,8.083333333333334
52000028,6.0,7.75,3.8,5.8500000000000005
52000029,7.4,8.5,0,5.3
52000030,7.6,8.5,7.8,7.966666666666668
52000031,9.0,7.5,6.2,7.566666666666666
52000032,8.6,8.75,9.6,8.983333333333334
52000033,7.4,7.25,3.8,6.1499999999999995
52000034,9.4,8.0,0,5.8
52000035,6.2,6.25,2.4,4.95
52000036,8.2,8.0,7.6,7.933333333333333
52000037,7.6,8.5,5.2,7.1000000000000005
52000038,8.6,8.0,6.2,7.6000000000000005
52000039,8.2,8.0,6.4,7.533333333333334
52000040,8.6,8.75,8.6,8.65
52000041,8.4,6.5,8.4,7.766666666666667
52000042,6.0,6.75,8.4,7.05
52000043,8.6,7.5,6.8,7.633333333333334
52000044,4.0,7.0,5.2,5.3999999999999995
52000045,7.2,6.5,4.2,5.966666666666666
52000046,5.4,7.0,4.2,5.533333333333334
52000047,6.6,8.25,4.6,6.483333333333333
52000048,8.8,6.75,8.0,7.8500000000000005
52000049,8.8,7.25,7.0,7.683333333333334
52000050,7.4,8.25,7.4,7.683333333333334
52000051,8.6,8.25,9.2,8.683333333333334
52000052,8.8,7.75,8.0,8.183333333333334
52000053,9.0,8.75,10.0,9.25
52000054,7.8,7.75,6.8,7.45
52000055,8.6,7.75,9.0,8.450000000000001
52000056,9.2,7.25,6.0,7.483333333333333
52000057,6.4,6.5,4.0,5.633333333333333
52000058,8.2,8.5,8.6,8.433333333333332
52000059,8.4,8.25,9.6,8.75
52000060,5.4,8.75,8.4,7.516666666666667
52000061,9.4,6.25,7.4,7.683333333333334
52000062,8.0,7.25,9.0,8.083333333333334
52000063,9.0,7.25,8.8,8.35
52000064,9.4,7.25,9.2,8.616666666666665
52000065,6.4,6.75,4.2,5.783333333333334
52000066,9.2,7.75,8.2,8.383333333333333
52000067,7.6,7.5,5.8,6.966666666666666
52000068,7.4,8.75,5.0,7.05
52000069,8.4,6.5,8.8,7.900000000000001
52000070,8.6,7.75,0,5.45
52000071,9.0,8.5,8.8,8.766666666666667
52000072,8.0,7.5,7.4,7.633333333333333
52000073,7.2,6.75,4.6,6.183333333333333
52000074,8.2,6.75,5.2,6.716666666666666
52000075,7.8,6.75,5.0,6.516666666666667
52000076,7.8,7.5,6.8,7.366666666666667
52000077,7.6,7.75,7.4,7.583333333333333
52000078,7.4,7.5,6.2,7.033333333333334
52000079,6.0,7.0,4.6,5.866666666666667
52000080,5.0,6.75,4.0,5.25
52000081,7.8,8.75,6.8,7.783333333333334
52000082,9.0,9.25,3.2,7.1499999999999995
52000083,8.8,7.75,9.0,8.516666666666667
52000084,7.2,7.5,3.4,6.033333333333332
52000085,7.8,7.5,4.4,6.566666666666667
52000086,9.4,8.75,9.4,9.183333333333332
52000087,7.8,8.0,8.8,8.200000000000001
52000088,9.4,6.0,9.8,8.4
52000089,9.2,8.75,8.6,8.85
52000090,8.2,8.0,0,5.3999999999999995
52000091,8.4,8.5,8.2,8.366666666666665
52000092,7.8,6.5,6.0,6.766666666666667
52000093,7.6,6.75,3.8,6.05
52000094,7.4,6.75,0,4.716666666666667
52000095,7.4,8.0,5.0,6.8
52000096,9.4,6.5,6.2,7.366666666666667
52000097,8.0,7.75,2.6,6.116666666666667
52000098,7.0,7.75,5.6,6.783333333333334
52000099,7.2,8.25,5.6,7.016666666666666
52000100,8.6,7.75,7.0,7.783333333333334
52000101,7.8,7.0,4.2,6.333333333333333
52000102,8.8,8.0,7.6,8.133333333333333
52000103,6.4,6.5,7.2,6.7
52000104,7.4,7.0,6.6,7.0
52000105,7.0,6.75,3.2,5.6499999999999995
52000106,8.0,8.5,8.4,8.299999999999999
52000107,7.6,8.25,5.6,7.1499999999999995
52000108,4.4,7.75,2.6,4.916666666666667
52000109,6.6,8.0,4.4,6.333333333333333
52000110,8.0,8.0,7.0,7.666666666666667
52000111,7.2,6.25,6.0,6.483333333333333
52000112,7.6,8.25,6.8,7.55
52000113,8.4,7.0,7.2,7.533333333333334
52000114,8.0,7.75,5.8,7.183333333333334
52000115,8.2,7.25,4.4,6.616666666666667
52000116,8.6,7.0,0,5.2
52000117,8.6,0,0,2.8666666666666667
52000118,8.6,7.25,4.2,6.683333333333334
52000119,7.8,7.75,4.0,6.516666666666667
52000120,8.6,7.75,7.8,8.05
52000121,7.6,7.75,0,5.116666666666666
52000122,7.8,7.5,5.4,6.900000000000001
52000123,8.8,7.0,6.6,7.466666666666666
52000124,8.4,8.5,9.4,8.766666666666666
52000125,7.8,7.5,6.8,7.366666666666667
52000126,7.6,7.25,5.2,6.683333333333334
52000127,9.0,7.75,5.6,7.45
52000128,9.2,8.25,8.0,8.483333333333333
52000129,6.4,7.5,5.4,6.433333333333334
52000130,7.4,7.0,3.4,5.933333333333334
52000131,8.8,7.75,8.4,8.316666666666668
52000132,8.2,8.75,7.8,8.25
52000133,8.8,8.75,9.0,8.85
52000134,7.0,7.0,4.2,6.066666666666666
52000135,9.2,8.25,0,5.816666666666666
52000136,8.8,8.0,9.4,8.733333333333334
52000137,7.6,6.75,4.6,6.316666666666666
52000138,7.8,7.75,5.2,6.916666666666667
52000139,7.6,7.0,6.6,7.066666666666666
52000140,6.0,6.75,4.8,5.8500000000000005
52000141,8.4,7.75,9.4,8.516666666666666
52000142,7.8,7.0,7.2,7.333333333333333
52000143,8.6,7.75,5.0,7.116666666666667
52000144,8.0,8.25,6.6,7.616666666666667
52000145,8.4,8.5,0,5.633333333333333
52000146,6.2,6.25,3.0,5.1499999999999995
52000147,6.0,5.25,5.0,5.416666666666667
52000148,8.0,5.75,8.0,7.25
52000149,8.8,7.75,5.4,7.316666666666667
52000150,8.8,7.0,4.8,6.866666666666667
52000151,7.4,8.5,9.6,8.5
52000152,7.6,6.75,6.2,6.8500000000000005
52000153,7.8,6.25,5.8,6.616666666666667
52000154,7.0,8.5,6.0,7.166666666666667
52000155,8.2,6.5,4.4,6.366666666666667
52000156,7.8,7.5,5.8,7.033333333333334
52000157,7.4,7.5,0,4.966666666666667
52000158,9.0,6.75,5.0,6.916666666666667
52000159,7.2,7.25,4.2,6.216666666666666
52000160,7.2,7.25,8.8,7.75
52000161,7.8,7.75,5.6,7.05
52000162,5.8,7.5,3.8,5.7
52000163,7.6,7.5,7.8,7.633333333333333
52000164,7.4,7.0,3.6,6.0
52000165,7.6,7.25,8.4,7.75
52000166,9.4,8.0,5.4,7.599999999999999
52000167,7.2,6.5,4.4,6.033333333333334
52000168,8.8,7.75,7.2,7.916666666666667
52000169,9.4,6.25,5.4,7.016666666666667
52000170,6.6,7.5,3.0,5.7
52000171,7.2,7.5,4.8,6.5
52000172,8.2,7.0,6.6,7.266666666666666
52000173,7.8,6.5,7.0,7.1000000000000005
52000174,8.8,6.5,6.4,7.233333333333334
52000175,8.0,6.25,5.4,6.55
52000176,8.4,7.75,6.8,7.6499999999999995
52000177,8.8,9.25,8.6,8.883333333333333
52000178,8.6,8.25,7.4,8.083333333333334
52000179,9.0,9.0,9.0,9.0
52000180,8.8,8.25,6.0,7.683333333333334
52000181,8.4,8.5,4.4,7.099999999999999
52000182,7.6,8.5,8.2,8.1
52000183,6.8,8.0,5.4,6.733333333333334
52000184,7.8,7.75,5.4,6.983333333333334
52000185,6.8,8.0,4.4,6.400000000000001
52000186,8.8,8.0,9.6,8.799999999999999
52000187,6.4,8.25,4.6,6.416666666666667
52000188,5.6,8.0,2.2,5.266666666666667
52000189,9.2,8.25,7.4,8.283333333333333
52000190,8.4,7.0,5.0,6.8
52000191,9.0,8.5,8.0,8.5
52000192,7.2,7.75,7.2,7.383333333333333
52000193,7.4,8.5,3.4,6.433333333333334
52000194,7.8,7.5,6.0,7.1000000000000005
52000195,9.6,8.5,9.0,9.033333333333333
52000196,8.0,7.25,6.0,7.083333333333333
52000197,7.6,8.0,0,5.2
52000198,8.0,7.5,8.0,7.833333333333333
52000199,8.4,7.0,4.6,6.666666666666667
52000200,8.4,6.5,4.4,6.433333333333334
52000201,8.2,6.25,4.8,6.416666666666667
52000202,9.4,8.25,8.0,8.549999999999999
52000203,7.6,8.5,9.0,8.366666666666667
52000204,5.8,7.25,4.8,5.95
52000205,8.6,8.75,9.2,8.85
52000206,6.6,9.25,8.4,8.083333333333334
52000207,8.0,8.0,6.6,7.533333333333334
52000208,7.8,8.0,9.8,8.533333333333333
52000209,8.4,8.0,5.8,7.3999999999999995
52000210,8.8,7.75,7.4,7.983333333333334
52000211,8.8,9.25,7.6,8.549999999999999
52000212,8.2,7.5,4.6,6.766666666666666
52000213,8.4,8.25,9.0,8.549999999999999
52000214,6.0,8.25,7.0,7.083333333333333
52000215,7.2,7.0,2.8,5.666666666666667
52000216,9.4,8.25,8.6,8.75
52000217,6.6,8.25,5.6,6.816666666666666
52000218,8.6,8.25,6.4,7.75
52000219,9.4,6.5,8.4,8.1
52000220,8.4,7.5,9.4,8.433333333333334
52000221,7.2,5.75,4.4,5.783333333333334
52000222,7.4,8.0,3.8,6.3999999999999995
52000223,8.6,8.0,0,5.533333333333334
52000224,8.0,7.75,7.0,7.583333333333333
52000225,8.2,6.75,5.0,6.6499999999999995
52000226,6.4,7.0,4.4,5.933333333333334
52000227,8.0,7.5,5.6,7.033333333333334
52000228,7.6,8.0,5.6,7.066666666666666
