SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
54000001,3.8,6.5,3.8,4.7
54000002,8.0,6.5,5.2,6.566666666666666
54000003,6.6,5.75,3.8,5.383333333333333
54000004,7.6,5.75,4.6,5.983333333333333
54000005,4.4,2.75,3.0,3.3833333333333333
54000006,5.0,4.25,4.0,4.416666666666667
54000007,7.6,4.75,5.6,5.983333333333333
54000008,5.6,6.25,3.0,4.95
54000009,7.2,7.25,3.2,5.883333333333333
54000010,7.8,7.0,6.4,7.066666666666667
54000011,5.8,5.0,5.0,5.266666666666667
54000012,8.8,5.75,4.0,6.183333333333334
54000013,6.6,5.25,3.6,5.1499999999999995
54000014,6.6,7.33,5.4,6.4433333333333325
54000015,8.0,6.5,4.2,6.233333333333333
54000016,6.4,5.5,0,3.966666666666667
54000017,7.4,6.5,3.2,5.7
54000018,2.4,3.25,0,1.8833333333333335
54000019,7.0,7.5,3.4,5.966666666666666
54000020,7.8,7.25,6.8,7.283333333333334
54000021,5.6,4.0,0,3.1999999999999997
54000022,8.4,6.5,4.2,6.366666666666667
54000023,7.6,7.75,3.8,6.383333333333333
54000024,7.6,0,0,2.533333333333333
54000025,3.0,4.75,0,2.5833333333333335
54000026,9.2,7.5,7.2,7.966666666666666
54000027,4.6,5.75,2.0,4.116666666666666
54000028,6.0,4.75,3.6,4.783333333333333
54000029,3.6,6.5,3.0,4.366666666666666
54000030,7.8,5.5,4.8,6.033333333333334
54000031,5.2,5.0,3.8,4.666666666666667
54000032,6.6,6.75,2.6,5.316666666666666
54000033,6.4,7.75,3.6,5.916666666666667
54000034,5.8,6.0,2.4,4.733333333333333
54000035,7.2,5.5,3.2,5.3
54000036,4.6,4.75,2.8,4.05
54000037,2.0,3.5,0,1.8333333333333333
54000038,2.6,3.5,1.4,2.5
54000039,6.2,6.5,2.6,5.1
54000040,7.0,5.75,4.4,5.716666666666666
54000041,6.8,6.75,3.6,5.716666666666668
54000042,4.0,5.75,0,3.25
54000043,6.4,6.75,2.8,5.316666666666666
54000044,2.4,6.0,0,2.8000000000000003
54000045,4.0,6.25,2.0,4.083333333333333
54000046,7.8,8.75,4.8,7.116666666666667
54000047,7.6,8.5,4.0,6.7
54000048,6.8,7.0,0,4.6000000000000005
54000049,6.4,6.5,3.6,5.5
54000050,3.8,6.5,3.0,4.433333333333334
54000051,7.0,4.5,3.4,4.966666666666667
54000052,8.4,7.25,5.4,7.016666666666667
54000053,3.0,4.75,1.8,3.1833333333333336
54000054,4.2,6.25,3.2,4.55
54000055,5.8,6.5,2.2,4.833333333333333
54000056,4.2,4.75,2.6,3.8499999999999996
54000057,3.6,5.0,3.4,4.0
54000058,4.4,4.75,0,3.0500000000000003
54000059,7.0,5.25,6.8,6.3500000000000005
54000060,5.6,5.5,3.6,4.8999999999999995
54000061,5.8,3.75,2.6,4.05
54000062,8.8,6.25,3.4,6.1499999999999995
54000063,7.6,6.25,4.6,6.1499999999999995
54000064,5.6,5.25,0,3.6166666666666667
54000065,6.2,6.0,3.0,5.066666666666666
54000066,4.0,3.25,0,2.4166666666666665
54000067,8.4,6.0,5.2,6.533333333333334
54000068,8.6,7.75,6.0,7.45
54000069,5.8,6.5,3.2,5.166666666666667
54000070,7.6,6.5,4.2,6.1000000000000005
54000071,6.8,5.75,2.2,4.916666666666667
54000072,3.6,3.75,3.0,3.4499999999999997
54000073,2.8,3.5,1.8,2.6999999999999997
54000074,8.4,6.0,4.0,6.133333333333333
54000075,6.8,5.0,2.4,4.733333333333333
54000076,7.8,5.5,2.6,5.3
54000077,7.6,5.5,4.8,5.966666666666666
54000078,5.4,5.25,2.2,4.283333333333334
54000079,8.0,6.75,3.2,5.983333333333333
54000080,4.4,6.5,0,3.6333333333333333
54000081,7.6,0,0,2.533333333333333
54000082,6.8,4.5,3.0,4.766666666666667
54000083,8.0,6.0,4.0,6.0
54000084,4.6,5.25,0,3.283333333333333
54000085,8.2,6.5,6.0,6.8999999999999995
54000086,7.0,6.25,4.8,6.016666666666667
54000087,6.8,6.0,3.6,5.466666666666668
54000088,7.6,6.75,4.2,6.183333333333334
54000089,5.8,5.5,2.8,4.7
54000090,7.4,7.75,5.6,6.916666666666667
54000091,7.8,7.25,3.2,6.083333333333333
54000092,8.4,6.25,4.6,6.416666666666667
54000093,5.8,4.0,2.6,4.133333333333334
54000094,6.4,6.0,3.8,5.3999999999999995
54000095,5.0,3.75,2.6,3.783333333333333
54000096,8.0,7.5,4.4,6.633333333333333
54000097,6.6,6.0,4.0,5.533333333333334
54000098,6.4,6.25,3.0,5.216666666666667
54000099,5.6,5.0,3.8,4.8
54000100,2.6,3.75,0,2.1166666666666667
54000101,7.2,5.5,3.6,5.433333333333334
54000102,7.0,0,8.8,5.266666666666667
54000103,6.0,6.5,3.0,5.166666666666667
54000104,7.2,5.0,3.6,5.266666666666667
54000105,8.2,7.5,4.6,6.766666666666666
54000106,5.4,5.75,4.0,5.05
54000107,5.8,7.0,3.0,5.266666666666667
54000108,3.6,5.0,3.0,3.8666666666666667
54000109,5.6,5.5,2.8,4.633333333333333
54000110,8.2,7.25,4.8,6.75
54000111,7.2,7.25,4.6,6.349999999999999
54000112,8.0,7.25,4.4,6.55
54000113,6.8,7.5,3.2,5.833333333333333
54000114,7.4,7.25,3.4,6.016666666666667
54000115,7.0,6.5,4.6,6.033333333333334
54000116,6.8,6.5,3.6,5.633333333333334
54000117,5.6,4.75,2.6,4.316666666666666
54000118,7.0,6.75,4.0,5.916666666666667
