SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
35000001,8.6,7.5,3.6,6.566666666666667
35000002,7.4,9.25,7.0,7.883333333333333
35000003,6.8,7.75,6.4,6.983333333333334
35000004,8.2,7.5,6.0,7.233333333333333
35000005,8.0,7.5,2.4,5.966666666666666
35000006,9.0,6.75,5.8,7.183333333333334
35000007,8.0,7.5,4.4,6.633333333333333
35000008,5.6,7.25,3.6,5.483333333333333
35000009,6.4,8.25,5.0,6.55
35000010,3.0,4.0,0,2.3333333333333335
35000011,8.0,7.0,4.8,6.6000000000000005
35000012,7.6,6.25,4.2,6.016666666666667
35000013,4.4,5.25,0,3.216666666666667
35000014,9.0,6.25,5.6,6.95
35000015,7.2,6.25,5.8,6.416666666666667
35000016,7.2,6.5,4.0,5.8999999999999995
35000017,9.2,7.5,7.0,7.8999999999999995
35000018,9.0,6.25,6.8,7.3500000000000005
35000019,4.6,6.0,3.0,4.533333333333333
35000020,7.8,6.75,3.0,5.8500000000000005
35000021,6.8,6.75,5.0,6.183333333333334
35000022,7.2,6.75,4.8,6.25
35000023,4.4,6.75,3.4,4.8500000000000005
35000024,6.6,6.75,3.0,5.45
35000025,8.0,6.25,4.4,6.216666666666666
35000026,2.2,0.5,0,0.9
35000027,7.4,6.75,5.2,6.45
35000028,9.0,6.0,5.0,6.666666666666667
35000029,7.6,5.75,3.4,5.583333333333333
35000030,4.6,5.75,3.8,4.716666666666666
35000031,8.8,7.5,6.2,7.5
35000032,8.8,8.25,6.6,7.883333333333333
35000033,8.2,4.25,2.8,5.083333333333333
35000034,7.2,6.25,4.2,5.883333333333333
35000035,7.2,7.25,2.6,5.683333333333334
35000036,5.0,7.0,4.4,5.466666666666666
35000037,6.6,7.5,4.6,6.233333333333333
35000038,8.8,7.25,4.0,6.683333333333334
35000039,8.2,7.75,5.0,6.983333333333333
35000040,7.4,8.0,5.4,6.933333333333334
35000041,8.4,6.25,4.4,6.3500000000000005
35000042,7.2,6.5,3.0,5.566666666666666
35000043,0,4.0,0,1.3333333333333333
35000044,6.2,7.0,3.8,5.666666666666667
35000045,8.4,6.0,5.4,6.6000000000000005
35000046,4.0,7.0,3.6,4.866666666666666
35000047,6.8,6.25,1.8,4.95
35000048,2.2,2.75,0,1.6500000000000001
35000049,7.8,7.75,6.8,7.45
35000050,0,8.5,7.4,5.3
35000051,8.8,7.5,5.4,7.233333333333334
35000052,6.8,7.75,5.2,6.583333333333333
35000053,8.0,6.5,5.0,6.5
35000054,8.4,6.5,3.4,6.1000000000000005
35000055,8.2,6.75,7.8,7.583333333333333
35000056,8.8,6.75,4.2,6.583333333333333
35000057,7.6,3.5,7.2,6.1000000000000005
35000058,7.6,6.5,2.2,5.433333333333334
35000059,8.6,7.5,3.2,6.433333333333334
35000060,4.6,6.0,0,3.533333333333333
35000061,4.8,6.0,1.6,4.133333333333334
35000062,4.4,7.75,5.4,5.8500000000000005
35000063,8.4,6.5,4.2,6.366666666666667
35000064,5.2,6.75,2.8,4.916666666666667
35000065,7.6,5.5,2.2,5.1000000000000005
35000066,0,7.75,0,2.5833333333333335
35000067,5.6,7.5,5.0,6.033333333333334
35000068,8.2,6.25,5.2,6.55
35000069,7.6,7.5,5.0,6.7
35000070,8.8,8.25,6.4,7.816666666666667
35000071,8.2,7.5,6.0,7.233333333333333
35000072,6.4,6.5,2.4,5.1000000000000005
35000073,8.6,6.0,4.0,6.2
35000074,5.8,6.5,3.0,5.1000000000000005
35000075,6.2,7.5,4.4,6.033333333333334
35000076,9.0,6.75,5.4,7.05
35000077,3.4,2.75,0,2.0500000000000003
35000078,6.0,7.0,3.6,5.533333333333334
35000079,8.0,8.5,7.2,7.8999999999999995
35000080,8.0,7.0,7.2,7.3999999999999995
35000081,4.2,6.75,3.0,4.6499999999999995
35000082,9.2,7.5,7.8,8.166666666666666
35000083,8.6,6.5,2.8,5.966666666666666
35000084,8.4,8.25,6.0,7.55
35000085,7.6,6.75,4.4,6.25
35000086,7.4,7.25,4.6,6.416666666666667
35000087,7.2,6.25,3.6,5.683333333333334
35000088,9.0,7.5,8.0,8.166666666666666
35000089,7.6,7.0,3.6,6.066666666666666
35000090,2.8,3.5,0,2.1
35000091,7.6,7.0,5.6,6.733333333333333
35000092,8.6,7.25,4.6,6.816666666666666
35000093,6.6,6.75,4.2,5.8500000000000005
35000094,8.8,7.0,5.4,7.066666666666667
35000095,8.2,7.0,3.2,6.133333333333333
35000096,9.8,5.25,4.6,6.55
35000097,6.6,6.5,5.0,6.033333333333334
35000098,7.6,7.0,4.8,6.466666666666666
35000099,7.4,6.25,3.6,5.75
35000100,6.8,7.0,4.0,5.933333333333334
35000101,8.8,7.0,5.6,7.133333333333333
35000102,6.2,6.25,5.6,6.016666666666666
35000103,9.2,7.0,8.2,8.133333333333333
35000104,8.8,5.0,5.6,6.466666666666666
35000105,9.4,6.75,5.8,7.316666666666666
35000106,9.2,6.75,5.2,7.05
35000107,7.8,7.0,2.8,5.866666666666667
35000108,6.6,7.5,3.6,5.8999999999999995
35000109,7.2,7.25,4.4,6.283333333333334
35000110,7.6,7.75,5.4,6.916666666666667
35000111,9.2,7.75,8.2,8.383333333333333
35000113,7.8,5.5,3.0,5.433333333333334
35000114,7.2,6.75,4.6,6.183333333333333
35000115,4.6,6.25,3.8,4.883333333333333
35000116,7.0,6.5,1.8,5.1000000000000005
35000117,6.0,3.5,0,3.1666666666666665
35000118,8.0,6.0,4.4,6.133333333333333
35000119,5.2,6.0,4.0,5.066666666666666
35000120,7.0,5.25,4.6,5.616666666666667
35000121,8.6,5.25,4.8,6.216666666666666
35000122,7.0,8.0,4.0,6.333333333333333
35000123,7.6,8.0,4.6,6.733333333333333
35000124,6.0,8.0,5.4,6.466666666666666
35000125,6.2,6.5,3.0,5.233333333333333
35000126,7.4,6.5,4.4,6.1000000000000005
35000127,5.6,8.25,6.8,6.883333333333333
35000128,8.4,8.0,5.8,7.3999999999999995
35000129,8.0,5.75,3.0,5.583333333333333
35000130,9.4,5.25,6.0,6.883333333333333
35000131,8.6,6.5,6.0,7.033333333333334
35000132,8.4,5.5,3.4,5.766666666666667
35000133,9.0,6.5,5.2,6.8999999999999995
35000134,5.8,6.75,3.8,5.45
35000135,6.4,8.0,6.0,6.8
35000136,4.8,5.75,3.8,4.783333333333334
35000137,9.0,7.5,5.2,7.233333333333333
35000138,8.4,8.0,6.0,7.466666666666666
35000139,8.0,6.75,4.4,6.383333333333333
35000140,8.8,8.5,7.4,8.233333333333334
35000141,9.4,6.75,8.2,8.116666666666665
35000142,8.4,0,0,2.8000000000000003
35000143,9.0,6.0,4.2,6.3999999999999995
35000144,6.6,7.0,4.0,5.866666666666667
35000145,8.4,6.5,5.6,6.833333333333333
35000146,9.4,6.75,6.0,7.383333333333333
35000147,8.8,5.5,4.8,6.366666666666667
35000148,7.6,6.5,7.0,7.033333333333334
35000149,8.4,6.75,3.8,6.316666666666666
35000150,7.6,7.0,5.6,6.733333333333333
35000151,8.6,6.0,4.8,6.466666666666666
35000152,6.0,6.75,3.8,5.516666666666667
35000153,8.4,6.25,4.8,6.483333333333333
35000154,9.0,7.25,5.2,7.1499999999999995
35000155,4.6,6.0,4.4,5.0
35000156,5.2,6.25,5.8,5.75
35000157,8.4,5.25,3.8,5.816666666666666
35000158,7.4,6.0,4.8,6.066666666666666
35000159,5.2,5.5,5.6,5.433333333333333
35000160,8.4,6.0,5.8,6.733333333333333
35000161,9.4,5.5,4.4,6.433333333333334
35000162,8.4,6.5,5.0,6.633333333333333
35000163,8.4,8.0,7.2,7.866666666666666
35000164,7.0,7.5,7.4,7.3
35000165,4.8,6.25,0,3.6833333333333336
35000166,8.4,6.5,5.0,6.633333333333333
35000167,5.8,7.75,3.6,5.716666666666668
35000168,4.6,6.5,4.6,5.233333333333333
35000169,4.6,6.0,5.2,5.266666666666667
35000170,8.2,6.0,5.0,6.3999999999999995
35000171,8.4,6.75,6.4,7.183333333333334
35000172,6.8,7.25,5.2,6.416666666666667
35000173,6.4,6.5,5.0,5.966666666666666
35000174,7.0,7.25,5.2,6.483333333333333
35000175,6.2,6.0,3.4,5.2
35000176,7.6,5.5,5.4,6.166666666666667
35000177,9.6,7.25,5.8,7.550000000000001
35000178,8.2,6.0,3.8,6.0
35000179,6.0,7.0,5.2,6.066666666666666
35000180,7.6,7.5,7.0,7.366666666666667
35000181,7.4,6.25,3.4,5.683333333333334
35000182,6.2,6.0,4.2,5.466666666666666
35000183,6.2,6.0,2.2,4.8
35000184,5.8,6.0,3.0,4.933333333333334
35000185,6.8,5.5,4.4,5.566666666666667
35000186,3.8,5.0,0,2.9333333333333336
35000187,8.8,7.5,9.8,8.700000000000001
35000188,6.4,6.75,4.0,5.716666666666666
35000189,3.4,4.0,0,2.466666666666667
35000190,9.0,6.5,3.4,6.3
35000191,8.6,7.75,4.0,6.783333333333334
35000192,7.4,5.75,3.0,5.383333333333333
35000193,4.2,6.75,2.8,4.583333333333333
35000194,8.6,7.25,8.2,8.016666666666666
35000195,6.4,6.75,5.6,6.25
35000196,7.6,6.0,4.4,6.0
