SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
09000001,7.8,6.25,2.4,5.483333333333333
09000002,7.4,8.5,4.0,6.633333333333333
09000003,7.8,7.75,5.6,7.05
09000004,6.6,8.5,4.4,6.5
09000005,5.4,8.25,3.0,5.55
09000006,7.4,8.5,4.4,6.766666666666667
09000007,4.6,7.0,3.8,5.133333333333333
09000008,5.8,8.0,4.6,6.133333333333333
09000009,4.2,8.0,2.4,4.866666666666666
09000010,6.2,7.75,4.8,6.25
09000011,5.2,6.25,4.8,5.416666666666667
09000012,6.8,7.5,5.2,6.5
09000013,6.0,6.25,2.6,4.95
09000014,8.4,6.75,3.2,6.116666666666667
09000015,7.4,7.75,4.0,6.383333333333333
09000016,6.0,7.0,3.8,5.6000000000000005
09000017,4.2,7.5,4.6,5.433333333333333
09000018,9.2,8.75,8.8,8.916666666666666
09000019,7.4,8.0,4.2,6.533333333333334
09000020,5.0,7.0,3.2,5.066666666666666
09000021,7.8,6.75,4.4,6.316666666666667
09000022,6.0,7.25,4.0,5.75
09000023,6.6,7.25,3.2,5.683333333333334
09000024,8.0,8.0,3.4,6.466666666666666
09000025,5.0,7.5,2.6,5.033333333333333
09000026,4.6,7.5,1.6,4.566666666666666
09000027,8.4,8.5,7.0,7.966666666666666
09000028,5.6,8.0,3.4,5.666666666666667
09000029,5.6,7.5,3.4,5.5
09000030,5.8,7.25,4.0,5.683333333333334
09000031,8.0,7.75,5.4,7.05
09000032,7.6,8.5,5.4,7.166666666666667
09000033,8.0,7.75,4.6,6.783333333333334
09000034,8.0,8.5,6.4,7.633333333333333
09000035,6.4,9.0,3.6,6.333333333333333
09000036,8.2,8.25,4.6,7.016666666666666
09000037,8.2,7.5,4.4,6.7
09000038,7.6,8.25,5.4,7.083333333333333
09000039,8.8,8.25,4.6,7.216666666666666
09000040,8.2,7.0,4.4,6.533333333333334
09000041,3.0,6.25,2.6,3.9499999999999997
09000042,8.0,8.0,5.8,7.266666666666667
09000043,7.4,7.75,5.6,6.916666666666667
09000044,4.8,7.75,2.8,5.116666666666667
09000045,6.4,7.25,3.8,5.816666666666666
09000046,6.6,9.0,4.4,6.666666666666667
09000047,7.8,8.25,5.0,7.016666666666667
09000048,9.2,7.75,7.6,8.183333333333332
09000049,5.8,7.75,4.2,5.916666666666667
09000050,8.6,8.25,7.2,8.016666666666667
09000051,6.8,8.5,6.2,7.166666666666667
09000052,6.2,8.5,4.2,6.3
09000053,5.4,6.5,3.8,5.233333333333333
09000054,6.8,8.5,3.6,6.300000000000001
09000055,8.8,8.5,6.4,7.900000000000001
09000056,7.2,7.5,3.2,5.966666666666666
09000057,6.0,6.75,4.4,5.716666666666666
09000058,5.2,6.25,4.0,5.1499999999999995
09000059,8.4,7.0,3.2,6.2
09000060,8.2,7.5,3.8,6.5
09000061,8.0,8.5,3.8,6.766666666666667
09000062,8.4,9.0,6.0,7.8
