SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
51000001,7.8,8.5,9.8,8.700000000000001
51000002,7.2,6.25,7.8,7.083333333333333
51000003,8.2,6.0,8.8,7.666666666666667
51000004,2.2,0,0,0.7333333333333334
51000005,6.0,7.0,8.6,7.2
51000006,6.8,8.25,5.4,6.816666666666667
51000007,7.6,8.5,9.0,8.366666666666667
51000008,7.4,8.0,7.2,7.533333333333334
51000009,6.4,7.5,5.6,6.5
51000010,8.2,7.0,5.2,6.8
51000011,7.4,8.25,9.6,8.416666666666666
51000012,6.0,8.0,5.2,6.3999999999999995
51000013,7.0,7.0,7.2,7.066666666666666
51000014,4.8,6.0,0,3.6
51000015,6.8,7.5,8.4,7.566666666666667
51000016,7.4,7.0,9.6,8.0
51000017,7.4,6.5,9.4,7.766666666666667
51000018,7.4,7.5,9.0,7.966666666666666
51000019,8.4,8.25,9.0,8.549999999999999
51000020,7.2,8.5,8.4,8.033333333333333
51000021,6.2,7.25,7.6,7.016666666666666
51000022,8.2,7.5,8.2,7.966666666666666
51000024,7.2,6.5,7.6,7.099999999999999
51000025,8.4,7.25,6.8,7.483333333333333
51000026,7.8,6.75,7.4,7.316666666666667
51000027,7.6,7.25,7.0,7.283333333333334
51000028,9.2,7.0,8.2,8.133333333333333
51000029,8.2,6.5,8.8,7.833333333333333
51000030,7.6,7.0,7.0,7.2
51000031,3.6,3.5,0,2.3666666666666667
51000032,6.8,8.0,5.0,6.6000000000000005
51000033,7.8,8.0,7.8,7.866666666666667
51000034,7.2,7.5,9.4,8.033333333333333
51000035,5.0,5.0,0,3.3333333333333335
51000036,8.0,7.25,7.6,7.616666666666667
51000037,9.0,7.5,8.8,8.433333333333334
51000038,7.4,6.5,7.4,7.1000000000000005
51000039,6.2,6.25,0,4.1499999999999995
51000040,7.6,5.75,9.4,7.583333333333333
51000041,7.8,5.5,8.6,7.3
51000042,4.2,4.0,0,2.733333333333333
51000043,3.2,4.25,3.4,3.6166666666666667
51000044,9.2,7.25,9.2,8.549999999999999
51000045,6.6,8.25,8.0,7.616666666666667
51000046,3.6,5.25,0,2.9499999999999997
51000047,7.0,8.0,9.2,8.066666666666666
51000048,8.4,7.5,8.6,8.166666666666666
51000049,8.4,7.0,8.4,7.933333333333334
51000050,7.2,8.5,9.0,8.233333333333333
51000051,8.0,8.5,8.6,8.366666666666667
51000052,6.8,5.75,6.0,6.183333333333334
51000053,8.2,7.08,9.0,8.093333333333334
51000054,6.8,7.75,7.8,7.45
51000055,7.8,8.25,9.6,8.549999999999999
51000056,6.6,8.0,8.6,7.733333333333333
51000057,6.8,4.5,0,3.766666666666667
51000058,7.6,6.5,8.8,7.633333333333333
51000059,8.2,0,0,2.733333333333333
51000060,8.2,4.5,7.6,6.766666666666666
51000061,8.2,6.75,8.2,7.716666666666666
51000062,6.6,6.75,6.8,6.716666666666666
51000063,9.2,7.5,7.0,7.8999999999999995
51000064,3.6,5.5,1.8,3.6333333333333333
51000065,0,4.5,0,1.5
51000066,7.8,7.0,7.0,7.266666666666667
51000067,7.8,8.75,8.6,8.383333333333333
51000068,5.6,8.0,0,4.533333333333333
51000069,8.8,5.0,9.4,7.733333333333334
51000070,5.0,5.75,0,3.5833333333333335
51000071,8.2,8.5,9.4,8.700000000000001
51000072,7.8,8.75,9.0,8.516666666666667
51000073,7.6,8.75,8.8,8.383333333333335
51000074,6.2,6.5,6.8,6.5
51000075,7.6,8.25,8.6,8.15
51000076,7.0,7.25,7.8,7.3500000000000005
51000077,7.8,6.5,7.0,7.1000000000000005
51000078,8.4,7.5,6.6,7.5
51000079,7.4,7.25,9.4,8.016666666666667
51000080,5.8,8.5,8.0,7.433333333333334
51000081,7.2,7.5,8.2,7.633333333333333
51000082,0,6.5,0,2.1666666666666665
51000083,8.2,6.75,8.2,7.716666666666666
51000084,8.4,6.75,7.4,7.516666666666667
51000085,8.2,7.25,8.6,8.016666666666666
51000086,6.8,8.25,0,5.016666666666667
51000087,7.0,6.0,0,4.333333333333333
51000088,6.2,5.75,2.6,4.85
51000089,8.0,8.0,7.0,7.666666666666667
51000090,7.8,8.25,8.4,8.15
51000091,7.2,5.75,5.2,6.05
51000092,6.4,7.67,7.2,7.09
51000093,6.0,6.5,8.0,6.833333333333333
51000094,7.6,5.0,5.4,6.0
51000095,5.6,3.5,0,3.033333333333333
51000096,3.2,5.75,3.4,4.116666666666666
51000097,8.2,6.75,3.8,6.25
51000098,7.4,8.25,8.2,7.95
51000099,7.2,7.0,7.0,7.066666666666666
51000100,8.2,8.0,8.8,8.333333333333334
51000101,8.6,7.25,9.2,8.35
51000102,8.0,8.5,8.6,8.366666666666667
51000103,7.2,8.5,9.6,8.433333333333332
51000104,8.0,8.5,6.4,7.633333333333333
51000105,0,5.25,0,1.75
51000106,8.2,7.5,9.6,8.433333333333332
51000107,6.6,7.0,0,4.533333333333333
51000108,6.2,8.5,9.0,7.8999999999999995
51000109,8.4,7.5,9.4,8.433333333333334
51000110,7.8,7.75,9.2,8.25
51000111,7.4,5.75,8.8,7.316666666666667
