SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
21000001,5.6,5.0,0,3.533333333333333
21000002,7.4,5.5,0,4.3
21000003,8.6,6.75,5.8,7.05
21000004,7.8,8.5,7.0,7.766666666666667
21000005,5.4,4.25,0,3.216666666666667
21000006,8.4,7.75,8.8,8.316666666666666
21000007,5.6,7.25,3.2,5.3500000000000005
21000008,7.4,7.5,8.8,7.900000000000001
21000009,8.2,6.25,9.8,8.083333333333334
21000010,8.6,8.75,9.0,8.783333333333333
21000011,9.0,8.0,9.6,8.866666666666667
21000012,6.4,7.5,7.4,7.1000000000000005
21000013,8.8,8.0,9.0,8.6
21000014,8.6,6.25,6.0,6.95
21000015,9.0,0,0,3.0
21000016,7.4,7.75,9.0,8.049999999999999
21000017,8.0,7.5,7.8,7.766666666666667
21000018,7.2,7.75,7.6,7.516666666666666
21000019,5.0,5.5,0,3.5
21000020,8.0,8.25,5.2,7.1499999999999995
21000021,8.4,6.25,5.6,6.75
21000022,7.6,7.0,6.4,7.0
21000023,5.2,4.75,0,3.3166666666666664
21000024,7.2,6.5,4.8,6.166666666666667
21000025,5.8,6.75,0,4.183333333333334
21000026,8.8,7.5,8.2,8.166666666666666
21000027,6.2,5.75,0,3.983333333333333
21000028,7.0,7.75,6.2,6.983333333333333
21000029,8.4,6.25,7.4,7.3500000000000005
21000030,6.6,8.5,8.0,7.7
21000031,9.2,8.25,8.8,8.75
21000032,8.2,7.25,7.8,7.75
21000033,9.0,7.25,9.2,8.483333333333333
21000034,8.8,7.5,9.2,8.5
21000035,8.4,6.75,6.8,7.316666666666666
21000036,7.4,8.0,8.8,8.066666666666668
21000037,7.2,6.5,9.8,7.833333333333333
21000038,9.0,6.5,9.4,8.299999999999999
21000039,8.0,7.0,8.6,7.866666666666667
21000040,7.8,7.25,8.0,7.683333333333334
21000041,8.6,5.5,5.2,6.433333333333334
21000042,7.6,8.0,9.2,8.266666666666666
21000043,8.4,8.5,8.8,8.566666666666666
21000044,7.4,8.25,7.4,7.683333333333334
21000045,8.0,6.0,4.0,6.0
21000046,8.8,8.5,9.2,8.833333333333334
21000047,7.6,6.5,5.8,6.633333333333333
21000048,7.0,7.25,5.2,6.483333333333333
21000049,4.6,5.5,0,3.3666666666666667
21000050,9.2,8.0,9.0,8.733333333333333
21000051,7.2,6.5,6.6,6.766666666666666
21000052,8.2,0,8.4,5.533333333333334
21000053,8.6,0,0,2.8666666666666667
21000054,8.4,0,0,2.8000000000000003
21000055,7.6,7.5,0,5.033333333333333
21000056,6.4,7.5,0,4.633333333333334
21000057,7.6,6.75,8.0,7.45
21000058,9.2,8.75,7.8,8.583333333333334
21000059,8.4,6.5,9.4,8.1
21000060,8.8,8.0,9.0,8.6
21000061,6.8,5.0,0,3.9333333333333336
21000062,8.0,6.5,0,4.833333333333333
21000063,8.2,5.75,4.2,6.05
21000064,8.2,7.0,3.8,6.333333333333333
21000065,5.4,6.0,0,3.8000000000000003
21000066,5.8,5.0,0,3.6
21000067,8.4,6.5,7.8,7.566666666666666
21000068,7.2,5.75,0,4.316666666666666
21000069,7.8,7.25,7.0,7.3500000000000005
21000070,8.2,7.5,7.8,7.833333333333333
21000071,6.8,7.25,9.6,7.883333333333333
21000072,8.8,7.25,9.2,8.416666666666666
21000073,7.8,7.0,8.4,7.733333333333334
21000074,7.2,7.75,6.8,7.25
21000075,8.4,7.25,4.8,6.816666666666666
21000076,7.8,6.25,6.0,6.683333333333334
21000077,3.4,4.75,0,2.716666666666667
21000078,4.6,4.5,0,3.033333333333333
21000079,9.0,7.5,7.4,7.966666666666666
21000080,9.2,7.0,7.6,7.933333333333333
21000081,8.4,8.0,9.4,8.6
21000082,5.8,6.0,0,3.9333333333333336
21000083,8.0,8.0,8.4,8.133333333333333
21000084,2.0,6.0,0,2.6666666666666665
21000085,8.8,6.0,7.0,7.266666666666667
21000086,6.4,7.0,0,4.466666666666667
21000087,7.8,5.75,6.2,6.583333333333333
21000088,8.4,6.5,9.0,7.966666666666666
21000089,6.2,5.5,0,3.9
21000090,8.6,6.5,10.0,8.366666666666667
21000091,8.2,4.25,9.0,7.1499999999999995
21000092,6.0,5.25,0,3.75
21000093,7.8,5.5,0,4.433333333333334
21000094,3.2,3.25,0,2.15
21000095,6.0,4.75,0,3.5833333333333335
21000096,7.0,6.25,0,4.416666666666667
21000097,8.4,8.5,9.0,8.633333333333333
21000098,6.8,6.0,0,4.266666666666667
21000099,9.0,8.25,9.2,8.816666666666666
21000100,8.4,8.75,9.6,8.916666666666666
21000101,8.6,5.75,8.0,7.45
21000102,8.6,8.5,8.2,8.433333333333334
21000103,8.2,8.5,9.0,8.566666666666666
21000104,8.0,5.5,7.4,6.966666666666666
21000105,5.8,5.25,0,3.6833333333333336
21000106,8.0,8.25,8.8,8.35
21000107,9.2,7.75,8.4,8.450000000000001
21000108,3.6,2.5,0,2.033333333333333
21000109,9.4,6.75,10.0,8.716666666666667
21000110,8.4,7.5,5.2,7.033333333333334
21000111,7.2,5.0,0,4.066666666666666
21000112,9.2,5.25,9.6,8.016666666666666
21000113,5.0,4.5,0,3.1666666666666665
21000114,6.0,5.0,7.4,6.133333333333333
21000115,9.0,8.0,8.6,8.533333333333333
21000116,8.6,3.75,5.6,5.983333333333333
21000117,3.8,4.25,0,2.6833333333333336
21000118,4.6,6.25,0,3.6166666666666667
21000119,5.0,6.5,0,3.8333333333333335
21000120,7.4,5.5,0,4.3
21000121,5.8,3.5,0,3.1
21000122,5.4,5.0,0,3.466666666666667
21000123,8.2,5.5,4.4,6.033333333333334
21000124,8.6,5.5,6.8,6.966666666666666
21000125,9.0,7.25,8.8,8.35
21000126,4.6,4.25,0,2.9499999999999997
21000127,8.6,5.0,6.2,6.6000000000000005
21000128,8.6,6.0,9.0,7.866666666666667
21000129,3.6,6.0,0,3.1999999999999997
21000130,5.6,7.25,0,4.283333333333333
21000131,8.4,8.75,7.2,8.116666666666665
21000132,8.4,6.0,7.6,7.333333333333333
21000133,5.4,5.75,0,3.716666666666667
21000134,5.8,8.0,7.2,7.0
21000135,7.6,7.75,7.0,7.45
21000136,6.6,6.25,0,4.283333333333333
21000137,7.6,6.75,6.6,6.983333333333333
21000138,9.0,7.75,6.2,7.6499999999999995
21000139,8.8,8.5,9.2,8.833333333333334
21000140,8.6,8.0,9.0,8.533333333333333
21000141,6.8,6.25,5.6,6.216666666666666
21000142,8.8,8.5,9.6,8.966666666666667
21000143,6.8,8.75,0,5.183333333333334
21000144,8.4,8.5,9.2,8.7
21000145,8.6,8.75,8.6,8.65
21000146,8.4,8.0,9.2,8.533333333333333
21000147,3.8,4.0,0,2.6
21000148,8.6,8.25,9.8,8.883333333333335
21000149,8.4,8.25,6.6,7.75
21000150,5.4,3.5,0,2.966666666666667
21000151,3.4,5.75,5.4,4.8500000000000005
