SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
42000001,8.0,8.25,8.4,8.216666666666667
42000002,8.8,8.0,9.4,8.733333333333334
42000003,8.0,7.25,8.4,7.883333333333333
42000004,8.0,5.5,5.4,6.3
42000005,8.2,6.5,8.2,7.633333333333333
42000006,8.2,6.75,7.8,7.583333333333333
42000007,6.6,4.75,2.6,4.6499999999999995
42000008,7.8,7.25,8.6,7.883333333333333
42000009,8.2,9.0,9.0,8.733333333333333
42000010,8.0,6.0,6.8,6.933333333333334
42000011,6.2,8.0,6.0,6.733333333333333
42000012,9.2,7.25,9.0,8.483333333333333
42000013,8.2,7.5,9.4,8.366666666666667
42000014,7.8,6.75,6.4,6.983333333333334
42000015,7.6,5.75,8.4,7.25
42000016,8.2,6.5,8.4,7.7
42000017,7.4,6.75,8.8,7.650000000000001
42000018,9.0,6.0,8.8,7.933333333333334
42000019,7.2,6.75,8.4,7.45
42000020,7.4,7.75,7.8,7.6499999999999995
42000021,7.2,7.25,6.4,6.95
42000022,7.4,8.5,9.4,8.433333333333334
42000023,6.4,6.75,7.2,6.783333333333334
42000024,5.0,6.25,6.0,5.75
42000025,7.0,6.5,8.6,7.366666666666667
42000026,8.6,7.5,9.0,8.366666666666667
42000027,8.2,6.5,9.0,7.8999999999999995
42000028,6.0,7.5,6.6,6.7
42000029,8.6,7.0,8.2,7.933333333333333
42000030,7.0,7.5,6.4,6.966666666666666
42000031,9.2,7.0,8.2,8.133333333333333
42000032,8.8,7.25,6.8,7.616666666666667
42000033,7.6,6.5,9.0,7.7
42000034,7.6,5.75,8.0,7.116666666666667
42000035,7.8,6.25,8.8,7.616666666666667
42000036,8.0,7.0,9.0,8.0
42000037,7.8,6.25,7.2,7.083333333333333
42000038,8.6,7.25,9.6,8.483333333333333
42000039,6.6,6.0,5.8,6.133333333333333
42000040,8.0,7.5,8.8,8.1
42000041,6.6,7.0,6.2,6.6000000000000005
42000042,7.4,6.75,8.2,7.45
42000043,8.4,7.75,8.8,8.316666666666666
42000044,6.6,7.0,6.8,6.8
42000045,8.4,6.75,9.4,8.183333333333334
42000046,7.6,6.25,9.2,7.683333333333333
42000047,7.6,7.25,8.4,7.75
42000048,8.4,7.0,8.6,8.0
42000049,6.8,6.75,7.2,6.916666666666667
42000050,7.4,8.25,8.2,7.95
42000051,7.6,6.75,7.6,7.316666666666666
42000052,8.2,7.0,9.0,8.066666666666666
42000053,8.6,5.75,3.8,6.05
42000054,5.4,6.25,8.8,6.816666666666667
42000055,8.0,6.5,6.0,6.833333333333333
42000056,7.6,6.5,8.2,7.433333333333333
42000057,8.4,7.5,8.2,8.033333333333333
42000058,6.8,8.25,5.4,6.816666666666667
42000059,6.0,4.5,3.0,4.5
42000060,8.4,6.5,7.8,7.566666666666666
42000061,7.6,6.25,9.8,7.883333333333333
42000062,8.0,6.5,8.0,7.5
42000063,7.0,7.5,0,4.833333333333333
42000064,7.0,7.0,3.2,5.733333333333333
42000065,6.8,6.5,6.8,6.7
42000066,8.2,5.75,7.4,7.116666666666667
42000067,8.8,5.75,7.8,7.45
42000068,8.2,6.75,8.2,7.716666666666666
42000069,7.4,7.0,6.8,7.066666666666666
42000070,6.4,6.0,4.6,5.666666666666667
42000071,4.6,5.0,2.8,4.133333333333333
42000072,7.8,7.0,7.0,7.266666666666667
42000073,8.2,6.0,8.2,7.466666666666666
42000074,8.0,6.5,8.8,7.766666666666667
42000075,7.6,6.25,6.6,6.816666666666666
42000076,8.0,7.5,7.6,7.7
42000077,5.6,8.0,4.8,6.133333333333333
42000078,7.0,8.0,8.0,7.666666666666667
42000079,7.6,7.25,6.8,7.216666666666666
42000080,7.0,7.25,6.0,6.75
42000081,8.4,6.0,6.0,6.8
42000082,7.8,7.5,8.2,7.833333333333333
42000083,7.6,7.0,8.6,7.733333333333333
42000084,7.2,5.5,4.0,5.566666666666666
42000085,8.0,7.0,9.2,8.066666666666666
42000086,7.4,7.0,8.8,7.733333333333334
42000087,7.2,5.25,6.4,6.283333333333334
42000088,7.4,5.25,3.8,5.483333333333333
42000089,8.6,6.5,8.8,7.966666666666666
42000090,7.2,6.0,7.0,6.733333333333333
42000091,8.2,7.25,9.6,8.35
42000092,7.6,7.5,7.4,7.5
42000093,6.2,6.75,5.8,6.25
42000094,8.8,6.5,8.8,8.033333333333333
42000095,8.6,5.5,9.2,7.766666666666666
42000096,7.2,7.0,8.0,7.3999999999999995
42000097,8.8,6.75,9.2,8.25
42000098,6.2,6.75,7.4,6.783333333333334
42000099,7.2,7.5,9.4,8.033333333333333
42000100,8.6,8.0,9.4,8.666666666666666
42000101,9.2,6.25,6.0,7.1499999999999995
42000102,7.6,6.75,7.8,7.383333333333333
42000103,7.8,6.5,8.6,7.633333333333333
42000104,7.4,6.0,7.0,6.8
42000105,4.6,3.5,3.6,3.9
42000106,7.6,6.5,8.0,7.366666666666667
42000107,8.6,7.0,9.0,8.200000000000001
42000108,8.4,6.75,5.8,6.983333333333333
42000109,6.6,7.0,9.2,7.599999999999999
42000110,8.2,7.75,9.0,8.316666666666666
42000111,8.8,6.25,9.2,8.083333333333334
42000112,6.6,7.25,8.2,7.349999999999999
42000113,6.8,7.25,8.0,7.3500000000000005
42000114,7.2,6.5,7.6,7.099999999999999
42000115,8.6,5.75,7.0,7.116666666666667
42000116,7.0,7.75,6.8,7.183333333333334
42000117,7.6,5.25,7.2,6.683333333333334
42000118,7.6,8.25,6.0,7.283333333333334
42000119,8.0,6.5,7.8,7.433333333333334
42000120,8.4,7.25,8.6,8.083333333333334
42000121,8.6,7.5,8.8,8.3
42000122,7.0,7.75,9.2,7.983333333333333
42000123,8.0,8.5,9.2,8.566666666666666
