SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
34000001,7.8,6.75,5.8,6.783333333333334
34000002,4.6,4.75,3.4,4.25
34000003,8.2,8.75,9.8,8.916666666666666
34000004,7.2,6.0,6.2,6.466666666666666
34000005,5.0,6.25,4.4,5.216666666666667
34000006,6.8,6.5,3.0,5.433333333333334
34000007,5.0,6.75,5.2,5.6499999999999995
34000008,7.4,6.5,6.8,6.8999999999999995
34000009,3.6,5.5,2.0,3.6999999999999997
34000010,6.2,6.0,4.0,5.3999999999999995
34000011,8.6,5.5,7.6,7.233333333333333
34000012,6.2,5.5,2.6,4.766666666666667
34000013,5.6,5.5,4.2,5.1000000000000005
34000014,5.4,6.25,5.0,5.55
34000015,4.6,6.0,4.4,5.0
34000016,6.0,7.25,5.0,6.083333333333333
34000017,8.6,6.25,5.6,6.816666666666666
34000018,7.6,6.25,2.8,5.55
34000019,7.6,6.5,8.2,7.433333333333333
34000020,8.4,3.25,3.6,5.083333333333333
34000021,7.4,7.0,7.8,7.3999999999999995
34000022,7.4,7.5,7.6,7.5
34000023,2.6,5.5,4.2,4.1000000000000005
34000024,7.8,6.25,4.2,6.083333333333333
34000025,8.8,6.5,5.2,6.833333333333333
34000026,7.0,6.5,6.8,6.766666666666667
34000027,5.6,6.5,2.8,4.966666666666666
34000028,4.2,5.75,6.0,5.316666666666666
34000029,7.8,7.0,7.4,7.400000000000001
34000030,9.4,7.0,9.0,8.466666666666667
34000031,9.4,7.0,7.4,7.933333333333333
34000032,7.2,7.0,8.8,7.666666666666667
34000033,6.0,5.5,5.2,5.566666666666666
34000034,7.4,6.75,7.2,7.116666666666667
34000035,7.2,6.0,4.8,6.0
34000036,6.6,4.5,4.0,5.033333333333333
34000037,8.2,7.25,9.4,8.283333333333333
34000038,8.6,6.75,9.2,8.183333333333332
34000039,4.6,4.75,3.0,4.116666666666666
34000040,4.0,5.75,3.6,4.45
34000041,4.6,5.0,3.4,4.333333333333333
34000042,3.6,3.5,3.0,3.3666666666666667
34000043,8.6,6.25,4.8,6.55
34000044,8.8,7.0,9.2,8.333333333333334
34000045,5.8,5.75,4.0,5.183333333333334
34000046,1.4,5.25,3.0,3.216666666666667
34000047,7.2,6.0,3.4,5.533333333333332
34000048,4.6,7.0,4.6,5.3999999999999995
34000049,8.6,5.5,5.6,6.566666666666666
34000050,8.0,5.5,9.2,7.566666666666666
34000051,7.0,6.75,7.8,7.183333333333334
34000052,7.2,8.0,5.6,6.933333333333333
34000053,7.4,4.75,2.6,4.916666666666667
34000054,8.2,7.75,7.8,7.916666666666667
34000055,8.0,7.0,5.8,6.933333333333334
34000056,4.4,3.75,2.0,3.3833333333333333
34000057,6.0,5.75,4.2,5.316666666666666
34000058,4.8,5.5,3.8,4.7
34000059,7.8,7.25,8.4,7.816666666666667
34000060,7.6,7.5,3.0,6.033333333333334
34000061,8.2,6.5,8.2,7.633333333333333
34000062,4.6,5.5,3.0,4.366666666666666
34000063,8.2,6.5,4.8,6.5
34000064,6.0,7.25,3.8,5.683333333333334
34000065,8.4,8.0,9.8,8.733333333333333
34000066,4.8,7.0,4.6,5.466666666666666
34000067,9.0,6.25,8.8,8.016666666666667
34000068,5.2,5.75,2.8,4.583333333333333
34000069,3.0,5.25,2.6,3.6166666666666667
34000070,8.0,5.25,3.4,5.55
34000071,4.2,5.5,3.8,4.5
34000072,6.8,6.25,6.2,6.416666666666667
34000073,3.8,5.25,3.8,4.283333333333334
34000074,8.6,4.75,6.0,6.45
34000075,6.8,4.25,7.0,6.016666666666667
34000076,3.8,5.5,3.4,4.233333333333333
34000077,8.4,7.25,6.0,7.216666666666666
34000078,3.0,4.0,1.8,2.9333333333333336
34000079,7.8,6.25,6.8,6.95
34000080,5.2,6.0,3.0,4.733333333333333
34000081,4.8,4.5,5.2,4.833333333333333
34000082,6.0,4.75,3.2,4.6499999999999995
34000083,7.8,6.25,6.6,6.883333333333333
34000084,7.0,8.0,5.2,6.733333333333333
34000085,6.0,6.25,4.0,5.416666666666667
34000086,8.6,6.0,4.2,6.266666666666667
34000087,2.2,4.0,2.6,2.9333333333333336
