SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
61000001,6.0,8.5,5.2,6.566666666666666
61000002,5.2,5.0,2.8,4.333333333333333
61000003,8.4,8.25,6.2,7.616666666666666
61000004,7.6,7.25,6.8,7.216666666666666
61000005,5.4,5.25,4.4,5.016666666666667
61000006,7.8,7.0,7.0,7.266666666666667
61000007,7.2,6.0,4.4,5.866666666666667
61000008,6.2,8.0,9.2,7.8
61000009,7.4,7.5,7.2,7.366666666666667
61000010,6.6,8.5,5.4,6.833333333333333
61000011,5.0,6.75,5.6,5.783333333333334
61000012,5.8,6.25,2.6,4.883333333333334
61000013,4.6,6.75,4.8,5.383333333333333
61000014,4.6,6.5,3.0,4.7
61000015,7.0,7.25,5.2,6.483333333333333
61000016,7.6,6.5,5.6,6.566666666666666
61000017,8.0,7.75,6.6,7.45
61000018,5.8,8.0,5.2,6.333333333333333
61000019,4.6,4.25,3.0,3.9499999999999997
61000020,7.6,8.5,3.2,6.433333333333334
61000021,7.2,8.0,6.6,7.266666666666666
61000022,6.6,7.75,4.8,6.383333333333333
61000023,6.2,7.5,3.6,5.766666666666667
61000024,8.4,8.75,8.8,8.65
61000025,4.4,8.5,4.2,5.7
61000026,5.4,6.0,4.4,5.266666666666667
61000027,3.4,7.0,4.8,5.066666666666666
61000028,7.8,8.75,6.4,7.650000000000001
61000029,7.2,7.25,6.4,6.95
61000030,3.2,6.75,2.8,4.25
61000031,5.0,6.5,2.6,4.7
61000032,6.4,8.75,5.6,6.916666666666667
61000033,7.4,7.25,5.2,6.616666666666667
61000034,6.6,6.92,8.6,7.373333333333332
61000035,7.8,8.5,5.2,7.166666666666667
61000036,5.8,5.5,4.2,5.166666666666667
61000037,7.4,8.0,4.4,6.6000000000000005
61000038,7.0,5.0,7.6,6.533333333333334
61000039,3.6,5.25,4.0,4.283333333333333
61000040,6.4,5.0,4.4,5.266666666666667
61000041,4.2,5.0,3.2,4.133333333333333
61000042,8.6,5.25,6.4,6.75
61000043,5.0,6.5,4.0,5.166666666666667
61000044,5.6,6.25,3.6,5.1499999999999995
61000045,7.4,6.25,4.8,6.1499999999999995
61000046,3.8,6.0,3.2,4.333333333333333
61000047,6.6,7.25,3.8,5.883333333333333
61000048,5.2,6.75,4.0,5.316666666666666
61000049,5.4,5.25,6.4,5.683333333333334
61000050,5.0,8.0,3.2,5.3999999999999995
61000051,7.0,8.75,7.4,7.716666666666666
61000052,7.6,6.75,5.4,6.583333333333333
61000053,5.0,4.75,3.2,4.316666666666666
61000054,7.2,7.5,4.0,6.233333333333333
61000055,5.0,6.0,3.0,4.666666666666667
61000056,4.8,7.0,4.4,5.400000000000001
61000057,3.0,7.5,3.6,4.7
61000058,7.4,7.5,5.6,6.833333333333333
61000059,5.0,7.25,3.4,5.216666666666667
61000060,5.6,6.25,3.6,5.1499999999999995
61000061,5.2,5.75,4.8,5.25
61000062,6.6,5.5,4.2,5.433333333333334
61000063,6.2,7.5,4.6,6.099999999999999
61000064,3.6,7.75,5.8,5.716666666666666
61000065,7.6,8.5,9.0,8.366666666666667
61000066,8.0,8.5,7.6,8.033333333333333
61000067,8.8,8.75,8.2,8.583333333333334
61000068,5.6,8.0,2.8,5.466666666666666
61000069,8.0,8.0,5.4,7.133333333333333
61000070,6.8,8.0,5.6,6.8
61000071,5.0,6.75,3.0,4.916666666666667
61000072,5.4,8.75,3.6,5.916666666666667
61000073,5.0,6.75,3.4,5.05
61000074,4.6,6.5,4.4,5.166666666666667
61000075,4.6,4.25,3.0,3.9499999999999997
61000076,8.0,9.0,7.2,8.066666666666666
61000077,3.8,5.25,1.6,3.5500000000000003
61000078,5.8,7.75,5.8,6.45
61000079,7.4,8.0,7.0,7.466666666666666
61000080,5.4,6.25,3.8,5.1499999999999995
61000081,7.0,7.75,8.0,7.583333333333333
61000082,7.8,7.0,3.8,6.2
61000083,7.8,7.75,7.0,7.516666666666667
61000084,7.6,7.5,4.6,6.566666666666666
61000085,2.8,5.0,3.4,3.733333333333333
61000086,4.8,5.0,4.2,4.666666666666667
61000087,6.6,8.25,5.0,6.616666666666667
61000088,4.8,7.5,5.6,5.966666666666666
61000089,7.8,6.5,6.6,6.966666666666666
61000090,3.8,5.25,3.0,4.016666666666667
61000091,9.2,7.5,6.6,7.766666666666666
61000092,8.2,7.25,7.2,7.55
61000093,5.2,4.5,2.2,3.9666666666666663
61000094,7.2,6.5,4.0,5.8999999999999995
61000095,4.0,6.0,3.8,4.6000000000000005
61000096,3.8,5.75,2.6,4.05
61000097,5.6,6.25,3.0,4.95
61000098,6.6,6.75,4.2,5.8500000000000005
61000099,2.2,5.0,2.0,3.0666666666666664
61000100,4.6,6.5,7.4,6.166666666666667
61000101,4.0,6.5,3.4,4.633333333333334
61000102,3.4,6.5,4.2,4.7
61000103,5.0,6.3,3.0,4.766666666666667
61000104,6.0,8.0,3.2,5.733333333333333
61000105,8.0,6.3,6.8,7.033333333333334
61000106,7.2,7.75,4.6,6.516666666666666
61000107,6.2,6.25,3.0,5.1499999999999995
61000108,7.0,5.5,5.0,5.833333333333333
61000109,6.6,5.25,5.4,5.75
61000110,6.0,4.75,4.4,5.05
61000111,6.0,4.0,4.8,4.933333333333334
61000112,5.0,5.25,4.6,4.95
61000113,8.4,6.75,7.2,7.45
61000114,6.0,5.25,4.8,5.3500000000000005
61000115,7.6,6.75,3.0,5.783333333333334
61000116,8.8,7.0,6.8,7.533333333333334
61000117,7.0,6.25,4.8,6.016666666666667
61000118,5.2,7.25,3.4,5.283333333333333
61000119,4.0,5.25,2.0,3.75
61000120,7.8,6.0,5.0,6.266666666666667
61000121,3.4,4.25,4.2,3.9500000000000006
61000122,3.2,5.0,3.0,3.733333333333333
61000123,7.4,7.0,5.0,6.466666666666666
61000124,7.0,3.5,5.6,5.366666666666667
61000125,7.4,7.5,4.2,6.366666666666667
61000126,7.2,7.25,3.2,5.883333333333333
61000127,6.6,6.25,4.6,5.816666666666666
61000128,3.6,5.0,3.4,4.0
61000129,5.2,6.25,3.2,4.883333333333333
61000130,3.0,5.0,3.8,3.9333333333333336
61000131,3.4,5.5,3.6,4.166666666666667
61000132,5.6,7.0,3.4,5.333333333333333
61000133,7.4,5.5,4.8,5.8999999999999995
61000134,7.2,8.0,9.4,8.200000000000001
61000135,5.2,7.5,3.8,5.5
61000136,8.4,7.0,4.8,6.733333333333333
61000137,4.6,5.5,2.6,4.233333333333333
61000138,4.2,6.5,2.8,4.5
61000139,7.2,8.75,7.4,7.783333333333334
61000140,8.0,7.75,8.4,8.049999999999999
61000141,7.0,7.0,5.2,6.3999999999999995
61000142,7.2,6.25,3.2,5.55
61000143,3.0,8.0,3.8,4.933333333333334
61000144,6.0,6.25,3.6,5.283333333333333
61000145,4.2,6.5,4.8,5.166666666666667
61000146,7.2,6.75,6.2,6.716666666666666
61000147,6.4,6.5,4.4,5.766666666666667
61000148,7.2,8.0,4.8,6.666666666666667
61000149,6.6,6.0,4.0,5.533333333333334
61000150,7.4,7.0,3.4,5.933333333333334
61000151,4.4,5.25,3.4,4.3500000000000005
61000152,6.6,7.5,4.2,6.1000000000000005
61000153,5.0,5.0,2.2,4.066666666666666
61000154,6.4,6.25,5.6,6.083333333333333
61000155,6.8,8.75,6.6,7.383333333333333
61000156,4.0,6.0,3.2,4.3999999999999995
61000157,8.4,6.75,2.6,5.916666666666667
61000158,7.8,8.5,5.8,7.366666666666667
61000159,8.4,6.75,4.6,6.583333333333333
61000160,7.2,6.5,4.0,5.8999999999999995
61000161,8.0,9.5,9.0,8.833333333333334
61000162,7.8,8.0,5.2,7.0
61000163,6.2,7.33,5.0,6.176666666666667
61000164,6.2,6.5,3.8,5.5
61000165,4.2,7.75,4.4,5.45
61000166,4.0,5.75,3.0,4.25
61000167,5.6,6.0,3.0,4.866666666666666
61000168,6.2,8.0,6.6,6.933333333333333
61000169,6.8,7.25,3.2,5.75
61000170,4.6,6.5,3.6,4.8999999999999995
61000171,6.0,6.67,3.8,5.489999999999999
61000172,4.4,6.5,3.6,4.833333333333333
61000173,2.2,5.0,2.4,3.1999999999999997
61000174,7.6,7.5,4.8,6.633333333333333
61000175,3.8,4.25,3.6,3.8833333333333333
61000176,7.2,5.67,5.0,5.956666666666667
61000177,6.4,7.0,4.6,6.0
61000178,8.0,8.5,6.0,7.5
61000179,8.4,7.75,6.2,7.449999999999999
61000180,6.4,7.5,5.8,6.566666666666666
61000181,6.8,5.0,4.8,5.533333333333334
61000182,8.8,7.0,8.6,8.133333333333333
61000183,5.2,3.75,4.0,4.316666666666666
61000184,5.4,6.0,4.4,5.266666666666667
61000185,6.4,5.0,3.2,4.866666666666667
61000186,3.8,4.25,4.4,4.15
61000187,4.6,6.25,4.2,5.016666666666667
61000188,8.2,6.75,8.8,7.916666666666667
61000189,7.6,5.25,8.6,7.1499999999999995
61000190,6.8,7.0,4.0,5.933333333333334
61000191,7.0,8.25,7.6,7.616666666666667
61000192,7.8,7.25,7.0,7.3500000000000005
61000193,5.0,6.0,3.6,4.866666666666666
61000194,6.4,6.25,8.2,6.95
61000195,6.0,4.5,2.2,4.233333333333333
61000196,2.4,5.5,3.6,3.8333333333333335
61000197,6.2,7.75,6.0,6.6499999999999995
