SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
05000001,7.8,9.0,9.0,8.6
05000002,0,5.5,0,1.8333333333333333
05000003,8.2,5.5,9.6,7.766666666666666
05000004,8.2,6.5,7.4,7.366666666666667
05000005,8.0,8.75,8.6,8.450000000000001
05000006,7.6,8.0,8.6,8.066666666666666
05000007,5.6,7.5,7.4,6.833333333333333
05000008,8.6,8.0,9.2,8.6
05000009,8.8,9.25,8.4,8.816666666666668
05000010,7.8,5.5,5.6,6.3
05000011,8.0,7.75,8.6,8.116666666666667
05000012,8.6,8.25,8.8,8.55
05000013,0,3.5,0,1.1666666666666667
05000014,7.2,3.75,5.4,5.45
05000015,6.2,7.75,8.2,7.383333333333333
05000016,8.6,9.0,8.8,8.8
05000017,5.6,8.0,4.4,6.0
05000018,7.4,8.25,8.4,8.016666666666667
05000019,0,5.25,0,1.75
05000020,7.6,7.75,9.0,8.116666666666667
05000021,8.8,7.25,7.8,7.95
05000022,8.6,5.5,8.8,7.633333333333333
05000023,8.2,6.5,9.4,8.033333333333333
05000024,7.8,4.0,8.4,6.733333333333334
05000025,8.2,5.75,8.2,7.383333333333333
05000026,8.6,6.0,8.2,7.599999999999999
05000027,0,5.75,0,1.9166666666666667
05000028,0,7.25,0,2.4166666666666665
05000029,8.8,8.0,6.4,7.733333333333334
05000030,0,5.25,0,1.75
05000031,8.2,8.5,8.8,8.5
05000032,8.8,7.5,9.4,8.566666666666668
05000033,8.6,7.75,0,5.45
05000034,8.4,5.25,6.0,6.55
05000035,6.4,5.5,6.2,6.033333333333334
05000036,8.6,6.0,8.0,7.533333333333334
05000037,8.8,0,7.0,5.266666666666667
05000038,9.0,9.0,9.8,9.266666666666667
05000039,0,5.25,0,1.75
05000040,0,3.5,0,1.1666666666666667
05000041,8.0,6.25,0,4.75
05000042,6.8,7.75,6.2,6.916666666666667
05000043,0,4.0,0,1.3333333333333333
05000044,8.8,0,4.6,4.466666666666667
05000045,7.8,6.75,8.4,7.650000000000001
05000046,0,5.5,0,1.8333333333333333
05000047,9.4,7.0,7.4,7.933333333333333
05000048,0,4.5,0,1.5
05000049,8.8,9.0,9.8,9.200000000000001
05000050,8.4,5.25,8.4,7.3500000000000005
05000051,0,4.25,0,1.4166666666666667
05000052,0,5.0,0,1.6666666666666667
05000053,0,4.25,0,1.4166666666666667
05000054,0,5.75,0,1.9166666666666667
05000055,7.8,5.5,6.4,6.566666666666667
05000056,8.6,3.75,8.4,6.916666666666667
05000057,9.0,7.0,9.2,8.4
05000058,9.2,6.0,7.2,7.466666666666666
05000059,7.4,5.5,8.2,7.033333333333334
05000060,0,7.75,0,2.5833333333333335
05000061,3.6,7.0,0,3.533333333333333
05000062,0,7.5,0,2.5
05000063,8.2,0,7.0,5.066666666666666
05000064,8.8,6.0,7.2,7.333333333333333
05000065,8.4,3.5,9.2,7.033333333333334
05000066,8.6,4.75,7.0,6.783333333333334
05000067,0,5.75,0,1.9166666666666667
05000068,8.4,6.75,9.4,8.183333333333334
05000069,8.0,4.25,8.6,6.95
05000070,0,4.75,0,1.5833333333333333
05000071,0,4.0,0,1.3333333333333333
05000072,0,4.5,0,1.5
05000073,7.4,7.0,5.6,6.666666666666667
05000074,0,7.5,0,2.5
05000075,7.8,8.75,6.8,7.783333333333334
05000076,5.8,7.5,3.0,5.433333333333334
05000077,7.2,6.5,3.2,5.633333333333333
05000078,7.4,8.75,6.4,7.516666666666666
05000079,9.0,6.0,4.8,6.6000000000000005
05000080,8.4,7.5,7.2,7.7
05000081,8.2,5.25,7.0,6.816666666666666
05000082,8.0,7.0,6.2,7.066666666666666
05000083,7.6,7.25,6.6,7.1499999999999995
05000084,8.8,6.5,7.4,7.566666666666667
05000085,8.0,0,3.4,3.8000000000000003
05000086,7.8,9.0,9.6,8.799999999999999
05000087,8.8,6.5,8.2,7.833333333333333
05000088,8.0,9.25,9.2,8.816666666666666
05000089,7.6,7.25,8.4,7.75
05000090,8.0,7.0,5.2,6.733333333333333
05000091,8.4,8.25,8.8,8.483333333333333
05000092,8.2,8.75,8.6,8.516666666666666
05000093,6.6,9.0,8.4,8.0
05000094,8.2,4.75,6.6,6.516666666666666
05000095,8.2,8.0,7.6,7.933333333333333
05000096,8.2,8.0,6.4,7.533333333333334
05000097,8.2,8.0,7.6,7.933333333333333
05000098,7.4,4.0,7.0,6.133333333333333
05000099,0,4.5,0,1.5
