SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
25000001,8.8,8.25,7.6,8.216666666666667
25000002,8.6,8.0,9.6,8.733333333333334
25000003,8.2,7.5,9.6,8.433333333333332
25000004,7.4,7.0,9.6,8.0
25000005,8.6,7.0,6.6,7.3999999999999995
25000006,8.6,7.5,9.4,8.5
25000007,6.2,8.25,8.2,7.55
25000008,8.8,8.25,5.6,7.55
25000009,8.8,7.75,9.6,8.716666666666667
25000010,9.2,7.0,8.2,8.133333333333333
25000011,8.8,8.75,8.6,8.716666666666667
25000012,8.6,7.5,9.4,8.5
25000013,8.4,7.5,8.6,8.166666666666666
25000014,8.8,7.25,8.8,8.283333333333333
25000015,8.4,8.0,4.8,7.066666666666666
25000016,8.4,8.75,9.2,8.783333333333333
25000017,8.6,9.0,8.8,8.8
25000018,8.6,9.5,9.0,9.033333333333333
25000019,8.4,6.5,7.2,7.366666666666667
25000020,7.6,5.25,6.6,6.483333333333333
25000021,7.4,7.75,8.6,7.916666666666667
25000022,7.6,8.25,5.6,7.1499999999999995
25000023,7.8,9.0,9.0,8.6
25000024,8.6,9.0,8.2,8.6
25000025,9.0,9.25,9.2,9.15
25000026,6.2,7.75,0,4.6499999999999995
25000027,8.6,9.0,9.0,8.866666666666667
25000028,8.2,9.25,6.2,7.883333333333333
25000029,8.0,8.75,7.8,8.183333333333334
25000030,8.8,8.75,7.0,8.183333333333334
25000031,8.0,8.75,0,5.583333333333333
25000032,8.4,6.0,6.8,7.066666666666666
25000033,8.8,9.5,9.6,9.299999999999999
25000034,7.8,8.5,9.0,8.433333333333334
25000035,8.8,8.5,9.8,9.033333333333333
25000036,6.2,6.5,5.0,5.8999999999999995
25000037,8.4,8.0,4.8,7.066666666666666
25000038,8.0,9.5,9.8,9.1
25000039,9.0,8.75,8.4,8.716666666666667
25000040,8.0,9.0,8.8,8.6
25000041,8.0,9.0,9.0,8.666666666666666
25000042,9.4,7.0,8.4,8.266666666666666
25000043,9.0,6.25,9.0,8.083333333333334
25000044,7.8,7.75,9.4,8.316666666666668
25000045,8.8,9.0,9.2,9.0
25000046,9.0,8.5,9.6,9.033333333333333
25000047,8.2,8.0,5.2,7.133333333333333
25000048,8.4,8.5,9.8,8.9
25000049,8.6,8.25,7.8,8.216666666666667
25000050,7.8,7.75,8.0,7.8500000000000005
25000051,7.6,8.0,8.0,7.866666666666667
25000052,7.6,8.0,9.0,8.200000000000001
25000053,9.0,8.0,9.0,8.666666666666666
25000054,7.8,8.0,7.0,7.6000000000000005
25000055,8.8,8.25,9.6,8.883333333333333
25000056,9.0,6.5,5.4,6.966666666666666
25000057,8.8,6.5,9.2,8.166666666666666
25000058,8.6,7.75,9.0,8.450000000000001
25000059,8.2,6.75,8.8,7.916666666666667
25000060,8.4,9.25,9.6,9.083333333333334
25000061,8.8,8.0,6.4,7.733333333333334
25000062,8.0,8.5,9.0,8.5
25000063,6.8,9.0,7.4,7.733333333333334
25000064,9.2,9.5,8.8,9.166666666666666
25000065,8.0,9.25,9.2,8.816666666666666
25000066,8.8,8.75,9.4,8.983333333333334
25000067,6.0,8.5,9.0,7.833333333333333
25000068,8.2,8.25,9.2,8.549999999999999
25000070,8.0,8.25,10.0,8.75
25000071,10.0,9.25,9.4,9.549999999999999
25000072,5.6,8.75,7.0,7.116666666666667
25000073,8.4,5.0,7.2,6.866666666666667
25000074,9.2,6.75,6.8,7.583333333333333
25000075,9.6,7.5,6.8,7.966666666666668
25000076,9.2,6.5,7.0,7.566666666666666
25000077,6.8,8.75,8.0,7.8500000000000005
25000078,8.0,6.25,8.6,7.616666666666667
25000079,8.0,7.75,8.2,7.983333333333333
25000080,8.4,8.0,9.6,8.666666666666666
25000081,8.2,8.5,8.4,8.366666666666667
25000082,8.8,8.25,9.0,8.683333333333334
25000083,8.8,5.25,6.0,6.683333333333334
25000084,9.2,8.5,8.6,8.766666666666666
25000085,7.8,7.0,9.0,7.933333333333334
25000086,9.2,8.25,8.8,8.75
25000087,8.6,7.0,9.4,8.333333333333334
25000088,8.8,8.75,9.8,9.116666666666667
25000089,8.2,8.0,9.4,8.533333333333333
25000090,8.2,6.0,5.6,6.599999999999999
25000091,9.0,8.5,7.8,8.433333333333334
25000092,8.8,7.75,8.0,8.183333333333334
25000093,8.0,8.75,10.0,8.916666666666666
25000094,8.6,8.5,8.8,8.633333333333335
25000095,8.4,7.75,7.4,7.849999999999999
