SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
02000001,7.8,8.0,8.4,8.066666666666668
02000002,7.0,8.25,9.0,8.083333333333334
02000003,8.4,5.25,9.6,7.75
02000004,8.4,6.0,4.8,6.3999999999999995
02000005,8.6,7.25,9.0,8.283333333333333
02000006,7.6,6.0,0,4.533333333333333
02000007,6.6,7.0,0,4.533333333333333
02000008,6.4,6.75,8.0,7.05
02000009,5.2,7.75,7.6,6.849999999999999
02000010,8.2,7.5,8.2,7.966666666666666
02000011,8.4,6.5,7.0,7.3
02000012,8.0,6.5,8.4,7.633333333333333
02000013,6.8,6.75,8.0,7.183333333333334
02000014,7.0,6.75,9.2,7.6499999999999995
02000015,6.6,7.75,7.4,7.25
02000016,8.2,8.5,7.6,8.1
02000017,6.0,6.75,7.4,6.716666666666666
02000018,7.4,7.25,6.6,7.083333333333333
02000019,7.4,7.75,8.8,7.983333333333334
02000020,8.0,5.75,8.2,7.316666666666666
02000021,7.8,6.25,7.4,7.150000000000001
02000022,7.6,7.75,5.4,6.916666666666667
02000023,7.0,5.75,7.2,6.6499999999999995
02000024,7.6,7.0,8.4,7.666666666666667
02000025,8.0,7.75,0,5.25
02000026,8.2,7.75,8.6,8.183333333333332
02000027,7.4,5.75,5.0,6.05
02000028,8.4,6.0,6.0,6.8
02000029,7.0,7.0,8.6,7.533333333333334
02000030,7.6,7.0,9.4,8.0
02000031,7.6,6.75,9.0,7.783333333333334
02000032,7.2,6.25,8.0,7.1499999999999995
02000033,7.8,7.75,8.8,8.116666666666667
02000034,7.0,6.75,7.8,7.183333333333334
02000035,7.4,5.5,9.2,7.366666666666667
02000036,8.0,7.5,6.6,7.366666666666667
02000037,8.4,7.0,0,5.133333333333334
02000038,7.6,6.0,8.2,7.266666666666666
02000039,8.2,7.5,8.8,8.166666666666666
02000040,6.4,8.0,0,4.8
02000041,8.0,5.5,7.8,7.1000000000000005
02000042,8.0,7.0,7.4,7.466666666666666
02000043,6.4,6.5,9.4,7.433333333333334
02000044,7.4,7.25,8.2,7.616666666666667
02000045,7.6,7.75,8.2,7.849999999999999
02000046,8.0,4.5,9.4,7.3
02000047,8.2,5.25,8.8,7.416666666666667
02000048,7.4,6.25,8.6,7.416666666666667
02000049,8.8,8.5,7.2,8.166666666666666
02000050,7.6,6.5,8.4,7.5
