SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
06000001,3.0,4.25,2.4,3.216666666666667
06000002,3.6,3.75,0,2.4499999999999997
06000003,4.4,4.25,4.2,4.283333333333334
06000004,3.0,4.5,3.2,3.5666666666666664
06000005,3.2,4.0,0,2.4
06000006,3.8,3.25,2.8,3.283333333333333
06000007,3.4,4.25,1.6,3.0833333333333335
06000008,3.8,3.25,1.4,2.8166666666666664
06000009,7.6,6.75,6.4,6.916666666666667
06000010,0,4.25,0,1.4166666666666667
06000011,5.0,5.0,3.0,4.333333333333333
06000012,3.2,3.5,3.0,3.233333333333333
06000013,6.4,5.5,3.6,5.166666666666667
06000014,3.2,3.5,4.4,3.7000000000000006
06000015,4.2,5.75,3.0,4.316666666666666
06000016,2.8,5.5,2.6,3.6333333333333333
06000017,2.8,5.0,3.4,3.733333333333333
06000018,3.8,2.75,0,2.183333333333333
06000019,4.2,4.0,3.6,3.933333333333333
06000020,2.4,3.5,0,1.9666666666666668
06000021,3.2,2.5,2.4,2.6999999999999997
06000022,0,8.0,0,2.6666666666666665
06000023,4.2,3.5,2.6,3.4333333333333336
06000024,5.0,6.0,2.8,4.6000000000000005
06000025,3.0,4.75,2.4,3.3833333333333333
06000026,4.0,5.75,3.0,4.25
06000027,3.6,3.75,3.2,3.516666666666667
06000028,3.6,4.75,2.2,3.516666666666667
06000029,5.8,6.0,6.8,6.2
06000030,2.8,4.0,2.0,2.9333333333333336
06000031,4.4,4.75,3.2,4.116666666666667
06000032,4.2,7.0,3.2,4.8
06000033,3.2,4.5,2.6,3.4333333333333336
06000034,5.8,5.0,3.4,4.733333333333333
06000035,4.2,4.75,3.6,4.183333333333333
06000036,0,5.0,0,1.6666666666666667
06000037,4.4,5.0,3.2,4.2
06000038,3.2,4.5,2.6,3.4333333333333336
06000039,3.6,4.25,0,2.6166666666666667
06000040,2.0,2.5,2.4,2.3000000000000003
06000041,2.8,4.0,0,2.2666666666666666
06000042,6.0,4.75,2.8,4.516666666666667
06000043,3.6,5.0,6.6,5.066666666666666
06000044,4.6,5.25,2.4,4.083333333333333
06000045,5.0,5.25,4.4,4.883333333333334
06000046,3.8,5.0,3.0,3.9333333333333336
06000047,3.6,4.0,2.2,3.266666666666667
06000048,5.0,5.25,4.2,4.816666666666666
06000049,4.2,6.75,2.2,4.383333333333333
06000050,3.0,4.0,0,2.3333333333333335
06000051,1.8,3.0,0,1.5999999999999999
06000052,0,4.75,0,1.5833333333333333
06000053,3.2,2.75,0,1.9833333333333334
06000054,3.0,4.25,2.2,3.15
06000055,3.6,2.75,2.8,3.0499999999999994
06000056,4.6,4.5,2.4,3.8333333333333335
06000057,5.6,6.25,5.0,5.616666666666667
06000058,3.8,3.0,3.6,3.466666666666667
06000059,7.0,6.75,6.0,6.583333333333333
06000060,0,7.75,0,2.5833333333333335
06000061,4.8,6.5,3.4,4.9
06000062,2.4,5.0,2.4,3.266666666666667
06000063,0,8.0,0,2.6666666666666665
06000064,2.0,3.0,0,1.6666666666666667
06000065,4.8,6.0,4.4,5.066666666666667
06000066,4.2,4.5,2.2,3.633333333333333
06000067,2.4,4.25,2.6,3.0833333333333335
06000068,5.6,6.75,5.0,5.783333333333334
06000069,2.2,5.75,3.2,3.716666666666667
06000070,8.2,7.75,5.8,7.25
06000071,4.8,4.5,2.2,3.8333333333333335
06000072,5.4,7.0,3.2,5.2
06000073,6.2,3.75,2.2,4.05
06000074,6.2,5.25,2.4,4.616666666666666
06000075,5.8,5.0,3.0,4.6000000000000005
06000076,4.4,6.0,2.0,4.133333333333334
06000077,4.8,7.25,3.2,5.083333333333333
06000078,6.6,6.0,4.8,5.8
06000079,4.8,5.75,1.8,4.116666666666667
06000080,3.8,6.0,2.6,4.133333333333334
06000081,0,8.25,0,2.75
06000082,0,7.0,0,2.3333333333333335
06000083,6.0,7.0,5.4,6.133333333333333
06000084,6.8,7.75,3.2,5.916666666666667
06000085,3.8,7.25,2.0,4.3500000000000005
06000086,0,8.0,0,2.6666666666666665
06000087,3.4,5.0,2.8,3.733333333333333
06000088,2.4,3.5,0,1.9666666666666668
06000089,2.4,2.5,0,1.6333333333333335
06000090,3.4,3.75,2.8,3.3166666666666664
06000091,4.6,4.25,3.2,4.016666666666667
06000092,4.0,5.0,3.4,4.133333333333334
06000093,5.4,4.75,2.8,4.316666666666666
06000094,2.2,3.75,0,1.9833333333333334
06000095,3.0,3.0,2.8,2.9333333333333336
06000096,4.6,4.25,2.8,3.883333333333333
06000097,2.6,3.25,0,1.95
06000098,2.2,3.25,0,1.8166666666666667
06000099,3.2,3.75,0,2.316666666666667
06000100,2.8,4.0,3.6,3.466666666666667
06000101,8.4,6.5,4.4,6.433333333333334
06000102,5.6,6.25,4.4,5.416666666666667
06000103,2.6,3.5,0,2.033333333333333
06000104,2.6,3.75,3.8,3.383333333333333
06000105,3.6,4.75,6.2,4.8500000000000005
06000106,7.2,4.75,4.6,5.516666666666666
06000107,5.2,6.25,4.0,5.1499999999999995
06000108,3.4,2.0,0,1.8
06000109,6.2,7.5,3.0,5.566666666666666
06000110,3.6,4.75,3.2,3.85
06000111,0,0,0,0.0
06000112,5.0,6.25,3.8,5.016666666666667
06000113,0,8.0,0,2.6666666666666665
06000114,2.8,4.75,3.6,3.716666666666667
06000115,6.0,6.5,3.8,5.433333333333334
06000116,4.0,3.5,2.8,3.4333333333333336
06000117,0,4.5,0,1.5
06000118,1.8,3.75,2.8,2.783333333333333
06000119,4.2,4.5,2.6,3.766666666666666
06000120,4.6,4.25,2.2,3.6833333333333336
06000121,4.8,6.25,3.0,4.683333333333334
06000122,0,5.5,0,1.8333333333333333
06000123,4.6,5.75,2.4,4.25
06000124,2.8,5.0,1.8,3.1999999999999997
06000125,6.4,4.75,4.0,5.05
06000126,4.8,6.25,3.0,4.683333333333334
06000127,4.0,3.5,2.6,3.3666666666666667
06000128,3.4,2.75,2.8,2.983333333333333
06000129,2.6,2.5,2.2,2.433333333333333
06000130,6.0,4.25,1.8,4.016666666666667
06000131,2.8,4.0,3.2,3.3333333333333335
06000132,2.4,2.75,3.0,2.716666666666667
06000133,5.8,3.5,3.4,4.233333333333333
06000134,5.0,4.5,3.0,4.166666666666667
06000135,2.6,4.75,2.8,3.383333333333333
06000136,5.4,4.75,2.4,4.183333333333334
06000137,4.2,7.25,3.0,4.816666666666666
06000138,0,7.25,0,2.4166666666666665
06000139,4.2,4.0,2.2,3.4666666666666663
06000140,4.4,6.0,3.2,4.533333333333334
06000141,4.4,7.25,3.4,5.016666666666667
06000142,6.2,6.0,0,4.066666666666666
06000143,3.4,4.0,2.8,3.4
06000144,4.2,5.0,2.8,4.0
