SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
36000001,6.4,4.75,3.0,4.716666666666667
36000002,7.8,6.75,8.0,7.516666666666667
36000003,7.4,6.25,9.4,7.683333333333334
36000004,5.4,8.25,2.8,5.483333333333333
36000005,6.2,5.75,4.6,5.516666666666666
36000006,8.0,9.25,8.8,8.683333333333334
36000007,7.8,9.0,8.0,8.266666666666667
36000008,3.8,6.75,3.4,4.65
36000009,5.4,4.25,3.6,4.416666666666667
36000010,8.0,8.25,7.8,8.016666666666667
36000011,6.6,7.5,6.6,6.8999999999999995
36000012,8.0,9.5,9.2,8.9
36000013,8.4,8.0,7.4,7.933333333333333
36000014,7.4,8.75,8.8,8.316666666666666
36000015,9.0,8.0,9.4,8.799999999999999
36000016,7.6,7.25,9.0,7.95
36000017,6.8,6.5,7.6,6.966666666666666
36000018,7.8,8.25,9.0,8.35
36000019,5.2,7.25,5.2,5.883333333333333
36000020,7.4,6.75,0,4.716666666666667
36000021,6.6,7.0,5.4,6.333333333333333
36000022,3.0,5.25,3.0,3.75
36000023,7.6,7.25,5.6,6.816666666666666
36000024,5.4,4.5,3.8,4.566666666666666
36000025,5.8,6.0,3.6,5.133333333333334
36000026,8.0,7.0,8.8,7.933333333333334
36000027,7.6,6.5,8.8,7.633333333333333
36000028,7.8,7.0,5.8,6.866666666666667
36000029,7.6,7.75,8.6,7.983333333333333
36000030,7.8,6.5,5.0,6.433333333333334
36000031,7.0,6.25,3.8,5.683333333333334
36000032,5.8,5.0,4.0,4.933333333333334
36000033,8.0,8.25,4.6,6.95
36000034,5.4,5.0,3.2,4.533333333333334
36000035,7.2,6.0,4.2,5.8
36000036,8.0,7.25,8.4,7.883333333333333
36000037,7.6,7.0,7.8,7.466666666666666
36000038,7.0,7.5,0,4.833333333333333
36000039,6.6,6.25,3.8,5.55
36000040,5.4,7.0,2.8,5.066666666666666
36000041,4.8,5.0,4.4,4.733333333333333
36000042,5.4,8.25,5.0,6.216666666666666
36000043,4.6,5.5,4.2,4.766666666666667
36000044,5.8,6.75,5.6,6.05
36000045,7.6,6.5,6.8,6.966666666666666
36000046,6.4,7.25,8.6,7.416666666666667
36000047,4.8,5.0,1.8,3.866666666666667
36000048,8.2,7.75,8.2,8.049999999999999
36000049,9.0,6.25,4.2,6.483333333333333
36000050,6.0,5.75,4.8,5.516666666666667
36000051,5.8,6.0,2.8,4.866666666666667
36000052,5.0,5.75,5.2,5.316666666666666
36000053,6.4,8.5,9.6,8.166666666666666
36000054,4.2,7.25,5.8,5.75
36000055,8.0,8.5,7.4,7.966666666666666
36000056,4.2,5.75,3.8,4.583333333333333
36000057,3.6,7.0,3.2,4.6000000000000005
36000058,6.6,6.75,5.4,6.25
36000059,6.8,5.0,3.6,5.133333333333334
36000060,8.8,6.25,6.2,7.083333333333333
36000061,7.2,8.75,6.6,7.516666666666666
36000062,4.8,5.0,2.0,3.9333333333333336
36000063,8.0,5.25,7.4,6.883333333333333
36000064,8.2,7.25,9.6,8.35
36000065,5.8,6.0,3.6,5.133333333333334
36000066,4.2,5.75,3.8,4.583333333333333
36000067,5.2,5.25,3.2,4.55
36000068,8.2,6.0,7.2,7.133333333333333
36000069,2.8,5.0,3.0,3.6
36000070,3.2,5.25,2.0,3.483333333333333
36000071,6.8,5.25,5.6,5.883333333333333
36000072,3.8,5.75,3.2,4.25
36000073,6.6,7.0,3.2,5.6000000000000005
36000074,7.8,8.75,7.8,8.116666666666667
36000075,5.8,7.0,3.4,5.3999999999999995
36000076,6.6,7.5,5.2,6.433333333333334
36000077,7.8,6.25,8.2,7.416666666666667
36000078,3.6,6.25,3.0,4.283333333333333
36000079,7.0,7.5,9.0,7.833333333333333
36000080,6.2,6.5,7.4,6.7
36000081,7.2,8.25,7.2,7.55
36000082,5.8,5.25,3.0,4.683333333333334
36000083,8.8,5.75,9.2,7.916666666666667
36000084,8.6,6.75,8.8,8.049999999999999
36000085,4.4,2.25,4.0,3.5500000000000003
36000086,8.0,6.5,7.0,7.166666666666667
36000087,5.8,5.5,2.8,4.7
36000088,7.0,8.25,6.6,7.283333333333334
36000089,6.6,8.5,9.6,8.233333333333333
36000090,8.4,8.25,6.4,7.683333333333333
36000091,8.0,8.25,8.0,8.083333333333334
36000092,6.0,7.75,5.4,6.383333333333333
36000093,4.6,6.5,3.2,4.766666666666667
36000094,7.8,9.0,8.8,8.533333333333333
36000095,8.8,9.25,8.6,8.883333333333333
36000096,7.6,7.25,7.6,7.483333333333333
36000097,8.4,6.25,8.8,7.816666666666667
36000098,8.4,7.5,8.6,8.166666666666666
36000099,7.8,7.0,9.4,8.066666666666668
36000100,7.8,6.75,8.2,7.583333333333333
36000101,8.2,7.5,8.6,8.1
36000102,7.0,9.0,8.0,8.0
36000103,6.8,8.25,7.2,7.416666666666667
36000104,6.6,7.25,4.8,6.216666666666666
36000105,4.0,4.75,2.4,3.716666666666667
36000106,5.6,5.5,2.8,4.633333333333333
36000107,7.6,7.0,8.6,7.733333333333333
36000108,7.8,8.25,8.6,8.216666666666667
36000109,8.2,9.25,8.6,8.683333333333332
36000110,3.0,4.25,2.2,3.15
36000111,8.2,8.0,0,5.3999999999999995
36000112,6.8,6.75,4.4,5.983333333333334
36000113,6.8,6.75,4.6,6.05
36000114,5.6,6.75,4.8,5.716666666666666
36000115,5.8,7.0,5.2,6.0
36000116,5.8,6.25,4.4,5.483333333333334
36000117,4.2,6.5,4.4,5.033333333333333
36000118,5.4,6.25,3.4,5.016666666666667
36000119,7.8,7.0,8.2,7.666666666666667
36000120,6.6,6.0,3.0,5.2
36000121,5.0,6.0,3.8,4.933333333333334
36000122,4.8,7.25,4.4,5.483333333333334
36000123,8.0,6.75,6.8,7.183333333333334
36000124,8.2,6.25,7.2,7.216666666666666
36000125,7.0,5.25,4.4,5.55
36000126,7.6,6.0,5.0,6.2
36000127,7.6,7.0,9.2,7.933333333333333
36000128,6.0,7.25,3.6,5.616666666666667
36000129,6.0,7.75,4.6,6.116666666666667
36000130,8.2,5.0,6.6,6.599999999999999
36000131,6.4,6.0,4.2,5.533333333333334
36000132,7.0,6.0,4.8,5.933333333333334
36000133,7.8,7.25,9.4,8.15
36000134,6.0,8.75,6.8,7.183333333333334
36000135,8.4,7.75,7.6,7.916666666666667
36000136,8.0,8.5,8.2,8.233333333333333
36000137,4.8,6.0,4.0,4.933333333333334
36000138,6.2,5.5,3.4,5.033333333333333
36000139,8.6,7.5,9.2,8.433333333333334
36000140,7.6,8.0,9.0,8.200000000000001
36000141,3.8,5.0,3.2,4.0
36000142,7.2,5.5,8.0,6.8999999999999995
36000143,8.6,6.75,9.6,8.316666666666666
36000144,6.2,7.75,6.6,6.849999999999999
36000145,3.2,3.5,2.8,3.1666666666666665
36000146,6.2,5.25,5.6,5.683333333333333
36000147,3.8,3.5,3.8,3.6999999999999997
36000148,5.6,8.25,6.2,6.683333333333334
36000149,3.6,4.5,2.0,3.3666666666666667
36000150,8.0,5.75,0,4.583333333333333
36000151,8.6,5.5,9.4,7.833333333333333
36000152,8.8,6.75,9.4,8.316666666666668
36000153,7.4,7.75,8.8,7.983333333333334
36000154,6.6,6.5,4.8,5.966666666666666
36000155,4.6,7.5,7.6,6.566666666666666
36000156,8.0,7.0,8.0,7.666666666666667
36000157,7.2,6.25,6.8,6.75
36000158,6.8,6.25,5.0,6.016666666666667
36000159,7.6,6.0,8.8,7.466666666666666
36000160,7.6,6.0,9.0,7.533333333333334
36000161,8.2,5.75,7.8,7.25
36000162,7.6,8.25,7.8,7.883333333333333
36000163,7.0,7.25,5.0,6.416666666666667
36000164,7.6,8.25,8.2,8.016666666666666
36000165,5.8,6.5,5.0,5.766666666666667
36000166,7.6,9.25,7.0,7.95
36000167,4.2,5.5,5.2,4.966666666666666
36000168,8.4,8.25,9.6,8.75
36000169,8.0,6.5,7.4,7.3
36000170,3.6,7.0,2.4,4.333333333333333
36000171,6.8,7.25,6.0,6.683333333333334
36000172,6.2,6.25,4.6,5.683333333333333
36000173,4.2,6.5,2.4,4.366666666666666
36000174,5.4,7.25,6.2,6.283333333333334
36000175,4.8,5.5,2.6,4.3
36000176,8.8,7.75,0,5.516666666666667
36000177,8.0,6.0,9.0,7.666666666666667
36000178,6.8,6.25,5.0,6.016666666666667
36000179,8.6,6.0,9.0,7.866666666666667
36000180,8.0,4.5,5.2,5.8999999999999995
36000181,8.2,7.0,7.0,7.3999999999999995
36000182,7.2,7.5,7.0,7.233333333333333
36000183,5.0,5.75,2.4,4.383333333333334
36000184,5.4,6.5,4.4,5.433333333333334
36000185,7.2,6.75,8.6,7.516666666666666
36000186,6.8,6.5,0,4.433333333333334
36000187,8.6,6.75,7.8,7.716666666666666
36000188,7.4,9.25,7.8,8.15
36000189,8.0,7.75,5.8,7.183333333333334
36000190,3.8,4.5,3.8,4.033333333333334
36000191,8.6,5.75,8.8,7.716666666666666
36000192,7.2,8.0,8.4,7.866666666666667
36000193,9.8,8.0,8.0,8.6
36000194,8.2,5.5,9.6,7.766666666666666
36000195,7.4,5.75,6.8,6.6499999999999995
36000196,7.6,6.0,8.6,7.3999999999999995
36000197,4.8,5.75,4.2,4.916666666666667
36000198,6.0,6.0,4.0,5.333333333333333
36000199,5.4,6.25,4.8,5.483333333333333
36000200,5.6,5.0,4.0,4.866666666666666
36000201,3.4,4.0,1.8,3.066666666666667
36000202,8.2,7.25,7.6,7.683333333333333
36000203,6.6,8.0,8.6,7.733333333333333
36000204,4.2,7.75,3.4,5.116666666666666
36000205,7.8,6.0,9.0,7.6000000000000005
36000206,6.0,5.5,5.4,5.633333333333333
36000207,8.6,6.5,8.0,7.7
36000208,6.8,8.25,7.4,7.483333333333334
36000209,4.2,6.0,4.0,4.733333333333333
36000210,7.4,6.0,7.2,6.866666666666667
36000211,3.6,5.25,2.8,3.883333333333333
36000212,5.2,7.5,3.0,5.233333333333333
36000213,5.4,7.25,4.0,5.55
36000214,3.8,7.0,5.6,5.466666666666666
36000215,3.0,4.75,2.0,3.25
36000216,6.8,8.25,6.4,7.150000000000001
36000217,4.8,5.75,4.6,5.05
36000218,3.4,5.75,3.2,4.116666666666667
36000219,5.6,5.5,3.6,4.8999999999999995
36000220,6.2,7.5,4.6,6.099999999999999
36000221,4.8,7.25,3.2,5.083333333333333
36000222,5.2,6.25,4.8,5.416666666666667
36000223,8.0,7.5,8.4,7.966666666666666
36000224,7.6,8.5,9.0,8.366666666666667
36000225,7.8,6.0,7.2,7.0
36000226,4.6,6.5,3.2,4.766666666666667
36000227,4.6,7.25,4.2,5.3500000000000005
36000228,8.8,7.25,9.4,8.483333333333334
36000229,8.4,8.0,9.2,8.533333333333333
36000230,7.8,8.5,6.4,7.566666666666667
36000231,7.8,7.75,7.6,7.716666666666666
36000232,7.6,6.5,5.0,6.366666666666667
36000233,6.2,5.75,4.8,5.583333333333333
36000234,7.8,8.25,7.4,7.816666666666667
36000235,7.8,8.75,9.6,8.716666666666667
36000236,8.8,7.25,8.2,8.083333333333334
36000237,7.4,7.75,6.4,7.183333333333334
36000238,5.6,6.5,3.0,5.033333333333333
36000239,5.4,6.0,3.6,5.0
36000240,6.0,5.0,4.0,5.0
36000241,3.8,7.75,5.8,5.783333333333334
36000242,8.0,6.75,7.4,7.383333333333333
36000243,4.0,7.25,4.6,5.283333333333333
36000244,6.6,7.5,3.2,5.766666666666667
36000245,6.2,7.25,9.4,7.616666666666667
36000246,6.4,6.5,4.2,5.7
36000247,7.4,7.0,7.6,7.333333333333333
36000248,3.2,5.0,3.6,3.933333333333333
36000249,5.6,6.0,2.8,4.8
36000250,5.0,5.0,4.0,4.666666666666667
36000251,7.8,7.5,9.2,8.166666666666666
36000252,6.6,7.25,3.8,5.883333333333333
36000253,3.0,6.75,3.4,4.383333333333334
36000254,2.6,4.5,2.8,3.2999999999999994
36000255,4.2,7.25,4.4,5.283333333333333
36000256,6.0,7.25,6.0,6.416666666666667
36000257,7.2,5.75,9.0,7.316666666666666
36000258,4.2,6.0,4.2,4.8
36000259,4.2,6.0,4.0,4.733333333333333
36000260,8.2,7.0,7.0,7.3999999999999995
36000261,7.8,5.0,7.6,6.8
36000262,6.8,8.25,5.8,6.95
36000263,8.2,7.25,8.2,7.883333333333333
36000264,8.0,8.75,8.4,8.383333333333333
36000265,8.2,7.75,8.8,8.25
36000266,8.4,7.25,6.8,7.483333333333333
36000267,8.0,7.75,6.8,7.516666666666667
36000268,8.6,8.25,8.6,8.483333333333334
