SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
49000001,7.4,6.0,5.2,6.2
49000002,8.4,8.0,7.4,7.933333333333333
49000003,8.8,7.5,7.2,7.833333333333333
49000004,5.0,4.5,3.6,4.366666666666666
49000005,8.0,6.25,5.6,6.616666666666667
49000006,3.0,5.25,2.2,3.483333333333333
49000007,6.6,5.5,6.2,6.1000000000000005
49000008,4.6,6.25,3.8,4.883333333333333
49000009,4.8,5.5,3.6,4.633333333333334
49000010,7.8,7.25,5.8,6.95
49000011,7.0,4.5,2.8,4.766666666666667
49000012,5.8,7.0,4.2,5.666666666666667
49000013,6.6,5.0,2.6,4.733333333333333
49000014,7.8,5.5,7.2,6.833333333333333
49000015,4.6,5.5,3.0,4.366666666666666
49000016,5.4,4.5,2.4,4.1000000000000005
49000017,6.6,6.25,5.0,5.95
49000018,5.4,5.25,3.8,4.816666666666666
49000019,4.0,5.5,3.6,4.366666666666666
49000020,7.8,4.5,4.8,5.7
49000021,7.0,3.25,0,3.4166666666666665
49000022,6.0,7.5,4.2,5.8999999999999995
49000023,6.4,7.08,7.2,6.8933333333333335
49000024,6.4,5.25,4.4,5.3500000000000005
49000025,7.2,8.75,9.4,8.450000000000001
49000026,5.6,5.25,2.6,4.483333333333333
49000027,6.4,6.25,3.4,5.3500000000000005
49000028,6.0,8.5,6.6,7.033333333333334
49000029,7.0,4.75,5.2,5.6499999999999995
49000030,5.6,5.75,4.8,5.383333333333333
49000031,4.8,5.5,4.2,4.833333333333333
49000032,5.6,6.0,0,3.8666666666666667
49000033,3.6,3.5,0,2.3666666666666667
49000034,6.8,5.0,7.8,6.533333333333334
49000035,7.6,6.5,5.2,6.433333333333334
49000036,8.2,6.0,3.4,5.866666666666666
49000037,6.6,5.5,4.0,5.366666666666667
49000038,5.4,5.0,3.2,4.533333333333334
49000039,3.8,5.75,3.4,4.316666666666667
49000040,5.2,7.75,7.8,6.916666666666667
49000041,5.4,6.0,5.2,5.533333333333334
49000042,5.2,5.75,5.2,5.383333333333333
49000043,4.2,4.75,1.6,3.516666666666666
49000044,4.0,3.75,0,2.5833333333333335
49000045,6.2,6.25,4.6,5.683333333333333
49000046,6.4,7.75,8.0,7.383333333333333
49000047,8.6,6.0,5.8,6.8
49000048,4.2,5.25,2.2,3.883333333333333
49000049,6.6,4.5,3.6,4.8999999999999995
49000050,6.4,5.75,5.4,5.8500000000000005
49000051,6.2,5.5,4.6,5.433333333333333
49000052,5.8,6.25,4.0,5.3500000000000005
49000053,3.8,5.5,0,3.1
49000054,6.8,8.0,5.2,6.666666666666667
49000055,8.0,7.5,8.6,8.033333333333333
49000056,7.6,5.5,5.4,6.166666666666667
49000057,4.4,5.5,4.2,4.7
49000058,4.8,6.0,3.6,4.8
49000059,2.4,2.5,0,1.6333333333333335
49000060,3.0,4.0,0,2.3333333333333335
49000061,8.0,7.25,6.2,7.1499999999999995
49000062,4.4,5.25,3.2,4.283333333333334
49000063,5.8,5.75,5.8,5.783333333333334
49000064,7.2,6.25,5.8,6.416666666666667
49000065,6.6,5.0,3.4,5.0
49000066,5.4,4.25,0,3.216666666666667
49000067,5.2,5.0,0,3.4
49000068,7.2,6.42,6.2,6.6066666666666665
49000069,5.8,6.0,0,3.9333333333333336
49000070,5.6,6.25,3.8,5.216666666666666
49000071,5.4,4.5,3.6,4.5
49000072,5.6,4.75,4.2,4.8500000000000005
49000073,6.0,7.0,2.8,5.266666666666667
49000074,6.6,7.0,5.0,6.2
49000075,5.0,5.75,3.6,4.783333333333333
49000076,5.8,5.75,4.0,5.183333333333334
49000077,5.4,7.75,4.2,5.783333333333334
49000078,3.8,4.5,0,2.766666666666667
49000079,6.8,6.75,5.8,6.45
49000080,6.6,7.75,7.2,7.183333333333334
49000081,7.4,5.75,5.8,6.316666666666666
49000082,4.2,5.0,0,3.0666666666666664
49000083,6.4,6.5,6.0,6.3
49000084,5.0,5.5,3.6,4.7
49000085,6.6,6.0,5.6,6.066666666666666
49000086,3.2,4.75,2.4,3.4499999999999997
49000087,7.0,7.25,2.2,5.483333333333333
49000088,8.6,7.75,5.0,7.116666666666667
49000089,4.2,5.25,3.2,4.216666666666666
49000090,5.6,5.25,1.8,4.216666666666667
49000091,6.4,5.0,3.6,5.0
49000092,5.0,5.25,4.2,4.816666666666666
49000093,4.4,4.25,0,2.8833333333333333
49000094,4.2,4.25,2.2,3.5499999999999994
49000095,8.2,7.75,5.2,7.05
49000096,4.2,5.25,3.6,4.35
49000097,6.8,7.25,6.6,6.883333333333333
49000098,4.4,5.25,3.0,4.216666666666667
49000099,5.6,6.5,5.2,5.766666666666667
49000100,7.0,6.75,7.6,7.116666666666667
49000101,5.4,5.5,0,3.6333333333333333
49000102,7.2,6.25,4.8,6.083333333333333
49000103,7.2,6.0,7.8,7.0
49000104,6.2,5.5,4.6,5.433333333333333
49000105,5.0,5.5,4.0,4.833333333333333
49000106,6.8,5.75,6.2,6.25
49000107,5.0,4.0,3.8,4.266666666666667
49000108,7.0,6.0,5.4,6.133333333333333
49000109,7.4,7.5,6.6,7.166666666666667
49000110,3.8,4.75,5.0,4.516666666666667
49000111,5.0,6.5,3.4,4.966666666666667
49000112,5.8,6.5,4.2,5.5
49000113,7.6,8.5,6.8,7.633333333333334
49000114,4.8,4.25,2.2,3.75
49000115,5.6,7.25,4.4,5.75
49000116,4.0,5.5,2.8,4.1000000000000005
49000117,7.4,5.75,4.4,5.8500000000000005
49000118,6.6,5.75,5.8,6.05
49000119,6.0,6.5,4.6,5.7
49000120,5.2,6.75,6.6,6.183333333333333
49000121,5.0,5.75,2.8,4.516666666666667
49000122,8.2,6.25,6.2,6.883333333333333
49000123,3.4,6.5,0,3.3000000000000003
49000124,5.0,5.0,3.8,4.6000000000000005
49000125,5.8,6.0,2.8,4.866666666666667
49000126,6.0,7.0,7.2,6.733333333333333
49000127,7.0,6.0,5.0,6.0
49000128,4.6,6.5,7.0,6.033333333333334
49000129,6.8,5.5,5.0,5.766666666666667
49000130,6.6,6.5,5.4,6.166666666666667
49000131,7.0,6.25,5.6,6.283333333333334
49000132,8.0,6.92,8.4,7.773333333333333
49000133,5.0,4.75,4.2,4.6499999999999995
49000134,7.2,5.75,6.0,6.316666666666666
49000135,5.6,5.25,4.2,5.016666666666667
49000136,5.2,5.25,0,3.483333333333333
49000137,8.0,6.25,6.0,6.75
49000138,6.8,6.0,4.6,5.8
49000139,5.2,5.5,4.4,5.033333333333333
49000140,6.8,6.75,3.8,5.783333333333334
49000141,6.4,6.75,3.6,5.583333333333333
49000142,5.4,6.75,4.6,5.583333333333333
49000143,8.8,6.5,6.2,7.166666666666667
49000144,7.2,6.5,6.2,6.633333333333333
49000145,7.0,6.0,4.8,5.933333333333334
49000146,4.8,5.0,0,3.266666666666667
49000147,6.2,4.5,2.6,4.433333333333333
49000148,8.2,6.0,4.8,6.333333333333333
49000149,4.8,6.0,4.2,5.0
49000150,6.6,5.75,4.4,5.583333333333333
49000151,8.6,6.5,7.6,7.566666666666666
49000152,7.0,5.75,5.6,6.116666666666667
49000153,5.4,5.25,4.2,4.95
49000154,5.8,8.0,7.0,6.933333333333334
49000155,6.4,6.25,5.0,5.883333333333333
49000156,4.6,5.25,4.6,4.816666666666666
49000157,3.4,5.0,0,2.8000000000000003
49000158,6.4,6.75,5.0,6.05
