SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
29000001,7.6,7.58,8.2,7.793333333333333
29000002,7.8,7.41,5.8,7.003333333333334
29000003,5.8,4.5,4.2,4.833333333333333
29000004,7.4,8.5,8.2,8.033333333333333
29000005,7.8,8.0,5.6,7.133333333333333
29000006,7.0,9.0,9.4,8.466666666666667
29000007,7.8,7.25,9.0,8.016666666666667
29000008,8.4,8.75,9.2,8.783333333333333
29000009,7.4,7.75,8.4,7.8500000000000005
29000010,8.0,8.0,8.6,8.200000000000001
29000011,7.4,7.75,5.0,6.716666666666666
29000012,7.8,8.75,6.0,7.516666666666667
29000013,7.4,7.25,8.6,7.75
29000014,8.2,7.5,9.2,8.299999999999999
29000015,6.0,8.0,7.0,7.0
29000016,8.4,8.25,8.6,8.416666666666666
29000017,3.2,6.5,3.2,4.3
29000018,3.8,4.25,0,2.6833333333333336
29000019,8.4,8.75,8.2,8.45
29000020,6.0,7.5,0,4.5
29000021,8.0,9.25,8.2,8.483333333333333
29000022,7.8,8.5,7.8,8.033333333333333
29000023,6.6,7.25,6.6,6.816666666666666
29000024,4.8,8.25,3.8,5.616666666666667
29000025,8.0,8.75,7.4,8.049999999999999
29000026,7.6,5.75,0,4.45
29000027,7.2,7.16,6.6,6.986666666666667
29000028,8.6,7.92,8.4,8.306666666666667
29000029,9.0,8.5,9.4,8.966666666666667
29000030,8.2,8.75,9.0,8.65
29000031,0,0,0,0.0
29000032,5.4,7.75,2.8,5.316666666666666
29000033,9.0,5.5,7.8,7.433333333333334
29000034,2.6,2.5,0,1.7
29000035,8.4,7.25,9.0,8.216666666666667
29000036,8.6,9.0,7.8,8.466666666666667
29000037,8.0,8.5,8.0,8.166666666666666
29000038,2.8,5.75,0,2.85
29000039,7.6,7.25,4.8,6.55
29000040,8.6,6.75,8.2,7.849999999999999
29000041,8.0,9.25,8.8,8.683333333333334
29000042,8.0,8.0,9.2,8.4
29000043,5.6,7.0,3.0,5.2
