SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
31000001,2.4,6.0,6.2,4.866666666666667
31000002,7.0,5.75,7.0,6.583333333333333
31000003,7.4,8.75,9.0,8.383333333333333
31000004,5.2,5.5,6.4,5.7
31000005,0,0,0,0.0
31000006,7.6,6.25,6.6,6.816666666666666
31000007,5.2,3.5,6.6,5.1
31000008,6.8,5.75,5.4,5.983333333333334
31000009,6.0,6.75,7.6,6.783333333333334
31000010,6.2,6.5,6.6,6.433333333333333
31000011,5.6,3.0,4.8,4.466666666666666
31000012,5.8,4.75,5.6,5.383333333333333
31000013,6.0,6.25,7.4,6.55
31000014,7.0,0,0,2.3333333333333335
31000015,6.2,7.5,6.2,6.633333333333333
31000016,6.4,5.75,6.0,6.05
31000017,3.0,5.25,2.6,3.6166666666666667
31000018,4.8,5.75,6.0,5.516666666666667
31000019,0,6.75,0,2.25
31000020,6.0,4.75,7.4,6.05
31000021,7.4,8.5,6.2,7.366666666666667
31000022,4.4,5.0,6.4,5.266666666666667
31000023,3.4,3.5,0,2.3000000000000003
31000024,5.0,8.0,6.4,6.466666666666666
31000025,4.8,5.75,0,3.516666666666667
31000026,5.4,5.75,5.6,5.583333333333333
31000027,5.6,5.25,4.4,5.083333333333333
31000028,6.2,3.75,5.6,5.183333333333333
31000029,6.4,5.5,4.0,5.3
31000030,5.4,5.5,4.6,5.166666666666667
31000031,8.8,0,0,2.9333333333333336
31000032,5.6,7.5,4.2,5.766666666666667
31000033,6.0,5.25,5.4,5.55
31000034,5.8,4.5,4.0,4.766666666666667
31000035,6.0,7.0,5.0,6.0
31000036,5.4,5.5,5.2,5.366666666666667
31000037,5.8,5.0,2.8,4.533333333333334
31000038,5.2,4.5,3.6,4.433333333333333
31000039,5.4,5.5,6.2,5.7
31000040,4.8,5.5,4.2,4.833333333333333
31000041,5.4,5.75,6.2,5.783333333333334
31000042,6.4,5.25,4.2,5.283333333333334
31000043,5.0,7.25,5.6,5.95
31000044,4.4,4.5,4.2,4.366666666666667
31000045,6.6,5.0,5.2,5.6000000000000005
31000046,0,0,0,0.0
31000047,6.4,4.5,3.6,4.833333333333333
31000048,6.8,6.5,4.4,5.900000000000001
31000049,4.2,6.0,4.0,4.733333333333333
31000050,5.2,6.25,5.4,5.616666666666667
31000051,4.6,5.75,3.6,4.6499999999999995
31000052,4.0,6.5,4.0,4.833333333333333
31000053,5.8,5.75,5.0,5.516666666666667
31000054,5.4,7.5,3.8,5.566666666666666
31000055,7.6,7.5,5.0,6.7
31000056,5.0,7.5,2.8,5.1000000000000005
31000057,7.4,8.0,3.6,6.333333333333333
31000058,6.0,6.5,5.0,5.833333333333333
31000059,5.4,5.5,3.6,4.833333333333333
31000060,5.0,5.5,4.0,4.833333333333333
31000061,6.2,6.25,3.4,5.283333333333333
31000062,4.0,6.75,5.8,5.516666666666667
31000063,7.2,5.5,4.2,5.633333333333333
31000064,3.0,3.5,3.2,3.233333333333333
31000065,3.8,5.5,5.2,4.833333333333333
31000066,6.4,7.0,2.8,5.3999999999999995
31000067,7.2,6.75,6.0,6.6499999999999995
31000068,6.0,4.75,2.2,4.316666666666666
31000069,5.8,5.5,2.8,4.7
31000070,5.0,7.0,3.2,5.066666666666666
31000071,4.8,4.25,0,3.016666666666667
31000072,5.2,5.25,4.4,4.95
31000073,2.0,4.0,4.4,3.466666666666667
31000074,3.8,6.25,3.4,4.483333333333333
31000075,6.0,5.5,5.8,5.766666666666667
31000076,6.6,5.75,6.6,6.316666666666666
31000077,8.4,6.25,8.0,7.55
31000078,6.8,5.25,5.0,5.683333333333334
31000079,5.0,5.5,3.2,4.566666666666666
31000080,0,7.0,0,2.3333333333333335
31000081,6.4,5.5,4.0,5.3
31000082,0,7.0,0,2.3333333333333335
31000083,6.8,6.5,5.0,6.1000000000000005
31000084,6.6,8.0,5.4,6.666666666666667
31000085,5.2,7.0,5.6,5.933333333333333
31000086,6.4,7.75,6.2,6.783333333333334
31000087,4.6,6.75,6.4,5.916666666666667
31000088,6.0,7.25,5.8,6.3500000000000005
31000089,4.2,3.25,3.8,3.75
31000090,6.8,6.25,7.6,6.883333333333333
31000091,4.0,4.0,4.2,4.066666666666666
31000092,7.0,7.5,7.6,7.366666666666667
31000093,6.0,8.0,8.2,7.3999999999999995
31000094,6.6,7.5,5.2,6.433333333333334
31000095,6.8,8.5,7.6,7.633333333333333
31000096,4.8,6.0,3.4,4.733333333333333
31000097,5.0,5.5,5.6,5.366666666666667
31000098,4.6,4.75,7.4,5.583333333333333
31000099,5.8,4.5,6.2,5.5
31000100,5.6,6.0,7.2,6.266666666666667
31000101,3.8,4.0,6.2,4.666666666666667
31000102,3.8,4.5,6.0,4.766666666666667
31000103,5.6,5.5,6.8,5.966666666666666
31000104,5.4,4.25,0,3.216666666666667
31000105,5.2,4.5,5.4,5.033333333333333
31000106,6.2,6.0,6.0,6.066666666666666
31000107,4.2,3.5,0,2.566666666666667
31000108,5.2,6.5,4.4,5.366666666666667
31000109,6.0,7.5,5.8,6.433333333333334
31000110,6.2,6.0,2.4,4.866666666666666
31000111,5.4,3.75,0,3.0500000000000003
31000112,7.2,6.5,6.2,6.633333333333333
