SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
40000001,6.8,6.25,3.2,5.416666666666667
40000002,3.4,5.25,2.6,3.75
40000003,7.4,6.0,7.0,6.8
40000004,5.6,7.0,4.0,5.533333333333334
40000005,5.4,7.25,3.8,5.483333333333333
40000006,3.4,6.5,4.4,4.766666666666667
40000007,3.6,5.25,3.2,4.016666666666667
40000008,4.8,6.25,4.0,5.016666666666667
40000009,6.4,7.0,4.0,5.8
40000010,5.4,6.0,4.8,5.3999999999999995
40000011,0,0,0,0.0
40000012,6.2,6.25,4.0,5.483333333333333
40000013,3.6,5.0,2.4,3.6666666666666665
40000014,6.8,5.5,5.4,5.900000000000001
40000015,7.8,6.0,4.6,6.133333333333333
40000016,2.8,5.0,1.8,3.1999999999999997
40000017,5.6,5.5,4.8,5.3
40000018,3.4,4.25,2.8,3.483333333333333
40000019,3.6,6.0,2.2,3.9333333333333336
40000020,6.2,6.5,3.2,5.3
40000021,4.0,4.0,3.2,3.733333333333333
40000022,3.0,6.0,2.0,3.6666666666666665
40000023,7.0,5.75,2.0,4.916666666666667
40000024,0,6.25,0,2.0833333333333335
40000025,6.8,6.5,4.0,5.766666666666667
40000026,3.6,3.0,3.0,3.1999999999999997
40000027,4.6,5.5,4.2,4.766666666666667
40000028,6.2,5.5,4.0,5.233333333333333
40000029,7.4,7.25,5.0,6.55
40000030,4.6,6.25,3.2,4.683333333333334
40000031,5.0,6.75,3.4,5.05
40000032,7.2,6.0,3.8,5.666666666666667
40000033,3.2,6.0,4.0,4.3999999999999995
40000034,3.4,5.0,3.6,4.0
40000035,2.4,3.25,1.6,2.4166666666666665
40000036,6.2,5.5,4.4,5.366666666666667
40000037,7.4,5.75,7.4,6.8500000000000005
40000038,6.8,5.25,4.4,5.483333333333334
40000039,4.0,6.5,4.8,5.1000000000000005
40000040,6.8,6.5,4.4,5.900000000000001
40000041,5.6,6.0,3.2,4.933333333333334
40000042,4.2,3.5,3.6,3.766666666666667
40000043,3.0,5.5,2.4,3.6333333333333333
40000044,5.4,4.75,4.0,4.716666666666667
40000045,4.0,6.5,3.4,4.633333333333334
40000046,5.4,6.75,3.4,5.183333333333334
40000047,5.0,7.0,3.8,5.266666666666667
40000048,5.2,5.0,3.2,4.466666666666666
40000049,5.2,4.75,3.4,4.45
