SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
50000001,7.0,8.5,6.4,7.3
50000002,5.6,8.0,3.2,5.6000000000000005
50000003,7.6,8.5,6.6,7.566666666666667
50000004,7.4,8.5,7.2,7.7
50000005,6.6,8.5,4.8,6.633333333333333
50000006,7.6,8.5,8.2,8.1
50000007,6.0,8.25,4.0,6.083333333333333
50000008,7.4,7.5,4.8,6.566666666666666
50000009,7.6,7.0,5.4,6.666666666666667
50000010,5.8,7.25,3.2,5.416666666666667
50000011,5.0,7.5,2.8,5.1000000000000005
50000012,6.2,6.5,6.8,6.5
50000013,7.2,6.5,7.0,6.8999999999999995
50000014,7.2,6.58,5.6,6.460000000000001
50000015,7.4,7.75,6.0,7.05
50000016,6.8,5.5,4.6,5.633333333333333
50000017,5.4,6.5,6.0,5.966666666666666
50000018,3.0,5.75,0,2.9166666666666665
50000019,7.4,7.0,8.4,7.6000000000000005
50000020,6.2,8.0,5.6,6.599999999999999
50000021,6.6,7.0,7.8,7.133333333333333
50000022,8.4,8.0,7.4,7.933333333333333
50000023,6.2,6.25,4.2,5.55
50000024,7.4,8.5,6.0,7.3
50000025,7.4,7.25,4.8,6.483333333333333
50000026,6.6,7.75,5.2,6.516666666666667
50000027,7.0,6.75,3.4,5.716666666666666
50000028,7.0,5.75,5.8,6.183333333333334
50000029,7.6,7.0,5.0,6.533333333333334
50000030,3.8,6.0,4.2,4.666666666666667
50000031,6.0,5.75,4.6,5.45
50000032,5.4,5.75,6.0,5.716666666666666
50000033,7.4,6.75,4.2,6.116666666666667
50000034,7.2,6.0,6.4,6.533333333333334
50000035,5.6,7.5,3.8,5.633333333333333
50000036,7.6,7.5,7.4,7.5
50000037,5.2,7.0,4.6,5.599999999999999
50000038,7.0,8.0,6.6,7.2
50000039,6.0,6.5,4.2,5.566666666666666
50000040,6.8,7.0,7.4,7.066666666666667
50000041,6.2,7.25,3.6,5.683333333333334
50000042,6.2,7.5,3.6,5.766666666666667
50000043,7.2,7.0,5.6,6.599999999999999
50000044,4.6,6.25,3.2,4.683333333333334
50000045,6.2,8.25,5.2,6.55
50000046,8.0,7.75,6.2,7.316666666666666
50000047,7.4,6.75,7.0,7.05
50000048,6.2,9.0,6.8,7.333333333333333
50000049,7.0,7.75,5.8,6.8500000000000005
50000050,6.8,6.5,4.0,5.766666666666667
50000051,6.6,7.0,3.6,5.733333333333333
50000052,5.8,7.0,4.8,5.866666666666667
50000053,7.0,7.25,6.4,6.883333333333333
50000054,6.4,7.0,6.4,6.6000000000000005
50000055,7.4,6.25,3.6,5.75
50000056,7.6,8.75,5.0,7.116666666666667
50000057,7.0,9.0,5.6,7.2
50000058,7.4,8.5,7.2,7.7
50000059,7.0,7.5,4.4,6.3
50000060,7.8,7.75,5.4,6.983333333333334
50000061,4.2,6.0,3.6,4.6
50000062,8.6,8.0,8.2,8.266666666666667
50000063,3.6,6.25,2.6,4.1499999999999995
50000064,5.8,5.5,5.2,5.5
50000065,5.0,6.5,2.6,4.7
50000066,5.8,8.0,4.4,6.066666666666667
50000067,5.8,7.5,4.8,6.033333333333334
50000068,8.0,7.5,6.6,7.366666666666667
50000069,6.4,4.25,2.8,4.483333333333333
50000070,5.4,7.25,4.6,5.75
50000071,6.8,7.5,5.8,6.7
50000072,6.8,7.0,4.4,6.066666666666667
50000073,8.0,7.5,7.6,7.7
50000074,5.8,6.25,4.0,5.3500000000000005
50000075,7.0,8.5,7.2,7.566666666666666
50000076,4.2,7.75,7.4,6.45
50000077,4.8,7.25,5.0,5.683333333333334
50000078,7.2,7.5,4.8,6.5
50000079,7.8,6.0,3.4,5.733333333333333
50000080,6.6,6.25,4.0,5.616666666666667
50000081,6.4,6.75,5.2,6.116666666666667
50000082,8.0,8.25,8.6,8.283333333333333
50000083,5.4,6.25,5.0,5.55
50000084,4.6,5.75,0,3.4499999999999997
50000085,7.4,6.5,5.8,6.566666666666666
50000086,5.2,6.25,4.4,5.283333333333333
50000087,6.4,7.5,5.8,6.566666666666666
50000088,7.4,8.0,4.8,6.733333333333333
50000089,5.6,7.92,8.6,7.373333333333332
50000090,8.4,8.0,9.0,8.466666666666667
50000091,6.4,7.25,5.6,6.416666666666667
50000092,6.6,7.25,3.2,5.683333333333334
50000093,2.8,5.0,3.4,3.733333333333333
50000094,6.4,6.25,3.8,5.483333333333333
50000095,8.2,8.0,5.0,7.066666666666666
50000096,6.2,6.0,4.2,5.466666666666666
50000097,7.2,6.75,5.6,6.516666666666666
50000098,6.6,8.0,5.2,6.6000000000000005
50000099,2.6,5.0,3.6,3.733333333333333
50000100,6.0,6.25,4.2,5.483333333333333
50000101,7.6,6.5,4.6,6.233333333333333
50000102,6.4,6.5,6.0,6.3
50000103,8.2,6.5,6.4,7.033333333333334
50000104,7.8,7.0,8.4,7.733333333333334
50000105,4.8,7.0,5.0,5.6000000000000005
50000106,5.6,6.75,4.2,5.516666666666667
50000107,5.0,6.83,3.8,5.21
50000108,7.2,8.5,5.8,7.166666666666667
50000109,6.0,8.0,6.4,6.8
50000110,6.4,7.75,5.6,6.583333333333333
50000111,4.2,6.25,0,3.483333333333333
50000112,6.4,8.25,6.6,7.083333333333333
50000113,5.2,5.75,5.6,5.516666666666666
50000114,6.2,6.5,4.0,5.566666666666666
50000115,4.6,4.5,3.6,4.233333333333333
50000116,6.6,7.0,3.6,5.733333333333333
50000117,7.2,6.0,4.2,5.8
50000118,6.0,7.0,3.6,5.533333333333334
50000119,7.0,6.0,5.8,6.266666666666667
50000120,6.6,8.0,6.2,6.933333333333334
50000121,7.2,8.0,7.6,7.599999999999999
50000122,3.4,6.5,2.8,4.233333333333333
50000123,6.8,5.5,5.4,5.900000000000001
50000124,7.4,5.75,5.0,6.05
50000125,5.2,7.75,3.8,5.583333333333333
50000126,8.0,7.75,5.4,7.05
50000127,5.8,6.08,4.4,5.426666666666667
50000128,5.2,7.0,4.0,5.3999999999999995
50000129,6.8,8.0,4.2,6.333333333333333
50000130,7.4,7.5,3.6,6.166666666666667
50000131,7.2,6.75,5.2,6.383333333333333
50000132,8.4,8.25,6.2,7.616666666666666
50000133,6.6,7.75,0,4.783333333333333
50000134,7.8,7.25,4.6,6.55
50000135,6.8,7.0,6.8,6.866666666666667
50000136,8.0,8.25,6.2,7.483333333333333
50000137,6.6,7.0,4.4,6.0
50000138,4.8,7.5,4.4,5.566666666666667
50000139,4.6,3.75,3.8,4.05
50000140,7.2,7.0,4.4,6.2
50000141,7.0,7.5,6.8,7.1000000000000005
50000142,5.8,6.0,6.8,6.2
50000143,7.0,8.0,5.4,6.8
50000144,7.8,8.25,9.4,8.483333333333334
50000145,6.4,7.25,4.4,6.016666666666667
50000146,8.4,7.25,5.2,6.95
50000147,3.6,6.25,3.0,4.283333333333333
50000148,6.2,7.0,2.4,5.2
50000149,6.8,7.0,5.6,6.466666666666666
50000150,6.6,7.0,6.8,6.8
50000151,7.4,7.25,5.8,6.816666666666666
50000152,6.6,7.0,7.2,6.933333333333334
50000153,5.6,6.0,3.8,5.133333333333333
50000154,6.6,8.0,8.2,7.599999999999999
50000155,7.6,7.5,5.2,6.766666666666667
50000156,7.4,7.0,4.0,6.133333333333333
50000157,6.0,8.0,4.4,6.133333333333333
50000158,7.0,7.75,3.4,6.05
50000159,6.6,7.5,6.4,6.833333333333333
50000160,7.2,8.5,4.4,6.7
50000161,7.4,7.0,6.2,6.866666666666667
50000162,7.6,8.5,7.6,7.900000000000001
50000163,6.2,8.0,4.4,6.2
50000164,8.6,8.25,5.0,7.283333333333334
50000165,7.4,8.5,6.4,7.433333333333334
50000166,6.4,8.5,7.4,7.433333333333334
50000167,6.4,7.0,4.4,5.933333333333334
50000168,6.6,7.75,8.0,7.45
50000169,8.0,7.5,5.6,7.033333333333334
50000170,7.4,8.0,7.2,7.533333333333334
50000171,5.6,7.0,5.0,5.866666666666667
50000172,7.0,7.0,4.8,6.266666666666667
50000173,7.6,6.5,4.4,6.166666666666667
50000174,5.2,8.0,7.4,6.866666666666667
50000175,6.6,8.0,7.6,7.3999999999999995
50000176,6.2,7.0,5.2,6.133333333333333
50000177,5.2,7.25,3.2,5.216666666666666
50000178,6.6,6.0,4.0,5.533333333333334
50000179,5.2,6.5,4.2,5.3
50000180,6.8,7.0,6.0,6.6000000000000005
50000181,6.8,8.25,5.0,6.683333333333334
50000182,8.2,6.75,5.0,6.6499999999999995
50000183,6.4,8.0,5.2,6.533333333333334
50000184,8.0,7.75,5.2,6.983333333333333
50000185,4.0,6.5,0,3.5
50000186,5.8,6.25,5.4,5.816666666666667
50000187,7.4,6.5,5.4,6.433333333333334
50000188,6.4,7.5,4.4,6.1000000000000005
50000189,7.2,7.5,4.6,6.433333333333333
50000190,6.0,8.0,4.2,6.066666666666666
50000191,6.0,7.25,4.6,5.95
50000192,8.2,8.0,8.6,8.266666666666666
50000193,7.4,5.75,4.0,5.716666666666666
50000194,6.0,7.25,5.0,6.083333333333333
50000195,6.2,7.0,6.8,6.666666666666667
50000196,5.6,7.0,4.2,5.6000000000000005
50000197,7.6,8.5,8.4,8.166666666666666
50000198,4.4,6.25,2.8,4.483333333333333
50000199,5.6,6.75,4.6,5.6499999999999995
50000200,6.6,6.75,3.8,5.716666666666666
50000201,6.4,6.25,6.0,6.216666666666666
50000202,7.6,8.0,4.0,6.533333333333334
50000203,5.4,6.5,3.4,5.1000000000000005
50000204,4.8,5.5,4.2,4.833333333333333
50000205,7.8,6.25,4.2,6.083333333333333
50000206,7.4,9.0,7.4,7.933333333333333
50000207,7.4,7.75,5.2,6.783333333333334
50000208,5.2,7.75,5.2,6.05
50000209,6.4,7.0,3.6,5.666666666666667
50000210,7.8,7.0,3.8,6.2
50000211,5.4,8.25,6.4,6.683333333333334
50000212,3.6,5.75,3.2,4.183333333333334
50000213,4.2,7.0,3.0,4.733333333333333
50000214,8.6,5.75,6.8,7.05
50000215,7.6,7.75,7.8,7.716666666666666
50000216,7.0,8.0,4.8,6.6000000000000005
50000217,6.4,7.25,4.0,5.883333333333333
50000218,7.0,6.25,5.0,6.083333333333333
50000219,6.8,7.5,5.0,6.433333333333334
50000220,6.6,7.5,4.2,6.1000000000000005
50000221,7.2,7.25,5.8,6.75
50000222,5.6,6.75,3.6,5.316666666666666
50000223,8.4,7.5,5.4,7.1000000000000005
50000224,5.2,7.5,4.4,5.7
50000225,4.6,7.75,5.0,5.783333333333334
50000226,6.0,7.0,4.6,5.866666666666667
50000227,7.8,8.25,6.0,7.3500000000000005
50000228,5.4,6.0,4.2,5.2
50000229,7.2,7.5,3.4,6.033333333333332
50000230,2.6,5.5,2.4,3.5
50000231,8.2,8.0,4.6,6.933333333333333
50000232,6.8,8.0,3.2,6.0
50000233,6.4,7.25,7.0,6.883333333333333
50000234,4.6,7.5,0,4.033333333333333
50000235,6.4,7.0,4.4,5.933333333333334
50000236,7.2,7.0,3.8,6.0
50000237,6.0,7.25,7.0,6.75
50000238,7.4,6.5,7.2,7.033333333333334
50000239,6.8,6.0,4.0,5.6000000000000005
50000240,3.2,5.75,3.8,4.25
50000241,6.0,5.5,3.4,4.966666666666667
50000242,7.2,6.25,5.6,6.349999999999999
50000243,7.8,5.75,2.6,5.383333333333334
50000244,8.0,6.5,4.2,6.233333333333333
50000245,4.8,6.75,3.4,4.983333333333333
50000246,7.2,7.5,6.6,7.099999999999999
50000247,5.4,6.5,4.8,5.566666666666666
50000248,5.8,7.75,4.6,6.05
50000249,6.2,5.0,4.2,5.133333333333333
50000250,6.6,6.75,5.8,6.383333333333333
50000251,6.4,7.5,4.6,6.166666666666667
50000252,4.8,7.25,5.6,5.883333333333333
50000253,7.4,6.75,5.0,6.383333333333333
50000254,7.0,8.0,4.0,6.333333333333333
50000255,6.8,7.25,6.2,6.75
50000256,6.4,7.25,5.2,6.283333333333334
50000257,7.4,8.0,6.8,7.3999999999999995
50000258,6.2,8.25,4.4,6.283333333333334
50000259,7.0,8.17,5.4,6.8566666666666665
50000260,7.4,7.5,7.0,7.3
50000261,5.6,5.0,2.8,4.466666666666666
50000262,6.8,7.5,6.8,7.033333333333334
50000263,9.0,8.25,7.4,8.216666666666667
50000264,8.0,7.5,6.4,7.3
50000265,7.8,7.75,7.2,7.583333333333333
50000266,6.2,8.0,4.4,6.2
50000267,4.8,6.25,6.2,5.75
50000268,5.0,5.0,3.4,4.466666666666667
50000269,7.2,8.25,6.2,7.216666666666666
50000270,5.4,5.25,3.6,4.75
50000271,6.0,7.0,5.0,6.0
50000272,6.2,7.75,4.6,6.183333333333333
50000273,7.0,7.0,4.8,6.266666666666667
50000274,8.0,7.75,8.4,8.049999999999999
50000275,7.4,7.08,4.6,6.359999999999999
50000276,6.6,6.0,3.8,5.466666666666666
50000277,5.8,6.75,3.8,5.45
50000278,6.0,6.5,4.6,5.7
50000279,7.2,7.25,5.0,6.483333333333333
50000280,7.2,7.25,5.6,6.683333333333333
50000281,5.8,5.75,2.6,4.716666666666667
50000282,4.4,7.25,4.6,5.416666666666667
50000283,6.0,8.5,5.2,6.566666666666666
50000284,7.4,7.25,5.6,6.75
50000285,7.8,8.5,8.2,8.166666666666666
50000286,6.2,7.0,4.8,6.0
50000287,7.4,6.25,4.8,6.1499999999999995
50000288,5.6,7.0,4.0,5.533333333333334
50000289,9.0,7.0,4.6,6.866666666666667
50000290,5.8,6.75,4.8,5.783333333333334
50000291,6.2,6.25,6.0,6.1499999999999995
50000292,6.8,7.0,4.6,6.133333333333333
50000293,6.8,8.0,5.0,6.6000000000000005
50000294,6.0,6.75,4.8,5.8500000000000005
50000295,7.4,8.5,5.6,7.166666666666667
50000296,5.8,8.5,3.2,5.833333333333333
50000297,6.2,8.25,8.4,7.616666666666667
50000298,7.6,8.25,7.4,7.75
50000299,4.8,6.75,4.0,5.183333333333334
50000300,7.0,7.5,4.4,6.3
50000301,5.8,7.25,3.6,5.550000000000001
50000302,7.0,7.0,3.2,5.733333333333333
50000303,7.6,7.08,7.8,7.493333333333333
50000304,7.0,7.0,3.8,5.933333333333334
50000305,6.8,7.75,7.2,7.25
50000306,6.8,7.42,6.4,6.873333333333332
50000307,6.6,7.25,7.0,6.95
50000308,7.8,8.25,6.8,7.616666666666667
50000309,5.2,6.5,3.2,4.966666666666666
50000310,6.4,7.25,6.2,6.616666666666667
50000311,5.2,6.42,4.8,5.473333333333334
50000312,6.4,8.25,5.8,6.816666666666666
50000313,6.4,5.5,3.2,5.033333333333334
50000314,6.2,6.5,3.6,5.433333333333334
50000315,6.4,6.5,5.4,6.1000000000000005
50000316,6.2,5.75,6.4,6.116666666666667
50000317,7.2,9.0,6.8,7.666666666666667
50000318,6.2,8.0,4.4,6.2
50000319,4.6,6.0,3.2,4.6000000000000005
50000320,6.4,7.75,5.4,6.516666666666667
50000321,4.6,7.25,3.6,5.1499999999999995
50000322,6.8,7.75,5.4,6.650000000000001
50000323,5.4,7.0,5.0,5.8
50000324,8.4,8.25,7.6,8.083333333333334
50000325,6.6,8.0,5.8,6.8
50000326,5.8,8.5,6.8,7.033333333333334
50000327,7.2,7.5,6.4,7.033333333333334
50000328,6.8,6.5,5.0,6.1000000000000005
50000329,7.0,8.0,5.6,6.866666666666667
50000330,6.8,7.75,6.4,6.983333333333334
50000331,7.0,7.5,5.8,6.766666666666667
50000332,6.0,6.25,2.8,5.016666666666667
50000333,4.6,8.0,3.8,5.466666666666666
50000334,5.4,5.75,4.4,5.183333333333334
50000335,6.4,7.5,3.2,5.7
50000336,6.8,7.75,5.8,6.783333333333334
50000337,5.2,7.75,3.0,5.316666666666666
50000338,6.2,6.75,2.4,5.116666666666666
50000339,4.6,6.25,3.2,4.683333333333334
50000340,4.6,7.25,0,3.9499999999999997
50000341,7.8,7.25,6.0,7.016666666666667
50000342,6.0,8.0,4.4,6.133333333333333
50000343,6.2,6.25,3.6,5.3500000000000005
50000344,8.0,8.25,6.0,7.416666666666667
50000345,5.8,7.5,4.6,5.966666666666666
50000346,8.2,8.0,6.0,7.3999999999999995
50000347,6.0,7.75,4.4,6.05
50000348,7.4,8.0,6.2,7.2
50000349,8.2,8.75,6.6,7.849999999999999
50000350,6.6,6.5,5.8,6.3
50000351,7.2,7.0,4.8,6.333333333333333
50000352,7.2,8.0,5.6,6.933333333333333
50000353,6.6,7.0,5.6,6.3999999999999995
50000354,8.0,7.25,5.6,6.95
50000355,5.8,8.0,6.2,6.666666666666667
50000356,7.8,9.0,7.4,8.066666666666668
50000357,7.0,7.25,5.2,6.483333333333333
50000358,7.4,7.5,3.8,6.233333333333333
50000359,6.2,8.0,5.4,6.533333333333334
50000360,8.2,7.75,5.2,7.05
50000361,7.8,8.0,8.8,8.200000000000001
50000362,6.8,7.5,5.0,6.433333333333334
50000363,7.2,6.5,5.6,6.433333333333333
50000364,6.4,8.0,6.4,6.933333333333334
50000365,5.8,6.75,3.8,5.45
50000366,4.8,7.0,3.4,5.066666666666667
50000367,6.2,6.5,4.6,5.766666666666666
50000368,8.0,7.5,5.2,6.8999999999999995
50000369,4.6,6.0,3.2,4.6000000000000005
50000370,7.6,7.25,7.6,7.483333333333333
50000371,7.4,8.0,5.4,6.933333333333334
50000372,6.8,9.5,8.6,8.299999999999999
50000373,7.0,8.0,8.0,7.666666666666667
50000374,7.4,7.75,4.8,6.6499999999999995
50000375,7.0,6.0,5.2,6.066666666666666
50000376,7.4,8.75,9.2,8.45
50000377,6.8,6.5,5.2,6.166666666666667
50000378,7.2,7.0,7.6,7.266666666666666
50000379,5.0,7.5,5.4,5.966666666666666
50000380,6.6,6.75,5.0,6.116666666666667
50000381,7.2,8.5,5.8,7.166666666666667
50000382,8.6,7.75,5.0,7.116666666666667
50000383,7.6,7.25,6.0,6.95
50000384,6.6,8.25,8.0,7.616666666666667
50000385,7.6,8.0,4.4,6.666666666666667
50000386,6.2,7.75,5.2,6.383333333333333
50000387,7.6,7.5,5.6,6.8999999999999995
50000388,6.6,7.25,6.8,6.883333333333333
50000389,7.2,7.0,5.0,6.3999999999999995
50000390,3.8,6.75,3.2,4.583333333333333
50000391,7.4,6.75,3.6,5.916666666666667
50000392,8.0,8.75,4.6,7.116666666666667
50000393,7.4,8.25,7.4,7.683333333333334
50000394,6.4,6.75,4.6,5.916666666666667
50000395,6.2,6.5,4.6,5.766666666666666
50000396,3.8,7.75,3.6,5.05
50000397,8.4,8.5,9.2,8.7
50000398,5.6,7.25,6.4,6.416666666666667
50000399,7.6,8.0,8.6,8.066666666666666
50000400,7.0,8.0,5.6,6.866666666666667
50000401,6.8,6.42,5.4,6.206666666666666
50000402,6.2,7.0,5.4,6.2
50000403,7.2,8.0,4.4,6.533333333333334
50000404,6.4,6.5,6.2,6.366666666666667
50000405,7.2,7.5,3.8,6.166666666666667
