SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
61000001,4.8,6.75,3.4,4.983333333333333
61000002,0,3.0,0,1.0
61000003,3.8,4.75,4.2,4.25
61000004,6.6,6.5,4.8,5.966666666666666
61000005,4.0,4.25,3.4,3.8833333333333333
61000006,4.6,5.0,2.4,4.0
61000007,2.4,3.0,0,1.8
61000008,5.6,5.5,3.6,4.8999999999999995
61000009,2.6,4.25,0,2.283333333333333
61000010,4.4,5.5,3.2,4.366666666666667
61000011,8.2,4.0,3.6,5.266666666666667
61000012,5.2,7.5,5.4,6.033333333333334
61000013,5.2,9.5,6.4,7.033333333333334
61000014,5.0,6.0,5.0,5.333333333333333
61000015,4.8,6.5,3.8,5.033333333333334
61000016,2.0,6.25,2.4,3.5500000000000003
61000017,4.6,6.5,4.0,5.033333333333333
61000018,5.6,6.75,4.0,5.45
61000019,5.2,4.0,4.0,4.3999999999999995
61000020,2.6,5.25,3.4,3.75
61000021,4.8,6.75,2.8,4.783333333333334
61000022,3.6,6.25,3.6,4.483333333333333
61000023,6.4,6.5,4.0,5.633333333333333
61000024,4.0,6.0,2.6,4.2
61000025,6.6,6.0,7.2,6.6000000000000005
61000026,3.8,5.25,2.4,3.816666666666667
61000027,3.6,5.0,3.6,4.066666666666666
61000028,6.2,4.75,5.6,5.516666666666666
61000029,2.6,4.75,3.4,3.5833333333333335
61000030,5.8,8.5,2.4,5.566666666666666
61000031,2.6,3.25,4.2,3.35
61000032,5.4,6.0,4.4,5.266666666666667
61000033,6.4,6.25,4.2,5.616666666666667
61000034,5.4,4.5,3.2,4.366666666666667
61000035,4.4,6.0,3.0,4.466666666666667
61000036,4.0,6.5,3.0,4.5
61000037,6.2,7.75,3.4,5.783333333333332
61000038,5.4,5.75,4.4,5.183333333333334
61000039,4.6,5.75,4.2,4.8500000000000005
61000040,5.4,6.0,3.0,4.8
61000041,7.4,5.75,2.2,5.116666666666667
61000042,5.2,9.0,3.8,6.0
61000043,3.4,7.0,4.6,5.0
61000044,5.8,7.25,3.6,5.550000000000001
61000045,4.0,5.25,4.0,4.416666666666667
61000046,5.6,6.75,5.4,5.916666666666667
61000047,3.4,6.0,2.6,4.0
61000048,6.2,5.75,2.2,4.716666666666666
61000049,3.0,2.25,0,1.75
61000050,4.8,3.25,4.4,4.15
61000051,4.4,6.25,3.6,4.75
61000052,3.4,5.25,5.6,4.75
61000053,6.2,6.5,4.6,5.766666666666666
61000054,4.6,7.0,2.8,4.8
61000055,7.2,0,0,2.4
61000056,4.6,5.25,2.2,4.016666666666667
61000057,3.6,5.25,2.4,3.75
61000058,6.8,5.25,6.0,6.016666666666667
61000059,3.6,6.25,2.6,4.1499999999999995
61000060,2.8,4.25,2.0,3.016666666666667
61000061,4.4,6.0,4.0,4.8
61000062,3.0,6.0,2.2,3.733333333333333
61000063,4.6,6.75,3.0,4.783333333333333
61000064,2.2,4.25,0,2.15
61000065,3.8,3.0,3.2,3.3333333333333335
61000066,4.6,5.5,2.8,4.3
61000067,3.4,4.25,2.2,3.2833333333333337
61000068,3.8,5.5,1.6,3.6333333333333333
61000069,4.4,6.5,3.2,4.7
61000070,5.0,6.0,3.0,4.666666666666667
61000071,4.8,6.25,3.0,4.683333333333334
61000072,6.4,6.25,7.2,6.616666666666667
61000073,5.0,5.25,7.8,6.016666666666667
61000074,4.8,6.25,3.4,4.816666666666667
61000075,3.6,7.5,3.0,4.7
61000076,4.2,7.25,3.6,5.016666666666667
61000077,4.4,5.5,3.6,4.5
61000078,5.2,6.25,1.6,4.35
61000079,6.0,6.5,5.0,5.833333333333333
61000080,5.4,6.5,3.0,4.966666666666667
61000081,4.8,4.75,3.4,4.316666666666667
61000082,5.6,5.0,1.8,4.133333333333334
61000083,3.2,4.5,4.2,3.966666666666667
61000084,5.4,8.0,3.8,5.733333333333333
61000085,7.0,5.75,2.8,5.183333333333334
61000086,6.2,5.5,3.4,5.033333333333333
61000087,5.8,8.5,6.6,6.966666666666666
61000088,4.6,3.5,2.6,3.5666666666666664
61000089,5.4,6.0,0,3.8000000000000003
61000090,6.2,0,0,2.066666666666667
61000091,4.2,3.25,2.0,3.15
61000092,3.8,5.0,3.8,4.2
61000093,5.4,6.5,4.6,5.5
61000094,4.6,4.75,2.8,4.05
61000095,5.0,8.5,4.4,5.966666666666666
61000096,5.4,8.0,5.0,6.133333333333333
61000097,5.8,7.25,3.8,5.616666666666667
61000098,6.4,6.0,4.2,5.533333333333334
61000099,4.2,5.0,2.8,4.0
61000100,7.4,6.5,2.4,5.433333333333334
61000101,3.6,6.5,3.0,4.366666666666666
61000102,5.4,6.75,5.0,5.716666666666666
61000103,5.0,7.25,6.4,6.216666666666666
61000104,2.6,4.5,3.2,3.4333333333333336
61000105,5.2,6.25,1.4,4.283333333333333
61000106,6.2,8.25,6.0,6.816666666666666
61000107,3.4,4.25,2.2,3.2833333333333337
61000108,3.0,5.5,2.0,3.5
61000109,5.4,7.25,4.8,5.816666666666666
61000110,7.2,6.25,4.4,5.95
61000111,3.4,4.0,2.4,3.266666666666667
61000112,2.8,6.25,2.6,3.8833333333333333
61000113,5.2,7.0,6.4,6.2
