SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
13000001,6.6,8.5,6.0,7.033333333333334
13000002,7.6,3.5,6.8,5.966666666666666
13000003,6.0,8.75,6.6,7.116666666666667
13000004,6.4,8.75,8.0,7.716666666666666
13000005,6.2,7.75,5.4,6.45
13000006,7.2,8.0,6.6,7.266666666666666
13000007,7.4,6.25,5.0,6.216666666666666
13000008,7.2,4.25,1.4,4.283333333333333
13000009,5.4,7.75,7.2,6.783333333333334
13000010,6.8,5.5,2.8,5.033333333333334
13000011,6.2,4.0,4.2,4.8
13000012,7.4,8.25,6.8,7.483333333333333
13000013,6.6,5.0,4.8,5.466666666666666
13000014,7.6,5.5,4.6,5.8999999999999995
13000015,7.0,7.25,5.2,6.483333333333333
13000016,4.2,8.25,3.0,5.1499999999999995
13000017,5.8,7.25,3.2,5.416666666666667
13000018,6.2,6.0,8.4,6.866666666666667
13000019,6.6,6.5,4.4,5.833333333333333
13000020,6.0,6.0,3.0,5.0
13000021,6.4,7.75,5.6,6.583333333333333
13000022,5.8,8.75,6.4,6.983333333333334
13000023,6.8,5.5,5.2,5.833333333333333
13000024,5.6,6.0,3.2,4.933333333333334
13000025,3.0,9.0,3.4,5.133333333333334
13000026,8.4,6.0,9.2,7.866666666666667
13000027,6.0,6.25,4.6,5.616666666666667
13000028,6.8,5.5,5.0,5.766666666666667
13000029,7.6,7.5,7.8,7.633333333333333
13000030,6.2,6.0,7.8,6.666666666666667
13000031,7.6,5.0,6.2,6.266666666666667
13000032,8.0,6.5,9.0,7.833333333333333
13000033,7.2,4.25,7.6,6.349999999999999
13000034,7.4,6.5,4.0,5.966666666666666
13000035,7.0,5.75,3.6,5.45
13000036,7.0,6.75,2.4,5.383333333333333
13000037,8.4,5.75,8.4,7.516666666666667
13000038,3.8,6.0,3.0,4.266666666666667
13000039,6.0,8.75,4.8,6.516666666666667
13000040,6.6,4.0,4.6,5.066666666666666
13000041,7.2,9.0,9.0,8.4
13000042,4.8,4.5,9.4,6.233333333333334
13000043,8.6,6.0,7.2,7.266666666666667
13000044,6.6,7.5,3.6,5.8999999999999995
13000045,7.0,4.25,4.0,5.083333333333333
13000046,6.4,8.25,8.8,7.816666666666667
13000047,6.6,6.0,4.6,5.733333333333333
13000048,6.2,8.0,7.8,7.333333333333333
13000049,6.4,7.0,8.6,7.333333333333333
13000050,7.4,3.5,7.6,6.166666666666667
13000051,6.6,9.0,8.0,7.866666666666667
13000052,4.4,7.5,6.8,6.233333333333333
13000053,6.0,9.5,6.6,7.366666666666667
13000054,5.4,7.75,7.4,6.8500000000000005
13000055,6.2,9.0,8.2,7.8
13000056,4.0,9.5,5.4,6.3
13000057,6.6,6.5,4.6,5.8999999999999995
13000058,5.2,8.25,6.0,6.483333333333333
13000059,5.4,8.0,7.2,6.866666666666667
13000060,4.8,7.5,4.4,5.566666666666667
13000061,6.8,7.0,4.0,5.933333333333334
13000062,7.6,7.0,3.8,6.133333333333333
13000063,7.2,8.5,7.0,7.566666666666666
13000064,6.6,4.75,5.6,5.6499999999999995
13000065,8.0,3.0,6.8,5.933333333333334
13000066,7.0,7.0,4.6,6.2
13000067,6.8,8.5,7.4,7.566666666666667
13000068,6.2,8.5,3.8,6.166666666666667
13000069,7.6,8.5,7.8,7.966666666666668
13000070,7.8,8.5,6.4,7.566666666666667
13000071,6.8,5.25,3.8,5.283333333333334
13000072,6.6,8.25,4.8,6.55
13000073,4.6,8.25,7.6,6.816666666666666
13000074,7.8,4.75,7.2,6.583333333333333
13000075,8.2,7.5,3.8,6.5
13000076,6.8,4.75,5.0,5.516666666666667
13000077,7.2,7.75,5.8,6.916666666666667
13000078,7.0,8.5,7.4,7.633333333333333
13000079,8.0,8.5,9.8,8.766666666666667
13000080,3.4,8.0,7.2,6.2
13000081,6.0,8.75,8.4,7.716666666666666
13000082,4.8,8.75,7.4,6.983333333333334
13000083,6.8,8.75,8.6,8.049999999999999
13000084,7.2,8.0,4.4,6.533333333333334
13000085,7.8,5.0,5.8,6.2
13000086,6.8,4.5,4.4,5.233333333333333
13000087,7.4,9.5,7.6,8.166666666666666
13000088,5.0,9.25,6.0,6.75
13000089,6.0,7.25,5.4,6.216666666666666
13000090,7.4,6.0,4.6,6.0
13000091,7.0,5.75,4.0,5.583333333333333
13000092,6.0,9.0,8.4,7.8
13000093,7.8,8.0,6.6,7.466666666666666
13000094,6.6,9.0,7.8,7.8
13000095,8.6,8.25,8.4,8.416666666666666
13000096,4.4,8.25,2.8,5.1499999999999995
13000097,6.8,9.0,6.4,7.400000000000001
13000098,8.0,6.75,8.4,7.716666666666666
13000099,8.8,7.0,9.4,8.4
13000100,7.8,4.25,4.0,5.3500000000000005
13000101,8.2,4.0,7.4,6.533333333333334
13000102,6.4,4.25,8.4,6.3500000000000005
13000103,8.2,5.75,6.2,6.716666666666666
13000104,7.0,8.5,7.4,7.633333333333333
13000105,7.0,6.0,4.8,5.933333333333334
13000106,6.8,7.75,7.6,7.383333333333333
13000107,6.2,8.75,8.6,7.849999999999999
13000108,7.0,7.25,3.2,5.816666666666666
13000109,8.0,7.0,7.2,7.3999999999999995
13000110,7.2,8.25,8.2,7.883333333333333
13000111,8.6,4.75,6.6,6.6499999999999995
13000112,5.4,8.75,6.6,6.916666666666667
13000113,8.8,4.75,7.2,6.916666666666667
13000114,7.6,6.5,7.4,7.166666666666667
13000115,5.8,9.0,6.6,7.133333333333333
13000116,7.4,9.0,8.4,8.266666666666666
13000117,6.2,2.5,5.6,4.766666666666667
13000118,7.0,5.75,7.8,6.8500000000000005
13000119,8.0,5.5,5.4,6.3
13000120,6.0,8.25,7.8,7.3500000000000005
13000121,7.2,8.75,6.8,7.583333333333333
13000122,6.8,4.75,4.8,5.45
13000123,7.4,9.25,8.4,8.35
13000124,6.6,7.75,5.4,6.583333333333333
13000125,8.0,8.5,8.0,8.166666666666666
13000126,7.8,4.0,3.6,5.133333333333334
13000127,5.0,8.25,5.0,6.083333333333333
13000128,7.0,6.5,6.6,6.7
13000129,6.2,9.5,7.0,7.566666666666666
13000130,7.8,6.75,6.6,7.05
13000131,7.8,6.0,5.2,6.333333333333333
13000132,8.6,6.25,5.0,6.616666666666667
13000133,7.2,9.0,7.4,7.866666666666667
13000134,6.6,8.5,9.2,8.1
13000135,4.6,8.0,3.6,5.3999999999999995
13000136,8.6,4.25,3.4,5.416666666666667
13000137,7.4,7.25,6.4,7.016666666666667
13000138,4.4,8.5,4.2,5.7
13000139,7.4,5.25,7.0,6.55
13000140,5.8,7.75,6.8,6.783333333333334
13000141,5.0,8.25,9.2,7.483333333333333
13000142,7.0,8.25,8.4,7.883333333333333
13000143,2.8,8.75,4.4,5.316666666666667
13000144,6.4,7.75,8.4,7.516666666666667
13000145,7.2,9.0,8.8,8.333333333333334
13000146,6.8,4.0,4.4,5.066666666666667
13000147,7.4,3.5,8.4,6.433333333333334
13000148,6.6,6.0,4.8,5.8
13000149,6.2,8.5,7.0,7.233333333333333
13000150,6.8,9.25,9.6,8.549999999999999
13000151,7.6,6.75,3.2,5.8500000000000005
13000152,5.6,8.75,6.8,7.05
13000153,6.8,5.5,6.6,6.3
13000154,5.6,8.75,7.6,7.316666666666666
13000155,7.2,6.5,4.6,6.099999999999999
13000156,5.6,9.0,6.4,7.0
13000157,7.2,4.0,2.4,4.533333333333333
13000158,7.0,6.75,3.6,5.783333333333334
13000159,5.6,4.5,2.6,4.233333333333333
13000160,4.2,8.0,3.8,5.333333333333333
13000161,7.0,7.5,3.6,6.033333333333334
13000162,7.2,6.25,4.8,6.083333333333333
13000163,6.0,9.0,8.6,7.866666666666667
13000164,5.4,9.25,6.4,7.016666666666667
13000165,5.8,7.75,3.8,5.783333333333334
13000166,6.0,8.75,8.2,7.6499999999999995
13000167,6.2,9.0,8.2,7.8
13000168,7.2,6.5,6.8,6.833333333333333
13000169,7.2,9.0,7.6,7.933333333333333
13000170,6.8,9.25,6.8,7.616666666666667
13000171,6.8,9.0,7.6,7.8
13000172,5.6,8.75,7.8,7.383333333333333
13000173,7.2,9.0,7.4,7.866666666666667
13000174,6.2,8.0,7.0,7.066666666666666
13000175,7.8,5.75,3.4,5.6499999999999995
13000176,7.2,6.25,3.6,5.683333333333334
13000177,7.0,5.25,5.2,5.816666666666666
13000178,5.6,9.0,7.0,7.2
13000179,5.6,9.5,5.6,6.8999999999999995
13000180,7.2,9.0,8.8,8.333333333333334
13000181,6.4,4.0,4.4,4.933333333333334
13000182,7.2,3.75,6.2,5.716666666666666
13000183,7.4,3.75,8.8,6.650000000000001
13000184,7.6,5.25,5.6,6.1499999999999995
13000185,6.8,7.25,6.8,6.95
13000186,5.6,7.5,8.2,7.099999999999999
13000187,7.6,6.25,4.4,6.083333333333333
13000188,7.8,7.5,6.6,7.3
13000189,5.2,6.75,5.0,5.6499999999999995
13000190,8.8,5.75,7.0,7.183333333333334
13000191,8.6,8.0,7.2,7.933333333333334
13000192,6.8,9.0,8.4,8.066666666666668
13000193,7.4,9.0,9.2,8.533333333333333
13000194,8.4,6.0,4.6,6.333333333333333
13000195,6.4,4.0,4.6,5.0
13000196,7.2,8.0,4.8,6.666666666666667
13000197,7.8,5.0,5.2,6.0
13000198,6.8,6.75,4.2,5.916666666666667
13000199,6.4,6.5,3.0,5.3
13000200,2.6,3.75,2.8,3.0499999999999994
13000201,4.0,5.75,5.0,4.916666666666667
13000202,4.4,7.25,3.6,5.083333333333333
13000203,4.8,5.75,2.2,4.25
13000204,5.8,8.0,5.6,6.466666666666666
13000205,2.2,2.5,3.2,2.6333333333333333
13000206,5.8,7.5,5.0,6.1000000000000005
13000207,6.2,7.25,6.2,6.55
13000208,3.8,4.75,3.4,3.983333333333334
13000209,5.6,8.75,4.2,6.183333333333334
13000210,2.4,2.5,2.8,2.566666666666667
13000211,6.2,4.5,2.8,4.5
13000212,5.8,6.75,3.8,5.45
13000213,6.0,8.0,4.2,6.066666666666666
