SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
63000001,6.8,5.25,5.4,5.816666666666667
63000002,6.6,5.75,2.2,4.8500000000000005
63000003,5.2,7.0,5.6,5.933333333333333
63000004,6.8,6.0,3.0,5.266666666666667
63000005,7.6,6.25,7.0,6.95
63000006,5.8,3.75,2.2,3.9166666666666665
63000007,4.0,4.0,4.0,4.0
63000008,5.4,7.0,4.8,5.733333333333333
63000009,6.4,5.0,2.4,4.6000000000000005
63000010,7.8,7.25,5.6,6.883333333333333
63000011,6.8,8.0,8.4,7.733333333333334
63000012,6.8,8.0,7.2,7.333333333333333
63000013,5.6,3.25,5.6,4.816666666666666
63000014,7.0,5.0,3.2,5.066666666666666
63000015,8.0,6.75,4.6,6.45
63000016,6.4,6.75,3.4,5.516666666666667
63000017,6.0,5.75,3.4,5.05
63000018,7.6,7.0,8.2,7.599999999999999
63000019,8.0,7.0,8.2,7.733333333333333
63000020,4.2,5.25,2.6,4.016666666666667
63000021,6.4,5.25,6.6,6.083333333333333
63000022,5.2,5.0,3.0,4.3999999999999995
63000023,6.2,6.5,3.6,5.433333333333334
63000024,6.6,5.5,4.2,5.433333333333334
63000025,6.4,5.5,3.4,5.1000000000000005
63000026,4.8,3.5,2.4,3.566666666666667
63000027,6.2,7.25,2.6,5.3500000000000005
63000028,6.4,6.5,4.0,5.633333333333333
63000029,5.0,2.75,3.0,3.5833333333333335
63000030,5.8,6.5,6.4,6.233333333333334
63000031,5.4,5.0,1.6,4.0
63000032,6.2,5.0,4.4,5.2
63000033,7.0,4.5,4.6,5.366666666666667
63000034,5.8,7.5,9.0,7.433333333333334
63000035,5.2,2.0,3.6,3.6
63000036,7.4,7.5,5.0,6.633333333333333
63000037,4.4,5.0,2.2,3.866666666666667
63000038,5.8,5.0,2.8,4.533333333333334
63000039,4.2,4.25,7.0,5.1499999999999995
63000040,7.0,5.0,4.8,5.6000000000000005
63000041,5.2,6.5,2.6,4.766666666666667
63000042,5.4,4.5,2.4,4.1000000000000005
63000043,5.2,4.0,2.0,3.733333333333333
63000044,5.6,6.25,4.4,5.416666666666667
63000045,6.2,5.5,4.4,5.366666666666667
63000046,4.8,3.0,2.8,3.533333333333333
63000047,5.0,5.75,2.4,4.383333333333334
63000048,5.2,6.0,2.6,4.6
63000049,5.2,3.75,5.6,4.85
63000050,4.8,4.0,2.2,3.6666666666666665
63000051,6.4,6.25,4.4,5.683333333333334
63000052,5.0,6.25,2.4,4.55
63000053,6.4,6.25,5.0,5.883333333333333
63000054,4.8,5.0,1.6,3.8000000000000003
63000055,6.2,2.75,4.0,4.316666666666666
63000056,7.0,4.75,3.6,5.116666666666666
63000057,6.8,5.25,6.4,6.150000000000001
63000058,6.4,6.0,3.8,5.3999999999999995
63000059,5.8,6.0,4.6,5.466666666666666
63000060,6.6,6.0,5.4,6.0
63000061,5.6,7.5,5.4,6.166666666666667
63000062,6.2,6.5,4.8,5.833333333333333
63000063,4.2,3.5,3.2,3.6333333333333333
63000064,4.2,5.75,5.0,4.983333333333333
63000065,6.4,6.0,3.4,5.266666666666667
63000066,5.8,4.0,2.6,4.133333333333334
63000067,4.4,4.0,3.6,4.0
63000068,5.8,5.5,3.4,4.9
63000069,7.2,6.0,6.4,6.533333333333334
63000070,6.8,5.0,4.0,5.266666666666667
63000071,5.6,6.25,7.2,6.3500000000000005
63000072,5.6,5.75,3.2,4.8500000000000005
63000073,7.4,6.0,6.4,6.6000000000000005
63000074,6.6,7.0,2.4,5.333333333333333
63000075,6.0,2.25,3.8,4.016666666666667
63000076,6.6,6.25,4.2,5.683333333333334
63000077,7.2,6.25,4.4,5.95
63000078,6.6,5.75,4.0,5.45
63000079,6.6,4.5,2.8,4.633333333333333
63000080,7.2,5.75,2.0,4.983333333333333
63000081,4.0,5.25,3.2,4.1499999999999995
63000082,4.6,4.75,2.2,3.85
63000083,6.2,5.0,2.6,4.6
63000084,5.4,5.0,3.8,4.733333333333333
63000085,6.0,4.5,3.6,4.7
63000086,6.6,4.75,4.0,5.116666666666666
63000087,4.8,6.75,4.4,5.316666666666667
63000088,4.6,4.75,7.0,5.45
63000089,7.2,5.25,5.0,5.816666666666666
63000090,5.8,4.75,3.4,4.65
63000091,7.0,6.5,6.4,6.633333333333333
63000092,5.8,5.25,4.2,5.083333333333333
63000093,5.6,5.75,3.2,4.8500000000000005
63000094,3.4,4.5,1.8,3.233333333333334
63000095,8.6,7.25,2.4,6.083333333333333
63000096,6.4,5.75,3.2,5.116666666666667
63000097,5.2,6.75,3.4,5.116666666666666
63000098,5.4,4.0,2.6,4.0
63000099,5.8,3.5,4.0,4.433333333333334
63000100,6.4,5.75,4.0,5.383333333333333
63000101,6.8,6.75,4.2,5.916666666666667
63000102,6.0,6.5,4.8,5.766666666666667
63000103,4.0,3.5,2.0,3.1666666666666665
63000104,7.6,6.0,7.2,6.933333333333334
63000105,7.6,5.5,4.0,5.7
63000106,6.0,5.5,2.8,4.766666666666667
63000107,5.6,5.5,3.8,4.966666666666666
63000108,6.4,5.5,2.0,4.633333333333334
63000109,4.8,2.5,3.6,3.6333333333333333
63000110,6.6,5.25,2.8,4.883333333333333
63000111,6.2,7.25,4.6,6.016666666666666
63000112,5.2,6.5,3.4,5.033333333333333
63000113,6.6,6.0,3.4,5.333333333333333
63000114,4.6,4.25,3.8,4.216666666666666
63000115,3.8,4.25,2.0,3.35
63000116,5.2,4.75,4.4,4.783333333333333
63000117,5.6,7.0,4.6,5.733333333333333
63000118,4.0,5.5,2.2,3.9
63000119,5.6,6.0,2.8,4.8
63000120,5.2,6.75,4.4,5.45
63000121,5.6,4.5,5.6,5.233333333333333
63000122,5.6,6.25,4.0,5.283333333333333
63000123,5.6,6.0,3.0,4.866666666666666
63000124,6.4,4.25,3.0,4.55
63000125,6.8,8.0,6.6,7.133333333333333
63000126,5.4,6.25,4.6,5.416666666666667
63000127,6.4,2.75,2.0,3.716666666666667
63000128,4.8,4.0,2.6,3.8000000000000003
63000129,7.4,6.5,4.2,6.033333333333334
63000130,7.0,4.5,5.0,5.5
63000131,6.4,6.0,5.2,5.866666666666667
63000132,7.4,6.25,4.0,5.883333333333333
63000133,3.0,4.5,2.6,3.3666666666666667
63000134,6.4,7.5,4.8,6.233333333333333
63000135,7.4,4.5,2.2,4.7
63000136,5.6,7.0,3.8,5.466666666666666
63000137,5.4,6.0,2.2,4.533333333333334
63000138,6.0,5.0,3.4,4.8
63000139,6.4,7.0,5.0,6.133333333333333
63000140,5.6,7.0,5.8,6.133333333333333
63000141,6.4,6.0,5.8,6.066666666666666
63000142,7.0,7.5,5.4,6.633333333333333
63000143,7.0,5.25,3.4,5.216666666666667
63000144,4.4,3.75,1.6,3.25
63000145,4.8,3.25,2.4,3.483333333333334
63000146,4.4,4.75,6.4,5.183333333333334
63000147,4.4,3.0,1.8,3.066666666666667
63000148,4.6,3.5,3.4,3.8333333333333335
63000149,4.4,5.75,1.8,3.983333333333334
63000150,6.2,5.5,4.4,5.366666666666667
63000151,6.6,4.0,3.6,4.733333333333333
63000152,3.2,5.0,4.0,4.066666666666666
63000153,5.0,5.5,5.8,5.433333333333334
63000154,6.6,5.75,3.0,5.116666666666666
63000155,4.8,5.0,2.8,4.2
63000156,5.2,5.75,4.4,5.116666666666666
63000157,6.4,6.5,4.0,5.633333333333333
63000158,4.2,6.25,3.2,4.55
63000159,4.4,5.5,2.6,4.166666666666667
63000160,5.6,4.75,4.4,4.916666666666667
63000161,5.2,4.5,3.2,4.3
63000162,4.8,7.5,6.4,6.233333333333334
63000163,8.4,7.0,7.0,7.466666666666666
63000164,6.4,5.5,3.4,5.1000000000000005
63000165,5.0,4.5,4.4,4.633333333333334
63000166,5.2,4.0,4.0,4.3999999999999995
63000167,4.6,3.5,2.2,3.4333333333333336
63000168,5.6,7.0,3.2,5.266666666666667
63000169,3.4,4.75,2.8,3.65
63000170,6.2,5.25,5.8,5.75
63000171,5.6,3.5,2.4,3.8333333333333335
63000172,3.8,5.25,3.6,4.216666666666667
63000173,7.0,6.75,4.2,5.983333333333333
63000174,6.8,6.5,5.0,6.1000000000000005
63000175,6.2,6.5,7.4,6.7
63000176,7.6,4.25,2.8,4.883333333333333
63000177,6.4,4.5,2.6,4.5
63000178,5.6,4.5,3.2,4.433333333333334
63000179,5.6,6.0,3.2,4.933333333333334
63000180,3.6,4.5,3.6,3.9
63000181,6.2,3.75,3.8,4.583333333333333
63000182,5.8,6.5,4.2,5.5
63000183,5.8,2.25,5.0,4.3500000000000005
63000184,7.4,7.0,7.0,7.133333333333333
63000185,5.6,5.5,4.0,5.033333333333333
63000186,5.2,5.5,3.2,4.633333333333333
63000187,5.6,6.25,2.2,4.683333333333334
63000188,4.8,5.75,2.6,4.383333333333334
63000189,7.2,6.0,4.6,5.933333333333333
63000190,7.2,4.5,4.6,5.433333333333333
63000191,8.4,7.0,6.4,7.266666666666667
63000192,3.0,5.5,3.2,3.9
63000193,6.8,5.25,3.8,5.283333333333334
63000194,4.6,3.58,3.0,3.7266666666666666
63000195,5.4,5.0,3.6,4.666666666666667
63000196,7.0,5.0,4.4,5.466666666666666
63000197,7.0,3.5,3.6,4.7
63000198,5.0,5.5,6.6,5.7
63000199,4.2,6.25,2.6,4.35
63000200,3.6,6.0,2.8,4.133333333333333
63000201,5.6,5.5,4.0,5.033333333333333
63000202,6.4,5.0,5.2,5.533333333333334
63000203,5.0,5.0,2.2,4.066666666666666
63000204,3.0,3.25,3.0,3.0833333333333335
63000205,5.6,6.0,3.6,5.066666666666666
63000206,6.6,5.75,4.2,5.516666666666667
63000207,4.2,4.0,4.0,4.066666666666666
63000208,6.8,6.0,5.2,6.0
63000209,5.0,4.25,2.8,4.016666666666667
63000210,5.2,8.0,2.6,5.266666666666667
63000211,8.2,5.25,7.4,6.95
63000212,6.2,6.0,3.4,5.2
63000213,4.8,5.75,2.6,4.383333333333334
63000214,5.4,3.75,3.4,4.183333333333334
63000215,6.6,6.25,7.2,6.683333333333334
63000216,6.4,5.0,2.0,4.466666666666667
63000217,3.8,4.0,2.8,3.533333333333333
63000218,6.2,6.5,2.0,4.8999999999999995
63000219,6.0,5.5,5.2,5.566666666666666
63000220,6.0,4.5,1.8,4.1000000000000005
63000221,6.0,4.75,2.4,4.383333333333334
63000222,4.0,5.5,2.8,4.1000000000000005
63000223,5.6,6.0,3.2,4.933333333333334
63000224,6.4,6.75,3.6,5.583333333333333
63000225,6.4,5.75,3.8,5.316666666666666
