SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
64000001,6.8,6.0,3.4,5.3999999999999995
64000002,5.0,5.5,3.4,4.633333333333334
64000003,3.0,3.25,4.2,3.483333333333333
64000004,5.2,4.0,2.6,3.933333333333333
64000005,7.2,6.75,5.4,6.45
64000006,3.2,4.0,2.2,3.1333333333333333
64000007,6.0,6.0,4.4,5.466666666666666
64000008,6.0,6.0,4.0,5.333333333333333
64000009,5.6,5.5,3.4,4.833333333333333
64000010,4.6,4.0,2.8,3.7999999999999994
64000011,6.0,5.0,3.0,4.666666666666667
64000012,4.6,5.0,3.4,4.333333333333333
64000013,5.2,5.25,0,3.483333333333333
64000014,6.2,5.25,3.0,4.816666666666666
64000015,5.0,4.5,3.0,4.166666666666667
64000016,5.2,5.25,2.2,4.216666666666666
64000017,7.4,6.0,3.4,5.6000000000000005
64000018,2.6,3.75,0,2.1166666666666667
64000019,5.8,6.5,2.2,4.833333333333333
64000020,3.2,4.25,2.0,3.15
64000021,4.4,5.0,3.2,4.2
64000022,5.2,6.5,2.6,4.766666666666667
64000023,5.2,5.25,2.8,4.416666666666667
64000024,7.8,6.5,5.2,6.5
64000025,6.8,7.5,2.0,5.433333333333334
64000026,6.0,5.5,2.8,4.766666666666667
64000027,3.0,5.0,2.6,3.533333333333333
64000028,4.8,3.25,2.2,3.4166666666666665
64000029,6.2,6.25,3.4,5.283333333333333
64000030,5.2,6.0,4.2,5.133333333333333
64000031,5.6,6.25,3.0,4.95
64000032,6.0,6.0,3.0,5.0
64000033,4.6,4.5,2.6,3.9
64000034,4.2,5.75,3.0,4.316666666666666
64000035,2.6,3.25,0,1.95
64000036,4.4,5.5,2.6,4.166666666666667
64000037,6.4,6.25,5.6,6.083333333333333
64000038,3.8,5.5,2.8,4.033333333333334
64000039,6.8,5.0,3.4,5.066666666666667
64000040,6.6,5.0,3.6,5.066666666666666
64000041,4.2,5.0,0,3.0666666666666664
64000042,6.6,7.25,2.4,5.416666666666667
64000043,6.4,5.75,3.4,5.183333333333334
64000044,5.0,5.25,2.2,4.1499999999999995
64000045,4.8,3.75,3.2,3.9166666666666665
64000046,2.4,3.75,0,2.0500000000000003
64000047,6.2,6.5,2.4,5.033333333333333
64000048,5.4,6.25,2.6,4.75
64000049,6.8,6.5,4.6,5.966666666666666
64000050,5.6,6.5,4.0,5.366666666666667
64000051,3.4,3.5,2.8,3.233333333333333
64000052,4.2,5.0,0,3.0666666666666664
64000053,6.2,5.0,2.8,4.666666666666667
64000054,3.8,3.0,2.2,3.0
64000055,7.2,7.0,3.0,5.733333333333333
64000056,6.6,6.25,4.0,5.616666666666667
64000057,4.4,5.0,2.4,3.9333333333333336
64000058,4.2,5.5,3.6,4.433333333333333
64000059,5.0,6.5,4.4,5.3
64000060,4.8,5.5,4.0,4.766666666666667
64000061,3.8,3.0,2.4,3.0666666666666664
64000062,4.4,5.5,2.2,4.033333333333334
64000063,3.6,5.0,3.2,3.9333333333333336
64000064,6.0,5.0,2.4,4.466666666666667
64000065,3.8,5.0,3.2,4.0
64000066,4.8,5.5,2.6,4.3
64000067,3.2,5.0,2.0,3.4
64000068,0,0,1.0,0.3333333333333333
64000069,3.4,6.0,0,3.1333333333333333
64000070,3.2,5.0,2.6,3.5999999999999996
64000071,3.6,7.25,0,3.6166666666666667
64000072,3.4,5.0,2.2,3.5333333333333337
64000073,2.2,5.0,0,2.4
64000074,7.0,4.5,2.4,4.633333333333334
64000075,2.6,4.5,0,2.3666666666666667
64000076,5.8,6.25,2.8,4.95
