SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
14000001,5.8,4.58,2.0,4.126666666666666
14000002,2.0,1.25,0,1.0833333333333333
14000004,2.8,4.75,2.2,3.25
14000005,3.6,4.5,2.8,3.633333333333333
14000006,2.6,3.0,1.2,2.2666666666666666
14000007,4.4,4.75,3.0,4.05
14000008,4.4,3.25,2.6,3.4166666666666665
14000009,2.8,2.5,2.8,2.6999999999999997
14000010,5.0,3.5,3.4,3.966666666666667
14000011,4.6,0,0,1.5333333333333332
14000013,1.8,4.0,2.8,2.8666666666666667
14000014,6.0,5.5,3.8,5.1000000000000005
14000015,5.6,5.0,7.2,5.933333333333334
14000016,8.0,4.0,3.6,5.2
14000017,2.4,6.5,2.8,3.9
14000018,4.0,4.0,2.6,3.533333333333333
14000019,3.0,3.5,2.4,2.966666666666667
14000020,4.2,6.0,5.2,5.133333333333333
14000021,4.4,4.33,3.8,4.176666666666667
14000022,8.2,4.5,4.2,5.633333333333333
14000023,4.4,4.25,0,2.8833333333333333
14000024,6.2,5.0,5.0,5.3999999999999995
14000025,0,1.75,0,0.5833333333333334
14000026,2.2,4.5,0,2.2333333333333334
14000027,2.8,2.75,3.0,2.85
14000028,2.4,0.25,0,0.8833333333333333
14000029,2.0,4.0,0,2.0
14000030,5.2,4.67,0,3.2900000000000005
14000031,1.8,1.75,3.0,2.183333333333333
14000032,2.6,2.5,0,1.7
14000033,3.4,3.0,3.4,3.266666666666667
14000034,2.4,3.5,2.0,2.6333333333333333
14000035,3.0,4.0,3.0,3.3333333333333335
14000036,3.2,3.0,4.2,3.466666666666667
14000037,5.0,5.42,0,3.473333333333333
14000038,1.8,5.0,6.4,4.3999999999999995
14000039,6.2,6.0,6.2,6.133333333333333
14000040,2.4,4.75,3.0,3.3833333333333333
14000041,1.8,1.25,2.2,1.75
14000042,2.0,3.0,0,1.6666666666666667
14000043,2.0,2.5,3.0,2.5
14000044,2.4,1.0,0,1.1333333333333333
14000045,1.8,2.5,0,1.4333333333333333
14000046,2.8,2.5,0,1.7666666666666666
14000047,5.2,3.75,1.0,3.3166666666666664
14000048,3.4,1.75,0,1.7166666666666668
14000049,2.8,1.25,0,1.3499999999999999
14000050,6.2,4.25,5.8,5.416666666666667
14000051,2.8,0,3.4,2.0666666666666664
14000052,2.8,1.25,0,1.3499999999999999
14000053,3.6,5.0,0,2.8666666666666667
14000054,2.2,5.0,4.0,3.733333333333333
14000055,3.2,4.0,2.0,3.0666666666666664
14000056,2.6,1.75,2.8,2.3833333333333333
14000057,2.6,0,0,0.8666666666666667
14000058,5.8,0,0,1.9333333333333333
14000059,3.2,2.0,3.4,2.8666666666666667
14000060,2.6,1.25,0,1.2833333333333334
14000062,3.0,0,3.4,2.1333333333333333
14000063,0,4.0,0,1.3333333333333333
14000064,2.2,2.0,2.4,2.1999999999999997
14000065,2.0,1.0,0,1.0
14000066,1.4,2.5,2.4,2.1
14000067,4.6,3.5,3.6,3.9
14000068,2.8,2.5,2.2,2.5
