SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
28000001,6.8,6.25,3.6,5.550000000000001
28000002,6.6,7.5,7.0,7.033333333333334
28000003,1.6,3.0,0,1.5333333333333332
28000004,6.8,4.25,6.4,5.816666666666667
28000005,3.4,4.0,0,2.466666666666667
28000006,7.8,7.75,7.6,7.716666666666666
28000007,2.6,3.0,0,1.8666666666666665
28000008,4.8,4.75,3.8,4.45
28000009,7.8,7.0,9.0,7.933333333333334
28000010,7.8,4.0,6.6,6.133333333333333
28000011,9.2,5.25,4.8,6.416666666666667
28000012,2.4,3.0,0,1.8
28000013,6.0,6.5,4.6,5.7
28000014,7.0,5.75,4.8,5.8500000000000005
28000015,8.6,5.25,6.6,6.816666666666666
28000016,3.6,3.25,0,2.283333333333333
28000017,7.4,5.5,6.0,6.3
28000018,4.6,3.0,3.4,3.6666666666666665
28000019,8.2,8.5,8.6,8.433333333333332
28000020,5.4,5.75,3.4,4.8500000000000005
28000021,3.2,7.0,0,3.4
28000022,4.4,4.25,0,2.8833333333333333
28000023,5.6,4.25,2.6,4.1499999999999995
28000024,3.0,4.75,0,2.5833333333333335
28000025,6.0,7.0,5.2,6.066666666666666
28000026,8.8,5.5,6.2,6.833333333333333
28000027,7.4,6.75,6.2,6.783333333333334
28000029,6.2,7.75,5.8,6.583333333333333
28000030,2.2,3.25,0,1.8166666666666667
28000031,7.4,7.0,4.0,6.133333333333333
28000032,8.4,6.0,4.8,6.3999999999999995
28000033,2.8,3.75,0,2.183333333333333
28000034,4.2,2.5,0,2.2333333333333334
28000035,2.2,4.25,0,2.15
28000036,7.4,6.75,6.0,6.716666666666666
28000037,3.2,4.25,0,2.4833333333333334
28000038,4.2,5.25,3.8,4.416666666666667
28000039,6.8,7.25,4.6,6.216666666666666
28000040,8.8,8.25,9.0,8.683333333333334
28000041,9.2,7.0,5.8,7.333333333333333
28000042,7.6,7.0,7.6,7.3999999999999995
28000043,8.0,7.5,5.4,6.966666666666666
28000044,7.4,5.0,6.8,6.3999999999999995
28000045,7.8,7.5,6.4,7.233333333333334
28000046,6.4,6.5,4.8,5.8999999999999995
28000047,5.4,7.5,7.4,6.766666666666667
28000048,3.4,3.5,0,2.3000000000000003
28000049,7.2,4.25,5.8,5.75
28000050,5.6,7.0,5.4,6.0
28000051,7.0,7.75,8.4,7.716666666666666
28000052,2.6,5.25,0,2.6166666666666667
28000053,6.4,7.25,6.4,6.683333333333334
28000054,7.8,7.25,5.8,6.95
28000055,9.2,7.0,9.0,8.4
28000056,6.6,5.25,5.6,5.816666666666666
28000057,5.6,6.0,4.2,5.266666666666667
28000058,7.4,6.5,7.6,7.166666666666667
28000059,4.6,7.0,3.2,4.933333333333334
28000060,6.2,7.0,6.4,6.533333333333334
28000061,7.8,7.25,6.6,7.216666666666666
28000062,8.0,6.0,8.2,7.3999999999999995
28000063,4.0,2.5,0,2.1666666666666665
28000064,7.2,6.75,4.0,5.983333333333333
28000065,8.0,6.5,5.4,6.633333333333333
28000066,6.2,6.0,5.2,5.8
28000067,7.8,6.5,6.4,6.900000000000001
28000068,4.4,6.0,0,3.466666666666667
28000069,3.0,4.25,0,2.4166666666666665
