SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
16000001,7.8,8.5,9.2,8.5
16000002,9.4,8.25,9.4,9.016666666666666
16000003,8.2,6.5,4.4,6.366666666666667
16000004,7.8,7.5,3.8,6.366666666666667
16000005,9.2,6.0,7.6,7.599999999999999
16000006,8.4,8.0,6.2,7.533333333333332
16000007,8.2,8.0,9.6,8.6
16000008,8.4,6.25,8.8,7.816666666666667
16000009,8.0,7.25,4.6,6.616666666666667
16000010,8.4,8.5,8.8,8.566666666666666
16000011,9.2,7.0,6.2,7.466666666666666
16000012,8.0,8.0,9.4,8.466666666666667
16000013,8.4,7.75,8.8,8.316666666666666
16000014,8.6,8.75,0,5.783333333333334
16000015,8.8,7.25,8.4,8.15
16000016,7.2,8.75,6.8,7.583333333333333
16000017,9.2,6.5,6.0,7.233333333333333
16000018,8.8,5.0,6.2,6.666666666666667
16000019,8.2,7.5,9.8,8.5
16000020,6.8,8.25,9.6,8.216666666666667
16000021,5.6,7.5,7.8,6.966666666666666
16000022,8.4,7.0,8.2,7.866666666666667
16000023,8.0,7.75,5.8,7.183333333333334
16000024,9.0,7.75,6.6,7.783333333333334
16000025,8.4,9.0,9.0,8.799999999999999
16000026,9.0,9.0,9.6,9.200000000000001
16000027,9.0,7.0,7.6,7.866666666666667
16000028,5.8,8.0,7.8,7.2
16000029,8.2,8.25,7.2,7.883333333333333
16000030,7.8,7.75,9.2,8.25
16000031,7.4,8.25,9.4,8.35
16000032,8.6,5.75,4.6,6.316666666666666
16000033,9.4,6.25,3.8,6.483333333333333
16000034,8.6,5.25,6.6,6.816666666666666
16000035,8.6,6.25,5.8,6.883333333333333
16000036,6.2,8.0,6.4,6.866666666666667
16000037,8.2,6.75,5.8,6.916666666666667
16000038,7.8,7.75,9.2,8.25
16000039,8.6,8.0,9.4,8.666666666666666
16000040,8.4,7.5,3.4,6.433333333333334
16000041,8.4,8.0,9.8,8.733333333333333
16000042,7.0,8.25,9.4,8.216666666666667
16000043,8.2,8.5,8.2,8.299999999999999
16000044,8.0,8.25,9.0,8.416666666666666
16000045,8.2,7.25,7.0,7.483333333333333
16000046,7.4,8.25,6.8,7.483333333333333
16000047,7.4,9.0,7.6,8.0
16000048,6.8,7.0,8.6,7.466666666666666
16000049,6.6,5.5,7.0,6.366666666666667
16000050,6.6,7.5,6.2,6.766666666666667
16000051,7.8,8.0,9.4,8.4
16000052,8.6,8.0,9.2,8.6
16000053,8.6,7.75,8.0,8.116666666666667
16000054,7.6,8.5,9.4,8.5
16000055,6.0,7.5,9.2,7.566666666666666
16000056,6.8,8.0,9.0,7.933333333333334
16000057,9.0,6.0,4.4,6.466666666666666
16000058,6.4,8.0,9.0,7.8
16000059,7.8,7.75,9.0,8.183333333333334
16000060,9.0,6.5,5.0,6.833333333333333
16000061,9.6,6.75,6.8,7.716666666666668
16000062,7.6,6.75,6.0,6.783333333333334
16000063,7.2,7.5,9.0,7.8999999999999995
16000064,8.0,8.0,4.2,6.733333333333333
16000065,6.4,8.0,8.6,7.666666666666667
16000066,6.4,7.0,4.6,6.0
16000067,5.8,8.5,4.8,6.366666666666667
16000068,9.2,7.0,9.4,8.533333333333333
16000069,8.0,6.75,6.0,6.916666666666667
16000070,9.0,6.5,5.0,6.833333333333333
16000071,7.2,6.0,7.0,6.733333333333333
16000072,7.0,6.25,6.8,6.683333333333334
16000074,8.2,6.75,7.0,7.316666666666666
16000075,8.0,7.75,8.8,8.183333333333334
16000076,8.2,7.5,7.6,7.766666666666666
16000077,6.6,8.0,6.2,6.933333333333334
16000078,8.6,7.5,8.8,8.3
16000079,8.8,7.0,7.4,7.733333333333334
16000081,8.6,6.0,7.4,7.333333333333333
16000082,8.6,5.0,7.4,7.0
16000083,9.0,6.0,5.6,6.866666666666667
16000084,5.4,7.0,4.2,5.533333333333334
16000085,7.8,6.5,5.8,6.7
16000086,7.0,6.75,6.6,6.783333333333334
16000087,8.2,9.0,8.8,8.666666666666666
16000088,6.8,8.25,9.4,8.15
16000089,8.6,8.0,6.4,7.666666666666667
16000090,4.2,7.5,4.6,5.433333333333333
16000091,4.4,7.75,6.0,6.05
16000092,8.6,7.25,8.6,8.15
16000093,9.4,6.75,9.0,8.383333333333333
16000094,8.4,7.25,5.4,7.016666666666667
