SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
60000001,8.2,7.5,4.4,6.7
60000002,7.2,6.5,7.4,7.033333333333334
60000003,7.8,7.5,7.4,7.566666666666667
60000004,8.8,7.0,5.4,7.066666666666667
60000005,8.4,7.75,7.8,7.983333333333333
60000006,8.0,7.25,5.0,6.75
60000007,8.4,6.25,6.4,7.016666666666667
60000008,8.0,7.5,5.8,7.1000000000000005
60000009,6.4,7.25,2.8,5.483333333333333
60000010,7.6,8.0,6.0,7.2
60000011,7.6,6.25,2.2,5.3500000000000005
60000012,8.0,8.0,5.8,7.266666666666667
60000013,6.8,8.0,5.4,6.733333333333334
60000014,8.4,7.0,4.6,6.666666666666667
60000015,7.8,8.25,5.2,7.083333333333333
60000016,6.4,7.0,4.0,5.8
60000017,3.8,5.5,5.6,4.966666666666667
60000018,8.2,5.5,7.2,6.966666666666666
60000019,8.4,5.75,8.8,7.650000000000001
60000020,5.4,6.5,8.6,6.833333333333333
60000021,7.8,7.5,5.6,6.966666666666666
60000022,8.0,7.25,5.0,6.75
60000023,7.2,7.0,4.4,6.2
60000024,8.2,7.5,7.2,7.633333333333333
60000025,6.8,4.0,1.8,4.2
60000026,6.4,5.5,3.0,4.966666666666667
60000027,7.8,8.25,4.8,6.95
60000028,7.8,6.75,6.4,6.983333333333334
60000029,7.8,7.25,3.0,6.016666666666667
60000030,7.8,8.0,4.0,6.6000000000000005
60000031,7.4,6.5,3.2,5.7
60000032,9.0,8.0,9.4,8.799999999999999
60000033,6.2,8.0,8.0,7.3999999999999995
60000034,5.0,6.75,3.6,5.116666666666666
60000035,6.8,7.75,5.8,6.783333333333334
60000036,8.0,7.5,6.4,7.3
60000037,5.0,6.5,3.8,5.1000000000000005
60000038,7.4,7.0,3.4,5.933333333333334
60000039,5.4,6.0,2.6,4.666666666666667
60000040,7.4,5.75,6.2,6.45
60000041,9.2,7.75,4.8,7.25
60000042,5.0,7.25,5.2,5.816666666666666
60000043,7.2,7.0,5.0,6.3999999999999995
60000044,9.2,8.0,8.0,8.4
60000045,8.8,7.25,6.0,7.3500000000000005
60000046,5.6,6.0,4.0,5.2
60000047,9.2,7.5,5.8,7.5
60000048,7.2,8.0,7.2,7.466666666666666
60000049,7.0,8.0,4.4,6.466666666666666
60000050,4.4,7.0,3.0,4.8
60000051,6.8,6.0,3.2,5.333333333333333
60000052,9.4,7.25,6.2,7.616666666666666
60000053,7.6,5.75,2.6,5.316666666666666
60000054,7.6,8.0,3.4,6.333333333333333
60000055,7.8,6.75,7.6,7.383333333333333
60000056,7.6,6.75,4.4,6.25
60000057,6.6,6.5,3.8,5.633333333333333
60000058,6.6,5.5,5.6,5.8999999999999995
60000059,6.6,6.75,4.8,6.05
60000060,8.4,7.0,6.2,7.2
60000061,7.6,8.0,5.2,6.933333333333334
60000062,3.0,6.75,3.6,4.45
60000063,7.2,7.5,3.2,5.966666666666666
60000064,3.8,5.75,2.2,3.9166666666666665
60000065,7.4,6.75,1.6,5.25
60000066,6.6,6.25,4.0,5.616666666666667
60000067,5.6,6.0,4.0,5.2
60000068,8.0,8.5,4.8,7.1000000000000005
60000069,7.8,7.5,7.8,7.7
60000070,8.2,7.25,6.0,7.1499999999999995
60000071,4.4,6.5,4.0,4.966666666666667
60000072,6.4,5.25,5.8,5.816666666666666
60000073,7.0,7.0,4.2,6.066666666666666
60000074,5.4,7.25,4.8,5.816666666666666
60000075,6.6,7.75,5.4,6.583333333333333
60000076,7.0,5.75,3.0,5.25
60000077,6.8,5.75,7.4,6.650000000000001
60000078,7.6,5.5,3.4,5.5
60000079,4.8,3.75,2.6,3.716666666666667
60000080,6.8,8.5,5.2,6.833333333333333
60000081,7.2,6.0,6.2,6.466666666666666
60000082,7.4,7.5,5.4,6.766666666666667
60000083,8.0,7.5,5.2,6.8999999999999995
60000084,6.6,5.75,5.0,5.783333333333334
60000085,5.8,6.25,3.4,5.15
60000086,6.4,7.0,5.0,6.133333333333333
60000087,7.6,8.25,4.6,6.816666666666666
60000088,5.6,5.5,3.0,4.7
60000089,7.4,4.0,3.4,4.933333333333334
60000090,6.6,7.5,3.2,5.766666666666667
60000091,8.2,6.25,5.4,6.616666666666667
60000092,7.6,6.75,8.4,7.583333333333333
60000093,5.4,4.5,4.6,4.833333333333333
60000094,7.8,6.75,7.2,7.25
60000095,8.2,7.5,5.2,6.966666666666666
60000096,8.4,8.5,5.6,7.5
60000097,6.6,7.5,4.6,6.233333333333333
60000098,7.2,4.75,3.4,5.116666666666666
60000099,9.2,7.5,7.4,8.033333333333333
60000100,7.8,6.25,3.0,5.683333333333334
60000101,6.8,6.0,5.4,6.066666666666667
60000102,7.2,7.0,4.6,6.266666666666666
60000103,8.0,7.75,7.0,7.583333333333333
60000104,7.2,7.0,3.4,5.866666666666666
60000105,6.8,8.25,3.2,6.083333333333333
60000106,6.4,6.75,4.8,5.983333333333333
60000107,9.0,6.75,6.0,7.25
60000108,5.8,4.75,2.8,4.45
60000109,6.2,7.0,6.6,6.599999999999999
60000110,5.4,5.75,2.8,4.6499999999999995
60000111,5.4,5.5,4.2,5.033333333333334
60000112,9.0,7.0,6.0,7.333333333333333
60000113,7.2,5.0,3.6,5.266666666666667
60000114,7.0,5.5,3.8,5.433333333333334
60000115,8.8,8.0,7.0,7.933333333333334
60000116,6.0,7.75,3.8,5.8500000000000005
60000117,8.8,8.0,5.4,7.400000000000001
60000118,7.6,8.0,5.8,7.133333333333333
60000119,7.2,6.5,5.8,6.5
60000120,7.0,7.5,3.8,6.1000000000000005
60000121,8.2,6.75,5.2,6.716666666666666
60000122,6.8,7.0,3.4,5.733333333333333
60000123,8.0,6.75,3.8,6.183333333333334
60000124,7.6,6.5,5.6,6.566666666666666
60000125,7.0,8.0,4.2,6.3999999999999995
60000126,6.0,6.75,3.6,5.45
60000127,8.2,6.75,3.4,6.116666666666666
60000128,7.4,5.5,6.2,6.366666666666667
60000129,6.4,7.0,4.4,5.933333333333334
60000130,5.6,6.0,3.2,4.933333333333334
60000131,6.8,7.5,5.4,6.566666666666667
60000132,7.2,5.5,5.0,5.8999999999999995
60000133,6.6,4.0,3.8,4.8
60000134,8.2,7.0,4.4,6.533333333333334
60000135,7.6,7.5,4.4,6.5
60000136,7.6,7.0,5.2,6.6000000000000005
60000137,5.6,5.0,1.2,3.933333333333333
60000138,4.4,7.75,3.8,5.316666666666666
60000139,8.6,6.5,6.2,7.1000000000000005
60000140,9.2,6.75,6.6,7.516666666666666
60000141,9.0,7.75,5.6,7.45
60000142,8.0,6.25,5.4,6.55
60000143,8.2,6.0,5.4,6.533333333333334
60000144,8.6,7.25,5.0,6.95
60000145,8.8,6.5,7.6,7.633333333333333
60000146,9.8,8.5,6.2,8.166666666666666
60000147,7.8,7.25,4.2,6.416666666666667
60000148,6.6,4.5,5.0,5.366666666666667
60000149,6.4,6.5,3.2,5.366666666666667
60000150,9.0,8.25,6.6,7.95
60000151,7.0,7.0,6.0,6.666666666666667
60000152,7.2,6.5,3.0,5.566666666666666
60000153,8.8,7.5,7.0,7.766666666666667
60000154,6.2,7.5,3.0,5.566666666666666
60000155,9.0,6.75,6.0,7.25
60000156,7.4,7.25,5.6,6.75
60000157,5.4,7.0,6.4,6.266666666666667
60000158,6.8,7.0,3.2,5.666666666666667
60000159,6.4,4.75,4.2,5.116666666666667
60000160,7.2,7.5,7.0,7.233333333333333
60000161,8.2,5.25,4.8,6.083333333333333
60000162,4.4,7.25,3.8,5.1499999999999995
60000163,8.2,7.25,7.8,7.75
60000164,9.0,6.25,8.6,7.95
60000165,7.2,7.0,5.4,6.533333333333334
60000166,5.0,5.25,2.8,4.3500000000000005
60000167,7.6,7.5,4.2,6.433333333333334
60000168,6.0,7.5,5.0,6.166666666666667
60000169,8.4,7.5,4.8,6.8999999999999995
60000170,6.2,6.75,2.8,5.25
60000171,8.4,7.75,7.0,7.716666666666666
60000172,9.4,8.0,6.8,8.066666666666666
60000173,7.6,6.0,4.0,5.866666666666667
60000174,8.6,6.25,3.6,6.1499999999999995
60000175,8.8,6.25,7.8,7.616666666666667
60000176,9.2,6.0,8.4,7.866666666666667
60000177,5.0,5.0,3.6,4.533333333333333
60000178,9.0,5.75,8.4,7.716666666666666
60000179,7.6,7.25,5.8,6.883333333333333
60000180,7.6,5.5,2.2,5.1000000000000005
60000181,8.2,5.5,6.2,6.633333333333333
60000182,4.8,6.75,3.6,5.05
60000183,9.0,7.75,7.6,8.116666666666667
60000184,7.4,7.25,5.8,6.816666666666666
60000185,9.4,7.25,6.8,7.816666666666666
60000186,7.4,6.5,3.2,5.7
60000187,8.0,4.0,4.8,5.6000000000000005
60000188,8.4,7.25,7.0,7.55
60000189,6.0,7.75,5.2,6.316666666666666
60000190,5.0,5.5,4.6,5.033333333333333
60000191,9.2,8.5,0,5.8999999999999995
60000192,8.6,6.75,4.2,6.516666666666667
60000193,7.8,7.75,4.4,6.650000000000001
60000194,6.8,7.5,4.4,6.233333333333334
60000195,5.6,7.0,3.8,5.466666666666666
60000196,8.6,7.75,6.8,7.716666666666668
60000197,7.4,8.0,7.2,7.533333333333334
60000198,4.6,6.0,3.4,4.666666666666667
60000199,7.0,8.5,5.6,7.033333333333334
60000200,7.2,6.75,3.6,5.8500000000000005
60000201,8.4,8.5,7.8,8.233333333333333
60000202,7.0,7.5,4.4,6.3
60000203,9.6,7.5,8.2,8.433333333333334
60000204,8.6,8.0,5.4,7.333333333333333
60000205,7.0,6.75,7.2,6.983333333333333
60000206,7.8,7.0,6.4,7.066666666666667
60000207,7.0,6.0,3.4,5.466666666666666
60000208,7.8,7.0,6.2,7.0
60000209,6.8,5.5,3.4,5.233333333333333
60000210,7.2,7.0,5.4,6.533333333333334
60000211,5.2,6.25,4.4,5.283333333333333
60000212,7.8,7.25,4.0,6.3500000000000005
60000213,6.4,6.0,3.8,5.3999999999999995
60000214,8.8,7.0,5.2,7.0
60000215,7.0,8.5,5.0,6.833333333333333
60000216,8.0,7.25,5.0,6.75
60000217,6.8,5.5,3.8,5.366666666666667
60000218,8.2,8.75,4.8,7.25
60000219,4.8,6.75,3.4,4.983333333333333
60000220,8.2,6.75,4.4,6.45
60000221,5.4,3.75,2.8,3.983333333333333
60000222,7.6,6.0,5.0,6.2
60000223,3.6,6.25,1.6,3.8166666666666664
60000224,6.4,6.5,5.4,6.1000000000000005
60000225,6.8,7.5,3.6,5.966666666666668
60000226,8.0,7.42,5.2,6.873333333333334
60000227,6.8,6.75,6.0,6.516666666666667
60000228,9.2,7.25,6.4,7.616666666666667
60000229,7.4,6.75,4.2,6.116666666666667
60000230,6.2,5.25,2.6,4.683333333333333
60000231,8.0,7.0,2.8,5.933333333333334
60000232,5.6,5.5,3.6,4.8999999999999995
60000233,7.8,6.75,7.8,7.45
60000234,7.8,7.25,5.6,6.883333333333333
60000235,8.0,7.5,6.0,7.166666666666667
60000236,8.8,5.5,8.0,7.433333333333334
60000237,6.0,5.75,2.8,4.8500000000000005
60000238,5.8,6.5,2.8,5.033333333333334
60000239,6.2,7.25,4.0,5.816666666666666
60000240,8.4,8.0,5.0,7.133333333333333
60000241,8.4,7.25,6.4,7.3500000000000005
60000242,9.0,7.75,8.2,8.316666666666666
60000243,8.4,5.5,8.4,7.433333333333334
60000244,7.0,7.0,4.0,6.0
60000245,9.2,7.5,5.8,7.5
60000246,6.6,7.25,4.2,6.016666666666667
60000247,8.0,7.0,6.8,7.266666666666667
60000248,7.4,7.25,6.8,7.1499999999999995
60000249,6.8,7.25,3.0,5.683333333333334
60000250,4.4,5.5,2.2,4.033333333333334
60000251,6.4,6.0,3.0,5.133333333333334
60000252,7.4,7.5,4.4,6.433333333333334
60000253,8.2,7.0,4.4,6.533333333333334
60000254,6.4,6.5,3.6,5.5
60000255,6.6,7.25,5.0,6.283333333333334
60000256,9.0,6.5,5.4,6.966666666666666
60000257,7.8,6.0,5.4,6.400000000000001
60000258,4.4,7.5,3.0,4.966666666666667
60000259,8.0,8.5,8.0,8.166666666666666
60000260,7.2,6.5,5.2,6.3
60000261,7.0,6.25,5.0,6.083333333333333
60000262,5.6,6.0,5.2,5.6000000000000005
60000263,7.4,7.5,5.6,6.833333333333333
60000264,7.0,8.25,3.0,6.083333333333333
60000265,8.6,7.25,8.6,8.15
60000266,6.4,6.75,6.2,6.45
60000267,6.2,6.75,4.6,5.849999999999999
60000268,7.8,7.0,7.2,7.333333333333333
60000269,6.8,6.25,4.0,5.683333333333334
60000270,6.2,7.0,4.4,5.866666666666667
60000271,8.0,8.0,7.0,7.666666666666667
60000272,9.2,8.25,6.8,8.083333333333334
60000273,8.2,7.25,4.8,6.75
60000274,6.0,7.0,2.2,5.066666666666666
60000275,5.4,6.75,4.4,5.516666666666667
60000276,9.0,7.25,7.6,7.95
60000277,6.8,5.75,5.6,6.05
60000278,9.2,5.25,7.8,7.416666666666667
60000279,6.8,6.75,4.4,5.983333333333334
60000280,8.2,7.0,4.0,6.3999999999999995
60000281,7.6,8.0,7.0,7.533333333333334
60000282,8.0,7.5,4.8,6.766666666666667
60000283,8.2,6.0,6.0,6.733333333333333
60000284,8.6,7.0,9.0,8.200000000000001
60000285,8.6,6.0,5.2,6.6000000000000005
60000286,7.8,7.0,4.4,6.400000000000001
60000287,8.8,7.25,5.2,7.083333333333333
60000288,7.4,7.75,7.0,7.383333333333333
60000289,7.2,7.25,7.0,7.1499999999999995
60000290,7.2,8.25,7.0,7.483333333333333
60000291,7.0,5.75,5.4,6.05
60000292,7.2,7.75,7.2,7.383333333333333
60000293,7.2,4.5,2.6,4.766666666666667
60000294,7.8,5.25,4.6,5.883333333333333
60000295,6.2,7.0,1.4,4.866666666666666
60000296,7.6,8.0,7.8,7.8
