SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
29000001,8.4,7.25,5.2,6.95
29000002,9.0,6.5,5.2,6.8999999999999995
29000003,8.2,7.25,4.0,6.483333333333333
29000004,6.8,7.25,3.0,5.683333333333334
29000005,8.6,7.25,3.4,6.416666666666667
29000006,9.0,7.0,4.6,6.866666666666667
29000007,8.6,6.0,2.4,5.666666666666667
29000008,7.8,5.5,2.6,5.3
29000009,9.2,8.0,6.4,7.866666666666667
29000010,7.6,7.5,3.8,6.3
29000011,8.8,8.5,6.8,8.033333333333333
29000012,7.2,7.75,4.2,6.383333333333333
29000013,8.2,8.75,4.2,7.05
29000014,7.6,6.5,4.2,6.1000000000000005
29000015,8.2,7.75,3.8,6.583333333333333
29000016,7.8,7.75,5.6,7.05
29000017,9.2,8.0,7.4,8.200000000000001
29000018,8.4,8.5,6.4,7.766666666666666
29000019,9.2,7.25,3.8,6.75
29000020,8.4,7.0,3.4,6.266666666666667
29000021,7.0,7.0,2.6,5.533333333333334
29000022,8.8,6.75,4.0,6.516666666666667
29000023,5.0,8.5,3.8,5.766666666666667
29000024,8.2,7.5,4.6,6.766666666666666
29000025,6.2,7.5,3.6,5.766666666666667
29000026,5.4,7.75,3.8,5.6499999999999995
29000027,6.6,6.5,4.0,5.7
29000028,6.6,5.0,2.2,4.6000000000000005
29000029,8.6,6.5,4.0,6.366666666666667
29000030,6.4,6.25,3.6,5.416666666666667
29000031,7.6,5.75,3.4,5.583333333333333
29000032,9.0,7.5,8.8,8.433333333333334
29000033,5.6,5.75,3.4,4.916666666666667
29000034,7.8,7.75,3.8,6.45
29000035,6.6,8.0,2.4,5.666666666666667
29000036,6.4,7.0,3.2,5.533333333333334
29000037,5.4,5.75,1.8,4.316666666666667
29000038,7.2,8.0,3.8,6.333333333333333
29000039,7.4,7.25,5.2,6.616666666666667
29000040,4.8,5.25,2.2,4.083333333333333
29000041,6.8,7.25,3.8,5.95
29000042,9.0,8.0,8.0,8.333333333333334
29000043,4.8,6.75,2.0,4.516666666666667
29000044,6.6,6.5,2.8,5.3
29000045,7.2,6.5,3.2,5.633333333333333
29000046,6.4,8.0,2.8,5.733333333333333
29000047,5.8,7.75,3.2,5.583333333333333
29000048,9.2,7.5,5.4,7.366666666666667
29000049,7.6,7.75,3.6,6.316666666666666
29000050,3.8,6.0,4.4,4.733333333333333
29000051,3.0,6.5,2.4,3.966666666666667
29000052,7.8,8.25,3.2,6.416666666666667
29000053,8.0,8.75,6.6,7.783333333333334
29000054,5.4,8.5,5.0,6.3
29000055,7.2,8.25,3.2,6.216666666666666
29000056,7.6,6.25,5.8,6.55
29000057,8.2,8.5,4.4,7.033333333333334
29000058,7.4,8.5,5.0,6.966666666666666
29000059,5.4,5.25,2.8,4.483333333333333
29000060,5.4,8.0,4.0,5.8
29000061,6.8,8.0,5.8,6.866666666666667
29000062,5.0,7.0,3.2,5.066666666666666
29000063,6.0,8.5,5.2,6.566666666666666
29000064,3.6,7.5,3.4,4.833333333333333
29000065,6.0,8.25,3.0,5.75
29000066,7.2,8.0,6.2,7.133333333333333
29000067,8.0,8.75,5.8,7.516666666666667
29000068,6.2,7.0,4.8,6.0
29000069,8.4,8.25,6.6,7.75
29000070,7.0,7.25,3.4,5.883333333333333
29000071,3.0,6.75,2.4,4.05
29000072,8.0,8.5,4.8,7.1000000000000005
29000073,7.2,9.0,5.8,7.333333333333333
29000074,9.0,7.75,6.0,7.583333333333333
29000075,9.8,7.75,8.6,8.716666666666667
29000076,6.0,8.0,4.8,6.266666666666667
29000077,7.8,8.25,5.8,7.283333333333334
29000078,9.0,9.0,8.8,8.933333333333334
29000079,7.4,8.0,4.8,6.733333333333333
29000080,8.2,7.0,5.0,6.733333333333333
29000081,6.6,8.5,3.8,6.3
29000082,7.0,5.75,4.8,5.8500000000000005
29000083,2.8,6.25,2.8,3.9500000000000006
29000084,7.2,6.0,4.6,5.933333333333333
29000085,8.0,6.75,4.2,6.316666666666666
29000086,9.0,7.75,6.2,7.6499999999999995
29000087,6.8,7.5,3.4,5.8999999999999995
29000088,9.2,7.0,8.4,8.200000000000001
29000089,7.6,0,0,2.533333333333333
29000090,9.4,6.5,4.2,6.7
29000091,4.0,7.0,2.8,4.6000000000000005
29000092,6.6,5.66,5.0,5.753333333333333
29000093,7.8,6.25,4.8,6.283333333333334
29000094,7.8,6.5,6.0,6.766666666666667
29000095,5.2,7.5,4.2,5.633333333333333
29000096,7.4,6.5,4.2,6.033333333333334
29000097,8.0,8.0,5.8,7.266666666666667
29000098,8.2,8.0,8.0,8.066666666666666
29000099,9.0,7.25,2.8,6.3500000000000005
29000100,5.2,0,0,1.7333333333333334
29000101,6.8,7.25,4.2,6.083333333333333
29000102,6.8,7.75,4.0,6.183333333333334
29000103,7.8,8.5,6.0,7.433333333333334
29000104,8.6,7.75,6.0,7.45
29000105,4.4,6.08,2.8,4.426666666666667
29000106,8.2,8.25,5.8,7.416666666666667
29000107,3.8,8.0,2.4,4.733333333333333
29000108,7.8,8.0,4.0,6.6000000000000005
29000109,8.8,7.33,5.2,7.11
29000110,4.6,7.75,2.4,4.916666666666667
29000111,5.4,8.75,4.0,6.05
29000112,7.6,8.25,3.8,6.55
29000113,8.0,7.75,4.2,6.6499999999999995
29000114,8.0,8.0,5.2,7.066666666666666
29000115,7.4,4.92,4.0,5.44
29000116,5.6,6.5,5.2,5.766666666666667
29000117,8.2,8.25,6.2,7.55
29000118,8.2,8.25,7.8,8.083333333333334
29000119,9.0,6.25,7.2,7.483333333333333
29000120,4.6,6.25,3.4,4.75
29000121,7.8,6.0,7.2,7.0
29000122,9.0,6.75,3.8,6.516666666666667
29000123,7.8,7.5,3.4,6.233333333333333
29000124,7.8,7.0,2.6,5.800000000000001
29000125,7.8,6.5,4.0,6.1000000000000005
29000126,8.0,6.0,3.8,5.933333333333334
29000127,8.6,5.5,2.4,5.5
29000128,6.6,5.0,2.6,4.733333333333333
29000129,7.4,7.0,3.4,5.933333333333334
29000130,6.0,5.5,3.2,4.8999999999999995
29000131,8.8,7.25,3.8,6.616666666666667
29000132,7.0,7.75,5.2,6.6499999999999995
29000133,7.6,6.83,7.2,7.21
29000134,6.8,4.25,2.4,4.483333333333333
29000135,7.8,7.25,2.6,5.883333333333334
29000136,7.4,5.75,3.2,5.45
29000137,7.8,8.0,4.8,6.866666666666667
29000138,3.0,4.0,3.4,3.466666666666667
29000139,7.6,6.5,5.4,6.5
29000140,6.6,6.25,3.8,5.55
29000141,6.4,5.75,4.6,5.583333333333333
29000142,4.8,4.75,4.2,4.583333333333333
29000143,7.8,7.25,3.6,6.216666666666668
29000144,9.2,6.5,3.2,6.3
29000145,2.8,5.75,2.4,3.6500000000000004
29000146,7.0,7.5,4.0,6.166666666666667
29000147,3.6,7.5,3.2,4.766666666666667
29000148,8.6,8.0,5.0,7.2
29000149,8.6,8.25,8.6,8.483333333333334
29000150,7.0,8.0,6.2,7.066666666666666
29000151,7.8,7.5,3.4,6.233333333333333
29000152,4.6,8.5,7.8,6.966666666666666
29000153,8.4,7.5,2.8,6.233333333333333
29000154,6.8,7.25,5.4,6.483333333333334
29000155,7.6,6.0,3.4,5.666666666666667
29000156,6.6,7.0,3.4,5.666666666666667
29000157,8.0,5.75,2.6,5.45
29000158,8.2,6.5,2.4,5.699999999999999
29000159,6.4,6.0,3.0,5.133333333333334
29000160,7.8,5.0,3.2,5.333333333333333
29000161,8.6,6.25,5.8,6.883333333333333
29000162,7.4,5.25,4.2,5.616666666666667
29000163,6.4,5.5,2.8,4.8999999999999995
29000164,8.4,6.25,5.4,6.683333333333334
29000165,7.6,5.25,2.8,5.216666666666666
29000166,9.2,6.5,2.6,6.1000000000000005
29000167,8.6,8.5,5.6,7.566666666666667
29000168,7.2,7.5,3.8,6.166666666666667
29000169,7.0,7.5,4.0,6.166666666666667
29000170,8.4,9.0,8.6,8.666666666666666
29000171,6.2,7.0,1.8,5.0
29000172,7.6,8.25,5.0,6.95
29000173,8.2,8.0,4.2,6.8
29000174,8.8,7.5,5.4,7.233333333333334
29000175,6.6,8.0,6.6,7.066666666666666
29000176,8.2,8.25,8.2,8.216666666666667
29000177,6.8,7.75,4.8,6.45
29000178,3.2,7.0,3.0,4.3999999999999995
29000179,6.6,7.5,6.4,6.833333333333333
29000180,9.6,7.75,3.6,6.983333333333334
29000181,8.8,7.5,7.4,7.900000000000001
29000182,7.6,6.25,2.8,5.55
29000183,7.8,5.25,3.4,5.483333333333333
29000184,4.8,7.5,3.6,5.3
