SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
26000001,8.8,6.5,5.0,6.766666666666667
26000002,8.8,8.5,9.0,8.766666666666667
26000003,9.6,6.5,0,5.366666666666667
26000004,8.2,0,0,2.733333333333333
26000005,9.0,9.0,9.0,9.0
26000006,1.0,6.75,6.4,4.716666666666667
26000007,9.2,7.75,9.0,8.65
26000008,8.4,8.5,8.4,8.433333333333332
26000009,9.4,9.0,8.4,8.933333333333332
26000010,9.2,9.0,8.6,8.933333333333332
26000011,9.6,8.75,9.4,9.25
26000012,9.4,7.0,6.0,7.466666666666666
26000013,9.0,9.0,7.6,8.533333333333333
26000014,6.2,8.25,5.2,6.55
26000015,8.6,8.75,8.6,8.65
26000016,8.6,0,9.0,5.866666666666667
26000017,9.2,8.0,6.0,7.733333333333333
26000018,9.2,8.0,7.4,8.200000000000001
26000019,7.6,0,0,2.533333333333333
26000020,8.6,6.75,6.4,7.25
26000021,8.6,7.5,4.8,6.966666666666668
26000022,9.2,6.5,0,5.233333333333333
26000023,8.0,7.0,8.2,7.733333333333333
26000024,6.8,8.0,5.6,6.8
26000025,7.4,0,0,2.466666666666667
26000026,9.0,0,0,3.0
26000027,6.4,8.75,4.8,6.6499999999999995
26000028,9.2,8.25,9.0,8.816666666666666
26000029,8.8,4.0,9.6,7.466666666666666
26000030,3.0,6.5,5.6,5.033333333333333
26000031,5.6,0,0,1.8666666666666665
26000032,9.2,8.75,7.8,8.583333333333334
26000033,9.2,7.75,8.0,8.316666666666666
26000034,7.8,7.75,7.4,7.650000000000001
26000035,9.0,8.5,7.6,8.366666666666667
26000036,6.6,0,0,2.1999999999999997
26000037,6.6,6.5,3.6,5.566666666666666
26000038,9.0,7.75,5.8,7.516666666666667
26000039,8.2,7.0,7.2,7.466666666666666
26000040,8.8,8.25,8.8,8.616666666666667
26000041,9.0,9.25,8.6,8.950000000000001
26000042,9.2,8.5,8.4,8.700000000000001
26000043,8.0,6.25,8.0,7.416666666666667
26000044,8.4,8.75,8.6,8.583333333333334
26000045,8.2,8.75,9.0,8.65
26000046,8.8,8.5,8.8,8.700000000000001
26000048,7.8,9.0,8.0,8.266666666666667
26000049,8.0,8.0,5.2,7.066666666666666
26000050,8.6,0,0,2.8666666666666667
26000051,8.8,0,7.4,5.400000000000001
26000052,9.0,8.75,8.2,8.65
26000053,6.8,8.25,5.8,6.95
26000054,8.0,4.25,9.2,7.1499999999999995
26000055,7.6,7.0,8.4,7.666666666666667
26000057,8.4,8.5,8.0,8.299999999999999
26000058,7.6,7.0,7.2,7.266666666666667
26000059,8.2,9.0,9.0,8.733333333333333
26000060,8.6,0,0,2.8666666666666667
26000061,8.4,8.75,8.8,8.65
