SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
53000001,7.8,7.0,5.8,6.866666666666667
53000002,9.0,8.0,7.4,8.133333333333333
53000003,8.2,7.0,8.0,7.733333333333333
53000004,8.6,7.0,7.0,7.533333333333334
53000005,8.6,7.75,4.8,7.050000000000001
53000006,6.6,5.0,2.2,4.6000000000000005
53000007,6.4,5.0,4.6,5.333333333333333
53000008,6.8,6.75,3.8,5.783333333333334
53000009,6.8,7.5,3.8,6.033333333333334
53000010,6.2,6.5,3.4,5.366666666666666
53000011,7.4,8.25,6.6,7.416666666666667
53000012,8.2,7.5,6.2,7.3
53000013,8.8,7.0,6.4,7.400000000000001
53000014,7.0,7.75,5.2,6.6499999999999995
53000015,5.4,7.0,5.2,5.866666666666667
53000016,4.6,7.5,3.8,5.3
53000017,6.8,7.0,6.2,6.666666666666667
53000018,6.2,6.5,5.6,6.099999999999999
53000019,6.6,6.25,4.4,5.75
53000020,8.2,7.75,5.6,7.183333333333333
53000021,6.8,8.0,6.0,6.933333333333334
53000022,6.2,8.5,4.6,6.433333333333333
53000023,6.6,7.25,5.2,6.3500000000000005
53000024,9.4,8.25,8.2,8.616666666666665
53000025,7.0,7.25,6.2,6.816666666666666
53000026,6.0,7.0,3.2,5.3999999999999995
53000027,7.6,8.25,7.2,7.683333333333334
53000028,7.4,8.75,6.4,7.516666666666666
53000029,8.0,7.5,5.4,6.966666666666666
53000030,6.6,8.25,4.2,6.3500000000000005
53000031,8.2,7.5,8.4,8.033333333333333
53000032,6.4,6.25,5.0,5.883333333333333
53000033,7.4,6.25,3.2,5.616666666666667
53000034,6.8,7.0,4.4,6.066666666666667
53000035,7.6,8.0,7.0,7.533333333333334
53000036,8.2,6.25,4.8,6.416666666666667
53000037,7.6,6.25,6.0,6.616666666666667
53000038,8.2,8.25,7.6,8.016666666666666
53000039,8.0,8.0,3.4,6.466666666666666
53000040,9.2,7.75,8.2,8.383333333333333
53000041,8.4,8.5,6.4,7.766666666666666
53000042,6.6,7.5,5.4,6.5
53000043,8.8,8.0,7.8,8.200000000000001
53000044,7.8,7.0,4.6,6.466666666666666
53000045,8.4,6.25,3.8,6.1499999999999995
53000046,8.0,6.5,3.2,5.8999999999999995
53000047,8.6,5.75,6.4,6.916666666666667
53000048,9.0,7.0,7.6,7.866666666666667
53000049,4.6,5.75,3.4,4.583333333333333
53000050,8.6,8.25,8.0,8.283333333333333
53000051,6.6,6.5,6.8,6.633333333333333
53000052,8.2,8.75,9.4,8.783333333333333
53000053,7.6,6.75,4.2,6.183333333333334
53000054,8.4,8.0,4.0,6.8
53000055,8.0,6.5,4.8,6.433333333333334
53000056,8.4,8.0,6.4,7.599999999999999
