SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
04000001,7.8,8.0,8.4,8.066666666666668
04000002,9.0,6.25,9.6,8.283333333333333
04000003,8.6,6.25,5.8,6.883333333333333
04000004,9.0,6.5,8.6,8.033333333333333
04000005,7.8,7.0,9.0,7.933333333333334
04000006,6.0,4.0,2.4,4.133333333333334
04000007,9.0,6.0,6.0,7.0
04000008,8.0,5.75,8.4,7.383333333333333
04000009,6.4,7.75,4.0,6.05
04000010,8.2,5.75,4.4,6.116666666666667
04000011,8.2,6.0,6.4,6.866666666666667
04000012,7.6,6.25,7.4,7.083333333333333
04000013,5.6,7.5,5.2,6.1000000000000005
04000014,7.8,7.25,5.4,6.816666666666667
04000015,4.8,7.25,7.2,6.416666666666667
04000016,6.8,6.5,6.0,6.433333333333334
04000017,8.8,6.0,3.8,6.2
04000018,5.8,6.0,4.6,5.466666666666666
04000019,8.2,7.25,7.0,7.483333333333333
04000020,7.4,7.75,7.8,7.6499999999999995
04000021,6.8,5.25,5.0,5.683333333333334
04000022,8.0,6.5,7.4,7.3
04000023,5.4,3.5,2.4,3.766666666666667
04000024,7.4,6.0,9.8,7.733333333333334
04000025,6.0,6.75,4.8,5.8500000000000005
04000026,8.4,8.25,8.8,8.483333333333333
04000027,5.4,7.75,9.0,7.383333333333333
04000028,4.8,7.0,6.0,5.933333333333334
04000029,7.6,6.5,6.0,6.7
04000030,7.4,6.0,7.2,6.866666666666667
04000031,8.0,3.25,4.2,5.1499999999999995
04000032,7.2,6.5,9.2,7.633333333333333
04000033,7.6,6.0,7.4,7.0
04000034,6.6,6.75,5.4,6.25
04000035,8.0,6.75,5.2,6.6499999999999995
04000036,5.0,4.25,5.8,5.016666666666667
04000037,6.8,5.75,6.0,6.183333333333334
04000038,7.0,5.75,3.2,5.316666666666666
04000039,8.0,6.0,5.8,6.6000000000000005
04000040,4.4,4.25,2.6,3.75
04000041,7.4,6.0,6.8,6.733333333333333
04000042,4.8,6.0,3.6,4.8
04000043,6.8,7.5,6.8,7.033333333333334
04000044,3.2,4.75,3.0,3.65
04000045,8.4,7.5,9.4,8.433333333333334
04000046,8.8,3.75,7.0,6.516666666666667
04000047,6.0,5.75,6.8,6.183333333333334
04000048,8.0,6.0,8.8,7.6000000000000005
04000049,6.4,5.25,6.4,6.016666666666667
04000050,5.6,5.5,3.6,4.8999999999999995
04000051,4.0,3.5,7.4,4.966666666666667
04000052,7.4,4.5,7.8,6.566666666666666
04000053,8.2,5.0,3.2,5.466666666666666
04000054,8.4,4.75,9.6,7.583333333333333
04000055,4.0,5.0,4.0,4.333333333333333
04000056,7.4,3.75,8.6,6.583333333333333
04000057,7.0,5.75,8.8,7.183333333333334
04000058,6.2,5.0,8.8,6.666666666666667
04000059,6.2,6.0,4.8,5.666666666666667
04000060,7.0,5.25,5.0,5.75
04000061,7.0,7.25,9.0,7.75
04000062,7.8,7.0,9.0,7.933333333333334
04000063,7.8,6.75,7.0,7.183333333333334
04000064,6.2,5.0,7.2,6.133333333333333
04000065,7.8,7.0,9.6,8.133333333333333
04000066,8.8,7.0,8.6,8.133333333333333
04000067,7.8,4.0,4.6,5.466666666666666
04000068,6.0,4.75,3.2,4.6499999999999995
04000069,7.2,6.75,4.8,6.25
04000070,7.8,5.25,3.2,5.416666666666667
04000071,6.2,4.75,6.6,5.849999999999999
04000072,6.6,5.5,2.2,4.766666666666667
04000073,7.6,7.0,9.8,8.133333333333333
04000074,6.4,5.5,6.0,5.966666666666666
04000075,7.8,8.25,9.2,8.416666666666666
04000076,6.4,5.0,5.0,5.466666666666666
04000077,8.4,8.25,9.8,8.816666666666666
04000078,7.6,5.5,6.6,6.566666666666666
04000079,8.2,7.5,9.2,8.299999999999999
04000080,7.6,6.25,7.4,7.083333333333333
04000081,7.6,6.0,6.8,6.8
04000082,4.4,5.5,4.2,4.7
04000083,7.4,6.5,9.4,7.766666666666667
04000084,6.8,7.0,3.8,5.866666666666667
04000085,5.8,6.5,4.0,5.433333333333334
04000086,7.6,5.75,7.4,6.916666666666667
04000087,8.2,6.25,3.4,5.949999999999999
04000088,5.4,5.75,9.0,6.716666666666666
04000089,3.6,3.25,3.0,3.283333333333333
04000090,5.0,1.75,3.6,3.4499999999999997
04000091,7.4,4.0,6.8,6.066666666666666
04000092,7.2,4.5,4.6,5.433333333333333
04000093,7.8,7.25,6.6,7.216666666666666
04000094,7.2,6.25,3.8,5.75
04000095,8.0,5.75,3.4,5.716666666666666
04000096,7.8,6.25,5.4,6.483333333333334
04000097,7.6,5.0,4.8,5.8
04000098,8.8,5.25,7.4,7.150000000000001
04000099,8.0,6.5,5.2,6.566666666666666
04000100,5.6,6.75,2.8,5.05
04000101,8.2,6.75,7.4,7.45
04000102,8.2,7.5,8.0,7.8999999999999995
04000103,8.2,5.5,8.4,7.366666666666667
04000104,7.0,7.5,2.8,5.766666666666667
04000105,8.0,5.25,4.0,5.75
04000106,6.0,5.0,3.0,4.666666666666667
04000107,9.4,5.25,7.4,7.3500000000000005
04000108,8.0,7.5,7.0,7.5
04000109,7.0,5.5,4.8,5.766666666666667
04000110,7.0,6.25,3.0,5.416666666666667
04000111,7.2,6.25,5.4,6.283333333333334
04000112,5.4,5.5,3.8,4.8999999999999995
04000113,8.2,7.75,8.8,8.25
04000114,7.6,5.5,5.8,6.3
04000115,6.4,5.0,3.0,4.8
04000116,7.2,6.0,7.0,6.733333333333333
04000117,7.0,6.5,4.6,6.033333333333334
04000118,7.0,5.0,4.0,5.333333333333333
04000119,7.4,5.75,4.6,5.916666666666667
04000120,7.6,5.75,3.6,5.6499999999999995
04000121,7.8,4.0,3.6,5.133333333333334
04000122,4.0,5.0,2.2,3.733333333333333
04000123,9.0,5.25,7.4,7.216666666666666
04000124,3.6,3.25,2.4,3.0833333333333335
04000125,7.8,7.25,3.2,6.083333333333333
04000126,8.4,5.75,5.6,6.583333333333333
04000127,8.0,6.25,9.4,7.883333333333333
04000128,3.4,3.25,5.2,3.9500000000000006
04000129,3.4,4.0,2.8,3.4
04000130,7.6,6.0,3.8,5.8
04000131,4.6,5.0,3.8,4.466666666666666
04000132,8.4,5.5,6.6,6.833333333333333
04000133,7.8,5.5,4.0,5.766666666666667
04000134,5.2,7.25,7.2,6.55
04000135,8.6,6.0,9.4,8.0
04000136,8.6,6.0,5.4,6.666666666666667
04000137,7.8,7.0,7.4,7.400000000000001
04000138,7.8,6.75,8.6,7.716666666666666
04000139,7.4,6.25,6.4,6.683333333333334
04000140,7.2,7.0,9.4,7.866666666666667
04000141,5.0,4.5,3.8,4.433333333333334
04000142,8.0,7.75,9.4,8.383333333333333
04000143,8.8,6.75,8.6,8.049999999999999
04000144,8.0,8.5,7.8,8.1
04000145,7.0,7.0,5.8,6.6000000000000005
04000146,6.0,8.5,6.6,7.033333333333334
04000147,8.4,4.75,9.2,7.45
04000148,7.6,6.0,5.0,6.2
04000149,9.0,4.5,9.2,7.566666666666666
04000150,7.4,7.0,9.0,7.8
04000151,7.8,6.25,2.6,5.550000000000001
04000152,7.4,7.0,7.0,7.133333333333333
04000153,7.2,7.0,7.6,7.266666666666666
04000154,6.4,8.0,6.2,6.866666666666667
04000155,6.2,7.0,7.2,6.8
04000156,5.2,5.25,3.2,4.55
04000157,4.6,6.0,3.2,4.6000000000000005
04000158,8.4,8.5,8.4,8.433333333333332
04000159,8.2,5.5,8.0,7.233333333333333
04000160,4.4,4.0,3.2,3.866666666666667
04000161,7.2,5.75,5.0,5.983333333333333
04000162,5.0,5.75,4.2,4.983333333333333
04000163,6.8,5.5,6.0,6.1000000000000005
04000164,8.0,5.75,9.4,7.716666666666666
04000165,7.8,6.5,5.0,6.433333333333334
04000166,7.2,4.75,8.4,6.783333333333334
04000167,7.0,7.0,8.6,7.533333333333334
04000168,7.0,4.0,4.6,5.2
04000169,8.8,5.5,7.6,7.3
04000170,5.6,6.25,4.8,5.55
04000171,6.4,5.75,3.6,5.25
04000172,7.2,6.0,2.8,5.333333333333333
04000173,5.4,5.75,2.6,4.583333333333333
04000174,8.4,6.25,2.6,5.75
04000175,8.6,5.25,9.2,7.683333333333333
04000176,7.0,7.5,9.2,7.8999999999999995
04000177,7.0,4.75,6.8,6.183333333333334
04000178,2.4,4.25,8.2,4.95
04000179,7.4,4.75,6.0,6.05
04000180,6.2,4.5,7.0,5.8999999999999995
04000181,6.4,4.5,6.8,5.8999999999999995
04000182,8.4,7.5,8.8,8.233333333333334
04000183,4.6,7.0,3.6,5.066666666666666
04000184,8.0,8.25,4.8,7.016666666666667
04000185,8.2,7.75,8.4,8.116666666666667
04000186,8.0,8.0,5.0,7.0
04000187,8.2,7.25,7.2,7.55
04000188,4.8,7.5,8.6,6.966666666666666
04000189,4.8,5.5,5.6,5.3
04000190,8.2,6.5,6.4,7.033333333333334
04000191,8.2,7.0,9.2,8.133333333333333
04000192,7.6,6.0,8.4,7.333333333333333
04000193,5.8,7.0,5.2,6.0
04000194,8.4,7.25,0,5.216666666666667
04000195,6.6,7.0,4.2,5.933333333333334
04000196,4.8,7.5,7.2,6.5
04000197,7.8,6.0,4.4,6.066666666666667
04000198,7.6,6.0,6.6,6.733333333333333
04000199,8.0,5.75,4.0,5.916666666666667
04000200,8.2,5.5,6.6,6.766666666666666
04000201,8.2,6.0,9.2,7.8
04000202,4.2,5.25,2.6,4.016666666666667
04000203,3.4,7.0,2.2,4.2
04000204,5.6,7.0,5.0,5.866666666666667
04000205,6.6,5.5,7.8,6.633333333333333
04000206,8.4,6.0,5.6,6.666666666666667
04000207,8.0,8.0,9.6,8.533333333333333
04000208,8.4,7.5,9.2,8.366666666666667
04000209,8.6,8.5,9.8,8.966666666666667
04000210,7.0,6.75,7.0,6.916666666666667
04000211,7.4,8.25,9.0,8.216666666666667
04000212,8.0,4.5,8.6,7.033333333333334
04000213,8.2,8.0,7.0,7.733333333333333
04000214,2.6,5.5,1.8,3.3000000000000003
04000215,8.6,4.75,6.0,6.45
04000216,6.2,5.5,7.0,6.233333333333333
04000217,6.2,6.5,5.2,5.966666666666666
04000218,8.6,8.25,9.8,8.883333333333335
04000219,9.0,5.25,7.0,7.083333333333333
04000220,3.6,3.25,2.6,3.15
04000221,7.6,6.0,2.6,5.3999999999999995
04000222,8.6,5.0,5.6,6.3999999999999995
04000223,5.4,2.75,3.4,3.85
04000224,7.8,4.25,2.8,4.95
04000225,8.2,4.75,2.8,5.25
04000226,3.0,3.25,2.4,2.8833333333333333
04000227,6.4,4.75,6.6,5.916666666666667
04000228,6.8,7.0,2.4,5.3999999999999995
04000229,7.8,7.25,4.8,6.616666666666667
04000230,5.4,5.5,3.8,4.8999999999999995
04000231,6.4,5.75,3.2,5.116666666666667
04000232,9.0,8.0,9.4,8.799999999999999
04000233,8.2,7.0,7.0,7.3999999999999995
04000234,7.2,8.5,8.4,8.033333333333333
04000235,8.8,6.75,4.8,6.783333333333334
04000236,6.6,7.5,6.2,6.766666666666667
04000237,2.2,3.5,2.6,2.766666666666667
04000238,5.6,5.5,5.0,5.366666666666667
04000239,4.6,5.5,3.6,4.566666666666666
04000240,7.6,8.0,5.2,6.933333333333334
04000241,8.0,6.5,5.6,6.7
04000242,7.6,7.0,3.4,6.0
04000243,4.0,2.25,2.0,2.75
04000244,3.0,3.25,4.0,3.4166666666666665
04000245,7.4,5.5,8.6,7.166666666666667
04000246,7.0,7.0,5.2,6.3999999999999995
04000247,6.2,4.75,3.2,4.716666666666666
04000248,7.8,5.5,3.4,5.566666666666666
04000249,6.8,4.75,9.6,7.05
04000250,6.4,5.25,4.6,5.416666666666667
04000251,9.0,3.25,7.2,6.483333333333333
04000252,7.0,7.25,4.0,6.083333333333333
04000253,7.4,7.5,4.2,6.366666666666667
04000254,6.2,5.5,5.4,5.7
04000255,6.0,5.75,3.4,5.05
04000256,5.4,6.25,5.6,5.75
04000257,5.6,6.25,7.8,6.55
04000258,4.0,5.0,2.4,3.8000000000000003
04000259,4.6,4.5,1.0,3.3666666666666667
04000260,7.4,8.25,9.6,8.416666666666666
04000261,5.0,5.0,5.4,5.133333333333334
04000262,7.2,7.0,8.0,7.3999999999999995
04000263,7.8,4.75,3.4,5.316666666666667
04000264,6.2,5.5,8.2,6.633333333333333
04000265,5.8,6.75,5.8,6.116666666666667
04000266,3.2,3.5,2.8,3.1666666666666665
04000267,8.6,7.5,9.4,8.5
04000268,5.2,5.25,3.2,4.55
04000269,7.0,6.0,4.4,5.8
04000270,7.2,7.75,5.8,6.916666666666667
04000271,5.6,6.5,8.0,6.7
04000272,7.8,6.5,7.2,7.166666666666667
04000273,4.6,3.25,3.8,3.883333333333333
04000274,6.2,6.0,4.4,5.533333333333334
04000275,5.8,6.0,4.4,5.400000000000001
04000276,5.6,5.0,7.4,6.0
04000277,7.0,6.5,4.2,5.8999999999999995
04000278,6.6,5.0,7.6,6.3999999999999995
04000279,6.6,4.0,6.2,5.6000000000000005
04000280,4.6,4.75,2.0,3.783333333333333
04000281,5.4,3.5,2.4,3.766666666666667
04000282,6.8,5.5,8.8,7.033333333333334
04000283,6.0,2.25,3.2,3.8166666666666664
04000284,7.8,6.0,8.0,7.266666666666667
04000285,7.8,6.0,3.6,5.800000000000001
04000286,7.2,5.75,6.4,6.45
04000287,3.4,3.5,1.8,2.9000000000000004
04000288,6.6,5.0,4.6,5.3999999999999995
04000289,7.4,7.0,7.6,7.333333333333333
04000290,3.0,2.75,2.2,2.65
04000291,4.0,4.25,3.8,4.016666666666667
04000292,5.0,4.5,4.2,4.566666666666666
04000293,6.4,7.5,6.0,6.633333333333333
04000294,7.8,7.0,6.6,7.133333333333333
04000295,6.2,5.0,8.4,6.533333333333334
04000296,4.6,5.5,2.8,4.3
04000297,7.6,6.75,7.6,7.316666666666666
04000298,6.4,6.75,6.0,6.383333333333333
04000299,8.2,7.0,8.8,8.0
04000300,7.4,5.5,7.4,6.766666666666667
04000301,8.2,6.75,9.0,7.983333333333333
04000302,7.0,6.0,7.4,6.8
04000303,5.6,5.25,1.4,4.083333333333333
04000304,7.2,6.0,4.8,6.0
04000305,7.6,4.5,3.4,5.166666666666667
04000306,8.0,8.25,9.6,8.616666666666667
04000307,7.4,7.75,8.8,7.983333333333334
04000308,7.6,6.75,9.0,7.783333333333334
