SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
18000001,4.0,3.25,0,2.4166666666666665
18000002,8.4,6.25,9.0,7.883333333333333
18000003,4.8,5.0,0,3.266666666666667
18000004,6.6,6.75,9.6,7.6499999999999995
18000005,7.2,6.0,4.8,6.0
18000006,8.0,6.25,4.4,6.216666666666666
18000007,6.6,7.75,5.2,6.516666666666667
18000008,7.6,6.25,3.4,5.75
18000009,5.2,5.25,0,3.483333333333333
18000010,7.8,6.75,5.2,6.583333333333333
18000011,8.2,5.0,1.8,5.0
18000012,7.4,7.25,6.8,7.1499999999999995
18000013,8.4,5.25,3.2,5.616666666666667
18000014,6.4,5.5,0,3.966666666666667
18000015,5.4,4.0,0,3.1333333333333333
18000016,7.2,6.25,4.4,5.95
18000017,5.2,3.5,0,2.9
18000018,3.4,5.25,0,2.8833333333333333
18000019,2.6,5.0,0,2.533333333333333
18000020,3.6,4.75,0,2.783333333333333
18000021,7.4,8.0,6.2,7.2
18000022,4.0,2.25,0,2.0833333333333335
18000023,6.2,8.0,5.8,6.666666666666667
18000024,7.6,7.5,8.0,7.7
18000025,4.0,5.25,0,3.0833333333333335
18000026,8.0,7.5,8.2,7.8999999999999995
18000027,6.2,6.25,4.4,5.616666666666667
18000028,4.0,4.0,0,2.6666666666666665
18000029,5.6,5.5,3.2,4.766666666666667
18000030,7.0,5.75,4.8,5.8500000000000005
18000031,7.0,6.25,4.6,5.95
18000032,4.2,4.0,0,2.733333333333333
18000033,3.6,5.5,0,3.033333333333333
18000034,8.2,5.0,4.8,6.0
18000035,5.6,2.5,0,2.6999999999999997
18000036,7.8,7.5,9.0,8.1
18000037,7.8,7.5,6.4,7.233333333333334
18000038,8.8,7.0,8.2,8.0
18000039,6.2,7.0,5.8,6.333333333333333
18000040,8.6,7.25,6.8,7.55
18000041,5.2,6.0,5.0,5.3999999999999995
18000042,4.4,3.0,0,2.466666666666667
18000043,6.4,6.75,0,4.383333333333334
18000044,4.4,6.0,4.2,4.866666666666667
18000045,5.6,3.75,0,3.1166666666666667
18000046,6.0,6.5,5.2,5.8999999999999995
18000047,8.6,8.0,7.4,8.0
18000048,4.6,3.5,0,2.6999999999999997
18000049,5.0,6.25,0,3.75
18000050,8.4,6.5,0,4.966666666666667
18000051,4.8,6.75,3.4,4.983333333333333
18000052,7.2,6.75,4.4,6.116666666666667
18000053,6.2,6.25,3.8,5.416666666666667
18000054,4.8,5.0,0,3.266666666666667
18000055,7.2,7.0,3.8,6.0
18000056,6.4,6.75,3.4,5.516666666666667
18000057,5.2,3.75,0,2.983333333333333
18000058,8.0,6.5,6.0,6.833333333333333
18000059,5.8,5.25,4.0,5.016666666666667
18000060,7.0,7.5,0,4.833333333333333
18000061,4.6,5.0,3.8,4.466666666666666
18000062,4.2,7.5,5.2,5.633333333333333
18000063,2.8,5.0,2.8,3.533333333333333
18000064,3.4,5.5,4.2,4.366666666666667
18000065,7.0,5.75,0,4.25
18000066,4.0,4.5,0,2.8333333333333335
18000067,6.0,6.25,3.2,5.1499999999999995
18000068,3.8,3.0,0,2.2666666666666666
18000069,5.4,5.75,3.8,4.983333333333333
18000070,4.4,4.75,0,3.0500000000000003
18000071,4.6,5.0,0,3.1999999999999997
18000072,2.0,3.5,0,1.8333333333333333
18000073,4.0,4.0,0,2.6666666666666665
18000074,4.4,5.75,0,3.3833333333333333
18000075,8.6,7.25,4.8,6.883333333333333
18000076,3.6,5.25,4.2,4.3500000000000005
18000077,6.6,7.25,6.6,6.816666666666666
18000078,7.2,6.5,6.0,6.566666666666666
18000079,8.2,6.25,7.0,7.1499999999999995
18000080,6.2,6.5,3.0,5.233333333333333
18000081,6.4,7.5,5.6,6.5
18000082,6.4,6.5,6.2,6.366666666666667
18000083,5.4,7.0,4.8,5.733333333333333
18000084,6.0,6.75,0,4.25
18000085,4.0,5.5,0,3.1666666666666665
18000086,5.8,6.25,5.8,5.95
18000087,5.8,5.75,9.0,6.8500000000000005
18000088,9.2,8.25,9.0,8.816666666666666
18000089,5.0,6.75,7.8,6.516666666666667
18000090,5.0,7.25,5.4,5.883333333333333
18000091,5.8,6.5,2.4,4.9
18000092,3.6,3.25,0,2.283333333333333
18000093,6.4,7.0,6.4,6.6000000000000005
18000094,3.0,5.0,0,2.6666666666666665
18000095,6.6,6.5,6.0,6.366666666666667
18000096,7.0,7.0,5.2,6.3999999999999995
18000097,5.6,6.5,4.0,5.366666666666667
18000098,7.6,6.0,6.0,6.533333333333334
18000099,8.2,6.5,6.2,6.966666666666666
18000100,6.8,6.25,8.4,7.150000000000001
18000101,4.0,5.0,4.4,4.466666666666667
18000102,5.4,7.0,6.2,6.2
18000103,3.0,4.0,0,2.3333333333333335
18000104,8.0,5.0,7.0,6.666666666666667
18000105,6.8,6.5,6.6,6.633333333333333
18000106,3.8,4.5,0,2.766666666666667
18000107,4.8,5.0,0,3.266666666666667
18000108,7.8,7.5,8.0,7.766666666666667
18000109,5.6,6.75,5.2,5.8500000000000005
18000110,5.2,5.75,3.4,4.783333333333333
18000111,5.6,5.5,0,3.6999999999999997
18000112,8.2,6.5,4.2,6.3
18000113,6.6,3.25,0,3.283333333333333
18000114,2.8,4.5,0,2.433333333333333
18000115,7.4,7.0,7.0,7.133333333333333
18000116,7.6,6.5,6.0,6.7
18000117,7.2,7.5,0,4.8999999999999995
18000118,5.4,5.0,0,3.466666666666667
18000119,6.2,6.25,4.6,5.683333333333333
18000120,3.8,5.0,0,2.9333333333333336
18000121,5.8,3.5,0,3.1
18000122,6.4,4.0,0,3.466666666666667
18000123,3.4,4.0,0,2.466666666666667
18000124,6.4,6.0,4.6,5.666666666666667
18000125,4.8,4.0,0,2.9333333333333336
18000126,3.0,4.0,0,2.3333333333333335
18000127,5.6,5.75,0,3.783333333333333
18000128,5.2,6.25,0,3.8166666666666664
18000129,7.4,8.0,5.0,6.8
18000130,7.2,7.5,5.8,6.833333333333333
18000131,4.6,6.5,0,3.6999999999999997
18000132,6.0,6.25,4.0,5.416666666666667
18000133,4.6,5.75,0,3.4499999999999997
18000134,7.6,6.5,5.0,6.366666666666667
18000135,7.0,4.25,0,3.75
18000136,6.4,7.5,7.8,7.233333333333333
18000137,7.4,7.0,5.8,6.733333333333333
18000138,7.6,8.0,9.8,8.466666666666667
18000139,4.8,6.0,0,3.6
18000140,3.0,4.5,0,2.5
18000141,4.6,5.5,5.0,5.033333333333333
18000142,8.0,8.75,9.8,8.85
18000143,4.4,5.0,4.4,4.6000000000000005
18000144,7.2,6.0,7.2,6.8
18000145,4.6,5.0,0,3.1999999999999997
18000146,2.8,3.25,0,2.0166666666666666
18000147,5.2,7.5,3.6,5.433333333333334
18000148,4.6,6.75,3.0,4.783333333333333
18000149,4.8,6.75,2.0,4.516666666666667
18000150,8.0,8.5,9.4,8.633333333333333
18000151,3.6,5.5,0,3.033333333333333
18000152,5.4,7.0,5.4,5.933333333333334
