SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
23000001,2.4,4.0,2.6,3.0
23000002,2.8,5.5,0,2.766666666666667
23000003,3.6,6.0,6.6,5.3999999999999995
23000004,2.8,5.0,2.4,3.4
23000005,5.6,7.0,3.0,5.2
23000006,3.0,6.5,2.4,3.966666666666667
23000007,4.0,6.75,1.6,4.116666666666666
23000008,7.4,5.25,3.0,5.216666666666667
23000009,5.8,6.5,2.4,4.9
23000010,4.6,6.25,2.2,4.3500000000000005
23000011,4.8,5.5,2.6,4.3
23000012,3.2,7.25,5.0,5.1499999999999995
23000013,4.4,7.25,2.8,4.816666666666666
23000014,3.4,4.75,0,2.716666666666667
23000015,3.2,5.5,3.4,4.033333333333333
23000016,2.2,4.0,2.8,3.0
23000017,2.6,5.5,2.0,3.3666666666666667
23000018,3.6,6.25,3.6,4.483333333333333
23000019,4.0,6.5,5.2,5.233333333333333
23000020,5.8,7.25,3.2,5.416666666666667
23000021,8.4,6.5,2.4,5.766666666666667
23000022,9.0,4.25,4.8,6.016666666666667
23000023,3.2,4.5,1.8,3.1666666666666665
23000024,4.2,6.0,4.0,4.733333333333333
23000025,3.2,3.75,0,2.316666666666667
23000026,8.6,7.5,7.2,7.766666666666667
23000027,8.8,7.0,9.4,8.4
23000028,3.6,4.75,6.4,4.916666666666667
23000029,8.8,7.25,8.6,8.216666666666667
23000030,8.2,8.5,8.2,8.299999999999999
23000031,6.4,8.5,9.2,8.033333333333333
23000032,9.0,6.25,7.2,7.483333333333333
23000033,7.8,4.0,5.0,5.6000000000000005
23000034,7.4,8.0,9.2,8.200000000000001
23000035,8.0,7.75,4.6,6.783333333333334
23000036,7.2,7.0,4.0,6.066666666666666
23000037,7.4,6.75,6.2,6.783333333333334
23000038,8.4,7.75,8.0,8.049999999999999
23000039,7.0,6.5,9.8,7.766666666666667
23000040,6.4,5.75,3.8,5.316666666666666
23000041,4.6,6.25,3.6,4.816666666666666
23000042,3.2,5.5,2.0,3.5666666666666664
23000043,3.6,6.25,3.6,4.483333333333333
23000044,6.6,6.75,3.0,5.45
23000045,5.0,5.5,4.6,5.033333333333333
23000046,7.8,5.75,3.8,5.783333333333334
23000047,4.8,5.75,2.4,4.316666666666667
23000048,5.4,7.75,4.6,5.916666666666667
23000049,3.6,1.5,0,1.7
23000050,8.6,7.5,9.2,8.433333333333334
23000051,9.6,8.25,9.4,9.083333333333334
23000052,2.4,4.0,2.0,2.8000000000000003
23000053,5.8,8.0,7.8,7.2
23000054,0,7.0,0,2.3333333333333335
23000055,3.4,3.75,3.4,3.516666666666667
23000056,8.4,5.5,7.0,6.966666666666666
23000057,4.6,6.25,2.8,4.55
23000058,7.4,6.0,8.8,7.400000000000001
23000059,4.2,7.0,3.0,4.733333333333333
23000060,5.6,8.5,6.4,6.833333333333333
23000061,5.2,8.0,3.8,5.666666666666667
23000062,6.6,8.25,3.4,6.083333333333333
23000063,6.2,7.25,3.4,5.616666666666666
23000064,7.6,7.75,8.2,7.849999999999999
23000065,4.0,5.75,2.8,4.183333333333334
23000066,3.0,4.25,2.0,3.0833333333333335
23000067,3.2,6.5,2.8,4.166666666666667
23000068,5.6,4.75,3.6,4.6499999999999995
23000069,5.0,7.75,5.8,6.183333333333334
23000070,2.0,4.5,0,2.1666666666666665
23000071,4.4,6.5,5.2,5.366666666666667
23000072,6.2,5.75,3.8,5.25
23000073,7.6,7.25,8.4,7.75
23000074,7.0,7.75,5.4,6.716666666666666
23000075,4.2,3.5,0,2.566666666666667
23000076,7.6,8.0,7.4,7.666666666666667
23000077,5.4,6.0,2.2,4.533333333333334
23000078,6.4,7.75,4.0,6.05
23000079,2.8,4.25,0,2.35
23000080,3.0,4.0,3.4,3.466666666666667
23000081,4.8,8.0,3.4,5.3999999999999995
23000082,6.0,7.5,7.8,7.1000000000000005
23000083,5.0,7.75,7.8,6.8500000000000005
23000084,4.4,5.75,4.0,4.716666666666667
23000085,0,6.0,0,2.0
23000086,5.2,6.0,4.0,5.066666666666666
23000087,4.6,6.5,4.0,5.033333333333333
23000088,4.4,7.5,6.6,6.166666666666667
23000089,8.4,6.75,3.2,6.116666666666667
23000090,8.8,8.25,9.0,8.683333333333334
23000091,4.2,5.5,2.6,4.1
23000092,6.0,6.0,4.8,5.6000000000000005
23000093,6.0,6.0,3.0,5.0
23000094,4.4,7.0,4.2,5.2
23000095,7.0,7.0,5.2,6.3999999999999995
23000096,2.2,2.0,0,1.4000000000000001
23000097,6.6,6.0,4.0,5.533333333333334
23000098,7.8,7.0,3.6,6.133333333333334
23000099,7.0,8.0,4.4,6.466666666666666
23000100,6.2,6.5,4.0,5.566666666666666
23000101,6.0,8.25,5.8,6.683333333333334
23000102,7.0,7.0,5.4,6.466666666666666
23000103,2.2,4.0,0,2.066666666666667
23000104,3.2,5.75,3.6,4.183333333333333
23000105,5.6,7.5,4.2,5.766666666666667
23000106,3.8,4.0,1.8,3.1999999999999997
23000107,3.4,6.75,2.2,4.116666666666667
23000108,5.8,7.25,3.0,5.3500000000000005
23000109,7.0,8.0,4.2,6.3999999999999995
23000110,8.8,7.25,4.8,6.95
23000111,2.6,4.0,3.2,3.266666666666667
23000112,3.6,6.0,3.8,4.466666666666666
23000113,3.4,7.25,3.0,4.55
23000114,2.8,3.5,2.8,3.033333333333333
23000115,4.2,8.5,2.8,5.166666666666667
23000116,4.4,6.25,3.2,4.616666666666667
23000117,3.4,3.75,2.8,3.3166666666666664
23000118,2.8,6.5,3.0,4.1000000000000005
23000119,4.4,5.75,2.6,4.25
23000120,7.6,6.75,7.2,7.183333333333334
23000121,8.2,6.0,5.0,6.3999999999999995
23000122,4.4,6.25,2.8,4.483333333333333
23000123,5.0,8.0,3.8,5.6000000000000005
23000124,2.6,6.25,3.2,4.016666666666667
23000125,4.2,7.5,4.0,5.233333333333333
23000126,4.4,6.0,3.6,4.666666666666667
23000127,4.2,5.16,0,3.1199999999999997
23000128,3.2,4.5,3.4,3.6999999999999997
23000129,7.6,6.5,4.0,6.033333333333334
23000130,8.0,3.66,7.8,6.486666666666667
23000131,3.2,4.25,3.6,3.6833333333333336
23000132,3.0,5.75,3.0,3.9166666666666665
23000133,3.8,6.0,3.0,4.266666666666667
23000134,4.6,3.75,3.4,3.9166666666666665
23000135,3.2,4.75,2.2,3.3833333333333333
23000136,5.2,5.25,3.6,4.683333333333333
23000137,2.2,4.75,5.0,3.983333333333333
23000138,4.8,5.25,3.2,4.416666666666667
23000139,5.0,6.0,1.6,4.2
23000140,3.0,5.25,2.0,3.4166666666666665
23000141,4.0,4.5,3.2,3.9
23000142,2.6,5.5,3.6,3.9
23000143,4.6,5.0,3.6,4.3999999999999995
23000144,5.8,5.5,0,3.766666666666667
23000145,2.4,5.75,3.6,3.9166666666666665
23000146,4.2,5.5,2.2,3.9666666666666663
23000147,3.6,5.25,2.6,3.8166666666666664
23000148,5.6,5.75,3.0,4.783333333333333
23000149,7.0,7.75,7.0,7.25
23000150,2.2,6.25,3.0,3.8166666666666664
23000151,2.0,5.0,0,2.3333333333333335
23000152,8.8,7.5,8.6,8.299999999999999
23000153,5.4,6.75,3.4,5.183333333333334
23000154,5.8,6.0,4.2,5.333333333333333
23000155,5.0,6.0,9.6,6.866666666666667
23000156,8.2,7.25,6.2,7.216666666666666
23000157,5.2,6.5,2.6,4.766666666666667
23000158,3.0,3.75,2.8,3.1833333333333336
23000159,2.8,4.0,2.2,3.0
23000160,4.0,6.75,4.0,4.916666666666667
23000161,9.0,7.0,8.8,8.266666666666667
23000162,5.8,6.0,4.8,5.533333333333334
23000163,1.8,5.0,0,2.2666666666666666
23000164,4.2,6.25,4.6,5.016666666666667
23000165,8.6,9.0,9.8,9.133333333333335
23000166,7.0,5.75,2.6,5.116666666666666
23000167,7.0,6.25,8.6,7.283333333333334
23000168,5.4,6.5,4.4,5.433333333333334
23000169,6.0,8.75,7.4,7.383333333333333
23000170,6.6,8.25,7.8,7.55
23000171,6.6,7.75,3.2,5.8500000000000005
23000172,4.4,5.0,2.8,4.066666666666666
23000173,7.8,8.0,8.6,8.133333333333333
23000174,9.0,8.0,9.2,8.733333333333333
23000175,5.0,7.5,9.2,7.233333333333333
23000176,4.4,6.25,1.8,4.15
23000177,7.6,7.75,6.6,7.316666666666666
23000178,7.4,8.75,6.8,7.6499999999999995
23000179,6.6,7.25,4.4,6.083333333333333
23000180,7.4,7.25,6.8,7.1499999999999995
23000181,4.8,5.75,6.8,5.783333333333334
23000182,6.4,6.25,3.8,5.483333333333333
23000183,5.2,6.25,2.8,4.75
23000184,6.6,7.0,8.6,7.3999999999999995
23000185,5.6,5.75,3.2,4.8500000000000005
23000186,5.6,6.75,4.2,5.516666666666667
23000187,7.2,8.0,5.4,6.866666666666667
23000188,4.4,6.5,4.8,5.233333333333333
23000189,5.6,6.0,2.4,4.666666666666667
23000190,8.0,7.5,9.2,8.233333333333333
23000191,5.4,6.5,0,3.966666666666667
23000192,4.4,6.75,3.2,4.783333333333334
23000193,5.6,6.5,5.4,5.833333333333333
23000194,5.0,3.75,0,2.9166666666666665
23000195,7.4,6.0,4.6,6.0
23000196,2.6,1.5,2.6,2.233333333333333
23000197,8.0,8.75,9.2,8.65
23000198,3.0,3.25,3.6,3.283333333333333
23000199,5.8,6.25,4.0,5.3500000000000005
23000200,6.6,5.75,4.0,5.45
23000201,8.0,7.5,5.2,6.8999999999999995
23000202,8.0,8.0,8.6,8.200000000000001
23000203,9.0,8.0,7.0,8.0
23000204,7.2,8.0,7.6,7.599999999999999
23000205,6.8,7.0,5.4,6.400000000000001
23000206,3.8,6.25,3.2,4.416666666666667
23000207,8.2,6.5,3.2,5.966666666666666
23000208,7.2,5.5,8.2,6.966666666666666
23000209,7.2,8.25,9.6,8.35
23000210,6.2,9.0,8.4,7.866666666666667
23000211,7.4,8.0,6.6,7.333333333333333
23000212,7.0,7.25,6.8,7.016666666666667
23000213,5.2,6.25,3.8,5.083333333333333
23000214,6.0,5.75,2.8,4.8500000000000005
23000215,8.2,8.25,8.2,8.216666666666667
23000216,3.2,4.75,3.2,3.716666666666667
23000217,7.6,6.25,5.0,6.283333333333334
23000218,7.8,6.5,3.4,5.8999999999999995
23000219,1.4,5.5,0,2.3000000000000003
23000220,4.8,7.25,2.4,4.816666666666667
23000221,4.4,7.75,3.2,5.116666666666667
23000222,8.8,7.25,9.2,8.416666666666666
23000223,8.2,6.5,5.6,6.766666666666666
23000224,3.6,3.25,0,2.283333333333333
23000225,7.2,7.25,6.8,7.083333333333333
