SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
45000001,4.0,5.25,2.2,3.8166666666666664
45000002,6.0,7.0,4.2,5.733333333333333
45000003,4.8,4.0,3.8,4.2
45000004,6.2,6.0,4.8,5.666666666666667
45000005,6.8,7.25,3.2,5.75
45000006,7.0,4.5,2.8,4.766666666666667
45000007,6.4,3.75,2.4,4.183333333333334
45000008,7.4,7.0,4.6,6.333333333333333
45000009,6.6,6.5,5.4,6.166666666666667
45000010,6.6,6.0,5.0,5.866666666666667
45000011,5.8,6.5,4.4,5.566666666666667
45000012,5.0,6.25,3.4,4.883333333333334
45000013,5.4,3.5,4.6,4.5
45000014,5.2,3.0,3.2,3.7999999999999994
45000015,6.2,6.25,4.8,5.75
45000016,6.2,5.0,3.8,5.0
45000017,6.8,6.25,7.0,6.683333333333334
45000018,4.6,4.0,3.8,4.133333333333333
45000019,3.4,5.5,4.0,4.3
45000020,6.0,6.5,4.4,5.633333333333333
45000021,4.8,5.75,3.6,4.716666666666667
45000022,5.0,6.75,3.8,5.183333333333334
45000023,5.8,6.5,4.8,5.7
45000024,3.8,1.5,2.0,2.433333333333333
45000025,7.4,6.75,4.4,6.183333333333334
45000026,3.0,3.5,3.2,3.233333333333333
45000027,6.2,5.75,4.6,5.516666666666666
45000028,5.2,6.0,2.8,4.666666666666667
45000029,5.8,3.0,3.8,4.2
45000030,7.2,8.0,5.6,6.933333333333333
45000031,5.0,7.0,4.0,5.333333333333333
45000032,6.6,3.5,3.2,4.433333333333334
45000033,5.6,5.5,4.4,5.166666666666667
45000034,6.8,6.0,3.2,5.333333333333333
45000035,4.2,4.5,2.6,3.766666666666666
45000037,5.4,6.75,3.6,5.25
45000038,6.6,7.5,5.4,6.5
45000039,6.4,4.75,4.8,5.316666666666666
45000040,7.6,7.0,5.4,6.666666666666667
45000041,5.8,6.5,4.2,5.5
45000042,5.0,5.0,3.8,4.6000000000000005
45000043,7.2,5.0,4.0,5.3999999999999995
45000044,6.0,7.5,4.6,6.033333333333334
45000045,7.0,4.25,2.2,4.483333333333333
45000046,7.0,5.5,1.8,4.766666666666667
45000047,6.6,6.5,6.0,6.366666666666667
45000048,3.2,3.0,4.0,3.4
45000049,6.6,4.75,3.2,4.8500000000000005
45000050,5.4,7.75,5.0,6.05
45000051,7.2,6.75,3.6,5.8500000000000005
45000052,6.4,7.25,4.8,6.1499999999999995
45000053,6.8,4.25,4.4,5.15
45000054,6.2,4.25,3.8,4.75
45000055,6.2,5.25,3.0,4.816666666666666
45000056,5.8,5.75,3.8,5.116666666666667
45000057,6.4,6.75,5.4,6.183333333333334
45000058,7.4,5.75,4.6,5.916666666666667
45000059,6.6,7.25,3.2,5.683333333333334
45000060,6.0,5.75,3.6,5.116666666666666
45000061,5.8,7.0,5.4,6.066666666666667
45000062,8.0,7.75,5.4,7.05
45000063,5.2,6.25,2.8,4.75
45000064,7.2,8.0,6.6,7.266666666666666
45000065,3.6,4.0,2.8,3.4666666666666663
45000066,6.0,7.0,4.4,5.8
45000067,6.6,3.0,3.8,4.466666666666666
45000068,4.6,5.0,2.4,4.0
45000069,7.0,6.25,3.0,5.416666666666667
45000070,5.6,3.25,2.6,3.8166666666666664
45000071,5.6,5.5,3.8,4.966666666666666
45000072,7.2,5.25,4.2,5.55
45000073,5.2,5.75,3.8,4.916666666666667
45000074,5.8,7.5,4.0,5.766666666666667
45000075,7.0,7.5,4.0,6.166666666666667
45000076,6.0,7.0,3.8,5.6000000000000005
45000077,6.2,7.0,4.6,5.933333333333333
45000078,4.6,3.5,3.4,3.8333333333333335
45000079,6.2,6.75,5.0,5.983333333333333
45000080,6.0,5.0,3.2,4.733333333333333
45000081,5.2,1.75,1.2,2.716666666666667
45000082,5.0,5.25,3.4,4.55
45000083,6.6,6.75,2.0,5.116666666666666
45000084,6.8,6.75,6.0,6.516666666666667
45000085,6.6,6.5,5.8,6.3
45000086,8.4,5.75,4.2,6.116666666666667
45000087,7.2,6.5,6.0,6.566666666666666
45000088,7.2,6.25,3.6,5.683333333333334
45000089,7.0,7.0,6.4,6.8
45000090,6.8,4.75,5.0,5.516666666666667
45000091,5.4,5.75,5.2,5.45
45000092,7.4,5.25,7.0,6.55
45000093,5.6,3.25,4.0,4.283333333333333
45000094,7.0,6.5,6.0,6.5
45000095,4.2,5.25,3.8,4.416666666666667
45000096,7.0,5.5,5.6,6.033333333333334
45000097,4.6,5.25,1.6,3.8166666666666664
45000098,5.2,5.75,2.8,4.583333333333333
45000099,5.2,5.25,3.8,4.75
45000100,3.4,3.75,3.8,3.65
45000101,3.2,3.75,2.0,2.983333333333333
45000102,4.4,3.25,3.0,3.5500000000000003
45000103,7.4,5.75,3.8,5.6499999999999995
45000104,3.8,5.0,2.8,3.866666666666667
45000105,6.0,7.75,6.8,6.8500000000000005
45000106,6.0,7.5,6.0,6.5
45000107,8.0,7.25,8.4,7.883333333333333
45000108,4.2,4.5,3.8,4.166666666666667
45000109,4.4,5.25,3.4,4.3500000000000005
45000110,6.6,7.0,4.0,5.866666666666667
45000111,6.2,8.25,4.4,6.283333333333334
45000112,4.2,4.5,2.6,3.766666666666666
45000113,5.4,7.25,4.8,5.816666666666666
45000114,5.6,5.75,5.2,5.516666666666667
45000115,4.4,4.5,2.4,3.766666666666667
45000116,4.8,6.0,3.6,4.8
45000117,6.4,6.0,3.4,5.266666666666667
45000118,7.4,7.5,6.6,7.166666666666667
45000119,8.4,6.5,4.6,6.5
45000120,6.0,6.5,4.6,5.7
45000121,5.4,6.0,4.8,5.3999999999999995
45000122,6.0,5.25,4.0,5.083333333333333
45000123,6.8,7.0,5.2,6.333333333333333
45000124,6.0,5.5,4.0,5.166666666666667
45000125,8.6,6.5,7.2,7.433333333333334
45000126,7.8,7.0,7.6,7.466666666666666
45000127,3.6,5.5,7.0,5.366666666666667
45000128,7.4,6.5,7.0,6.966666666666666
45000129,7.2,7.75,3.4,6.116666666666666
45000130,5.0,6.0,4.8,5.266666666666667
45000131,6.8,8.0,7.6,7.466666666666666
45000132,8.4,7.75,7.2,7.783333333333332
45000133,4.2,2.25,2.6,3.016666666666667
45000134,6.8,7.5,8.2,7.5
45000135,8.0,5.25,3.2,5.483333333333333
45000136,8.4,5.5,4.2,6.033333333333334
45000137,7.2,6.5,5.0,6.233333333333333
45000138,4.4,6.0,3.2,4.533333333333334
45000139,7.8,7.5,6.2,7.166666666666667
45000140,7.8,6.0,6.2,6.666666666666667
45000141,4.4,7.75,3.4,5.183333333333334
45000142,7.2,6.0,2.6,5.266666666666667
45000143,8.4,8.25,9.0,8.549999999999999
45000144,3.4,5.0,3.2,3.866666666666667
45000145,2.4,5.5,2.4,3.4333333333333336
45000146,8.0,6.0,6.2,6.733333333333333
45000147,6.2,6.5,3.2,5.3
45000148,5.0,5.75,5.8,5.516666666666667
45000149,4.8,6.5,2.6,4.633333333333334
45000150,6.8,7.5,6.6,6.966666666666666
45000151,7.6,5.5,4.2,5.766666666666667
45000152,5.2,5.0,4.6,4.933333333333333
45000153,6.6,5.75,5.2,5.8500000000000005
45000154,8.6,7.5,9.2,8.433333333333334
45000155,8.6,6.5,7.2,7.433333333333334
45000156,7.6,6.75,7.4,7.25
45000157,7.8,6.0,7.4,7.066666666666667
45000158,5.2,6.0,3.8,5.0
45000159,7.6,7.0,7.4,7.333333333333333
45000160,5.8,6.75,2.6,5.05
45000161,4.2,6.25,3.0,4.483333333333333
45000162,6.2,7.75,4.0,5.983333333333333
45000163,6.2,7.0,7.8,7.0
45000164,7.0,6.5,4.0,5.833333333333333
45000165,8.4,7.0,4.6,6.666666666666667
45000166,8.0,7.0,7.2,7.3999999999999995
45000167,6.0,6.75,6.2,6.316666666666666
45000168,3.4,6.75,3.2,4.45
45000169,6.4,5.0,4.8,5.3999999999999995
45000170,5.0,5.0,3.0,4.333333333333333
45000171,8.0,4.0,3.0,5.0
45000172,7.2,6.5,6.2,6.633333333333333
45000173,6.6,6.75,4.2,5.8500000000000005
45000174,5.8,5.0,6.6,5.8
45000175,7.2,6.75,7.0,6.983333333333333
45000176,7.4,5.0,5.0,5.8
45000177,6.4,6.75,5.0,6.05
45000178,7.2,8.25,8.6,8.016666666666666
45000179,8.0,5.75,5.2,6.316666666666666
45000180,8.2,7.0,8.0,7.733333333333333
45000181,6.4,6.0,5.0,5.8
45000182,5.6,5.0,4.4,5.0
45000183,6.0,6.5,6.8,6.433333333333334
45000184,7.6,6.0,4.4,6.0
45000185,6.0,6.25,3.6,5.283333333333333
45000186,6.4,6.75,5.2,6.116666666666667
45000187,4.2,5.75,4.6,4.85
45000188,4.2,5.5,3.8,4.5
45000189,7.4,6.0,8.2,7.2
45000190,7.4,4.0,3.4,4.933333333333334
45000191,6.6,6.5,9.0,7.366666666666667
45000192,3.4,5.75,2.2,3.7833333333333337
45000193,7.6,7.75,5.0,6.783333333333334
45000194,6.4,7.0,5.6,6.333333333333333
45000195,4.2,5.75,3.6,4.516666666666667
45000196,8.2,6.0,4.0,6.066666666666666
45000197,6.4,7.75,4.0,6.05
45000198,5.8,6.75,6.0,6.183333333333334
45000199,8.6,6.0,6.4,7.0
45000200,9.2,6.5,9.2,8.299999999999999
45000201,6.4,5.0,6.2,5.866666666666667
45000202,5.8,5.5,3.8,5.033333333333334
45000203,8.0,3.75,5.6,5.783333333333334
45000204,5.2,5.75,2.0,4.316666666666666
45000205,3.6,5.25,3.8,4.216666666666666
45000206,5.0,7.0,3.6,5.2
45000207,8.0,5.5,6.6,6.7
45000208,8.2,6.5,8.8,7.833333333333333
45000209,5.0,2.0,3.8,3.6
45000210,5.2,7.0,4.6,5.599999999999999
45000211,5.6,7.75,6.6,6.6499999999999995
45000212,8.4,6.0,8.6,7.666666666666667
45000213,5.0,2.75,5.8,4.516666666666667
45000214,7.6,6.0,5.6,6.3999999999999995
45000215,3.6,6.0,4.8,4.8
45000216,8.8,6.75,7.4,7.650000000000001
45000217,6.6,6.75,5.6,6.316666666666666
45000218,7.2,4.75,6.4,6.116666666666667
45000219,3.8,4.0,3.6,3.8000000000000003
45000220,6.0,5.0,7.0,6.0
45000221,8.8,6.0,4.2,6.333333333333333
45000222,4.6,6.0,2.8,4.466666666666666
45000223,3.2,5.5,4.2,4.3
45000224,5.8,5.75,6.0,5.8500000000000005
45000225,8.2,6.5,5.2,6.633333333333333
45000226,4.0,4.25,2.8,3.6833333333333336
45000227,6.6,7.0,4.8,6.133333333333333
45000228,8.0,7.0,4.8,6.6000000000000005
45000229,5.6,6.5,6.0,6.033333333333334
45000230,4.8,5.5,6.4,5.566666666666667
45000231,3.4,5.25,4.4,4.3500000000000005
45000232,7.6,4.25,5.8,5.883333333333333
45000233,6.2,7.5,6.2,6.633333333333333
45000234,7.4,7.5,7.2,7.366666666666667
45000235,7.4,7.25,7.6,7.416666666666667
45000236,7.8,8.25,8.6,8.216666666666667
45000237,5.4,7.0,3.8,5.3999999999999995
45000238,6.6,7.75,6.4,6.916666666666667
45000239,3.0,4.0,3.4,3.466666666666667
45000240,6.8,7.5,7.8,7.366666666666667
45000241,5.6,6.0,5.4,5.666666666666667
45000242,6.8,6.25,4.8,5.95
45000243,6.2,4.25,2.6,4.35
45000244,5.0,4.25,3.0,4.083333333333333
45000245,6.4,7.0,5.2,6.2
45000246,6.4,7.25,2.6,5.416666666666667
45000247,4.6,6.75,2.8,4.716666666666666
45000248,5.8,5.25,1.6,4.216666666666667
45000249,5.4,5.5,3.4,4.766666666666667
45000250,5.6,5.25,6.0,5.616666666666667
45000251,9.0,7.0,6.8,7.6000000000000005
45000252,4.8,5.5,2.8,4.366666666666667
45000253,3.2,5.0,3.4,3.8666666666666667
45000254,6.2,7.0,3.2,5.466666666666666
45000255,4.6,7.5,4.6,5.566666666666666
45000256,5.2,6.25,4.4,5.283333333333333
45000257,4.0,5.0,3.8,4.266666666666667
45000258,5.8,5.75,4.4,5.316666666666667
45000259,6.0,5.75,4.8,5.516666666666667
45000260,5.6,5.5,3.2,4.766666666666667
45000261,8.2,4.5,7.8,6.833333333333333
45000262,3.2,5.25,2.6,3.683333333333333
45000263,8.0,7.0,8.2,7.733333333333333
45000264,5.4,5.5,2.4,4.433333333333334
45000265,6.6,6.25,5.2,6.016666666666667
45000266,7.2,6.0,5.4,6.2
45000267,7.6,7.25,5.8,6.883333333333333
45000268,8.0,6.25,6.6,6.95
45000269,7.8,7.75,5.4,6.983333333333334
45000270,3.8,6.5,2.6,4.3
45000271,7.2,6.0,4.0,5.733333333333333
45000272,8.2,3.5,7.2,6.3
45000273,5.2,6.0,4.2,5.133333333333333
45000274,5.4,5.0,6.8,5.733333333333333
45000275,5.8,7.5,4.0,5.766666666666667
45000276,7.2,7.25,9.6,8.016666666666666
45000277,7.6,5.0,6.0,6.2
45000278,7.6,6.0,7.8,7.133333333333333
45000279,4.2,4.25,4.8,4.416666666666667
45000280,7.0,4.75,4.8,5.516666666666667
45000281,4.2,5.75,6.2,5.383333333333333
45000282,5.2,4.75,5.8,5.25
45000283,1.8,3.0,2.4,2.4
45000284,4.0,5.25,6.0,5.083333333333333
45000285,8.4,5.75,5.6,6.583333333333333
45000286,6.6,4.25,5.6,5.483333333333333
45000287,4.0,4.75,2.6,3.783333333333333
45000288,5.8,5.75,5.2,5.583333333333333
45000289,4.0,6.5,5.2,5.233333333333333
45000290,8.6,6.0,9.0,7.866666666666667
45000291,5.8,5.5,3.4,4.9
45000292,6.4,5.25,7.0,6.216666666666666
45000293,3.4,4.75,2.8,3.65
45000294,6.6,7.5,3.8,5.966666666666666
45000295,5.6,6.5,3.6,5.233333333333333
45000296,4.6,5.5,2.6,4.233333333333333
