SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
48000001,8.8,8.75,9.0,8.85
48000002,6.6,7.75,9.6,7.983333333333333
48000003,6.4,6.0,7.8,6.733333333333333
48000004,8.8,6.75,9.0,8.183333333333334
48000005,8.4,8.0,9.8,8.733333333333333
48000006,8.4,5.75,10.0,8.049999999999999
48000007,8.0,6.75,8.4,7.716666666666666
48000008,9.0,5.75,9.6,8.116666666666667
48000009,8.4,9.0,9.8,9.066666666666666
48000010,8.8,8.0,9.4,8.733333333333334
48000011,8.0,8.0,7.4,7.8
48000012,7.6,4.25,6.4,6.083333333333333
48000013,8.4,6.75,8.8,7.983333333333334
48000014,7.2,7.75,9.0,7.983333333333333
48000015,8.6,6.25,9.6,8.15
48000016,8.4,7.75,0,5.383333333333333
48000017,8.2,8.0,9.2,8.466666666666667
48000018,8.4,7.75,9.8,8.65
48000019,7.2,7.0,9.0,7.733333333333333
48000020,8.0,8.75,9.4,8.716666666666667
48000021,8.6,8.0,8.2,8.266666666666667
48000022,8.0,7.75,9.2,8.316666666666666
48000023,8.2,6.75,9.0,7.983333333333333
48000024,8.8,6.25,9.6,8.216666666666667
48000025,8.6,7.0,9.2,8.266666666666666
48000026,7.0,8.25,9.4,8.216666666666667
48000027,9.0,6.5,9.4,8.299999999999999
48000028,7.0,6.5,9.0,7.5
48000029,9.0,5.75,8.6,7.783333333333334
48000030,9.0,7.5,8.8,8.433333333333334
48000031,8.4,6.0,8.6,7.666666666666667
48000032,7.8,6.75,5.0,6.516666666666667
48000033,6.8,7.75,9.2,7.916666666666667
48000034,8.2,7.5,8.4,8.033333333333333
48000035,7.6,7.0,9.0,7.866666666666667
48000036,7.8,5.75,9.2,7.583333333333333
48000037,7.0,5.0,7.4,6.466666666666666
48000038,8.6,0,0,2.8666666666666667
48000039,8.6,6.5,9.6,8.233333333333333
48000040,8.4,4.75,9.2,7.45
48000041,8.6,6.5,9.6,8.233333333333333
48000042,7.0,6.75,9.4,7.716666666666666
