SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
03000001,8.2,7.75,0,5.316666666666666
03000002,6.8,8.75,0,5.183333333333334
03000003,7.0,7.25,8.4,7.55
03000004,8.4,8.75,0,5.716666666666666
03000005,8.4,8.0,0,5.466666666666666
03000006,8.0,8.0,7.2,7.733333333333333
03000007,8.0,9.0,9.4,8.799999999999999
03000008,9.2,8.5,8.8,8.833333333333334
03000009,7.8,7.5,2.2,5.833333333333333
03000010,8.8,8.5,4.6,7.3
03000011,7.0,7.0,3.0,5.666666666666667
03000012,8.8,6.25,5.0,6.683333333333334
03000013,7.6,7.75,6.6,7.316666666666666
03000014,8.0,8.0,7.8,7.933333333333334
03000015,8.4,7.5,5.6,7.166666666666667
03000016,7.0,6.5,5.0,6.166666666666667
03000017,8.0,7.5,4.8,6.766666666666667
03000018,4.8,6.5,2.0,4.433333333333334
03000019,6.8,8.0,6.4,7.066666666666667
03000020,8.6,8.25,7.8,8.216666666666667
03000021,7.8,9.0,6.4,7.733333333333334
03000022,6.4,8.0,3.6,6.0
03000023,7.8,8.5,8.4,8.233333333333334
03000024,7.4,7.25,5.6,6.75
03000025,8.2,7.75,5.6,7.183333333333333
03000026,7.4,7.75,4.8,6.6499999999999995
03000027,8.4,6.5,6.2,7.033333333333334
03000028,5.4,8.75,0,4.716666666666667
03000029,8.0,8.25,3.4,6.55
03000030,8.8,8.0,7.8,8.200000000000001
03000031,7.8,8.25,4.6,6.883333333333333
03000032,9.0,7.0,6.8,7.6000000000000005
03000033,8.0,8.0,6.2,7.3999999999999995
03000034,8.6,8.25,0,5.616666666666667
03000035,8.2,7.25,5.8,7.083333333333333
03000036,8.2,8.0,7.2,7.8
03000037,7.2,8.5,6.4,7.366666666666667
03000038,7.4,8.25,5.0,6.883333333333333
03000039,8.2,8.25,7.0,7.816666666666666
03000040,7.0,9.0,2.8,6.266666666666667
03000041,6.2,7.5,2.4,5.366666666666666
03000042,6.8,8.0,2.4,5.733333333333333
03000043,8.8,7.0,5.4,7.066666666666667
03000044,7.2,8.75,5.2,7.05
03000045,6.0,7.75,2.8,5.516666666666667
03000046,5.0,8.5,3.8,5.766666666666667
03000047,6.2,9.0,7.0,7.3999999999999995
03000048,7.0,8.25,4.8,6.683333333333334
03000049,8.0,8.75,6.4,7.716666666666666
03000050,1.6,8.5,2.4,4.166666666666667
03000051,7.0,8.5,2.8,6.1000000000000005
03000052,6.4,8.75,4.8,6.6499999999999995
03000053,7.4,9.0,5.4,7.266666666666666
03000054,5.8,8.0,1.4,5.066666666666667
03000055,7.2,7.75,2.4,5.783333333333332
03000056,6.6,8.0,8.4,7.666666666666667
03000057,6.8,6.0,3.2,5.333333333333333
03000058,7.2,8.0,5.6,6.933333333333333
03000059,6.4,7.5,5.8,6.566666666666666
03000060,4.4,8.25,3.4,5.3500000000000005
03000061,4.6,6.75,2.8,4.716666666666666
03000062,7.6,8.5,8.2,8.1
03000063,5.6,7.5,2.6,5.233333333333333
03000064,7.6,6.75,5.0,6.45
03000065,6.8,8.75,2.8,6.116666666666667
03000066,7.6,8.5,9.4,8.5
03000067,7.8,9.25,9.2,8.75
03000068,7.2,9.0,7.2,7.8
03000069,5.4,7.25,3.0,5.216666666666667
03000070,7.8,7.25,5.8,6.95
03000071,5.6,5.0,3.6,4.733333333333333
03000072,5.2,6.5,3.6,5.1
03000073,6.0,8.0,2.8,5.6000000000000005
03000074,8.4,8.25,8.6,8.416666666666666
03000075,6.2,8.5,4.0,6.233333333333333
03000076,8.6,8.5,6.2,7.766666666666667
03000077,8.4,8.0,5.4,7.266666666666666
03000078,5.8,6.75,6.4,6.316666666666667
03000079,6.4,7.5,3.8,5.8999999999999995
03000080,7.8,8.5,2.2,6.166666666666667
03000081,3.6,7.75,2.6,4.6499999999999995
03000082,8.8,8.5,8.4,8.566666666666668
03000083,3.8,4.5,3.2,3.8333333333333335
03000084,7.6,8.75,6.6,7.650000000000001
03000085,5.4,6.5,6.0,5.966666666666666
03000086,4.8,6.25,3.2,4.75
03000087,8.2,9.25,9.6,9.016666666666666
03000088,2.6,7.25,2.4,4.083333333333333
03000089,7.0,8.75,6.8,7.516666666666667
03000090,7.2,8.25,3.4,6.283333333333332
03000091,7.4,8.0,3.4,6.266666666666667
03000092,8.2,7.75,4.0,6.6499999999999995
03000093,6.6,7.75,0,4.783333333333333
03000094,8.0,7.5,4.6,6.7
03000095,8.4,6.75,7.0,7.383333333333333
03000096,8.0,7.0,7.0,7.333333333333333
03000097,7.8,7.75,3.6,6.383333333333334
03000098,7.6,8.0,7.2,7.6000000000000005
03000099,8.0,8.25,5.8,7.3500000000000005
03000100,8.0,8.25,6.6,7.616666666666667
03000101,8.6,7.75,6.4,7.583333333333333
03000102,6.8,8.0,5.4,6.733333333333334
03000103,6.6,6.5,2.8,5.3
03000104,7.8,8.0,7.8,7.866666666666667
03000105,3.0,5.75,4.0,4.25
03000106,8.8,7.5,8.8,8.366666666666667
03000107,7.6,8.25,5.4,7.083333333333333
03000108,6.8,8.5,3.6,6.300000000000001
03000109,5.8,8.5,6.4,6.900000000000001
03000110,7.2,8.0,7.0,7.3999999999999995
03000111,7.8,7.75,7.2,7.583333333333333
03000112,6.8,9.0,4.2,6.666666666666667
03000113,9.2,9.25,9.0,9.15
03000114,5.4,7.5,4.0,5.633333333333333
03000115,7.2,8.75,8.0,7.983333333333333
03000116,7.8,8.0,6.4,7.400000000000001
03000117,7.4,7.25,6.4,7.016666666666667
03000118,8.4,9.0,6.4,7.933333333333333
03000119,3.0,7.0,3.4,4.466666666666667
03000120,8.2,6.5,5.2,6.633333333333333
03000121,8.0,6.75,4.4,6.383333333333333
03000122,8.0,8.75,4.8,7.183333333333334
03000123,6.8,8.25,4.6,6.55
03000124,8.2,7.75,8.4,8.116666666666667
03000125,8.0,5.5,2.6,5.366666666666667
03000126,7.8,6.75,8.8,7.783333333333334
03000127,7.2,7.5,7.8,7.5
03000128,7.4,7.5,5.8,6.8999999999999995
03000129,5.2,7.25,3.0,5.1499999999999995
03000130,5.4,7.25,5.8,6.1499999999999995
03000131,4.8,7.0,1.8,4.533333333333334
03000132,7.6,9.0,7.6,8.066666666666668
03000133,7.4,8.25,9.4,8.35
03000134,8.2,7.75,4.2,6.716666666666666
03000135,6.2,9.0,5.4,6.866666666666667
03000136,5.6,8.5,4.0,6.033333333333334
03000137,7.4,8.25,4.0,6.55
03000138,9.2,9.75,9.2,9.383333333333333
03000139,7.6,7.75,4.4,6.583333333333333
03000140,7.4,9.0,7.2,7.866666666666666
03000141,6.8,8.5,6.0,7.1000000000000005
03000142,8.4,7.75,6.0,7.383333333333333
03000143,8.6,9.5,8.0,8.700000000000001
03000144,8.4,8.5,4.8,7.233333333333333
03000145,4.4,6.5,2.4,4.433333333333334
03000146,7.0,8.75,8.4,8.049999999999999
03000147,7.2,8.5,6.2,7.3
03000148,8.2,7.5,7.8,7.833333333333333
03000149,9.2,7.5,7.0,7.8999999999999995
03000150,8.2,9.0,9.2,8.799999999999999
03000151,7.6,7.75,6.8,7.383333333333333
03000152,7.0,7.25,4.0,6.083333333333333
03000153,6.6,8.0,3.0,5.866666666666667
03000154,7.0,6.5,5.8,6.433333333333334
03000155,7.4,8.75,3.0,6.383333333333333
03000156,8.4,9.0,3.2,6.866666666666666
03000157,6.6,8.25,3.8,6.216666666666666
03000158,7.8,8.0,5.0,6.933333333333334
03000159,6.0,8.25,5.4,6.55
03000160,6.8,7.25,5.2,6.416666666666667
03000161,8.0,8.75,6.6,7.783333333333334
03000162,6.8,8.5,6.8,7.366666666666667
03000163,8.0,8.0,6.4,7.466666666666666
03000164,3.6,7.0,3.0,4.533333333333333
03000165,8.0,9.5,7.6,8.366666666666667
03000166,7.2,8.75,6.0,7.316666666666666
03000167,4.8,7.0,3.8,5.2
