SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
02000001,7.4,7.25,9.8,8.15
02000002,8.4,7.5,9.4,8.433333333333334
02000003,8.4,6.5,4.2,6.366666666666667
02000004,8.8,5.5,8.8,7.7
02000005,7.2,7.25,9.4,7.95
02000006,8.2,6.5,8.6,7.766666666666666
02000007,7.2,7.25,5.4,6.616666666666667
02000008,8.0,7.75,7.4,7.716666666666666
02000009,7.6,7.25,7.8,7.55
02000010,8.4,7.0,7.2,7.533333333333334
02000011,9.2,6.5,8.2,7.966666666666666
02000012,9.0,5.5,5.4,6.633333333333333
02000013,6.4,6.0,7.4,6.6000000000000005
02000014,8.4,7.75,7.8,7.983333333333333
02000015,8.0,6.25,9.0,7.75
02000016,7.4,6.5,8.0,7.3
02000017,7.4,7.25,8.4,7.683333333333334
02000018,8.6,7.0,9.4,8.333333333333334
02000019,7.8,6.25,6.2,6.75
02000020,8.4,8.0,7.8,8.066666666666666
02000021,8.6,7.75,8.4,8.25
02000022,7.6,6.75,9.4,7.916666666666667
02000023,8.0,6.75,7.4,7.383333333333333
02000024,7.4,4.5,6.8,6.233333333333333
02000025,8.2,8.25,9.0,8.483333333333333
02000026,7.4,7.0,8.8,7.733333333333334
02000027,7.6,7.25,9.0,7.95
02000028,8.6,4.25,8.6,7.1499999999999995
02000029,7.0,7.25,8.6,7.616666666666667
02000030,7.8,7.5,7.8,7.7
02000031,5.2,7.5,8.8,7.166666666666667
02000032,8.0,5.75,4.4,6.05
02000033,7.8,6.75,9.4,7.983333333333334
02000034,7.0,4.25,9.0,6.75
02000035,8.8,7.5,8.4,8.233333333333334
02000036,6.2,7.25,7.6,7.016666666666666
02000037,7.2,6.0,7.0,6.733333333333333
02000038,7.8,5.25,6.8,6.616666666666667
02000039,8.0,5.5,8.2,7.233333333333333
02000040,8.4,7.0,8.6,8.0
02000041,7.4,7.0,8.0,7.466666666666666
02000042,7.8,7.25,9.2,8.083333333333334
02000043,8.2,5.75,8.2,7.383333333333333
02000044,6.4,6.25,9.2,7.283333333333334
02000045,5.8,7.75,5.0,6.183333333333334
02000046,8.8,6.5,7.4,7.566666666666667
02000047,8.8,6.25,8.2,7.75
02000048,8.4,7.5,9.2,8.366666666666667
02000049,7.2,7.75,8.2,7.716666666666666
02000050,7.6,6.25,7.0,6.95
02000051,8.4,6.0,6.6,7.0
