SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
52000001,7.2,6.75,5.2,6.383333333333333
52000002,5.2,6.5,0,3.9
52000003,8.4,0,0,2.8000000000000003
52000004,6.0,5.75,5.8,5.8500000000000005
52000005,6.8,6.5,6.2,6.5
52000006,7.8,7.5,4.8,6.7
52000007,6.4,7.0,7.6,7.0
52000008,7.2,7.25,6.8,7.083333333333333
52000009,6.8,7.25,6.8,6.95
52000010,7.2,6.0,4.0,5.733333333333333
52000011,8.0,8.5,0,5.5
52000012,6.8,7.75,6.6,7.05
52000013,6.8,7.25,5.0,6.3500000000000005
52000014,7.4,6.25,7.4,7.016666666666667
52000015,8.4,6.75,7.6,7.583333333333333
52000016,6.2,5.75,7.0,6.316666666666666
52000017,4.8,6.5,6.8,6.033333333333334
52000018,5.6,7.5,4.4,5.833333333333333
52000019,7.4,7.0,6.4,6.933333333333334
52000020,4.8,6.25,0,3.6833333333333336
52000021,6.4,6.5,3.6,5.5
52000022,6.4,8.0,6.6,7.0
52000023,6.6,5.5,7.2,6.433333333333334
52000024,5.0,4.5,0,3.1666666666666665
52000025,7.4,8.25,8.0,7.883333333333333
52000026,6.8,6.0,0,4.266666666666667
52000027,6.8,7.25,5.8,6.616666666666667
52000028,7.6,7.25,4.8,6.55
52000029,7.6,7.25,7.2,7.3500000000000005
52000030,7.0,6.25,5.0,6.083333333333333
52000031,8.2,0,8.2,5.466666666666666
52000032,7.0,6.0,6.2,6.3999999999999995
52000033,7.4,6.0,5.6,6.333333333333333
52000034,7.6,8.25,7.0,7.616666666666667
52000035,8.6,7.25,7.4,7.75
52000036,8.0,7.75,6.0,7.25
52000037,6.8,7.0,6.0,6.6000000000000005
52000038,8.4,0,6.4,4.933333333333334
52000039,7.8,8.0,4.2,6.666666666666667
52000040,7.0,5.5,4.8,5.766666666666667
52000041,6.0,6.5,6.4,6.3
52000042,8.0,7.0,7.0,7.333333333333333
52000043,7.2,6.75,5.8,6.583333333333333
52000044,7.4,5.25,7.0,6.55
52000045,5.8,6.5,7.4,6.566666666666667
52000046,7.2,7.75,9.2,8.049999999999999
52000047,6.8,6.0,3.6,5.466666666666668
52000048,6.4,6.5,2.6,5.166666666666667
52000049,5.4,6.0,5.4,5.6000000000000005
52000050,7.8,7.5,6.0,7.1000000000000005
52000051,6.0,6.0,4.2,5.3999999999999995
52000052,8.4,0,0,2.8000000000000003
52000053,6.6,6.0,5.0,5.866666666666667
52000054,7.4,6.75,4.0,6.05
52000055,8.8,0,0,2.9333333333333336
52000056,7.6,7.0,0,4.866666666666666
52000057,7.4,6.25,5.8,6.483333333333333
52000058,8.2,8.25,9.0,8.483333333333333
52000059,7.0,7.5,5.8,6.766666666666667
52000060,7.2,7.5,7.6,7.433333333333333
52000061,5.6,6.5,5.8,5.966666666666666
52000062,4.8,7.25,6.0,6.016666666666667
52000063,6.8,6.5,5.6,6.3
52000064,8.2,7.75,6.2,7.383333333333333
52000065,4.2,5.25,0,3.15
52000066,6.2,5.75,5.2,5.716666666666666
52000067,4.2,5.75,0,3.3166666666666664
52000068,6.2,5.75,4.0,5.316666666666666
52000069,7.8,6.25,0,4.683333333333334
52000070,7.6,6.0,6.8,6.8
52000071,7.8,6.75,4.6,6.383333333333333
52000072,7.6,6.5,6.2,6.766666666666667
52000073,5.2,5.5,5.2,5.3
52000074,8.2,0,0,2.733333333333333
52000075,3.2,5.5,0,2.9
52000076,6.8,6.25,7.4,6.816666666666667
52000077,5.8,6.0,4.6,5.466666666666666
52000078,7.4,6.5,5.0,6.3
