SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
38000001,5.2,7.0,6.4,6.2
38000002,8.8,7.0,4.2,6.666666666666667
38000003,7.0,8.75,4.2,6.6499999999999995
38000004,5.4,7.75,3.8,5.6499999999999995
38000005,7.4,6.67,5.6,6.5566666666666675
38000006,7.2,7.0,4.6,6.266666666666666
38000007,6.2,7.0,5.6,6.266666666666666
38000008,5.4,7.0,4.8,5.733333333333333
38000009,7.6,9.0,4.4,7.0
38000010,6.8,8.0,5.2,6.666666666666667
38000011,7.6,6.5,2.4,5.5
38000012,5.4,5.5,3.0,4.633333333333334
38000013,6.8,7.0,5.0,6.266666666666667
38000014,6.4,8.0,5.0,6.466666666666666
38000015,6.6,6.25,7.0,6.616666666666667
38000016,4.4,6.5,8.8,6.566666666666667
38000017,8.0,8.0,5.0,7.0
38000018,6.8,6.5,5.4,6.233333333333334
38000019,7.2,8.25,4.4,6.616666666666667
38000020,5.4,7.0,4.2,5.533333333333334
38000021,5.6,8.25,3.6,5.816666666666666
38000022,6.2,6.75,3.2,5.383333333333333
38000023,4.8,6.5,3.8,5.033333333333334
38000024,7.6,7.25,4.8,6.55
38000025,5.2,5.0,4.2,4.8
38000026,6.4,8.0,5.6,6.666666666666667
38000027,5.0,6.75,3.0,4.916666666666667
38000028,7.0,7.75,5.4,6.716666666666666
38000029,5.6,8.75,6.2,6.8500000000000005
38000030,7.0,6.25,4.2,5.816666666666666
38000031,7.2,8.5,6.8,7.5
38000032,6.0,7.25,5.0,6.083333333333333
38000033,5.2,6.75,4.4,5.45
38000034,6.0,8.0,4.8,6.266666666666667
38000035,6.6,7.0,3.8,5.8
38000036,6.6,5.0,5.6,5.733333333333333
38000037,7.6,6.25,4.8,6.216666666666666
38000038,7.8,7.0,3.6,6.133333333333334
38000039,6.2,8.0,4.0,6.066666666666666
38000040,6.4,5.25,3.2,4.95
38000041,7.2,6.25,4.4,5.95
38000042,7.0,7.0,4.4,6.133333333333333
38000043,8.0,6.0,3.2,5.733333333333333
38000044,6.2,5.25,5.2,5.55
38000045,5.4,6.5,3.8,5.233333333333333
38000046,7.2,7.0,5.2,6.466666666666666
38000047,6.8,7.25,5.0,6.3500000000000005
38000048,5.4,6.25,3.0,4.883333333333334
38000049,6.0,5.5,3.8,5.1000000000000005
38000050,6.8,8.5,5.4,6.900000000000001
38000051,6.2,6.5,4.0,5.566666666666666
38000052,5.4,8.5,4.0,5.966666666666666
38000053,6.8,7.75,5.2,6.583333333333333
38000054,5.4,6.0,2.4,4.6000000000000005
38000055,6.0,8.0,4.0,6.0
38000056,8.4,9.0,6.0,7.8
38000057,6.2,7.75,5.2,6.383333333333333
38000058,8.2,8.75,4.2,7.05
38000059,7.2,6.5,3.0,5.566666666666666
38000060,7.0,5.75,3.6,5.45
38000061,5.8,5.5,4.0,5.1000000000000005
38000062,6.2,7.0,5.6,6.266666666666666
38000063,6.4,7.25,5.4,6.3500000000000005
38000064,7.4,6.0,4.4,5.933333333333334
38000065,6.4,6.0,3.8,5.3999999999999995
