SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
36000001,3.8,3.5,3.8,3.6999999999999997
36000002,8.4,5.5,4.6,6.166666666666667
36000003,8.6,6.0,8.4,7.666666666666667
36000004,3.6,4.0,4.4,4.0
36000005,8.2,5.5,7.0,6.8999999999999995
36000006,4.8,4.5,3.4,4.233333333333333
36000007,8.6,8.0,5.4,7.333333333333333
36000008,7.0,7.75,5.4,6.716666666666666
36000009,7.8,8.5,9.0,8.433333333333334
36000010,8.0,7.0,9.2,8.066666666666666
36000011,5.2,3.0,3.0,3.733333333333333
36000012,8.2,5.75,6.8,6.916666666666667
36000013,8.4,8.5,9.0,8.633333333333333
36000014,8.0,7.5,9.4,8.299999999999999
36000015,5.0,5.25,4.6,4.95
36000016,4.8,5.0,5.0,4.933333333333334
36000017,5.2,5.75,5.2,5.383333333333333
36000018,6.8,7.0,4.8,6.2
36000019,7.0,7.25,8.4,7.55
36000020,8.6,6.75,8.6,7.983333333333333
36000021,7.6,7.0,6.4,7.0
36000022,8.4,6.25,8.6,7.75
36000023,4.6,1.25,0,1.95
36000024,8.6,3.5,6.2,6.1000000000000005
36000025,8.4,5.75,9.2,7.783333333333334
36000026,8.8,5.25,7.0,7.016666666666667
36000027,9.2,7.5,9.4,8.700000000000001
36000028,7.6,6.5,7.4,7.166666666666667
36000029,5.2,5.5,4.6,5.1
36000030,5.2,4.75,4.4,4.783333333333333
36000031,6.2,6.25,4.8,5.75
36000032,2.8,3.0,0,1.9333333333333333
36000033,4.2,5.75,5.0,4.983333333333333
36000034,3.0,3.0,0,2.0
36000035,9.0,7.25,0,5.416666666666667
36000036,6.4,6.75,6.0,6.383333333333333
36000037,3.6,4.25,0,2.6166666666666667
36000038,7.8,6.0,0,4.6000000000000005
36000039,7.0,7.0,6.6,6.866666666666667
36000040,7.6,6.25,7.6,7.1499999999999995
36000041,8.0,5.0,9.0,7.333333333333333
36000042,6.0,4.25,6.2,5.483333333333333
36000043,3.8,3.75,0,2.5166666666666666
36000044,4.8,5.0,4.8,4.866666666666667
36000045,6.0,5.5,3.8,5.1000000000000005
36000046,6.4,5.0,4.0,5.133333333333334
36000047,2.6,2.25,0,1.6166666666666665
36000048,2.2,3.5,0,1.9000000000000001
36000049,8.0,6.25,9.6,7.95
36000050,9.0,5.5,5.4,6.633333333333333
36000051,5.4,5.0,3.0,4.466666666666667
36000052,2.0,2.5,0,1.5
36000053,4.2,4.75,4.8,4.583333333333333
36000054,6.4,4.5,4.0,4.966666666666667
36000055,5.0,6.5,6.0,5.833333333333333
36000056,5.6,3.25,6.4,5.083333333333333
36000057,3.0,5.75,3.2,3.983333333333333
36000058,5.8,5.25,3.0,4.683333333333334
36000059,5.4,8.75,4.0,6.05
36000060,1.8,0.25,0,0.6833333333333332
36000061,7.6,7.25,9.6,8.15
36000062,7.4,8.0,7.4,7.6000000000000005
36000063,5.6,6.25,3.6,5.1499999999999995
36000064,7.4,7.25,9.4,8.016666666666667
36000065,8.0,6.5,4.8,6.433333333333334
36000066,7.6,8.0,9.2,8.266666666666666
36000067,8.8,7.25,9.8,8.616666666666667
36000068,8.6,5.75,7.2,7.183333333333334
36000069,7.0,4.0,3.2,4.733333333333333
36000070,7.8,5.0,5.4,6.066666666666667
36000071,9.0,4.75,6.6,6.783333333333334
36000072,7.8,4.25,5.4,5.816666666666667
36000073,5.4,6.25,4.2,5.283333333333334
36000074,7.4,5.5,4.4,5.766666666666667
36000075,8.0,8.0,7.6,7.866666666666667
36000076,2.4,3.25,0,1.8833333333333335
36000077,5.2,4.5,2.8,4.166666666666667
36000078,9.0,5.5,5.6,6.7
36000079,6.0,4.0,3.8,4.6000000000000005
36000080,8.2,5.5,9.2,7.633333333333333
36000081,5.0,4.0,2.4,3.8000000000000003
36000082,7.2,5.0,3.6,5.266666666666667
36000083,4.8,4.0,2.6,3.8000000000000003
36000084,7.0,4.5,8.4,6.633333333333333
36000085,4.0,2.5,3.4,3.3000000000000003
36000086,8.4,6.25,0,4.883333333333334
36000087,7.6,5.25,4.2,5.683333333333334
36000088,7.2,5.5,6.8,6.5
36000089,7.6,7.25,9.0,7.95
36000090,4.6,5.75,3.0,4.45
36000091,8.4,5.75,6.6,6.916666666666667
36000092,5.6,4.5,3.6,4.566666666666666
36000093,4.4,5.0,2.0,3.8000000000000003
36000094,8.6,4.75,4.2,5.8500000000000005
36000095,3.0,4.0,0,2.3333333333333335
36000096,7.4,4.75,5.4,5.8500000000000005
36000097,3.8,5.0,3.6,4.133333333333334
36000098,5.2,4.25,4.2,4.55
36000099,8.6,7.0,8.4,8.0
36000100,7.0,8.5,9.2,8.233333333333333
36000101,8.4,7.5,6.2,7.366666666666667
36000102,8.2,7.0,8.6,7.933333333333333
36000103,6.2,6.75,7.6,6.849999999999999
36000104,2.8,3.5,0,2.1
36000105,8.0,6.5,9.6,8.033333333333333
36000106,6.0,6.5,4.4,5.633333333333333
36000107,6.4,5.25,0,3.8833333333333333
36000108,7.0,5.5,3.6,5.366666666666667
36000109,7.6,4.0,6.4,6.0
36000110,7.2,6.25,5.4,6.283333333333334
36000111,7.2,6.0,4.6,5.933333333333333
36000112,7.6,6.5,6.0,6.7
36000113,7.8,7.0,7.0,7.266666666666667
36000114,5.6,4.25,5.6,5.1499999999999995
36000115,7.2,7.0,4.8,6.333333333333333
36000116,8.6,8.25,8.8,8.55
36000117,7.2,8.0,8.4,7.866666666666667
36000118,4.2,5.5,4.2,4.633333333333333
36000119,6.8,5.25,4.0,5.3500000000000005
36000120,7.6,5.75,5.2,6.183333333333334
36000121,8.4,6.75,5.0,6.716666666666666
36000122,6.8,7.25,6.8,6.95
36000123,8.4,7.0,8.6,8.0
36000124,8.4,7.75,7.4,7.849999999999999
36000125,8.2,7.75,9.2,8.383333333333333
36000126,9.4,6.0,8.8,8.066666666666668
36000127,9.0,7.0,8.2,8.066666666666666
36000128,4.4,6.0,3.8,4.733333333333333
36000129,8.2,6.75,8.8,7.916666666666667
36000130,8.6,7.0,8.4,8.0
36000131,8.6,6.75,6.4,7.25
36000132,3.2,2.75,2.0,2.65
36000133,8.4,5.0,5.8,6.3999999999999995
36000134,5.8,5.75,8.4,6.650000000000001
36000135,5.4,4.0,4.0,4.466666666666667
36000136,6.8,6.5,8.0,7.1000000000000005
36000137,8.4,5.25,9.8,7.816666666666667
36000138,5.2,5.5,3.8,4.833333333333333
36000139,6.0,4.5,3.4,4.633333333333334
36000140,7.2,5.75,5.8,6.25
36000141,7.2,6.75,6.8,6.916666666666667
36000142,8.2,7.0,8.2,7.8
36000143,7.0,7.0,6.4,6.8
36000144,5.6,6.0,3.6,5.066666666666666
36000145,8.6,5.75,7.6,7.316666666666666
36000146,8.2,5.5,8.8,7.5
36000147,6.4,5.5,5.4,5.766666666666667
36000148,6.6,7.25,4.8,6.216666666666666
36000149,8.0,5.75,5.4,6.383333333333333
36000150,3.2,3.5,0,2.2333333333333334
36000151,7.2,6.5,5.8,6.5
36000152,8.2,7.25,9.0,8.15
36000153,6.4,4.0,4.6,5.0
36000154,8.2,7.0,6.8,7.333333333333333
36000155,8.2,5.25,7.8,7.083333333333333
36000156,6.6,5.5,3.0,5.033333333333333
