SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
08000001,8.2,8.0,6.6,7.599999999999999
08000002,8.8,7.75,5.0,7.183333333333334
08000003,8.4,7.25,4.8,6.816666666666666
08000004,7.4,6.5,3.8,5.8999999999999995
08000005,9.2,7.0,5.0,7.066666666666666
08000006,8.6,9.0,4.6,7.400000000000001
08000007,9.0,6.75,4.2,6.6499999999999995
08000008,7.2,8.5,6.0,7.233333333333333
08000009,6.2,5.75,3.6,5.183333333333333
08000010,7.6,8.25,6.0,7.283333333333334
08000011,8.4,7.25,5.0,6.883333333333333
08000012,9.0,8.25,6.0,7.75
08000013,6.0,8.75,5.2,6.6499999999999995
08000014,6.6,8.25,3.6,6.1499999999999995
08000015,7.4,8.0,4.8,6.733333333333333
08000016,7.2,7.0,5.6,6.599999999999999
08000017,7.2,6.0,3.6,5.6000000000000005
08000018,7.2,7.75,4.2,6.383333333333333
08000019,7.4,8.0,3.6,6.333333333333333
08000020,7.6,7.25,6.6,7.1499999999999995
08000021,6.8,8.0,3.8,6.2
08000022,8.0,8.0,5.4,7.133333333333333
08000023,5.2,7.5,3.0,5.233333333333333
08000024,5.2,5.5,4.4,5.033333333333333
08000025,7.2,7.25,4.0,6.1499999999999995
08000026,7.6,6.5,7.2,7.1000000000000005
08000027,1.0,4.5,0,1.8333333333333333
08000028,7.8,8.0,5.4,7.066666666666667
08000029,3.6,2.75,0,2.1166666666666667
08000030,7.2,7.5,5.4,6.7
08000031,2.6,4.0,0,2.1999999999999997
08000032,5.4,5.5,0,3.6333333333333333
08000033,7.6,7.25,4.4,6.416666666666667
08000034,8.6,7.5,7.6,7.900000000000001
08000035,7.8,9.0,8.2,8.333333333333334
08000036,4.8,7.25,2.8,4.95
08000037,4.2,5.5,2.6,4.1
08000038,4.0,5.25,3.8,4.3500000000000005
08000039,6.6,9.0,6.2,7.266666666666667
08000040,4.2,4.92,0,3.0400000000000005
08000041,6.8,8.75,5.4,6.983333333333334
08000042,2.6,5.25,0,2.6166666666666667
08000043,5.0,7.25,2.8,5.016666666666667
08000044,1.8,4.25,0,2.0166666666666666
08000045,6.4,6.25,3.8,5.483333333333333
08000046,8.2,7.5,6.0,7.233333333333333
08000047,5.8,4.25,3.6,4.55
08000048,6.6,7.75,3.2,5.8500000000000005
08000049,5.8,6.25,5.2,5.75
08000050,8.2,7.5,6.4,7.366666666666667
08000051,6.0,6.5,5.4,5.966666666666666
08000052,6.2,6.5,3.8,5.5
08000053,6.0,8.25,3.0,5.75
08000054,6.0,7.75,5.6,6.45
08000055,4.6,7.25,0,3.9499999999999997
08000056,4.8,7.75,4.2,5.583333333333333
08000057,5.6,5.5,2.6,4.566666666666666
08000058,7.4,7.25,3.8,6.1499999999999995
08000059,6.2,8.0,4.6,6.266666666666666
08000060,8.0,8.0,3.8,6.6000000000000005
08000061,8.4,9.25,6.8,8.15
08000062,8.6,7.0,5.8,7.133333333333333
08000063,7.8,6.25,4.2,6.083333333333333
08000064,7.4,7.5,3.6,6.166666666666667
08000065,7.0,7.5,4.2,6.233333333333333
08000066,5.2,6.75,3.0,4.983333333333333
08000067,5.0,8.0,3.6,5.533333333333334
08000068,7.2,7.5,4.8,6.5
08000069,8.4,6.5,6.2,7.033333333333334
08000070,9.0,7.0,5.4,7.133333333333333
08000071,6.0,8.0,5.4,6.466666666666666
08000072,5.6,7.0,3.2,5.266666666666667
08000073,5.8,6.75,4.4,5.650000000000001
08000074,3.8,5.25,3.2,4.083333333333333
08000075,6.0,5.75,4.6,5.45
08000076,6.8,6.5,4.8,6.033333333333334
08000077,4.8,6.0,3.0,4.6000000000000005
08000078,8.8,7.5,5.8,7.366666666666667
08000079,8.2,8.0,4.0,6.733333333333333
08000080,3.6,5.75,2.8,4.05
08000081,6.4,6.75,4.4,5.8500000000000005
08000082,8.8,7.5,8.8,8.366666666666667
08000083,8.0,8.25,5.2,7.1499999999999995
08000084,7.6,7.75,5.4,6.916666666666667
08000085,4.8,7.25,4.4,5.483333333333334
08000086,6.6,8.5,5.8,6.966666666666666
08000087,6.8,7.5,4.2,6.166666666666667
08000088,3.8,5.25,2.2,3.75
08000089,4.0,7.25,3.8,5.016666666666667
08000090,2.8,1.75,2.8,2.4499999999999997
