SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
15000001,8.0,6.75,9.4,8.049999999999999
15000002,8.4,9.0,9.4,8.933333333333332
15000003,8.2,8.25,7.4,7.95
15000004,8.4,7.25,7.4,7.683333333333334
15000005,8.0,9.0,9.8,8.933333333333334
15000006,6.0,7.75,8.6,7.45
15000007,8.6,5.75,7.0,7.116666666666667
15000008,8.4,7.0,5.2,6.866666666666667
15000009,9.0,9.0,9.0,9.0
15000010,8.8,6.25,5.0,6.683333333333334
15000011,7.2,7.0,9.2,7.8
15000012,8.0,7.75,9.0,8.25
15000013,8.2,8.75,9.6,8.85
15000014,9.2,7.25,7.2,7.883333333333333
15000015,7.6,8.5,8.6,8.233333333333334
15000016,8.0,9.0,8.8,8.6
15000017,8.6,7.5,7.4,7.833333333333333
15000018,7.6,7.75,9.0,8.116666666666667
15000019,7.6,7.0,3.6,6.066666666666666
15000020,8.2,8.5,9.4,8.700000000000001
15000021,8.4,7.0,9.0,8.133333333333333
15000022,7.4,8.5,9.2,8.366666666666667
15000023,8.0,9.25,8.6,8.616666666666667
15000024,6.4,8.75,5.2,6.783333333333334
15000025,8.2,9.0,8.8,8.666666666666666
15000026,8.2,7.75,6.2,7.383333333333333
15000027,8.4,7.5,9.2,8.366666666666667
15000028,7.4,9.5,8.2,8.366666666666665
15000029,8.6,8.5,10.0,9.033333333333333
15000030,9.0,6.75,8.8,8.183333333333334
15000031,8.0,7.0,4.0,6.333333333333333
15000032,9.6,7.0,9.0,8.533333333333333
15000033,8.2,9.5,9.2,8.966666666666667
15000034,7.6,7.75,8.0,7.783333333333334
15000035,9.0,8.5,8.6,8.700000000000001
15000036,8.8,5.0,9.4,7.733333333333334
15000037,8.2,7.0,5.2,6.8
15000038,5.4,8.5,6.2,6.7
15000039,8.0,8.75,9.4,8.716666666666667
15000040,7.6,5.75,6.8,6.716666666666666
15000041,7.6,8.25,9.0,8.283333333333333
15000042,9.2,6.75,6.2,7.383333333333333
15000043,6.4,6.5,8.8,7.233333333333334
15000044,8.6,6.75,9.0,8.116666666666667
15000045,7.8,8.25,7.8,7.95
15000046,7.6,7.75,9.8,8.383333333333333
15000047,8.4,6.5,8.6,7.833333333333333
15000048,9.2,8.25,8.6,8.683333333333332
15000049,8.8,7.25,8.8,8.283333333333333
15000050,8.0,8.25,9.4,8.549999999999999
15000051,9.2,6.5,8.4,8.033333333333333
15000052,9.0,8.25,8.2,8.483333333333333
15000053,4.0,8.75,5.6,6.116666666666667
15000054,8.2,7.5,8.6,8.1
15000055,6.2,8.75,6.8,7.25
15000056,8.0,8.5,9.2,8.566666666666666
15000057,8.2,8.5,8.8,8.5
15000058,7.6,9.0,9.2,8.6
15000059,9.2,7.75,8.6,8.516666666666666
15000060,9.0,8.25,7.4,8.216666666666667
15000061,8.4,8.25,8.2,8.283333333333333
15000062,9.0,8.5,7.4,8.299999999999999
