SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
39000001,4.6,6.25,3.0,4.616666666666666
39000002,3.8,6.5,4.4,4.9
39000003,3.2,5.5,3.4,4.033333333333333
39000004,8.4,6.5,7.4,7.433333333333334
39000005,9.0,4.25,1.8,5.016666666666667
39000006,5.8,3.75,3.0,4.183333333333334
39000007,4.6,4.25,2.2,3.6833333333333336
39000008,7.0,5.5,4.8,5.766666666666667
39000009,8.4,5.75,8.8,7.650000000000001
39000010,2.4,4.0,2.6,3.0
39000011,4.8,6.0,5.6,5.466666666666666
39000012,5.4,4.5,2.4,4.1000000000000005
39000013,3.2,5.0,2.0,3.4
39000014,8.0,7.5,7.4,7.633333333333333
39000015,6.8,6.25,5.2,6.083333333333333
39000016,5.4,6.5,3.6,5.166666666666667
39000017,6.6,4.75,4.0,5.116666666666666
39000018,4.6,4.75,3.0,4.116666666666666
39000019,2.0,3.5,3.2,2.9
39000020,4.6,4.0,3.0,3.8666666666666667
39000021,6.6,6.75,4.6,5.983333333333333
39000022,7.8,5.25,6.0,6.3500000000000005
39000023,7.2,6.0,5.4,6.2
39000024,5.2,6.75,6.4,6.116666666666667
39000025,6.2,6.75,5.4,6.116666666666667
39000026,8.0,6.5,4.8,6.433333333333334
39000027,5.6,4.0,3.0,4.2
39000028,4.4,4.5,4.2,4.366666666666667
39000029,3.4,3.75,2.6,3.25
39000030,5.2,4.5,3.0,4.233333333333333
39000031,7.6,8.25,7.8,7.883333333333333
39000032,3.0,4.25,2.2,3.15
39000033,6.4,6.75,3.2,5.45
39000034,5.6,6.25,4.2,5.3500000000000005
39000035,6.8,5.75,4.6,5.716666666666666
39000036,4.6,5.5,2.0,4.033333333333333
39000037,6.6,6.25,3.4,5.416666666666667
39000038,5.2,4.75,3.2,4.383333333333333
39000039,1.2,4.5,1.2,2.3000000000000003
39000040,6.4,5.5,3.8,5.233333333333333
39000041,5.6,4.75,4.2,4.8500000000000005
39000042,3.4,5.5,2.8,3.9
39000043,7.0,4.25,3.4,4.883333333333334
39000044,8.6,6.0,3.4,6.0
39000045,2.6,4.25,2.8,3.2166666666666663
39000046,3.8,5.25,2.2,3.75
39000047,4.4,3.75,1.8,3.316666666666667
39000048,6.0,6.25,3.2,5.1499999999999995
39000049,8.2,5.75,4.2,6.05
39000050,6.4,4.75,3.2,4.783333333333334
39000051,4.4,5.75,2.6,4.25
39000052,5.2,6.0,3.8,5.0
39000053,3.2,4.5,3.2,3.6333333333333333
39000054,8.4,5.75,4.8,6.316666666666666
39000055,5.4,5.0,4.2,4.866666666666667
39000056,4.6,6.5,2.2,4.433333333333334
39000057,5.6,8.0,4.2,5.933333333333334
39000058,4.8,6.5,2.6,4.633333333333334
39000059,4.4,4.5,3.6,4.166666666666667
39000060,5.4,5.0,6.6,5.666666666666667
39000061,3.8,5.25,3.8,4.283333333333334
39000062,6.4,6.0,3.2,5.2
39000063,6.0,5.0,3.0,4.666666666666667
39000064,2.8,3.25,2.4,2.8166666666666664
39000065,7.4,7.5,5.0,6.633333333333333
39000066,8.6,7.25,9.0,8.283333333333333
39000067,4.0,5.5,3.6,4.366666666666666
39000068,6.2,7.0,4.0,5.733333333333333
39000069,4.4,4.25,2.4,3.6833333333333336
39000070,4.2,4.75,2.0,3.65
39000071,8.0,6.25,3.6,5.95
39000072,4.0,3.0,4.0,3.6666666666666665
39000073,8.6,8.0,7.2,7.933333333333334
39000074,4.4,6.0,5.6,5.333333333333333
39000075,5.0,5.75,2.6,4.45
39000076,8.4,8.0,8.8,8.4
39000077,6.0,6.5,7.2,6.566666666666666
39000078,7.6,7.5,4.2,6.433333333333334
39000079,9.4,6.25,9.4,8.35
39000080,7.6,7.25,6.4,7.083333333333333
39000081,4.4,5.5,3.6,4.5
39000082,5.2,5.75,3.4,4.783333333333333
39000083,4.6,7.25,3.0,4.95
39000084,7.4,5.0,3.8,5.3999999999999995
39000085,4.4,5.0,3.0,4.133333333333334
39000086,5.4,5.75,5.6,5.583333333333333
39000087,5.4,7.75,3.4,5.516666666666667
39000088,7.0,5.25,5.2,5.816666666666666
39000089,8.0,6.5,8.0,7.5
39000090,5.6,4.5,1.6,3.9
39000091,3.0,4.0,3.4,3.466666666666667
39000092,3.4,4.5,3.2,3.7000000000000006
39000093,6.0,6.0,2.8,4.933333333333334
39000094,4.2,5.0,4.2,4.466666666666666
39000095,7.8,7.75,7.4,7.650000000000001
39000096,5.0,4.25,1.6,3.6166666666666667
39000097,8.0,5.75,4.4,6.05
