SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
01000001,8.4,8.5,9.2,8.7
01000002,7.2,8.5,9.2,8.299999999999999
01000003,0,6.5,0,2.1666666666666665
01000004,7.8,8.25,7.8,7.95
01000005,7.2,8.0,7.8,7.666666666666667
01000006,7.6,9.25,9.0,8.616666666666667
01000007,5.6,7.0,6.4,6.333333333333333
01000008,7.2,7.5,6.0,6.8999999999999995
01000009,7.6,8.25,9.0,8.283333333333333
01000010,8.2,9.5,7.0,8.233333333333333
01000011,5.6,7.0,8.4,7.0
01000012,7.2,8.5,8.4,8.033333333333333
01000013,7.4,5.75,8.0,7.05
01000014,7.0,4.5,0,3.8333333333333335
01000015,8.2,8.5,9.2,8.633333333333333
01000016,8.2,8.75,8.4,8.450000000000001
01000017,7.4,7.75,6.6,7.25
01000018,0,7.0,2.8,3.266666666666667
01000019,8.4,9.0,9.4,8.933333333333332
01000020,8.2,8.75,7.2,8.049999999999999
01000021,8.2,8.25,7.8,8.083333333333334
01000022,8.0,9.25,9.0,8.75
01000023,8.6,8.5,9.8,8.966666666666667
01000024,8.2,9.0,9.6,8.933333333333332
01000025,6.6,8.25,8.0,7.616666666666667
01000026,7.4,9.0,8.8,8.4
01000027,8.0,8.0,9.2,8.4
01000028,8.2,9.0,9.6,8.933333333333332
01000029,2.8,6.75,0,3.1833333333333336
01000030,7.2,8.75,8.6,8.183333333333332
01000031,5.0,6.5,3.2,4.8999999999999995
01000032,8.2,6.25,5.4,6.616666666666667
01000033,7.2,8.0,9.0,8.066666666666666
01000034,7.6,9.0,6.6,7.733333333333334
01000035,5.0,3.5,0,2.8333333333333335
01000036,7.8,7.75,5.0,6.8500000000000005
01000037,0,8.5,0,2.8333333333333335
01000038,7.8,8.0,9.2,8.333333333333334
01000039,5.8,9.25,0,5.016666666666667
01000040,7.2,8.0,8.6,7.933333333333333
01000041,8.6,7.75,9.4,8.583333333333334
01000042,7.6,9.5,7.4,8.166666666666666
01000043,7.0,8.0,7.6,7.533333333333334
01000044,7.6,6.5,6.2,6.766666666666667
01000045,3.8,7.5,4.2,5.166666666666667
01000046,7.8,4.0,9.4,7.066666666666667
01000047,8.6,7.0,8.6,8.066666666666666
01000048,5.4,8.0,7.4,6.933333333333334
01000049,7.8,8.75,8.0,8.183333333333334
01000050,8.6,8.5,8.2,8.433333333333334
01000051,8.6,8.75,9.4,8.916666666666666
01000052,7.4,9.0,8.2,8.2
01000053,8.2,8.5,8.8,8.5
01000054,0,6.25,0,2.0833333333333335
01000055,7.0,8.25,7.0,7.416666666666667
01000056,6.0,8.0,7.4,7.133333333333333
01000057,7.6,9.25,9.0,8.616666666666667
01000058,7.8,5.5,7.4,6.900000000000001
01000059,8.2,8.0,8.8,8.333333333333334
01000060,6.0,7.5,8.0,7.166666666666667
01000061,0,6.75,0,2.25
01000062,6.4,4.0,5.4,5.266666666666667
01000063,7.4,7.75,9.0,8.049999999999999
01000064,7.8,7.75,9.2,8.25
01000065,8.2,6.5,8.8,7.833333333333333
01000066,7.2,6.5,0,4.566666666666666
01000067,8.0,9.5,8.8,8.766666666666667
01000068,8.4,9.0,9.6,9.0
01000069,7.6,9.0,9.6,8.733333333333334
01000070,8.6,8.5,8.2,8.433333333333334
01000071,8.2,9.0,9.0,8.733333333333333
01000072,7.0,5.5,9.8,7.433333333333334
01000073,7.4,7.75,5.6,6.916666666666667
01000074,8.0,9.0,8.0,8.333333333333334
01000075,7.8,8.5,9.2,8.5
01000076,8.2,8.0,8.6,8.266666666666666
