SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
30000001,5.8,9.0,5.4,6.733333333333334
30000002,6.8,8.5,5.2,6.833333333333333
30000003,7.0,8.75,7.0,7.583333333333333
30000004,7.0,9.25,7.8,8.016666666666667
30000005,7.4,8.75,8.4,8.183333333333332
30000006,7.4,6.75,5.4,6.516666666666667
30000007,8.4,7.25,5.6,7.083333333333333
30000008,5.2,8.75,6.4,6.783333333333334
30000009,6.2,6.0,3.6,5.266666666666667
30000010,5.8,7.5,5.6,6.3
30000011,7.6,8.0,6.8,7.466666666666666
30000012,5.2,7.75,7.2,6.716666666666666
30000013,7.4,7.5,5.0,6.633333333333333
30000014,5.4,7.5,5.0,5.966666666666666
30000015,7.0,9.5,8.4,8.299999999999999
30000016,7.8,8.5,6.4,7.566666666666667
30000017,5.4,7.0,0,4.133333333333334
30000018,8.0,9.5,6.8,8.1
30000019,8.4,9.5,9.4,9.1
30000020,4.0,7.75,4.6,5.45
30000021,7.4,8.0,5.4,6.933333333333334
30000022,6.4,8.25,5.8,6.816666666666666
30000023,5.0,7.25,4.8,5.683333333333334
30000024,5.4,9.0,6.2,6.866666666666667
30000025,5.6,7.75,5.0,6.116666666666667
30000026,5.8,6.25,3.6,5.216666666666667
30000027,8.2,9.25,9.4,8.950000000000001
30000028,6.2,9.0,8.2,7.8
30000029,4.8,9.25,6.4,6.816666666666667
30000030,6.0,9.0,7.4,7.466666666666666
30000031,5.4,8.75,5.4,6.516666666666667
30000032,4.4,7.0,0,3.8000000000000003
30000033,6.8,9.0,7.0,7.6000000000000005
30000034,6.2,8.5,4.4,6.366666666666667
30000035,3.4,7.5,3.0,4.633333333333334
30000036,4.4,7.75,3.4,5.183333333333334
30000037,3.2,5.75,0,2.983333333333333
30000038,8.6,9.25,9.6,9.15
30000039,3.8,5.25,0,3.016666666666667
30000040,8.8,7.25,9.8,8.616666666666667
30000041,7.2,8.0,4.4,6.533333333333334
30000042,8.0,9.25,8.8,8.683333333333334
30000043,8.2,7.25,9.4,8.283333333333333
30000044,7.6,7.75,5.0,6.783333333333334
30000045,7.6,8.5,5.8,7.300000000000001
30000046,8.2,8.5,3.8,6.833333333333333
30000047,4.8,8.5,5.2,6.166666666666667
30000048,4.8,7.75,3.6,5.383333333333334
30000049,3.6,8.75,4.6,5.6499999999999995
30000050,3.6,7.0,5.2,5.266666666666667
30000051,6.4,8.75,7.4,7.516666666666667
30000052,4.6,9.0,4.8,6.133333333333333
30000053,8.2,9.5,9.0,8.9
30000054,3.4,5.0,0,2.8000000000000003
30000055,5.2,8.0,3.6,5.6000000000000005
30000056,4.4,7.0,4.0,5.133333333333334
30000057,5.8,8.75,4.6,6.383333333333333
30000058,7.8,8.75,8.6,8.383333333333333
30000059,7.2,7.25,5.8,6.75
30000060,5.4,6.25,0,3.8833333333333333
30000061,4.8,8.0,4.6,5.8
30000062,3.6,6.75,0,3.4499999999999997
30000063,7.2,8.5,6.4,7.366666666666667
30000064,6.2,8.75,6.0,6.983333333333333
30000065,8.6,7.25,9.6,8.483333333333333
30000066,3.2,6.75,0,3.3166666666666664
30000067,6.0,6.25,4.6,5.616666666666667
30000068,6.2,8.5,5.0,6.566666666666666
30000069,7.2,8.5,4.6,6.766666666666666
30000070,2.6,6.75,0,3.1166666666666667
30000071,7.0,8.5,6.0,7.166666666666667
30000072,6.4,9.0,7.8,7.733333333333333
30000073,5.0,7.25,4.6,5.616666666666667
30000074,3.6,6.75,0,3.4499999999999997
30000075,7.4,9.25,5.8,7.483333333333333
30000076,5.4,9.5,6.4,7.1000000000000005
30000077,5.4,8.75,5.2,6.45
30000078,7.4,9.5,7.6,8.166666666666666
30000079,7.2,8.25,8.0,7.816666666666666
30000080,8.2,9.25,8.6,8.683333333333332
30000081,7.8,9.5,7.8,8.366666666666667
30000082,6.6,8.75,4.6,6.6499999999999995
30000083,6.0,7.5,0,4.5
30000084,6.8,9.5,7.0,7.766666666666667
30000085,8.0,7.75,8.6,8.116666666666667
30000086,7.8,9.5,7.0,8.1
30000087,8.4,8.0,4.8,7.066666666666666
30000088,6.0,8.0,5.4,6.466666666666666
30000089,7.8,9.0,7.4,8.066666666666668
30000090,4.2,6.75,3.8,4.916666666666667
30000091,7.8,9.0,7.0,7.933333333333334
30000092,3.4,7.5,0,3.6333333333333333
30000093,5.2,8.25,5.2,6.216666666666666
30000094,6.4,8.0,6.6,7.0
30000095,3.6,5.25,0,2.9499999999999997
30000096,6.4,8.0,7.2,7.2
30000097,6.8,8.0,0,4.933333333333334
30000098,7.4,7.5,6.4,7.1000000000000005
30000099,7.4,8.5,8.0,7.966666666666666
30000100,8.2,8.0,9.2,8.466666666666667
30000101,7.0,8.75,7.2,7.6499999999999995
30000102,6.4,8.75,6.4,7.183333333333334
30000103,4.0,6.25,0,3.4166666666666665
30000104,5.4,7.0,0,4.133333333333334
30000105,6.2,9.25,8.0,7.816666666666666
30000106,6.2,7.5,0,4.566666666666666
30000107,8.2,9.0,6.2,7.8
30000108,5.4,9.0,6.8,7.066666666666666
30000109,5.8,9.25,6.0,7.016666666666667
30000110,8.0,9.0,7.6,8.200000000000001
30000111,4.4,8.0,5.2,5.866666666666667
30000112,4.2,5.75,0,3.3166666666666664
30000113,8.0,8.25,5.8,7.3500000000000005
30000114,4.8,8.25,4.0,5.683333333333334
30000115,1.8,7.25,0,3.016666666666667
30000116,6.8,9.0,6.2,7.333333333333333
30000117,5.6,8.5,6.6,6.8999999999999995
30000118,7.8,9.0,7.6,8.133333333333333
30000119,6.2,7.75,5.0,6.316666666666666
30000120,5.2,8.0,7.8,7.0
30000121,6.8,7.0,4.2,6.0
30000122,6.8,8.0,5.8,6.866666666666667
30000123,6.0,6.75,0,4.25
30000124,5.4,8.25,5.8,6.483333333333333
30000125,5.2,6.5,6.8,6.166666666666667
30000126,5.8,6.75,4.8,5.783333333333334
30000127,7.0,6.5,8.6,7.366666666666667
30000128,5.6,8.0,8.2,7.266666666666666
30000129,7.8,6.25,6.2,6.75
30000130,8.0,7.25,5.4,6.883333333333333
30000131,5.4,7.25,6.0,6.216666666666666
30000132,4.8,7.25,5.2,5.75
30000133,2.4,6.75,0,3.0500000000000003
30000134,5.0,6.5,4.6,5.366666666666667
30000135,5.8,7.75,4.4,5.983333333333334
30000136,4.4,6.25,5.2,5.283333333333334
30000137,4.4,7.25,3.0,4.883333333333334
30000138,5.8,7.5,4.0,5.766666666666667
30000139,5.8,8.0,5.4,6.400000000000001
30000140,7.8,9.25,7.8,8.283333333333333
30000141,6.6,7.25,3.8,5.883333333333333
30000142,2.0,5.0,0,2.3333333333333335
30000143,4.6,8.25,5.6,6.1499999999999995
30000144,3.2,6.25,0,3.15
30000145,6.6,6.5,0,4.366666666666666
30000146,6.4,8.75,5.8,6.983333333333333
30000147,6.8,8.75,5.2,6.916666666666667
30000148,4.8,7.5,4.4,5.566666666666667
30000149,4.2,7.75,3.6,5.183333333333333
30000150,8.6,8.25,5.4,7.416666666666667
30000151,6.6,7.0,3.8,5.8
30000152,4.6,6.75,5.6,5.6499999999999995
30000153,5.8,8.0,6.2,6.666666666666667
30000154,6.4,8.25,7.0,7.216666666666666
30000155,6.8,8.5,5.8,7.033333333333334
30000156,4.6,6.25,2.2,4.3500000000000005
30000157,4.8,7.5,5.6,5.966666666666666
30000158,5.4,7.0,4.2,5.533333333333334
30000159,2.0,5.0,0,2.3333333333333335
30000160,5.4,7.0,0,4.133333333333334
30000161,3.4,5.5,3.4,4.1000000000000005
30000162,2.4,3.5,0,1.9666666666666668
30000163,4.2,7.25,0,3.8166666666666664
30000164,8.2,8.5,5.8,7.5
30000165,3.4,7.75,8.2,6.45
30000166,4.0,6.75,3.6,4.783333333333333
30000167,7.2,8.0,7.6,7.599999999999999
30000168,4.4,6.75,0,3.716666666666667
30000169,8.6,8.5,8.4,8.5
30000170,7.2,7.75,7.2,7.383333333333333
30000171,7.6,8.0,6.4,7.333333333333333
30000172,3.8,6.0,0,3.266666666666667
30000173,4.6,6.75,4.4,5.25
30000174,8.0,8.25,5.4,7.216666666666666
30000175,9.2,8.0,4.6,7.266666666666666
30000176,5.4,7.75,2.6,5.25
30000177,7.2,6.75,7.0,6.983333333333333
30000178,4.4,8.0,4.4,5.6000000000000005
30000179,7.2,5.75,4.4,5.783333333333334
30000180,6.4,6.75,0,4.383333333333334
30000181,3.6,6.75,0,3.4499999999999997
30000182,4.4,8.0,4.4,5.6000000000000005
30000183,7.2,7.5,7.4,7.366666666666667
30000184,8.2,6.75,5.4,6.783333333333334
30000185,7.6,7.75,5.0,6.783333333333334
30000186,6.8,7.5,3.2,5.833333333333333
30000187,7.8,8.25,5.6,7.216666666666666
30000188,8.0,9.25,5.0,7.416666666666667
30000189,7.6,8.5,5.0,7.033333333333334
30000190,5.0,8.0,4.4,5.8
30000191,5.8,8.5,7.4,7.233333333333334
30000192,5.0,8.0,4.6,5.866666666666667
30000193,6.0,7.75,4.6,6.116666666666667
30000194,3.2,7.25,0,3.483333333333333
30000195,2.6,8.25,3.8,4.883333333333333
30000196,7.4,9.5,8.6,8.5
30000197,5.6,8.5,4.2,6.1000000000000005
30000198,6.8,6.0,4.2,5.666666666666667
30000199,5.6,8.25,5.6,6.483333333333333
30000200,6.6,8.75,4.6,6.6499999999999995
30000201,6.6,8.0,5.2,6.6000000000000005
30000202,7.8,9.5,7.0,8.1
30000203,8.2,8.5,6.0,7.566666666666666
30000204,7.2,8.5,8.2,7.966666666666666
30000205,7.6,9.0,5.6,7.400000000000001
30000206,7.2,9.25,6.6,7.683333333333333
30000207,3.4,5.75,0,3.0500000000000003
30000208,7.4,8.0,7.6,7.666666666666667
30000209,7.2,6.5,0,4.566666666666666
30000210,2.2,4.5,0,2.2333333333333334
30000211,3.4,7.25,3.2,4.616666666666667
30000212,6.2,8.0,5.4,6.533333333333334
30000213,6.6,8.0,3.4,6.0
30000214,7.6,9.25,9.2,8.683333333333334
30000215,7.2,8.25,4.8,6.75
30000216,5.6,8.0,6.2,6.6000000000000005
30000217,4.8,7.25,3.8,5.283333333333334
30000218,3.8,7.0,0,3.6
30000219,3.2,7.25,3.4,4.616666666666666
30000220,8.0,7.75,6.2,7.316666666666666
30000221,5.2,8.0,4.2,5.8
30000222,5.0,8.25,5.2,6.1499999999999995
30000223,7.2,8.5,5.8,7.166666666666667
30000224,8.6,7.5,5.4,7.166666666666667
30000225,7.4,8.75,5.8,7.316666666666666
30000226,7.8,9.0,5.8,7.533333333333334
30000227,2.2,6.75,0,2.983333333333333
30000228,7.4,8.5,9.0,8.299999999999999
30000229,8.4,8.5,7.0,7.966666666666666
30000230,3.8,5.75,0,3.1833333333333336
30000231,5.4,8.5,3.6,5.833333333333333
30000232,5.2,8.5,4.6,6.099999999999999
30000233,4.8,8.25,6.0,6.3500000000000005
30000234,8.0,8.75,5.0,7.25
30000235,7.0,9.0,7.2,7.733333333333333
30000236,6.6,8.25,5.2,6.683333333333334
30000237,8.0,8.5,4.8,7.1000000000000005
30000238,5.6,7.75,5.4,6.25
30000239,5.2,7.75,5.2,6.05
30000240,5.4,8.25,7.0,6.883333333333333
30000241,5.2,9.5,5.8,6.833333333333333
30000242,8.2,8.5,5.2,7.3
30000243,5.0,6.0,0,3.6666666666666665
