SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
27000001,5.6,6.0,2.2,4.6000000000000005
27000002,6.2,9.25,3.6,6.3500000000000005
27000003,5.8,8.0,3.0,5.6000000000000005
27000004,6.6,7.75,4.2,6.183333333333334
27000005,5.6,8.75,7.0,7.116666666666667
27000006,5.6,8.25,5.6,6.483333333333333
27000007,5.8,9.0,4.2,6.333333333333333
27000008,7.4,8.75,7.4,7.849999999999999
27000009,6.2,7.25,4.2,5.883333333333333
27000010,5.0,7.75,3.4,5.383333333333333
27000011,3.6,8.25,4.0,5.283333333333333
27000012,7.0,8.0,4.4,6.466666666666666
27000013,5.6,7.75,4.6,5.983333333333333
27000014,4.4,6.25,3.6,4.75
27000015,7.2,8.5,4.0,6.566666666666666
27000016,5.0,8.5,5.0,6.166666666666667
27000017,5.8,8.75,4.6,6.383333333333333
27000018,5.0,7.5,4.4,5.633333333333333
27000019,5.6,8.75,4.6,6.316666666666666
27000020,6.2,8.5,5.2,6.633333333333333
27000021,6.6,9.0,6.0,7.2
27000022,6.2,7.75,5.6,6.516666666666666
27000023,7.2,8.0,4.2,6.466666666666666
27000024,6.2,8.0,5.2,6.466666666666666
27000025,8.6,9.25,6.8,8.216666666666667
27000026,3.6,8.0,3.6,5.066666666666666
27000027,8.8,8.25,4.6,7.216666666666666
27000028,7.8,9.75,9.8,9.116666666666667
27000029,6.4,9.0,4.6,6.666666666666667
27000030,6.4,7.0,4.8,6.066666666666666
27000031,5.6,9.25,5.6,6.816666666666666
27000032,4.6,7.25,3.8,5.216666666666666
27000033,6.4,9.0,4.2,6.533333333333334
27000034,8.0,7.5,4.0,6.5
27000035,4.8,8.75,3.6,5.716666666666668
27000036,4.4,9.5,5.6,6.5
27000037,6.8,8.0,4.6,6.466666666666666
27000038,6.6,8.75,5.8,7.05
27000039,2.6,7.5,4.2,4.766666666666667
27000040,4.6,6.5,3.6,4.8999999999999995
27000041,4.6,7.5,4.2,5.433333333333334
27000042,7.0,8.5,3.8,6.433333333333334
27000043,7.0,9.0,5.2,7.066666666666666
27000044,5.2,8.75,5.2,6.383333333333333
27000045,8.8,7.5,6.6,7.633333333333333
27000046,8.0,8.75,4.8,7.183333333333334
27000047,5.0,8.75,2.8,5.516666666666667
27000048,6.4,8.5,5.0,6.633333333333333
27000049,4.6,6.75,3.8,5.05
27000050,8.0,9.25,6.4,7.883333333333333
27000051,4.4,8.0,4.6,5.666666666666667
27000052,6.2,8.5,5.6,6.766666666666666
27000053,5.2,7.0,3.8,5.333333333333333
27000054,6.4,8.5,4.2,6.366666666666667
27000055,7.4,9.0,4.4,6.933333333333333
27000056,5.8,7.75,3.6,5.716666666666668
27000057,8.8,9.5,9.0,9.1
27000058,8.0,8.75,4.0,6.916666666666667
27000059,4.6,8.0,4.6,5.733333333333333
27000060,8.2,7.5,6.8,7.5
27000061,7.0,7.5,5.0,6.5
27000062,7.8,7.75,7.6,7.716666666666666
27000063,5.4,7.0,4.6,5.666666666666667
27000064,7.2,8.0,6.6,7.266666666666666
27000065,4.4,6.0,3.0,4.466666666666667
