Địa phương,Năm,Giá trị
Lạng Sơn,2018,5.488299418604651
TP. Cần Thơ,2018,4.813571675302246
Hà Nội,2018,5.887337337337337
Hải Phòng,2018,4.8867534200867535
TP. Hồ Chí Minh,2018,6.1029401346085725
Đà Nẵng,2018,4.884772818657016
An Giang,2018,5.652772211088845
Bà Rịa - Vũng Tàu,2018,5.554105211406096
Bình Dương,2018,5.743216666666667
Bình Phước,2018,4.539033333333333
Bình Thuận,2018,5.5637464080459775
Bình Định,2018,5.482698730794922
Bạc Liêu,2018,5.364063260340633
Bắc Giang,2018,4.629478327579593
Bắc Kạn,2018,4.213515312916112
Bắc Ninh,2018,6.009680134680135
Bến Tre,2018,5.638461862621155
Cao Bằng,2018,4.48804143126177
Cà Mau,2018,4.631263858093126
Gia Lai,2018,5.19562
Hà Giang,2018,4.382693798449612
Hà Nam,2018,5.816686413902053
Hà Tĩnh,2018,4.827647058823529
Thái Bình,2018,5.194283333333333
Hưng Yên,2018,4.833369022127052
Hải Dương,2018,5.035739030023095
Hậu Giang,2018,4.691252242554718
Khánh Hòa,2018,4.751152794060179
Kiên Giang,2018,4.2749443846429855
Kon Tum,2018,5.45061
Lai Châu,2018,4.4068627450980395
Long An,2018,4.647407407407407
Lào Cai,2018,4.515511204481792
Lâm Đồng,2018,5.3106632996633
Nam Định,2018,6.420334022038567
Nghệ An,2018,4.733901054339011
Ninh Bình,2018,4.933058823529413
Ninh Thuận,2018,4.831748415081749
Phú Thọ,2018,6.057704402515723
Phú Yên,2018,4.43345011678345
Quảng Bình,2018,4.370982304080895
Quảng Nam,2018,4.503416750083416
Quảng Ngãi,2018,4.772659932659932
Quảng Ninh,2018,4.193883610451306
Quảng Trị,2018,4.681811432813661
Sóc Trăng,2018,5.325909428359317
Sơn La,2018,3.7431984260820688
Thanh Hóa,2018,5.378919330289193
Thái Bình,2018,5.911802413273001
Thái Nguyên,2018,4.8841178721775735
Thừa Thiên - Huế,2018,4.335906491759165
Tiền Giang,2018,4.91086086086086
Trà Vinh,2018,4.411400911161731
Tuyên Quang,2018,5.320348139255701
Tây Ninh,2018,5.20525
Vĩnh Long,2018,5.106301020408163
Vĩnh Phúc,2018,4.389852280025691
Yên Bái,2018,5.036833333333334
Điện Biên,2018,5.196774193548387
Đắk Lắk,2018,4.346243386243387
Đắk Nông,2018,4.774040150564617
Đồng Nai,2018,5.427394247038917
Đồng Tháp,2018,5.1328355647099215
Lạng Sơn,2019,5.642574525745258
TP. Cần Thơ,2019,5.382816212438854
Hà Nội,2019,6.451248185776487
Hải Phòng,2019,5.6584512578616355
TP. Hồ Chí Minh,2019,6.367907444668008
Đà Nẵng,2019,5.093550000000001
An Giang,2019,6.191069182389937
Bà Rịa - Vũng Tàu,2019,6.472946859903382
Bình Dương,2019,6.249411500449236
Bình Phước,2019,5.247618567103935
Bình Thuận,2019,5.898866310160428
Bình Định,2019,6.008462199312714
Bạc Liêu,2019,6.050452155625658
Bắc Giang,2019,4.750193470374849
Bắc Kạn,2019,4.3484727584727585
Bắc Ninh,2019,6.032056362835755
Bến Tre,2019,5.506224944320713
Cao Bằng,2019,4.5758983050847455
Cà Mau,2019,5.035920221169036
Gia Lai,2019,4.770393518518519
Hà Giang,2019,4.215383204987165
Hà Nam,2019,6.607450505050506
Hà Tĩnh,2019,5.230341777241656
Thái Bình,2019,6.247549019607843
Hưng Yên,2019,5.052832751261156
Hải Dương,2019,5.560580836108028
Hậu Giang,2019,4.601301919720768
Khánh Hòa,2019,5.174335329341317
Kiên Giang,2019,4.754119677790563
Kon Tum,2019,5.399678899082569
Lai Châu,2019,4.975033200531208
Long An,2019,4.877964539007093
Lào Cai,2019,4.935023956194387
Lâm Đồng,2019,6.054172661870504
Nam Định,2019,6.942959607399018
Nghệ An,2019,5.354555052790347
Ninh Bình,2019,5.350556217719507
Ninh Thuận,2019,4.797062146892655
Phú Thọ,2019,6.455052083333333
Phú Yên,2019,4.6726559893226565
Quảng Bình,2019,4.220165945165945
Quảng Nam,2019,4.7963233333333335
Quảng Ngãi,2019,5.199520743919885
Quảng Ninh,2019,3.9373025276461298
Quảng Trị,2019,5.026118827160494
Sóc Trăng,2019,5.991467844869907
Sơn La,2019,3.690686026936027
Thanh Hóa,2019,6.291275831087153
Thái Bình,2019,6.485261707988981
Thái Nguyên,2019,5.112526766595289
Thừa Thiên - Huế,2019,4.941809999999999
Tiền Giang,2019,5.185467601870407
Trà Vinh,2019,4.928545732874091
Tuyên Quang,2019,5.5354602510460245
Tây Ninh,2019,5.365373711340207
Vĩnh Long,2019,5.5769475465313025
Vĩnh Phúc,2019,6.962941176470588
Yên Bái,2019,5.832678311499272
Điện Biên,2019,5.580343007915567
Đắk Lắk,2019,4.347013031550069
Đắk Nông,2019,4.988107752956636
Đồng Nai,2019,6.126914414414414
Đồng Tháp,2019,5.454917282646956
Lạng Sơn,2020,6.424081541218638
TP. Cần Thơ,2020,6.2254517453798766
Hà Nội,2020,7.150718208702999
Hải Phòng,2020,6.432545045045045
TP. Hồ Chí Minh,2020,7.039198524480215
Đà Nẵng,2020,6.2462333333333335
An Giang,2020,7.18069464544139
Bà Rịa - Vũng Tàu,2020,7.202553191489361
Bình Dương,2020,6.954333753678016
Bình Phước,2020,6.036131013306038
Bình Thuận,2020,6.706072714182865
Bình Định,2020,6.665889924545052
Bạc Liêu,2020,6.41368520620507
Bắc Giang,2020,5.311924939467312
Bắc Kạn,2020,4.902723880597015
Bắc Ninh,2020,7.314059196617335
Bến Tre,2020,6.013115370161593
Cao Bằng,2020,5.24631006006006
Cà Mau,2020,5.9098098098098095
Gia Lai,2020,7.364522546419098
Hà Giang,2020,5.221484071484071
Hà Nam,2020,7.196732026143791
Hà Tĩnh,2020,5.970959655307482
Thái Bình,2020,6.039007891770011
Hưng Yên,2020,6.526799356654604
Hải Dương,2020,6.341400304414003
Hậu Giang,2020,5.48377211606511
Khánh Hòa,2020,5.895122549019608
Kiên Giang,2020,5.402222222222222
Kon Tum,2020,6.596165664662658
Lai Châu,2020,5.691194968553459
Long An,2020,5.827070382279387
Lào Cai,2020,5.539282744282744
Lâm Đồng,2020,6.7861583236321295
Nam Định,2020,7.738905930470348
Nghệ An,2020,6.15038374717833
Ninh Bình,2020,6.2928515928515925
Ninh Thuận,2020,5.646489104116223
Phú Thọ,2020,7.265860540104796
Phú Yên,2020,5.621359385437541
Quảng Bình,2020,5.018444683908046
Quảng Nam,2020,5.8715953307393
Quảng Ngãi,2020,5.977115987460816
Quảng Ninh,2020,4.70292261132728
Quảng Trị,2020,5.684709480122325
Sóc Trăng,2020,7.024940402794903
Sơn La,2020,4.832567449956485
Thanh Hóa,2020,7.120195797516714
Thái Bình,2020,7.308893461362597
Thái Nguyên,2020,6.632017543859649
Thừa Thiên - Huế,2020,5.852023333333334
Tiền Giang,2020,6.232426666666666
Trà Vinh,2020,5.632367709540364
Tuyên Quang,2020,6.741237281237281
Tây Ninh,2020,6.396023166023166
Vĩnh Long,2020,6.487096354166667
Vĩnh Phúc,2020,7.704829931972788
Yên Bái,2020,6.851576576576577
Điện Biên,2020,6.016815856777493
Đắk Lắk,2020,5.042314425770307
Đắk Nông,2020,5.768652668416448
Đồng Nai,2020,6.398641831587117
Đồng Tháp,2020,6.246908846283215
Lạng Sơn,2021,7.269029075804777
TP. Cần Thơ,2021,6.297488820089439
Hà Nội,2021,7.723074935400517
Hải Phòng,2021,6.5743062520896025
TP. Hồ Chí Minh,2021,7.643858751279427
Đà Nẵng,2021,6.270970970970971
An Giang,2021,7.412618464052287
Bà Rịa - Vũng Tàu,2021,7.160708969839405
Bình Dương,2021,7.32768752774079
Bình Phước,2021,6.325713326619671
Bình Thuận,2021,7.142412378821776
Bình Định,2021,6.767426900584796
Bạc Liêu,2021,6.562586460632818
Bắc Giang,2021,5.853915275994865
Bắc Kạn,2021,5.675485564304461
Bắc Ninh,2021,8.081555555555555
Bến Tre,2021,6.389036608863198
Cao Bằng,2021,5.801083238312429
Cà Mau,2021,5.888718718718718
Gia Lai,2021,7.603914988814318
Hà Giang,2021,5.680538429921906
Hà Nam,2021,8.283732057416268
Hà Tĩnh,2021,6.5514302741358765
Thái Bình,2021,5.546291759465478
Hưng Yên,2021,7.223044524669074
Hải Dương,2021,7.059063088512241
Hậu Giang,2021,5.6222149362477225
Khánh Hòa,2021,6.225983313468415
Kiên Giang,2021,5.592835523695738
Kon Tum,2021,6.972062950322336
Lai Châu,2021,6.073888888888889
Long An,2021,6.256363636363637
Lào Cai,2021,6.046529433008306
Lâm Đồng,2021,7.168266129032258
Nam Định,2021,7.899321804001356
Nghệ An,2021,7.954773333333333
Ninh Bình,2021,6.655632040050063
Ninh Thuận,2021,5.667633333333333
Phú Thọ,2021,7.948109567901235
Phú Yên,2021,5.659744897959183
Quảng Bình,2021,5.410118425635666
Quảng Nam,2021,5.8151469605878425
Quảng Ngãi,2021,6.9709105304829775
Quảng Ninh,2021,5.446940104166667
Quảng Trị,2021,5.848351383874849
Sóc Trăng,2021,7.650883797054011
Sơn La,2021,5.888728070175438
Thanh Hóa,2021,7.855885885885885
Thái Bình,2021,7.726937441643323
Thái Nguyên,2021,7.306611776447106
Thừa Thiên - Huế,2021,6.023466933867735
Tiền Giang,2021,6.564774774774775
Trà Vinh,2021,5.675402930402931
Tuyên Quang,2021,7.307567359507313
Tây Ninh,2021,6.738973084886128
Vĩnh Long,2021,6.940245098039216
Vĩnh Phúc,2021,8.234912967798085
Yên Bái,2021,8.13480459770115
Điện Biên,2021,6.412132204756148
Đắk Lắk,2021,5.419045102184637
Đắk Nông,2021,5.930736093684652
Đồng Nai,2021,7.907892293407614
Đồng Tháp,2021,6.498021857923497
Lạng Sơn,2022,6.950930115635999
TP. Cần Thơ,2022,5.9312092862092864
Hà Nội,2022,7.297702312138728
Hải Phòng,2022,6.8485632183908045
TP. Hồ Chí Minh,2022,7.291548500881835
Đà Nẵng,2022,6.027251104315325
An Giang,2022,7.102874999999999
Bà Rịa - Vũng Tàu,2022,6.715089501693275
Bình Dương,2022,7.265980837115481
Bình Phước,2022,5.883183183183182
Bình Thuận,2022,6.914145390070922
Bình Định,2022,6.699659455128205
Bạc Liêu,2022,6.557544338335608
Bắc Giang,2022,5.62211464968153
Bắc Kạn,2022,5.42989417989418
Bắc Ninh,2022,7.930059212817834
Bến Tre,2022,5.868936092955701
Cao Bằng,2022,5.306257110352673
Cà Mau,2022,5.886071547977266
Gia Lai,2022,5.71140061791967
Hà Giang,2022,5.299501342539317
Hà Nam,2022,7.507881990312638
Hà Tĩnh,2022,6.583092422251423
Thái Bình,2022,6.9227764423076925
Hưng Yên,2022,6.7171768707482995
Hải Dương,2022,6.689591567852437
Hậu Giang,2022,5.374343991179713
Khánh Hòa,2022,5.85731007751938
Kiên Giang,2022,5.286666666666667
Kon Tum,2022,6.363956670467503
Lai Châu,2022,5.498204814361484
Long An,2022,5.814421215640729
Lào Cai,2022,5.809430468204053
Lâm Đồng,2022,6.981598317560462
Nam Định,2022,7.938851351351352
Nghệ An,2022,7.126423892100193
Ninh Bình,2022,6.567931456548347
Ninh Thuận,2022,5.466788321167884
Phú Thọ,2022,7.548513568246253
Phú Yên,2022,5.196860149355058
Quảng Bình,2022,5.260130718954248
Quảng Nam,2022,5.58857
Quảng Ngãi,2022,5.945971757710888
Quảng Ninh,2022,5.380962199312714
Quảng Trị,2022,5.710701981050818
Sóc Trăng,2022,7.125407636738906
Sơn La,2022,5.467055344317701
Thanh Hóa,2022,7.4910025706940875
Thái Bình,2022,7.448182283666155
Thái Nguyên,2022,6.911458333333332
Thừa Thiên - Huế,2022,5.699739999999999
Tiền Giang,2022,6.274006666666666
Trà Vinh,2022,5.277130939426914
Tuyên Quang,2022,7.058935024990389
Tây Ninh,2022,6.375718157181572
Vĩnh Long,2022,6.3577423167848695
Vĩnh Phúc,2022,7.998603723404257
Yên Bái,2022,7.6065625
Điện Biên,2022,5.6985490645284465
Đắk Lắk,2022,5.059539866526169
Đắk Nông,2022,5.6786999603646455
Đồng Nai,2022,6.279904875148632
Đồng Tháp,2022,6.153639490884073
