SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
1000019,4.8,5.75,4.8,5.116666666666667,5.116666666666667
1000020,6.8,8.25,7.0,7.35,7.3500000000000005
1000021,5.6,8.0,6.4,6.666666666666667,6.666666666666667
1000022,6.0,6.5,9.4,7.3,7.3
1000023,4.8,6.75,7.8,6.45,6.45
1000024,6.2,7.0,7.4,6.866666666666667,6.866666666666667
1000025,3.4,7.0,5.4,5.266666666666667,5.266666666666667
1000026,6.4,7.25,4.2,5.95,5.95
1000027,6.2,7.5,7.6,7.099999999999999,7.099999999999999
1000028,3.0,5.25,5.0,4.416666666666667,4.416666666666667
1000029,5.4,5.0,8.0,6.133333333333333,6.133333333333333
1000030,6.6,6.5,8.2,7.099999999999999,7.099999999999999
1000031,5.0,5.5,6.0,5.5,5.5
1000032,5.2,5.75,5.6,5.516666666666666,5.516666666666666
1000033,7.6,8.25,7.0,7.616666666666667,7.616666666666667
1000034,6.2,6.25,9.2,7.216666666666666,7.216666666666666
1000035,6.4,7.25,6.6,6.75,6.75
1000036,6.2,7.0,7.6,6.933333333333333,6.933333333333333
1000037,2.8,7.0,4.2,4.666666666666667,4.666666666666667
1000038,4.0,6.5,4.8,5.1000000000000005,5.1000000000000005
1000039,4.6,6.0,5.0,5.2,5.2
1000040,4.4,3.25,4.6,4.083333333333333,4.083333333333333
1000041,5.0,7.75,6.0,6.25,6.25
1000042,4.8,6.5,3.4,4.9,4.9
1000043,5.0,4.5,4.4,4.633333333333334,4.633333333333334
1000044,6.4,7.0,8.4,7.266666666666667,7.266666666666667
1000045,6.2,6.5,8.6,7.099999999999999,7.099999999999999
1000046,7.4,7.75,6.2,7.116666666666667,7.116666666666667
1000047,5.4,7.75,6.4,6.516666666666667,6.516666666666667
1000048,5.4,6.75,4.8,5.65,5.6499999999999995
1000049,5.8,6.25,8.4,6.816666666666667,6.816666666666667
1000050,6.2,6.75,6.0,6.316666666666666,6.316666666666666
1000051,4.4,6.25,5.0,5.216666666666667,5.216666666666667
1000052,5.6,6.25,3.4,5.083333333333333,5.083333333333333
1000053,6.2,7.75,5.6,6.516666666666666,6.516666666666666
1000054,5.2,7.0,3.6,5.266666666666667,5.266666666666667
