SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
51000001,6.4,7.25,6.2,6.616666666666667,6.616666666666667
51000002,5.4,7.25,4.4,5.683333333333334,5.683333333333334
51000003,5.2,7.25,5.0,5.816666666666666,5.816666666666666
51000004,4.6,6.0,2.0,4.2,4.2
51000005,5.6,5.75,4.4,5.25,5.25
51000006,4.4,5.5,3.2,4.366666666666667,4.366666666666667
51000007,7.4,5.5,5.8,6.233333333333333,6.233333333333333
51000008,7.6,8.25,7.4,7.75,7.75
51000009,5.0,4.75,4.0,4.583333333333333,4.583333333333333
51000010,7.8,5.75,3.0,5.516666666666667,5.516666666666667
51000011,5.2,8.0,7.0,6.733333333333333,6.733333333333333
51000012,5.8,7.25,5.4,6.150000000000001,6.150000000000001
51000013,4.6,8.0,5.8,6.133333333333333,6.133333333333333
51000014,6.8,5.75,3.8,5.45,5.45
51000015,4.8,7.0,3.4,5.066666666666667,5.066666666666667
51000016,6.0,5.0,5.0,5.333333333333333,5.333333333333333
51000017,4.6,7.0,4.0,5.2,5.2
51000018,7.4,8.5,5.0,6.966666666666666,6.966666666666666
51000019,6.2,6.0,5.2,5.8,5.8
51000020,6.4,8.0,4.4,6.266666666666667,6.266666666666667
51000021,5.4,6.58,5.6,5.859999999999999,5.859999999999999
51000022,3.0,4.25,3.2,3.483333333333333,3.483333333333333
51000023,4.2,6.75,5.2,5.383333333333333,5.383333333333333
51000024,4.2,7.5,5.0,5.566666666666666,5.566666666666666
51000025,5.2,6.0,6.0,5.733333333333333,5.733333333333333
51000026,4.8,9.25,5.2,6.416666666666667,6.416666666666667
51000027,4.4,7.75,4.6,5.583333333333333,5.583333333333333
51000028,6.6,7.5,6.8,6.966666666666666,6.966666666666666
51000029,6.0,6.75,4.0,5.583333333333333,5.583333333333333
51000030,6.0,6.25,5.6,5.95,5.95
51000031,5.4,4.75,4.2,4.783333333333334,4.783333333333334
51000032,6.0,6.5,4.8,5.766666666666667,5.766666666666667
51000033,6.0,6.0,5.6,5.866666666666667,5.866666666666667
51000034,6.8,5.75,8.0,6.8500000000000005,6.8500000000000005
51000035,5.0,8.75,4.2,5.983333333333333,5.983333333333333
51000036,6.0,7.25,5.4,6.216666666666666,6.216666666666666
51000037,5.2,5.0,6.4,5.533333333333334,5.533333333333334
51000038,5.0,6.25,3.8,5.016666666666667,5.016666666666667
51000039,3.6,5.5,3.8,4.3,4.3
51000040,3.8,5.5,3.0,4.1000000000000005,4.1000000000000005
51000041,6.2,7.25,6.0,6.483333333333333,6.483333333333333
51000042,4.8,6.75,4.0,5.183333333333334,5.183333333333334
51000043,5.4,7.25,4.8,5.816666666666666,5.816666666666666
51000044,6.4,5.0,3.8,5.066666666666666,5.066666666666666
51000045,5.0,6.0,4.2,5.066666666666666,5.066666666666666
51000046,3.6,4.25,3.4,3.75,3.75
51000047,3.2,6.25,3.6,4.35,4.35
51000048,4.8,5.0,3.6,4.466666666666667,4.466666666666667
51000049,6.0,6.75,3.4,5.383333333333333,5.383333333333333
51000050,6.6,4.25,4.6,5.15,5.1499999999999995
51000051,4.8,5.0,5.0,4.933333333333334,4.933333333333334
51000052,6.2,7.25,4.2,5.883333333333333,5.883333333333333
51000053,5.8,7.25,5.6,6.216666666666666,6.216666666666666
51000054,6.8,5.5,4.0,5.433333333333334,5.433333333333334
51000055,6.6,6.25,5.0,5.95,5.95
51000056,4.2,7.75,2.8,4.916666666666667,4.916666666666667
51000057,2.4,4.25,1.8,2.816666666666667,2.816666666666667
51000058,5.2,5.0,5.8,5.333333333333333,5.333333333333333
51000059,4.4,5.25,2.6,4.083333333333333,4.083333333333333
51000060,3.2,5.25,3.4,3.95,3.9499999999999997
51000061,5.4,7.5,3.6,5.5,5.5
51000062,6.2,7.5,7.2,6.966666666666666,6.966666666666666
51000063,6.4,6.25,3.6,5.416666666666667,5.416666666666667
51000064,4.8,8.5,4.4,5.900000000000001,5.900000000000001
51000065,4.8,7.25,6.2,6.083333333333333,6.083333333333333
51000066,5.0,6.75,3.2,4.983333333333333,4.983333333333333
51000067,4.4,5.75,6.0,5.383333333333333,5.383333333333333
