SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
30000001,4.8,7.75,6.4,6.316666666666667,6.316666666666667
30000002,6.4,6.75,4.0,5.716666666666666,5.716666666666666
30000004,4.6,6.25,2.4,4.416666666666667,4.416666666666667
30000006,1.6,6.75,2.6,3.65,3.65
30000007,3.4,5.75,1.8,3.65,3.6500000000000004
30000008,5.8,7.0,2.6,5.133333333333334,5.133333333333334
30000010,6.8,7.25,3.6,5.883333333333334,5.883333333333334
30000012,5.0,7.75,4.4,5.716666666666666,5.716666666666666
30000013,6.4,8.0,6.4,6.933333333333334,6.933333333333334
30000014,4.6,6.5,3.8,4.966666666666666,4.966666666666666
30000016,3.8,5.5,3.4,4.233333333333333,4.233333333333333
30000017,6.2,8.5,7.8,7.5,7.5
30000018,5.8,8.5,3.8,6.033333333333334,6.033333333333334
30000019,4.0,8.0,3.2,5.066666666666666,5.066666666666666
30000020,7.4,8.0,8.4,7.933333333333334,7.933333333333334
30000021,5.6,8.0,4.2,5.933333333333334,5.933333333333334
30000022,5.0,5.5,3.4,4.633333333333334,4.633333333333334
30000024,2.4,7.5,4.0,4.633333333333334,4.633333333333334
30000025,2.0,8.0,5.4,5.133333333333334,5.133333333333334
30000026,3.8,5.25,2.8,3.9500000000000006,3.9500000000000006
30000027,1.6,5.0,3.4,3.333333333333333,3.3333333333333335
30000032,4.6,5.75,3.6,4.65,4.6499999999999995
30000033,6.8,5.5,2.2,4.833333333333333,4.833333333333333
30000034,3.0,8.75,3.8,5.183333333333334,5.183333333333334
30000035,7.4,6.5,7.2,7.033333333333334,7.033333333333334
30000036,4.2,6.0,2.8,4.333333333333333,4.333333333333333
30000037,2.8,6.0,2.6,3.8,3.8000000000000003
30000038,6.4,8.0,3.6,6.0,6.0
30000039,3.2,5.5,2.8,3.8333333333333335,3.8333333333333335
30000040,5.2,5.75,3.6,4.85,4.85
30000041,7.4,7.0,4.0,6.133333333333333,6.133333333333333
30000042,5.2,8.0,3.8,5.666666666666667,5.666666666666667
30000043,3.4,5.25,2.8,3.8166666666666655,3.8166666666666664
30000044,3.6,6.75,2.4,4.25,4.25
30000045,6.4,5.25,2.4,4.683333333333334,4.683333333333334
30000046,4.6,5.25,1.6,3.8166666666666655,3.8166666666666664
30000047,4.0,5.5,3.6,4.366666666666666,4.366666666666666
30000048,6.4,6.75,1.8,4.983333333333333,4.983333333333333
30000050,5.6,8.5,2.6,5.566666666666666,5.566666666666666
30000051,7.6,7.0,3.6,6.066666666666666,6.066666666666666
30000054,6.4,9.0,6.6,7.333333333333333,7.333333333333333
30000055,5.0,7.0,5.4,5.8,5.8
30000056,7.4,8.0,7.6,7.666666666666667,7.666666666666667
30000057,3.0,6.75,2.4,4.05,4.05
30000058,4.0,4.75,2.2,3.65,3.65
30000059,5.2,7.25,2.8,5.083333333333333,5.083333333333333
30000060,4.4,5.5,3.2,4.366666666666667,4.366666666666667
30000061,5.6,7.0,3.6,5.4,5.3999999999999995
30000062,4.0,9.0,9.2,7.399999999999999,7.3999999999999995
30000063,5.4,7.0,3.2,5.2,5.2
30000065,6.4,6.0,3.4,5.266666666666667,5.266666666666667
30000066,3.4,6.0,2.4,3.9333333333333336,3.9333333333333336
30000067,6.4,6.25,3.4,5.3500000000000005,5.3500000000000005
30000069,3.8,4.5,3.6,3.966666666666667,3.966666666666667
30000070,4.2,6.5,2.8,4.5,4.5
30000071,3.4,5.5,3.2,4.033333333333334,4.033333333333334
30000072,3.0,7.0,2.8,4.266666666666667,4.266666666666667
30000073,3.6,6.0,2.4,4.0,4.0
30000074,4.2,7.25,4.4,5.283333333333333,5.283333333333333
30000075,5.4,8.0,8.0,7.133333333333333,7.133333333333333
30000076,5.2,8.5,3.4,5.699999999999999,5.699999999999999
30000077,6.4,7.25,4.4,6.016666666666667,6.016666666666667
30000079,4.4,7.25,5.0,5.55,5.55
30000080,2.6,2.75,2.0,2.45,2.4499999999999997
30000081,5.2,6.5,3.8,5.166666666666667,5.166666666666667
30000082,6.0,6.5,3.4,5.3,5.3
30000083,6.4,6.5,4.0,5.633333333333333,5.633333333333333
30000084,5.6,7.0,3.0,5.2,5.2
30000085,3.0,6.5,1.2,3.5666666666666664,3.5666666666666664
30000086,5.2,9.25,5.0,6.483333333333333,6.483333333333333
30000087,4.4,7.75,2.8,4.983333333333333,4.983333333333333
30000088,4.0,5.75,3.6,4.45,4.45
