SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
41000001,4.8,4.25,3.2,4.083333333333333,4.083333333333333
41000002,6.2,3.75,4.2,4.716666666666666,4.716666666666666
41000003,3.0,2.75,2.2,2.65,2.65
41000004,4.2,6.75,3.2,4.716666666666666,4.716666666666666
41000005,6.6,6.5,3.8,5.633333333333333,5.633333333333333
41000006,2.0,4.5,2.6,3.033333333333333,3.033333333333333
41000007,2.6,3.0,2.6,2.733333333333333,2.733333333333333
41000008,2.2,4.0,2.4,2.8666666666666667,2.8666666666666667
41000009,5.2,3.5,3.4,4.033333333333333,4.033333333333333
41000010,3.2,1.75,2.2,2.3833333333333333,2.3833333333333333
41000011,3.0,6.25,2.2,3.8166666666666655,3.8166666666666664
41000012,2.6,5.5,3.2,3.766666666666667,3.766666666666667
41000013,3.2,5.25,3.2,3.883333333333333,3.883333333333333
41000014,3.6,2.5,1.4,2.5,2.5
41000015,2.8,3.25,2.2,2.75,2.75
41000016,4.8,6.25,4.0,5.016666666666667,5.016666666666667
41000017,4.6,6.0,4.0,4.866666666666666,4.866666666666666
41000018,3.6,4.5,2.8,3.633333333333333,3.633333333333333
41000020,3.0,3.75,1.6,2.783333333333333,2.783333333333333
41000021,4.4,4.25,2.6,3.75,3.75
41000023,3.8,3.25,2.8,3.283333333333333,3.283333333333333
41000024,2.8,5.0,3.4,3.733333333333333,3.733333333333333
41000025,2.4,2.75,1.6,2.25,2.25
41000027,3.4,3.0,2.2,2.866666666666667,2.866666666666667
41000028,6.4,8.25,4.4,6.3500000000000005,6.3500000000000005
41000029,3.8,7.25,4.0,5.016666666666667,5.016666666666667
41000030,5.4,5.75,3.0,4.716666666666667,4.716666666666667
41000031,3.0,3.5,2.2,2.9,2.9
41000032,2.6,7.75,1.6,3.983333333333333,3.983333333333333
41000033,2.4,3.0,2.2,2.5333333333333337,2.5333333333333337
41000034,4.4,7.0,2.4,4.6000000000000005,4.6000000000000005
41000035,3.0,3.5,3.6,3.3666666666666667,3.3666666666666667
41000036,5.2,6.75,2.6,4.85,4.85
41000037,4.8,4.5,4.8,4.7,4.7
41000038,5.2,5.0,3.4,4.533333333333333,4.533333333333333
41000039,3.0,2.25,2.8,2.6833333333333336,2.6833333333333336
41000041,6.2,3.0,3.0,4.066666666666666,4.066666666666666
41000042,3.4,4.25,2.4,3.35,3.35
41000044,3.6,4.25,3.4,3.75,3.75
41000045,5.2,6.0,3.0,4.733333333333333,4.733333333333333
41000046,2.2,5.5,2.4,3.3666666666666667,3.3666666666666667
41000047,3.4,4.5,2.4,3.4333333333333336,3.4333333333333336
41000048,2.4,3.0,1.2,2.2,2.2
41000050,4.6,5.25,3.8,4.55,4.55
41000052,4.8,3.25,2.2,3.4166666666666665,3.4166666666666665
41000053,2.8,2.75,2.0,2.5166666666666666,2.5166666666666666
41000054,2.8,4.0,2.8,3.2,3.1999999999999997
41000055,3.0,5.0,3.0,3.6666666666666665,3.6666666666666665
41000056,2.0,2.5,2.2,2.2333333333333334,2.2333333333333334
41000057,3.0,3.25,2.6,2.95,2.9499999999999997
41000058,2.0,3.25,2.0,2.4166666666666665,2.4166666666666665
41000059,2.8,5.0,2.2,3.333333333333333,3.3333333333333335
41000060,6.8,5.0,2.2,4.666666666666667,4.666666666666667
41000061,3.2,7.0,2.2,4.133333333333333,4.133333333333333
41000062,4.2,6.25,2.0,4.15,4.1499999999999995
41000063,5.4,3.75,3.4,4.183333333333334,4.183333333333334
41000064,5.0,7.75,3.8,5.516666666666667,5.516666666666667
41000065,5.2,7.75,5.8,6.25,6.25
41000066,3.2,4.5,2.8,3.5,3.5
41000067,5.8,5.0,3.6,4.8,4.8
41000068,5.0,6.25,1.6,4.283333333333333,4.283333333333333
41000069,2.4,3.0,3.2,2.866666666666667,2.866666666666667
41000070,1.8,2.25,1.8,1.95,1.95
41000071,2.0,5.25,3.4,3.5500000000000003,3.5500000000000003
41000073,3.0,2.0,3.6,2.8666666666666667,2.8666666666666667
41000074,3.6,6.5,3.0,4.366666666666666,4.366666666666666
41000075,5.6,4.0,2.4,4.0,4.0
41000077,2.2,4.75,3.6,3.516666666666667,3.516666666666667
41000078,4.8,5.0,3.6,4.466666666666667,4.466666666666667
41000079,4.0,6.5,2.0,4.166666666666667,4.166666666666667
41000080,5.2,5.5,2.8,4.5,4.5
41000081,5.4,5.0,2.4,4.266666666666667,4.266666666666667
41000082,4.0,7.0,2.6,4.533333333333333,4.533333333333333
41000083,2.2,4.0,2.6,2.9333333333333336,2.9333333333333336
41000085,3.4,4.0,3.6,3.6666666666666665,3.6666666666666665
41000087,4.2,5.0,2.4,3.8666666666666663,3.8666666666666667
41000088,5.8,8.25,2.8,5.616666666666667,5.616666666666667
41000090,2.4,2.25,2.6,2.4166666666666665,2.4166666666666665
41000091,3.4,6.25,3.4,4.3500000000000005,4.3500000000000005
41000092,3.4,6.0,2.2,3.866666666666667,3.866666666666667
41000093,1.8,6.5,3.2,3.8333333333333335,3.8333333333333335
41000094,4.6,5.5,3.4,4.5,4.5
41000095,3.4,4.0,1.8,3.066666666666667,3.066666666666667
41000096,2.6,6.75,3.2,4.183333333333334,4.183333333333334
41000097,3.6,6.0,1.4,3.6666666666666665,3.6666666666666665
41000098,3.6,3.75,3.2,3.516666666666667,3.516666666666667
41000100,3.0,4.0,2.8,3.266666666666667,3.266666666666667
41000101,2.4,4.0,2.6,3.0,3.0
41000102,6.6,4.5,4.2,5.1000000000000005,5.1000000000000005
41000103,5.8,4.0,2.8,4.2,4.2
41000104,3.6,5.5,3.2,4.1000000000000005,4.1000000000000005
41000105,3.2,2.0,1.4,2.2,2.1999999999999997
41000107,3.4,3.0,2.0,2.8000000000000003,2.8000000000000003
41000108,4.0,4.5,3.6,4.033333333333333,4.033333333333333
41000110,5.0,6.0,3.0,4.666666666666667,4.666666666666667
41000112,2.2,1.5,2.8,2.1666666666666665,2.1666666666666665
41000113,1.0,3.0,3.8,2.6,2.6
41000114,2.4,1.25,3.8,2.483333333333333,2.483333333333333
41000115,3.0,4.0,2.2,3.0666666666666664,3.0666666666666664
41000116,3.6,4.25,2.4,3.4166666666666665,3.4166666666666665
41000117,1.6,3.75,2.2,2.5166666666666666,2.5166666666666666
41000119,2.4,3.75,2.8,2.983333333333333,2.983333333333333
41000120,3.0,7.0,3.2,4.4,4.3999999999999995
41000121,1.8,2.25,2.8,2.283333333333333,2.283333333333333
41000122,6.0,3.75,3.6,4.45,4.45
41000124,2.4,2.25,2.8,2.4833333333333334,2.4833333333333334
41000125,2.2,3.25,3.4,2.95,2.9499999999999997
41000126,3.0,3.5,2.8,3.1,3.1
41000127,7.2,6.5,4.4,6.033333333333334,6.033333333333334
41000128,4.6,5.0,4.4,4.666666666666667,4.666666666666667
41000129,4.2,5.0,3.0,4.066666666666666,4.066666666666666
41000130,7.0,5.5,7.4,6.633333333333333,6.633333333333333
41000131,2.4,3.75,3.0,3.0500000000000003,3.0500000000000003
41000132,2.2,3.5,4.4,3.366666666666667,3.366666666666667
41000133,2.6,5.5,3.0,3.7,3.6999999999999997
41000134,2.0,1.0,2.6,1.8666666666666665,1.8666666666666665
41000135,3.2,6.0,2.8,4.0,4.0
41000136,3.8,3.75,5.0,4.183333333333334,4.183333333333334
41000137,3.8,6.5,3.4,4.566666666666667,4.566666666666667
41000138,2.4,5.5,5.0,4.3,4.3
41000139,6.0,7.75,6.0,6.583333333333333,6.583333333333333
41000140,4.0,8.5,3.2,5.233333333333333,5.233333333333333
41000141,3.6,6.0,3.4,4.333333333333333,4.333333333333333
41000142,6.4,7.25,3.2,5.616666666666667,5.616666666666667
41000143,2.6,5.0,3.0,3.533333333333333,3.533333333333333
41000144,4.4,3.5,2.4,3.4333333333333336,3.4333333333333336
41000145,3.8,5.25,1.6,3.5500000000000003,3.5500000000000003
41000146,3.2,6.5,2.2,3.9666666666666655,3.9666666666666663
41000147,3.6,6.0,4.6,4.733333333333333,4.733333333333333
41000148,3.6,2.5,3.0,3.033333333333333,3.033333333333333
41000149,4.0,4.0,1.8,3.266666666666667,3.266666666666667
41000150,2.8,2.0,2.8,2.533333333333333,2.533333333333333
41000151,3.0,4.25,2.0,3.083333333333333,3.0833333333333335
41000152,2.4,6.5,2.6,3.8333333333333335,3.8333333333333335
41000153,4.6,8.0,6.0,6.2,6.2
41000154,5.0,8.75,5.8,6.516666666666667,6.516666666666667
41000155,1.8,3.75,2.0,2.5166666666666666,2.5166666666666666
41000156,3.8,6.25,2.0,4.016666666666667,4.016666666666667
41000157,5.0,6.0,4.6,5.2,5.2
41000158,4.8,7.0,4.6,5.466666666666666,5.466666666666666
41000159,2.8,4.5,3.8,3.7,3.6999999999999997
41000160,2.0,2.75,1.4,2.0500000000000003,2.0500000000000003
41000161,3.2,6.0,2.6,3.933333333333333,3.933333333333333
41000162,2.6,2.0,3.0,2.533333333333333,2.533333333333333
41000163,7.2,8.25,6.0,7.15,7.1499999999999995
41000164,2.8,2.25,1.8,2.283333333333333,2.283333333333333
41000165,2.2,2.0,2.4,2.2,2.1999999999999997
41000166,3.0,5.0,2.6,3.533333333333333,3.533333333333333
41000167,3.6,4.75,1.8,3.3833333333333333,3.3833333333333333
41000169,2.4,2.5,3.0,2.6333333333333333,2.6333333333333333
41000170,6.4,6.25,5.4,6.016666666666667,6.016666666666667
41000171,3.8,5.75,3.6,4.383333333333334,4.383333333333334
41000172,3.6,4.0,2.2,3.266666666666667,3.266666666666667
41000173,2.8,4.0,3.0,3.266666666666667,3.266666666666667
41000174,3.4,3.25,4.0,3.5500000000000003,3.5500000000000003
41000175,4.0,5.25,2.8,4.016666666666667,4.016666666666667
41000176,1.8,2.5,4.2,2.833333333333333,2.8333333333333335
41000178,2.4,2.25,3.4,2.6833333333333336,2.6833333333333336
41000181,6.6,7.0,4.6,6.066666666666666,6.066666666666666
41000182,7.6,6.0,4.4,6.0,6.0
41000183,3.4,6.0,3.4,4.266666666666667,4.266666666666667
41000185,3.4,6.75,2.8,4.316666666666666,4.316666666666666
41000186,3.4,5.25,2.6,3.75,3.75
41000188,3.4,7.25,2.4,4.3500000000000005,4.3500000000000005
41000189,4.0,3.5,2.8,3.4333333333333336,3.4333333333333336
41000190,4.6,6.0,4.4,5.0,5.0
41000192,3.6,2.0,2.6,2.733333333333333,2.733333333333333
41000193,4.2,3.25,3.6,3.6833333333333336,3.6833333333333336
41000194,3.0,1.75,3.6,2.783333333333333,2.783333333333333
41000196,4.0,3.5,3.0,3.5,3.5
41000197,2.4,3.0,3.2,2.866666666666667,2.866666666666667
41000198,1.4,2.25,2.4,2.0166666666666666,2.0166666666666666
41000200,3.2,4.5,2.8,3.5,3.5
41000201,1.4,3.5,3.6,2.833333333333333,2.8333333333333335
41000202,3.4,6.75,2.4,4.183333333333334,4.183333333333334
41000203,2.8,4.75,2.8,3.45,3.4499999999999997
41000204,5.2,8.0,3.4,5.533333333333332,5.533333333333332
