SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
54000001,6.4,7.25,4.0,5.883333333333333,5.883333333333333
54000002,5.6,6.0,3.0,4.866666666666666,4.866666666666666
54000003,4.2,6.25,2.2,4.216666666666666,4.216666666666666
54000004,4.2,3.5,3.8,3.8333333333333335,3.8333333333333335
54000005,4.6,7.0,3.4,5.0,5.0
54000006,3.8,5.75,2.0,3.85,3.85
54000007,3.6,3.75,3.2,3.516666666666667,3.516666666666667
54000008,3.4,5.25,2.6,3.75,3.75
54000009,2.8,3.75,3.2,3.25,3.25
54000010,2.8,5.25,2.4,3.483333333333334,3.483333333333334
54000011,5.2,4.25,3.0,4.15,4.1499999999999995
54000012,2.8,4.25,2.8,3.283333333333333,3.283333333333333
54000013,6.0,5.25,3.2,4.816666666666666,4.816666666666666
54000014,5.4,7.75,3.8,5.65,5.6499999999999995
54000015,3.2,3.5,2.6,3.1,3.1
54000016,4.6,4.5,4.0,4.366666666666666,4.366666666666666
54000017,4.4,5.25,2.8,4.15,4.1499999999999995
54000018,2.6,5.75,2.8,3.7166666666666655,3.7166666666666663
54000019,4.4,5.25,2.0,3.883333333333333,3.8833333333333333
54000020,3.8,5.5,3.2,4.166666666666667,4.166666666666667
54000021,5.6,7.5,4.6,5.9,5.8999999999999995
54000022,4.2,4.0,2.4,3.533333333333333,3.533333333333333
54000023,5.4,5.75,2.0,4.383333333333334,4.383333333333334
54000024,5.0,6.5,2.8,4.766666666666667,4.766666666666667
54000025,4.2,6.5,2.2,4.3,4.3
54000026,4.6,7.25,4.0,5.283333333333333,5.283333333333333
54000027,4.0,3.75,3.2,3.65,3.65
54000028,2.2,3.0,2.4,2.533333333333333,2.533333333333333
54000029,6.6,7.0,4.0,5.866666666666667,5.866666666666667
54000030,3.8,5.25,2.0,3.6833333333333336,3.6833333333333336
54000031,6.0,6.0,2.2,4.733333333333333,4.733333333333333
54000032,3.4,5.0,2.2,3.5333333333333337,3.5333333333333337
54000033,5.6,5.0,2.4,4.333333333333333,4.333333333333333
