SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
25000001,7.2,5.5,9.0,7.233333333333333,7.233333333333333
25000002,7.2,7.75,8.6,7.849999999999999,7.849999999999999
25000003,6.6,6.0,5.8,6.133333333333333,6.133333333333333
25000004,7.4,7.5,7.6,7.5,7.5
25000005,6.6,8.25,10.0,8.283333333333333,8.283333333333333
25000006,6.4,6.0,9.0,7.133333333333333,7.133333333333333
25000007,7.4,6.0,6.0,6.466666666666666,6.466666666666666
25000008,5.8,6.0,9.6,7.133333333333333,7.133333333333333
25000009,5.0,5.0,3.8,4.6000000000000005,4.6000000000000005
25000010,7.0,6.5,3.4,5.633333333333333,5.633333333333333
25000011,6.4,6.75,7.0,6.716666666666666,6.716666666666666
25000012,7.2,8.0,7.8,7.666666666666667,7.666666666666667
25000013,6.2,5.5,7.6,6.433333333333333,6.433333333333333
25000014,7.0,7.5,5.4,6.633333333333333,6.633333333333333
25000015,7.8,8.75,8.2,8.25,8.25
25000016,7.6,6.0,7.8,7.133333333333333,7.133333333333333
25000017,6.4,7.5,7.6,7.166666666666667,7.166666666666667
25000018,6.4,8.25,7.4,7.35,7.3500000000000005
25000019,7.4,6.75,7.4,7.183333333333334,7.183333333333334
25000020,5.6,6.75,6.0,6.116666666666667,6.116666666666667
25000021,6.8,6.0,9.4,7.400000000000001,7.400000000000001
25000022,7.0,5.5,8.8,7.1000000000000005,7.1000000000000005
25000023,6.0,6.25,7.6,6.616666666666667,6.616666666666667
25000024,7.2,7.5,8.2,7.633333333333333,7.633333333333333
25000025,5.6,3.0,5.0,4.533333333333333,4.533333333333333
25000026,5.2,7.25,9.0,7.15,7.1499999999999995
25000027,6.0,8.25,9.2,7.816666666666666,7.816666666666666
25000028,7.8,8.25,9.4,8.483333333333334,8.483333333333334
25000029,7.0,6.0,6.0,6.333333333333333,6.333333333333333
25000031,6.8,6.0,5.0,5.933333333333334,5.933333333333334
25000032,4.8,7.75,6.6,6.383333333333333,6.383333333333333
25000033,8.0,8.75,9.8,8.85,8.85
25000034,7.8,8.25,9.2,8.416666666666666,8.416666666666666
25000035,7.4,7.0,5.0,6.466666666666666,6.466666666666666
25000036,7.4,9.0,9.6,8.666666666666666,8.666666666666666
25000037,6.8,6.5,5.0,6.1000000000000005,6.1000000000000005
25000038,7.2,9.25,7.2,7.883333333333333,7.883333333333333
25000039,6.8,8.5,6.6,7.3,7.3
25000040,7.8,7.0,6.6,7.133333333333333,7.133333333333333
25000041,6.4,8.5,10.0,8.299999999999999,8.299999999999999
25000042,6.0,7.5,8.8,7.433333333333334,7.433333333333334
25000043,7.6,6.0,3.8,5.8,5.8
25000044,7.2,7.0,8.8,7.666666666666667,7.666666666666667
25000045,6.0,7.5,7.4,6.966666666666666,6.966666666666666
25000046,8.0,6.0,8.2,7.399999999999999,7.3999999999999995
25000047,6.2,8.5,9.8,8.166666666666666,8.166666666666666
25000048,5.0,7.25,5.4,5.883333333333333,5.883333333333333
25000049,5.6,5.75,4.0,5.116666666666666,5.116666666666666
25000050,7.6,6.75,8.6,7.649999999999999,7.6499999999999995
25000051,7.6,5.5,5.0,6.033333333333334,6.033333333333334
25000052,6.2,6.75,4.2,5.716666666666666,5.716666666666666
25000053,7.2,8.25,9.4,8.283333333333333,8.283333333333333
25000054,6.4,7.0,4.6,6.0,6.0
25000055,6.4,7.5,7.8,7.233333333333333,7.233333333333333
25000056,5.4,7.0,5.6,6.0,6.0
25000057,5.8,8.5,6.8,7.033333333333334,7.033333333333334
25000058,5.4,7.5,6.6,6.5,6.5
25000059,4.4,8.75,7.2,6.783333333333334,6.783333333333334
25000060,7.6,7.5,6.0,7.033333333333334,7.033333333333334
25000061,7.4,8.75,7.8,7.983333333333333,7.983333333333333
25000062,7.8,7.25,6.2,7.083333333333333,7.083333333333333
25000063,8.0,7.75,8.2,7.983333333333333,7.983333333333333
25000064,7.4,7.0,6.8,7.066666666666666,7.066666666666666
25000065,6.0,6.5,4.2,5.566666666666666,5.566666666666666
25000066,4.2,6.75,9.0,6.65,6.6499999999999995
25000067,7.8,6.5,5.8,6.7,6.7
25000068,6.8,7.75,9.0,7.85,7.8500000000000005
25000069,5.6,9.0,7.2,7.266666666666667,7.266666666666667
25000070,5.6,7.25,4.6,5.816666666666666,5.816666666666666
25000071,7.8,7.75,8.4,7.983333333333334,7.983333333333334
25000072,7.0,7.25,7.8,7.35,7.3500000000000005
25000073,7.0,6.5,7.0,6.833333333333333,6.833333333333333
25000074,7.8,4.5,8.0,6.766666666666667,6.766666666666667
25000075,8.8,4.25,7.6,6.883333333333333,6.883333333333333
25000076,7.8,8.5,8.2,8.166666666666666,8.166666666666666
25000077,7.8,7.5,8.0,7.766666666666667,7.766666666666667
25000078,6.2,7.25,3.8,5.75,5.75
25000079,7.0,7.25,8.6,7.616666666666667,7.616666666666667
25000080,8.0,7.5,6.8,7.433333333333334,7.433333333333334
25000081,7.0,5.5,7.6,6.7,6.7
25000082,5.6,6.5,3.2,5.1000000000000005,5.1000000000000005
25000083,5.6,5.5,5.8,5.633333333333333,5.633333333333333
25000084,7.4,7.0,9.0,7.8,7.8
25000085,7.8,6.5,5.4,6.566666666666667,6.566666666666667
25000086,7.0,5.25,5.4,5.883333333333333,5.883333333333333
25000087,6.0,6.75,5.2,5.983333333333333,5.983333333333333
25000088,5.8,8.0,7.8,7.2,7.2
25000089,6.0,6.0,3.0,5.0,5.0
25000090,6.0,9.25,8.4,7.883333333333333,7.883333333333333
25000091,7.2,7.75,8.8,7.916666666666667,7.916666666666667
